genes	entrezID	logFC	AveExpr	t	P.Value	adj.P.Val	B
Igfbp4	16010	5.72414314137606	6.62044417582607	111.1667884841	9.67224153885167e-24	4.70909199721558e-20	44.3860503966071
Ezr	22350	2.99844283419977	9.08637111073881	99.0676591691344	5.66345368129564e-23	2.0680101117251e-19	43.1079293386183
Tmem151a	381199	4.21833346467826	5.90448176346213	81.3305658711322	1.16561509611374e-21	2.12812176172966e-18	39.9945511085559
Akap12	83397	3.38849325485666	6.35076401506614	80.6463994234185	1.32671271336245e-21	2.15310732126355e-18	39.949186976033
Lbh	77889	2.72859458088162	6.74921541481227	78.8229632621079	1.88351874218323e-21	2.5009704316662e-18	39.6302240139144
Myrf	225908	9.00343601020853	5.20754208421969	78.9799239149767	1.82697280745897e-21	2.5009704316662e-18	37.7351323858847
Ptx3	19288	3.95813699087807	5.38614390137895	77.2542348544776	2.56291892275955e-21	3.11949948215217e-18	39.1602072501076
Cxcl12	20315	6.15715495373272	4.92508403140248	76.5980980020905	2.92070056119734e-21	3.28151941514218e-18	38.5086267153031
Krt19	16669	5.45603629888162	5.80432813422853	74.1653294834872	4.78866578889037e-21	4.66288350083552e-18	38.5655450274227
Gata6	14465	3.90840248292136	4.90323588616841	71.521435442956	8.34969793060022e-21	6.77531599857482e-18	37.9885737312456
Jag1	16449	3.63000943268572	4.71360562494715	68.8754026451821	1.48722653364257e-20	1.03943811277232e-17	37.4417831853018
Ppl	19041	6.36031244535642	4.6146160371485	67.5506241719765	2.00224510482924e-20	1.07150469124088e-17	36.6183763893733
Cyp1b1	13078	7.74459614787004	4.90881200591666	67.7275732834899	1.92363750548783e-20	1.07150469124088e-17	36.1412319298282
Tmem98	103743	3.74008238568952	5.65410296511269	67.2040593899162	2.16628673704899e-20	1.09106152004612e-17	37.1780190692476
Ccnd2	12444	4.41479067545935	6.52866336518615	71.2426348246746	2.36422433966936e-20	1.11393099049066e-17	37.1254456915099
Epb41l4a	13824	5.06317186978507	4.23072605675404	66.3831340461243	2.61473912222578e-20	1.16599570750234e-17	36.4954056917391
Acta2	11475	3.12325395332422	7.87567166116343	64.9729134979993	3.63219791471973e-20	1.56034949242342e-17	36.653452799177
Ppp2r5b	225849	2.32977919865615	6.53706944849372	63.265899366611	5.4591657016452e-20	1.99341435595574e-17	36.2614176917031
Myo1d	338367	2.77313077878862	6.00698380229758	61.0719040619286	9.36826845121866e-20	3.17355141757057e-17	35.7289359012428
Smpd3	58994	10.1438847304655	4.64172146659504	60.9909992319956	9.56019871101638e-20	3.17355141757057e-17	33.282537864764
Tns1	21961	2.32822537612653	6.49977281967323	60.8370343459536	9.93711148714257e-20	3.22536556402676e-17	35.6538851032722
Shroom3	27428	4.54685608303431	3.89752277789101	59.2316668087628	1.49594720785194e-19	4.23324998068903e-17	34.9429691473243
Slc9a3r1	26941	2.52604667086757	7.77178600419282	58.7952133276379	1.67510462619841e-19	4.448468758228e-17	35.0886016285778
Adamts1	11504	3.23513749017695	6.4780966837018	58.5111453146598	1.80389104788095e-19	4.7049344009552e-17	35.0566174336957
