Category	Term	Count	%	PValue	Genes	List Total	Pop Hits	Pop Total	Fold Enrichment	Bonferroni	Benjamini	FDR
GOTERM_BP_DIRECT	GO:0042254~ribosome biogenesis	40	3.816793893129771	3.887267089739841E-27	EIF6, NAF1, SDAD1, FASTKD2, GTPBP10, BOP1, BMS1, DDX27, EBNA1BP2, RRN3, DKC1, URB2, WDR12, AATF, RSL24D1, GNL2, FTSJ3, GNL3, EFL1, GTPBP4, TSR1, NOC4L, NIP7, BYSL, ISG20L2, MRTO4, NVL, RCL1, DDX56, C1QBP, IPO4, RRS1, DDX31, NOP58, NOP56, UTP14A, ZNHIT6, PES1, NHP2, DDX51	923	89	18082	8.804703762766747	1.417297580919146E-23	1.417297580919146E-23	7.151687444728867E-24
GOTERM_BP_DIRECT	GO:0006364~rRNA processing	44	4.198473282442748	1.6013541859193672E-24	NAF1, UTP18, UTP15, SKIV2L2, BOP1, DDX27, EXOSC10, EBNA1BP2, WDR55, WDR36, DKC1, RRP1B, WDR12, NPM3, NAT10, DDX21, FTSJ3, NOL6, CCDC86, TBL3, PDCD11, NOL9, RRP15, EXOSC5, EXOSC2, EXOSC3, RRP8, LAS1L, RRP9, EXOSC1, FBL, MRTO4, DIS3, RCL1, EIF4A3, PA2G4, DDX56, NOP2, NOL11, UTP14A, PES1, UTP20, NHP2, DDX51	923	126	18082	6.84111506646718	5.8385373618620125E-21	2.9192686809310063E-21	2.9461275393788322E-21
GOTERM_BP_DIRECT	GO:1904874~positive regulation of telomerase RNA localization to Cajal body	12	1.1450381679389312	6.46578787396194E-12	CCT7, NAF1, CCT5, TCP1, CCT4, DKC1, CCT8, CCT2, CCT6A, RUVBL1, CCT3, NHP2	923	15	18082	15.67237269772481	2.3574408092308374E-8	7.85813614179176E-9	1.1895651130799934E-8
GOTERM_BP_DIRECT	GO:0008380~RNA splicing	42	4.007633587786259	8.985621846022473E-12	SRSF1, RALY, NCBP2, U2AF2, SYNCRIP, SKIV2L2, SART3, CACTIN, SF3B4, XAB2, SF3B3, PNN, PRPF19, HNRNPM, HNRNPK, TARDBP, ACIN1, PABPC1, ZPR1, RBM28, RBM25, LUC7L3, GEMIN5, EFTUD2, DDX39B, PTBP1, PRPF3, SF3A1, HNRNPA1, SRPK1, HNRNPU, SRSF2, EIF4A3, DDX39, SNRNP48, C1QBP, SFPQ, KHSRP, SNRPA, RBM38, THOC3, PRPF38B	923	241	18082	3.4141060856039527	3.2761460766472794E-8	8.190365274884925E-9	1.6531442881273506E-8
GOTERM_BP_DIRECT	GO:0006397~mRNA processing	48	4.580152671755725	7.047034731292314E-11	SRSF1, RALY, NCBP2, U2AF2, SYNCRIP, SKIV2L2, SART3, CACTIN, SF3B4, XAB2, SF3B3, PNN, PRPF19, HNRNPL, HNRNPM, HNRNPK, PCBP1, TARDBP, ZPR1, PABPC1, ACIN1, RBM28, LUC7L3, RBM25, GEMIN5, KHDRBS1, PDCD11, EFTUD2, DDX39B, PTBP1, DDX1, PRPF3, SF3A1, HNRNPA1, SRPK1, HNRNPU, SRSF2, EIF4A3, DDX39, SNRNP48, C1QBP, SFPQ, KHSRP, SNRPA, RBM38, CSTF1, THOC3, PRPF38B	923	322	18082	2.9203178939859895	2.5693466720877467E-7	5.138693870421207E-8	1.2964932460945988E-7
GOTERM_BP_DIRECT	GO:0098609~cell-cell adhesion	33	3.1488549618320607	1.960571454295118E-9	LIMA1, CNN3, SNX5, MRE11A, PDLIM1, CXCL12, SCRIB, BZW2, CDC42EP1, PACSIN2, ATIC, EIF3E, CNN2, LRRFIP1, NUDC, FLRT3, ARGLU1, LAD1, FSCN1, PPP1R13L, VASP, EIF4G1, TNKS1BP1, LASP1, CGN, SERBP1, RARS, EIF4H, EEF1G, EEF1D, UBAP2, AHSA1, IGSF9	923	189	18082	3.4205575332335894	7.148218085117897E-6	1.191373229292303E-6	3.607005616412806E-6
GOTERM_BP_DIRECT	GO:1904871~positive regulation of protein localization to Cajal body	8	0.7633587786259541	6.7049353056420786E-9	CCT7, CCT5, TCP1, CCT4, CCT8, CCT2, CCT6A, CCT3	923	8	18082	19.590465872156013	2.4445895283942143E-5	3.492307343311296E-6	1.2335555421572053E-5
GOTERM_BP_DIRECT	GO:0042273~ribosomal large subunit biogenesis	12	1.1450381679389312	7.731768165463605E-9	EIF6, EBNA1BP2, SDAD1, WDR55, HEATR3, NOP16, NIP7, NPM1, NLE1, RRS1, BOP1, NOC2L	923	24	18082	9.795232936078007	2.8189629319830267E-5	3.5237471234239592E-6	1.4224694100395396E-5
GOTERM_BP_DIRECT	GO:0010501~RNA secondary structure unwinding	15	1.4312977099236641	2.7624967240484873E-8	DDX39B, DDX1, DDX27, DDX39, EIF4A3, DDX17, DDX56, DDX18, DDX23, DDX24, EIF4A1, DDX31, DDX21, DDX54, DDX51	923	45	18082	6.530155290718671	1.007155596595144E-4	1.1191118691411539E-5	5.0823645270092754E-5
GOTERM_BP_DIRECT	GO:1904851~positive regulation of establishment of protein localization to telomere	8	0.7633587786259541	2.883666058513246E-8	CCT7, CCT5, TCP1, CCT4, DKC1, CCT8, CCT2, CCT6A	923	9	18082	17.413747441916453	1.05132939263064E-4	1.0513791341537626E-5	5.305288449664047E-5
GOTERM_BP_DIRECT	GO:0006413~translational initiation	16	1.5267175572519083	4.878110044296734E-8	EIF6, ABCF1, ABCE1, EIF4B, EIF4G1, EIF3D, EIF3B, EIF4E, EIF3G, EIF2S1, EIF4H, EIF3E, EIF4A1, EIF3L, EIF2B3, EIF3M	923	54	18082	5.804582480638818	1.778400813107206E-4	1.6168587171794258E-5	8.974609354561736E-5
GOTERM_BP_DIRECT	GO:0000462~maturation of SSU-rRNA from tricistronic rRNA transcript (SSU-rRNA, 5.8S rRNA, LSU-rRNA)	12	1.1450381679389312	5.5094081448061205E-8	TBL3, NOC4L, TSR1, UTP18, BYSL, WDR3, DIEXF, HEATR1, UTP20, BMS1, WDR46, PWP2	923	28	18082	8.395913945209719	2.0085285271198572E-4	1.6739278759003717E-5	1.0136053231191156E-4
GOTERM_BP_DIRECT	GO:0050821~protein stabilization	24	2.2900763358778624	1.186638895704905E-7	USP7, TRP53, GTPBP4, TCP1, ATP1B1, PHB, CRTAP, NAA15, CCT2, CCT6A, CCT3, CDC37, DVL1, CCT7, LAMP1, PFN1, CCT5, CCT4, PHB2, CCT8, NPM1, ZFP207, HSPD1, WIZ	923	128	18082	3.6732123510292527	4.3255498826844097E-4	3.32801052176368E-5	2.1831434625640966E-4
GOTERM_BP_DIRECT	GO:0006351~transcription, DNA-templated	146	13.931297709923665	2.148059955927801E-7	XRCC5, RALY, CCDC85B, NAA15, REST, MED22, CBX6, FOXO6, PNN, ESF1, CSNK2A2, KDM1A, TAF5L, DDX17, CDCA7, MIER2, TARDBP, FOXF2, DDX21, TWIST1, MCRS1, BEND3, RCOR2, YY1, RELB, RRP8, SIX4, AHR, PPARGC1B, ZFP827, PA2G4, HOXD8, ZFP280C, SIX1, VGLL2, DNTTIP2, AKAP8, VGLL4, MYBBP1A, LRPPRC, SUDS3, CNBP, MYEF2, MYBL2, SRF, XAB2, HNRNPK, PELP1, RUNX1, BCOR, EWSR1, NR1H4, HNRNPAB, TRP53, KLF16, DDX1, SMYD1, SKI, SMYD2, FOXP4, SUV39H2, SALL2, NRF1, PPRC1, DDX54, HDAC7, E2F4, TAF1D, PPARG, YBX3, PAWR, NFKB2, FUBP1, LBH, MAZ, PRMT7, RRN3, SUPT16, HSF1, PCGF6, PRMT5, ZCCHC9, NR2F6, LRRFIP1, KMT5A, KHDRBS1, ZFP553, POLR1E, POLR1D, SOX11, SOX12, CDK8, POLR1A, LEF1, CDK9, BANP, POLR1B, IRF2BP1, MBD3, NOC2L, C1QBP, GTF2I, KHSRP, NOL11, ZFPM1, RUVBL1, EEF1D, CARM1, POLR2H, POLR2F, SBNO2, NACA, GLIS2, FHL2, NFYA, SRRT, NR1D1, NR1D2, CEBPZ, GATAD2A, ACTL6A, BCL9L, APEX1, ETV4, CHD4, ERCC2, KAT2A, ERF, NACC1, COL4A2, L3MBTL3, TRIM28, TRIM27, ILF3, POLR3A, HNRNPDL, PPP1R13L, ATXN1, IRF5, UBTF, YAF2, PHB2, SFPQ, ZFP532, TBL1X, NFIC	923	1885	18082	1.5173517333340998	7.828761363218861E-4	5.594005985920525E-5	3.951934444912375E-4
GOTERM_BP_DIRECT	GO:0008033~tRNA processing	19	1.8129770992366412	2.182343238540633E-7	ELAC2, PUS1, PUSL1, DDX1, TRMT1, TRMT10C, QTRT1, TRMT61A, FBL, CTU1, CTU2, WDR4, POP1, THG1L, NAT10, TRUB1, NSUN2, RPP40, DUS3L	923	85	18082	4.37904531259958	7.953659601993568E-4	5.304408854744924E-5	4.0150076514589017E-4
GOTERM_BP_DIRECT	GO:0045892~negative regulation of transcription, DNA-templated	60	5.7251908396946565	3.1345895898704795E-7	XRCC5, PDGFB, CCDC85B, PPARG, REST, KDM1A, PBXIP1, PCGF6, FOXF2, PATZ1, NRG1, KMT5A, TWIST1, KHDRBS1, RCOR2, MTA2, RELB, LEF1, UBE2I, SIX4, BASP1, HMGA1, AHR, PPARGC1B, PPM1F, PA2G4, ZFP280C, MYBBP1A, SUDS3, WNT5A, SBNO2, GLIS2, FHL2, SRC, SET, NR1D1, NR1D2, GATAD2A, BCOR, RUNX1, BMP4, HMGA1-RS1, TRP53, NACC1, BMP2, PHB, TRIM28, SMYD1, ILF3, GAS6, SUV39H2, ATXN1, SALL2, SFRP2, YAF2, PHB2, SFPQ, TBL1X, NFIC, HDAC7	923	579	18082	2.0301000903788613	0.0011422187147184237	7.142692045591925E-5	5.766916286398249E-4
GOTERM_BP_DIRECT	GO:0030036~actin cytoskeleton organization	24	2.2900763358778624	8.152421128481979E-7	FMNL1, MTSS1, SDAD1, SHROOM3, PDGFB, NUAK2, PDGFA, RAN, BCAR1, SPECC1, FSCN1, FHL3, SLC9A3R1, DAAM2, SRF, VASP, CORO1C, PFN1, PPP1R9B, PACSIN2, SH2B2, WDR1, TRIP10, EHD2	923	142	18082	3.311064654448904	0.0029679608250432477	1.7483024217246346E-4	0.0014998494575313437
GOTERM_BP_DIRECT	GO:0000470~maturation of LSU-rRNA	9	0.8587786259541985	2.0260267492417518E-6	RSL1D1, EIF6, NOP2, MAK16, RRP15, WDR12, LAS1L, NHP2, TEX10	923	19	18082	9.279694360494952	0.007359684912992881	4.102991937450229E-4	0.0037273627895073602
GOTERM_BP_DIRECT	GO:0000122~negative regulation of transcription from RNA polymerase II promoter	68	6.488549618320611	2.0982345827429343E-6	XPO1, PPARG, EDN1, YBX3, NFKB2, PAWR, REST, CBX6, CCNE1, KDM1A, HSF1, PCGF6, PRMT5, NR2F6, KMT5A, TWIST1, BEND3, RCOR2, SOX11, YY1, MTA2, RELB, LEF1, UBE2I, MBD3, IRF2BP1, AHR, NOC2L, HOXD8, C1QBP, SIX1, SEMA4D, ZFPM1, SUDS3, GLIS2, FHL2, MYEF2, HNRNPK, EZR, NR1D1, GATAD2A, BCOR, CHD4, NR1H4, HNRNPAB, TRP53, BMP4, ERF, FZD8, BMP2, PHB, TRIM28, TRIM27, KLF16, SKI, SMYD2, FOXP4, PPP1R13L, SUV39H2, ATXN1, SALL2, PLK1, SFPQ, PPID, DLX4, TBL1X, NFIC, HDAC7	923	729	18082	1.8273685587196282	0.007620983232759948	4.025595466604637E-4	0.0038602040164481544
GOTERM_BP_DIRECT	GO:0000460~maturation of 5.8S rRNA	8	0.7633587786259541	2.1932627322683465E-6	EXOSC10, EIF6, MAK16, NOL9, RRP15, WDR12, LAS1L, SKIV2L2	923	14	18082	11.194551926946291	0.007964756584151522	3.9975231231492714E-4	0.0040350276748868374
GOTERM_BP_DIRECT	GO:0006396~RNA processing	16	1.5267175572519083	3.30512796978789E-6	PDCD11, CHERP, EXOSC1, SART3, XAB2, SF3A1, FBL, ZFC3H1, EXOSC10, RCL1, HNRNPK, DKC1, DHX37, DHX33, TRUB1, DDX54	923	73	18082	4.293800739102688	0.01197819979411796	5.73669507356156E-4	0.006080509026062941
GOTERM_BP_DIRECT	GO:0000055~ribosomal large subunit export from nucleus	6	0.5725190839694656	6.571592042509134E-6	XPO1, SDAD1, RAN, NPM1, RRS1, NMD3	923	7	18082	16.791827890419437	0.023675338901832377	0.0010885027558599214	0.012089543799587155
GOTERM_BP_DIRECT	GO:0030335~positive regulation of cell migration	27	2.5763358778625953	1.439739498546589E-5	HMGB1, PDGFB, PDGFA, BCAR1, CSF1, EDN1, CX3CL1, MMP2, CXCL12, CXCL10, SEMA3F, LAMB1, THBS1, PRKCA, BMP4, COL18A1, BMP2, ARHGEF39, MYO1C, ACTN4, SUN2, LEF1, FURIN, TRIM32, LAMC2, SEMA4D, MYLK	923	203	18082	2.605628465754741	0.05113930262272082	0.0022797140177206465	0.02648461555955217
GOTERM_BP_DIRECT	GO:0032259~methylation	24	2.2900763358778624	1.655289172462101E-5	ETFBKMT, TRMT10A, TRMT1, RRP8, NTMT1, SMYD1, TRMT10C, SMYD2, TRMT61A, FBL, SUV39H2, METTL13, PRMT1, NOP2, PRMT7, PRMT5, SMYD5, SETD6, MTAP, CARM1, METTL16, NSUN2, KMT5A, FTSJ3	923	169	18082	2.7820779936789606	0.058567231853712376	0.002511521785696136	0.030449171841495648
GOTERM_BP_DIRECT	GO:0031100~organ regeneration	13	1.2404580152671756	2.00835249444093E-5	LIF, CCL2, ATIC, PHB, PPARG, TGFBR2, AXL, CAD, FPGS, CCNA2, CXCL12, GAS6, PPAT	923	56	18082	4.547786720321931	0.07060855502193364	0.0029247253235935577	0.036942664274874915
GOTERM_BP_DIRECT	GO:0032212~positive regulation of telomere maintenance via telomerase	10	0.9541984732824428	2.171328220848419E-5	CCT7, CCT5, TCP1, CCT4, DKC1, CCT8, CCT2, CCT6A, CCT3, HNRNPA1	923	32	18082	6.122020585048754	0.07611482674158832	0.0030402723075573235	0.03993995703964748
GOTERM_BP_DIRECT	GO:0035690~cellular response to drug	15	1.4312977099236641	2.226115341389387E-5	HSP90AB1, TRP53, CCL2, EFTUD2, EDN1, CAD, REST, PPAT, GAS6, PPM1F, PPP1R9B, UMPS, SERPINE1, PPP3CA, MYLK	923	75	18082	3.9180931744312026	0.07795852136535864	0.0030015998224423024	0.04094752996421924
GOTERM_BP_DIRECT	GO:0051028~mRNA transport	16	1.5267175572519083	3.529861811321869E-5	NCBP2, SRSF1, NUP133, XPO1, MYO1C, DDX39B, NUP93, IGF2BP1, EIF5A, IGF2BP2, HNRNPA1, EIF4A3, POM121, KHSRP, THOC3, LRPPRC	923	88	18082	3.561902885846548	0.12076321108086974	0.004585917888547786	0.0649214931685016
GOTERM_BP_DIRECT	GO:0006164~purine nucleotide biosynthetic process	8	0.7633587786259541	3.781988526198489E-5	MTHFD1, ADSS, ATIC, ADSL, GMPS, PFAS, IMPDH2, GART	923	20	18082	7.836186348862404	0.12880888783609457	0.004743675450929574	0.0695571019023622
GOTERM_BP_DIRECT	GO:0001649~osteoblast differentiation	18	1.717557251908397	5.74195124710091E-5	BMP4, GTPBP4, BMP2, PHB, MRC2, FHL2, SYNCRIP, LEF1, FBL, HNRNPU, AKT1, RSL1D1, FASN, COL6A1, DDX21, MYBBP1A, SPP1, TWIST1	923	113	18082	3.120605183175294	0.1888948294036079	0.006954291324255513	0.10558609681380338
GOTERM_BP_DIRECT	GO:0006457~protein folding	19	1.8129770992366412	8.693034697118473E-5	HSP90AB1, TCP1, FKBP4, CCT2, CCT6A, CCT3, CDC37, CCT7, PPIF, PFDN2, CCT5, CCT4, PPID, CCT8, BAG2, TUBB5, HSPD1, AHSA1, NUDC	923	128	18082	2.9079597778981583	0.27164143817347686	0.010172481634094233	0.1598111872505581
GOTERM_BP_DIRECT	GO:0006412~translation	40	3.816793893129771	8.735983850508485E-5	EIF6, EIF5A, VARS, KARS, AKT1, EIF3D, EIF3B, MRPL12, EIF3G, EIF3E, SLC25A22, RPL3, MRPL19, EIF3L, MARS2, RSL24D1, EIF3M, EFL1, MRPL3, AIMP2, SLC25A5, EEF2, EIF4B, RSL1D1, EIF4G1, EIF4E, SLC25A13, GSPT1, SLC25A33, EIF4H, RARS, EIF2S1, EIF4A1, FARSB, EEF1G, SLC25A37, FARSA, YARS2, EEF1D, NHP2	923	401	18082	1.954161184254964	0.2727812005792343	0.00990461934244835	0.1606001568654536
GOTERM_BP_DIRECT	GO:0006189~'de novo' IMP biosynthetic process	5	0.4770992366412214	9.275829267950621E-5	ATIC, ADSL, PFAS, PPAT, GART	923	6	18082	16.325388226796676	0.28695619392189475	0.010196520637881568	0.17051653480405493
GOTERM_BP_DIRECT	GO:0006607~NLS-bearing protein import into nucleus	7	0.6679389312977099	1.3171173347559207E-4	IPO4, IPO5, KPNA6, KPNA3, TNPO2, KPNB1, KPNA2	923	17	18082	8.066662417946594	0.381372898334314	0.014025785868175045	0.24204220104452334
GOTERM_BP_DIRECT	GO:0048025~negative regulation of mRNA splicing, via spliceosome	8	0.7633587786259541	1.8745786027914908E-4	HNRNPL, HNRNPK, C1QBP, PCBP4, U2AF2, PTBP1, NPM1, ACIN1	923	25	18082	6.268949079089924	0.49517095290616453	0.019340116735698243	0.3443180238078325
GOTERM_BP_DIRECT	GO:0001731~formation of translation preinitiation complex	8	0.7633587786259541	1.8745786027914908E-4	EIF4B, EIF3D, EIF3B, EIF3G, EIF4H, EIF3E, EIF3L, EIF3M	923	25	18082	6.268949079089924	0.49517095290616453	0.019340116735698243	0.3443180238078325
GOTERM_BP_DIRECT	GO:0006446~regulation of translational initiation	9	0.8587786259541985	1.967935381194373E-4	EIF4G1, NCBP2, EIF3D, EIF3B, EIF3G, EIF3E, EIF4A1, EIF3L, EIF3M	923	33	18082	5.342854328769821	0.5120683038535172	0.019735429256640957	0.3614362283234418
GOTERM_BP_DIRECT	GO:0000463~maturation of LSU-rRNA from tricistronic rRNA transcript (SSU-rRNA, 5.8S rRNA, LSU-rRNA)	6	0.5725190839694656	1.9992103303593522E-4	GTPBP4, WDR12, BOP1, PES1, RPF2, FTSJ3	923	12	18082	9.795232936078007	0.5176016039874616	0.019509474361370294	0.36717028356855197
GOTERM_BP_DIRECT	GO:0007568~aging	22	2.099236641221374	2.0070807645903224E-4	CCL2, COL3A1, TGFBR2, EIF5A, ITGB2, EEF2, NFKB2, MBD3, TIMP2, VCAM1, AKT1, NCAM1, PPP1R9B, TNFRSF1B, HTRA2, CTGF, EIF2S1, CACYBP, KRT14, CARM1, APEX1, ERCC2	923	173	18082	2.49127311669036	0.5189841676072536	0.019075068307634613	0.3686132265261599
GOTERM_BP_DIRECT	GO:0006606~protein import into nucleus	12	1.1450381679389312	3.074398894024099E-4	NUP133, POM121, IPO7, HEATR3, RAN, KPNA6, NUP93, PPP3CA, KPNA3, TNPO2, KPNB1, KPNA2	923	63	18082	3.731517308982098	0.6740783228894832	0.028336868573696328	0.5641093407978581
GOTERM_BP_DIRECT	GO:0009303~rRNA transcription	6	0.5725190839694656	3.1125843740837766E-4	CD3EAP, TRP53, NPM1, POLR1A, NPM3, POLR1B	923	13	18082	9.041753479456622	0.6785858867969959	0.02797681592284551	0.5710968867502442
GOTERM_BP_DIRECT	GO:0007339~binding of sperm to zona pellucida	9	0.8587786259541985	3.7445327096022975E-4	CCT7, CCT5, TCP1, CCT4, CCT8, CCT2, CCT6A, CCT3, PCSK4	923	36	18082	4.897616468039003	0.7447501225751068	0.03275666694089241	0.6866694556431963
GOTERM_BP_DIRECT	GO:0008283~cell proliferation	25	2.385496183206107	3.745674393601339E-4	XRCC5, NBN, CSF1, MRE11A, DPH1, BOP1, SRC, SCRIB, FAM83D, SRRT, KDM1A, TNFRSF1B, DKC1, RRN3, BOK, WDR12, ERCC2, GNL3, KAT2A, NASP, BYSL, RHBDF1, FURIN, SIX1, PES1	923	220	18082	2.2261893036540923	0.7448563900544647	0.03199895512312134	0.6868781351623943
GOTERM_BP_DIRECT	GO:0001843~neural tube closure	15	1.4312977099236641	3.925439492224022E-4	KAT2A, BMP4, WNT5A, SHROOM3, PLXNB2, PTK7, SKI, CELSR1, SDC4, SCRIB, VASP, MTHFD1, PFN1, SFRP2, TWIST1	923	97	18082	3.02945348538495	0.7610488687797987	0.0327425757108476	0.7197308241108313
GOTERM_BP_DIRECT	GO:0007507~heart development	28	2.6717557251908395	3.93385686045904E-4	PDGFB, KCNAB1, PPARG, EDN1, COL3A1, PTK7, CAD, MMP2, SRF, MTHFD1, VCAM1, ECE1, BCOR, NRG1, BMP4, FLRT3, TRP53, BMP2, MICAL2, TGFBR2, ITGA3, SMYD1, SMYD2, MBD3, FOXP4, TNNT2, PKP2, ZFPM1	923	261	18082	2.1016591740244	0.7617813664834424	0.03207800805858885	0.7212688751552898
GOTERM_BP_DIRECT	GO:0006400~tRNA modification	6	0.5725190839694656	4.6391749792675804E-4	2210016F16RIK, WDR4, THG1L, THUMPD1, QTRT1, TRUB1	923	14	18082	8.395913945209719	0.8158188811373667	0.03689837974737664	0.8500670586001347
GOTERM_BP_DIRECT	GO:0000466~maturation of 5.8S rRNA from tricistronic rRNA transcript (SSU-rRNA, 5.8S rRNA, LSU-rRNA)	4	0.38167938931297707	5.084988398715027E-4	WDR12, BOP1, PES1, FTSJ3	923	4	18082	19.590465872156013	0.8434622846037886	0.03951250006416762	0.9313955539612562
GOTERM_BP_DIRECT	GO:0071034~CUT catabolic process	4	0.38167938931297707	5.084988398715027E-4	EXOSC10, DIS3, EXOSC2, EXOSC3	923	4	18082	19.590465872156013	0.8434622846037886	0.03951250006416762	0.9313955539612562
GOTERM_BP_DIRECT	GO:0010628~positive regulation of gene expression	37	3.5305343511450387	6.614074855740416E-4	PDGFB, LDLR, CSF1, VIM, PAWR, CDH3, SRC, LIF, FUBP1, EZR, HSF1, CTGF, SERPINE1, CNN2, HSPA4, MSN, ZPR1, PPP3CA, NRG1, ETV4, TWIST1, TRP53, BMP4, WNT10A, BMP2, ACTA2, PHB, SOX11, YY1, RELB, LMNA, LEF1, ITGA3, GAS6, HNRNPU, PPM1F, P2RX7	923	399	18082	1.816659742530758	0.9103901053332324	0.05003041360821803	1.2098635323695817
GOTERM_BP_DIRECT	GO:0010976~positive regulation of neuron projection development	18	1.717557251908397	6.627822936616367E-4	BMP4, WNT5A, PLXNB2, PTBP1, PTK7, ITGA3, DVL1, LIF, KDM1A, DDX56, HNRNPK, RRN3, HTR7, CAMK2B, ADAMTS1, NGFR, RAPGEF1, DBN1	923	138	18082	2.5552781572377405	0.9108384516656711	0.04911345973290926	1.2123638889661725
