Category	Term	Count	%	PValue	Genes	List Total	Pop Hits	Pop Total	Fold Enrichment	Bonferroni	Benjamini	FDR
GOTERM_BP_DIRECT	GO:0007275~multicellular organism development	229	7.8237102835667915	3.6347849936241084E-15	MEF2C, NOG, PRR15, CADM1, GDF6, RORC, RADIL, SHB, CREB3L2, CREB3L1, TLK2, PITX2, WNT10A, PDPN, EFNB1, EMX2, VANGL2, EFNB2, EOMES, MARK2, CTNNA2, VEGFC, MSX1, PDGFRA, RYR2, EFNA5, DBN1, KIF26B, HOXB13, EPHB3, EPHB2, LHX1, CASZ1, HOXA10, LFNG, MN1, UNC45B, TCF23, MDFI, BMP4, DVL3, BMP2, CELSR2, DONSON, CELSR1, DDX4, KDR, DLX3, EPHA4, EPHA7, SFRP1, SEMA6D, SFRP2, DLX6, DLX5, SFRP4, DLX4, HOPX, TLL1, UTP14B, BMP6, HTATIP2, FOXA2, FAM3C, NPNT, TBX20, TSNAX, ANPEP, GLI2, TNFRSF11A, SEMA3E, SEMA3D, SEMA3C, MKX, SEMA3A, SIK1, SRPK3, PKDCC, SLIT3, ZFP37, ARVCF, DACT1, CHRDL1, SEMA4F, SEMA4C, RIPPLY1, SORT1, RIPPLY3, TBX18, SEMA4A, SHROOM2, SHROOM3, FHL1, MLF1, DISP1, ZSCAN21, WIPF3, TLX2, FLRT3, FLRT1, ZFP57, NTNG2, SNAI2, FZD4, FZD7, FZD6, TMEM2, WNT7B, FYN, JMJD6, PTP4A1, GSK3B, RBM19, PBX1, ENAH, SHTN1, PDGFB, JAG2, JAG1, ZIC1, ZIC3, HOXC6, WNT2, HOXC8, DAB2, WNT4, HOXC9, UNC5B, ROBO1, HOXC4, DDX25, HOXC5, MTURN, ETL4, ROBO2, PDGFD, ATOH8, UNC5C, AKIRIN2, EGFR, LBX1, PLXNB2, ENC1, DLL1, VAX2, HES6, GRHL1, HOXD9, HHEX, HOXD8, NDEL1, HOXD4, ASB1, IGSF9, WNT5A, TSHZ3, WNT5B, SYVN1, ADCYAP1R1, HACD1, PAQR8, BICC1, SOX6, VDR, APELA, HEG1, HOXA9, TRAF4, TRP53, EPAS1, ZMYM6, ADGRG1, HOXB3, HOXB4, TNFSF11, HOXB2, NXN, HOXB7, EBF3, HOXB8, EBF2, HOXB5, HOXB6, TUBD1, HOXB9, CHRD, TMEM88, ARL13B, PAX3, LGR4, SPRY4, SPRY1, LBH, HEY1, PAX9, PAX7, RHOB, POU4F1, NANOG, OTX1, SOX11, LDB1, HOXC10, EYA4, HOXC12, HOXC11, BVES, HOXC13, ADGRV1, WNT11, CUX1, GAP43, NEPRO, TNFRSF25, HIC1, RACK1, TNFRSF1B, HAND2, KRT8, ZC3H12A, ZFP521, CEBPA, TRNP1, ISL2, KAZALD1, ID3, C77370, SMPD3, GGNBP1	2442	1029	18082	1.6478622805153418	2.25173213408425E-11	2.25173213408425E-11	7.127631818093505E-12
GOTERM_BP_DIRECT	GO:0048706~embryonic skeletal system development	24	0.8199521694567817	1.0294595694980805E-9	BMP4, WNT5A, RBP4, NOG, DMRT2, GAS1, HOXC6, HOXD9, MKS1, HOXC9, MBTD1, SULF2, PAX7, HOXB5, HOXC5, SULF1, HOXB6, NKX3-2, HOXA9, WNT11, HOXB9, PBX1, ETL4, PCSK5	2442	44	18082	4.038865311592584	6.327038182818434E-6	3.1635240953509225E-6	2.0016759028074205E-6
GOTERM_BP_DIRECT	GO:0042254~ribosome biogenesis	36	1.2299282541851726	1.151047343722262E-9	SDAD1, SURF6, GTPBP10, WBSCR22, BOP1, DROSHA, DDX27, DCAF13, EBNA1BP2, MRPL10, SBDS, RRN3, RPLP0, BRIX1, LSG1, GNL2, IMP4, FTSJ3, NSUN4, GTPBP4, TSR1, RRP36, BYSL, MRTO4, NOP14, RCL1, DDX56, C1QBP, DDX31, NOP58, RRS1, NOP56, PES1, NHP2, SETD4, UTP14B	2442	89	18082	2.995113601855175	7.074312108001912E-6	2.358109596700686E-6	2.238090701656148E-6
GOTERM_BP_DIRECT	GO:0045893~positive regulation of transcription, DNA-templated	128	4.373078237102836	8.277110445270712E-9	MEF2C, MMS19, PDGFB, GDF6, BTRC, ARNT2, XRCC6, TGFB3, FOXO1, RORC, MED24, RORA, ZIC1, ZIC3, MAGED1, WNT4, DAB2, CDKN2A, SMARCD3, GATA6, MDFIC, GATA3, FOXF1, GATA4, CREB3L2, ATOH8, DNAJC2, PITX2, PIM1, EOMES, GRHL3, AHR, DDIT3, FOXN3, BTBD8, HES1, CD38, CAMK4, SMARCA1, MAD2L2, NFE2L3, RNF20, SMARCA2, WNT5A, TFEB, AFAP1L2, SOX6, GREM1, SOX8, TRF, WT1, TASP1, LHX1, LHX2, NPM1, RUNX2, TRP53, BMP4, DVL3, BMP2, TESC, SMAD9, PHB, SMAD3, DDX5, USF1, RBMX, CDKN1C, RNF6, SFRP1, HDAC1, EBF3, DLX5, EBF2, KLF2, KLF4, ENY2, FOSL2, PTGES2, FOXA2, TBX20, PAX3, GLI2, LGR4, FOS, LBH, RRN3, PLCB1, MYB, MKL1, USP16, MYC, AR, SSBP3, NANOG, SOX11, ESR1, NUP85, TOPORS, MYCN, MYRF, WNT11, TMSB4X, ZFPM2, USP22, NFYC, CDH1, TFAM, NPAS3, INPP5K, ZSCAN21, HAND2, BCL3, POU3F1, CEBPA, IL6, IGF1, CREB5, TRIM24, STAT1, FZD4, FZD7, STAT3, YAF2, THRAP3, IRF1, PHF5A, NFIA	2442	576	18082	1.6454636454636455	5.086982707036558E-5	1.271769937538636E-5	1.6093970767183663E-5
GOTERM_BP_DIRECT	GO:0009952~anterior/posterior pattern specification	38	1.2982576016399043	9.30106460778323E-8	WNT5A, FOXA2, GLI2, ZIC3, HOXC6, HOXC8, HOXC9, LHX1, HOXC4, HOXC5, HOXA10, HOXA9, PCSK5, OTX1, VANGL2, EMX2, GRSF1, CELSR1, HOXD9, HOXB3, HOXC10, HOXB4, HHEX, HOXB2, MSX1, HOXD8, HOXC11, SFRP1, HOXB7, HOXC13, HOXB8, SFRP2, CDON, HOXB5, HOXD4, HOXB6, PBX1, HOXB9	2442	112	18082	2.5122703872703873	5.714801003624537E-4	1.1432215619522346E-4	1.8084927828621034E-4
GOTERM_BP_DIRECT	GO:0098609~cell-cell adhesion	54	1.8448923812777587	9.747761174350348E-8	LIMA1, SEPT2, VAPB, PDLIM5, PDLIM1, CXCL12, PRDX1, EPCAM, PACSIN2, SND1, PAK4, LRRC59, ARHGAP1, CLINT1, GOLGA2, TWF1, LAD1, PI4KA, SLC3A2, LYPLA2, SLC9A3R2, CTNNA2, ENO1B, MARK2, EIF4G1, EVPL, STXBP6, UBFD1, TACSTD2, USO1, EEF1G, EEF1D, UBAP2, IGSF9, SFN, CAPZB, DCHS1, PDXDC1, CDC42EP1, SH3GLB2, ATIC, PPL, TES, FLRT3, FSCN1, PPFIBP1, GLOD4, ARFIP1, STAT1, MPRIP, TMEM2, TNKS1BP1, TJP1, YKT6	2442	189	18082	2.1155961155961154	5.989180080436807E-4	9.9844587043596E-5	1.8953480868111328E-4
GOTERM_BP_DIRECT	GO:0045944~positive regulation of transcription from RNA polymerase II promoter	192	6.559617355654254	1.5154628156801512E-7	MEF2C, AKNA, RNASEL, NOG, HMGN3, PPP2R5B, TBK1, STAT5A, LMO4, IL18, ARNT2, XRCC6, MORF4L2, EDN1, TGFB3, FSTL3, FOXO1, TLR3, RORA, JAG1, ZIC1, FLCN, ZIC3, WNT2, APP, CDKN2A, GATA6, FOXF1, GATA3, GATA4, CREB3L2, CREB3L1, RAPGEF3, AKIRIN2, PITX2, EGFR, MTA2, ZFP467, EOMES, GRHL3, DLL1, GRHL1, DDIT3, HOXD9, HES1, HHEX, MSX1, HOXD8, SGSM1, ZFP462, PYGO1, VGLL2, MAPK7, SLC40A1, SMARCA2, WNT5A, CAMTA2, ONECUT2, TAF9B, TFEB, SOX5, CHCHD2, BEX2, IL33, SOX6, GREM1, SOX8, WT1, VDR, LHX2, P2RY1, HOXA10, RUNX2, NR1H4, TRP53, BMP4, IKZF4, BMP2, IKZF2, EPAS1, KLF9, MAFB, MAML1, SMAD3, SKI, TEAD3, DDX5, USF1, RBMX, DDX58, HOXB4, DLX6OS1, TNFSF11, ATF3, HDAC1, SFRP2, EBF3, HOXB5, EBF2, DLX5, TSC2, PPRC1, HOXB9, KLF2, KLF4, BMP6, FOSL2, FOXA2, TBX20, ZEB2, PAX3, GLI2, DAXX, EPCAM, FOS, HEY1, PAX9, PAX7, MKX, POU4F1, CDK5RAP3, USP16, MKL1, NRG1, MYB, CYS1, MYC, TNIP1, CHUK, NANOG, SSBP3, AR, FOXJ1, LDB1, OTX1, SOX11, SOX12, ESR1, DMRT2, CCNL2, MYCN, SENP2, NCK2, HOXC11, HOXC13, ZFPM2, ZFPM1, KDM6B, PEG3, ABLIM1, GLIS3, SBNO2, NDN, PPP3R1, NFYC, DCN, PAXBP1, TFAM, CHD7, HAND2, ZSCAN21, PER1, BCL3, ZC3H12A, POU3F1, BCAS3, BCL9, MAF, CEBPA, IL6, ZBTB7C, CREB3, CEBPD, IGF1, CREB5, IGF2, SUPT4A, STAT1, STAT3, PARK7, ATXN1, PLSCR1, IRF5, CDON, GSK3B, THRAP3, IRF1, SP7, JAK2, PBX1, BMPR1B, NFIA	2442	995	18082	1.428824713246824	9.309698952011392E-4	1.3304879348419174E-4	2.9466541736633545E-4
GOTERM_BP_DIRECT	GO:0030335~positive regulation of cell migration	56	1.9132217287324906	1.9740084143679773E-7	PDGFB, BCAR1, FAM110C, EDN1, MMP3, CXCL12, TGFB2, DAB2, CXCR4, FOXF1, SEMA3E, SEMA3D, SEMA3C, PDGFD, EGFR, IKBKAP, PLD1, IRS2, LYN, PDPN, ELP5, IRS1, DAPK3, MIEN1, SEMA4F, TRIM32, CEMIP, PDGFRA, SEMA4C, HAS2, WNT11, CTSH, SEMA4A, WNT5B, ONECUT2, ITGB3, KIT, RACK1, PRR5, PTK2B, HSPA5, FN1, BMP4, BMP2, MYO1C, PTPRZ1, PODXL, IGF1, SMAD3, SNAI2, EPHA1, KDR, PTP4A1, TCAF2, JAK2, ATP8A1	2442	203	18082	2.042644525403146	0.0012124900305504616	1.5164171264570037E-4	3.838245066334345E-4
GOTERM_BP_DIRECT	GO:0001649~osteoblast differentiation	37	1.2640929279125386	3.8128689099271175E-7	MEF2C, NOG, TNC, GJA1, GLI2, SOX8, LGR4, RACK1, SND1, COL6A1, CREB3L1, DDX21, RUNX2, BMP4, GTPBP4, BMP2, PHB, CCDC47, SMAD3, IGF1, IGF2, ACTN3, SNAI2, RBMX, EPHA2, RSL1D1, UFL1, SFRP1, DLX5, PSMC2, SP7, TMSB4X, WNT11, IGFBP3, CHRD, MYBBP1A, BMP6	2442	113	18082	2.4245105926521857	0.0023406460844547228	2.6034273589425894E-4	7.413697102554018E-4
GOTERM_BP_DIRECT	GO:0006351~transcription, DNA-templated	327	11.17184830884865	4.240522901465436E-7	MEF2C, PRR13, STAT5A, XRCC6, FSTL3, RORC, MED24, MED23, RORA, MED22, HMGN5, MED20, FOXF1, MAP3K9, PRIM2, TCEANC2, CREB3L2, CREB3L1, IKBKAP, MCRS1, ZFP467, EOMES, HES1, MSX1, ASCC2, ASCC3, PRDM6, MNT, VGLL2, MAD2L2, MYBBP1A, TFCP2L1, TAF9B, CHCHD2, HOXB13, ZFP618, AHRR, LHX1, LHX2, PIR, HOXA10, CASZ1, BCOR, MN1, NR1H4, HIP1, IKZF4, ZBTB48, IKZF2, ZBTB46, SMAD9, KLF9, SMAD6, MAML1, SMAD3, SKI, SMYD1, SMYD2, DDX5, USF1, ZFP809, DMTF1, DLX5, MLX, JAZF1, HOPX, PPRC1, KLF2, KLF4, ENY2, ZFP46, FOXA2, TBX20, CRCP, ZEB2, GLI2, DAXX, KCNIP3, MBTD1, RRN3, HIF1AN, HLX, ANP32A, USP16, MYB, MYC, SNAPC5, NFKBIZ, AR, POLR1E, POLR1D, SNAPC4, TLE4, POLR1B, ZFP37, MXD4, SENP2, MED7, MED8, NOL11, RIPPLY1, RIPPLY3, USP22, EEF1D, TBX18, POLR2H, POLR2G, MLF1, POLR2A, FSBP, TCEA3, ZSCAN21, PER2, GBX1, BCL3, ZSCAN25, PER1, BCAS3, TLX2, BRD2, POLR3H, POLR3K, ZFP57, AFF3, PPP1R10, MAPK11, PHF12, TRIM24, SNAI2, STAT1, STAT3, NKAPL, BRMS1, YAF2, JMJD6, BNC1, ZBTB5, PBX1, PHF5A, MMS19, AKNA, CNOT8, LMO4, MORF4L2, ARNT2, CBX4, FOXO1, ZIC1, ZIC3, FOXO6, HOXC6, IGHMBP2, GTF2E1, HOXC8, HOXC9, CDKN2A, SMARCD3, GATA6, MDFIC, GATA3, HOXC4, SND1, HOXC5, GATA4, DDX21, ATOH8, DNAJC2, AKIRIN2, SATB1, LBX1, VAX2, GRHL3, HES6, GRHL1, AHR, FOXN3, DDIT3, HOXD9, HHEX, RBPMS, HOXD8, HOXD4, ZFP263, NFE2L3, SMARCA1, SMARCA2, TSHZ3, CAMTA2, ONECUT2, SOX5, TFEB, IL33, SOX6, SP110, COMMD9, SOX8, WT1, NR2C1, COMMD10, ZC3H8, VDR, FOXQ1, TFDP2, NKX3-2, HOXA9, RUNX2, TRP53, EPAS1, MAFB, TAF5, KCTD1, SAP18, TEAD3, FOXP4, RBMX, ATF7IP2, FOXP2, HOXB3, TEFM, HOXB4, HOXB2, ATF3, ZFP579, HOXB7, HDAC1, HOXB8, EBF3, HOXB5, EBF2, PNRC2, HOXB6, HOXB9, DDX54, HDAC8, HDAC7, ZKSCAN7, POU6F1, ZKSCAN6, FOSL2, SUPT6, HR, PAWR, PAX3, CBFA2T3, FCOR, LBH, PAX9, HEY1, PAX7, POU4F1, MKL1, LOXL2, NFIL3, KDM5B, KDM5C, ZFP174, KMT5B, ZFP518A, SSBP3, NANOG, SP100, ZFP518B, FOXJ1, ARID5B, SOX11, ELP5, SOX12, CDK8, ESR1, RUNX1T1, DMRT2, FOXJ3, DAPK3, CCNL2, HOXC10, EYA4, HOXC12, HOXC11, C1QBP, HOXC13, MYRF, ERN1, ZFPM2, ZFPM1, CUX1, PEG3, DPF2, GLIS3, SBNO2, ZBTB8B, NDN, NFYC, WBSCR22, PAXBP1, TCF7L1, HIC1, TFAM, NPAS3, CHD7, HAND2, CHD1, ZFP521, POU3F1, HSPA8, TXNIP, MAF, CEBPA, COL4A2, CREB3, TRNP1, L3MBTL3, CEBPD, NFRKB, CREB5, SAP30BP, SUPT4A, SIRT7, ATXN1, RASL11A, IRF5, THRAP3, IRF1, MAMLD1, SP7, ID3, SP8, NFIA	2442	1885	18082	1.2845091534746707	0.002602832669691635	2.6058863368028096E-4	8.245219203062426E-4
