Category	Term	Count	%	PValue	Genes	List Total	Pop Hits	Pop Total	Fold Enrichment	Bonferroni	Benjamini	FDR
GOTERM_CC_DIRECT	GO:0005783~endoplasmic reticulum	149	14.50827653359299	6.646296148088621E-23	CAST, SLC36A1, PTGS2, WFS1, PTGS1, PDE3B, TPD52, SLC35A2, ERO1LB, PSKH1, INSIG2, DNAJB11, PLOD2, PGRMC1, CREB3L2, SLC8B1, DNAJC3, GOLT1B, SARAF, SLC33A1, RINT1, SMIM14, CHP1, POR, PNPLA8, NPC1, 0610009B22RIK, USO1, SURF4, LCLAT1, KDSR, STX5A, EIF2AK3, SUCO, TRAPPC2, GGCX, DERL2, SYVN1, CYP1B1, CRELD2, DERL1, FGFR3, ASS1, SLC38A9, PANX1, CALR, DERL3, MANF, IKBIP, TMEM50B, P3H1, MIA3, SERINC1, STX17, ZDHHC9, ENTPD5, PCYT1A, PCYT1B, ERO1L, TRAM1, ACER3, HERPUD1, GABARAPL1, MSMO1, TBL2, SEC11C, MAP2K1, CLCC1, SEC11A, HYOU1, TXNDC11, DNAJB9, YIPF5, SPCS2, YIPF4, TMEM119, ALG12, SEL1L, SLC27A1, OSBP, PDIA3, CYP2S1, ALG2, ALG5, 1600014C10RIK, BNIP3, PDIA6, PDIA4, ALG9, TMF1, FOS, TOR3A, CYP39A1, RNF103, P4HA2, P4HA1, HMOX1, P4HA3, ATP8B2, ZFYVE1, PIGA, TRPM4, KDELR3, SEC23A, SGK1, PIGU, SRPRB, RHBDD1, LPIN1, RNF170, UFL1, STOM, TMEM67, MAGT1, ZFYVE27, NUCB2, FKBP14, CLN8, PPP1R15A, SEC23B, SERP1, FKBP7, SLC37A3, APH1B, BET1, EDEM1, SEC62, ALDH3A2, ALDH3A1, SLC35B1, TMED4, INPP5K, SQSTM1, XBP1, SEC22A, SEC22B, HSPA5, CREB3, CYP4V3, AGTRAP, HSP90B1, SDF2L1, TMEM43, BNIP3L, MBOAT2, DUS2, MAPK8IP1, MGST1, ATP8A1	947	1323	19662	2.3383210376723724	3.462720293154171E-20	3.462720293154171E-20	9.62629613472552E-20
GOTERM_CC_DIRECT	GO:0016020~membrane	463	45.08276533592989	3.494602283646021E-18	LDHA, SGMS2, PTGS2, OSMR, RUSC1, PTGS1, PGAM1, ACBD5, TVP23B, ERO1LB, RAB27B, HIGD1A, IBTK, TMEFF2, LRRC1, LHFP, PIK3IP1, PTPRN, CCDC134, NPC1, SURF4, PMP22, EIF2AK3, GRB14, GGCX, CYP1B1, ERBB3, BC003331, TMEM50B, P3H1, GOLPH3L, ZDHHC9, FAM162A, ACER3, KIF3B, MAP2K1, CLCC1, TMEM120B, RGS2, AREG, PARP4, TMEM119, TMEM41B, KCNAB2, BNIP3, PDIA6, MMP24, MAP1LC3B, P4HA1, TMEM101, CLDND1, TRPV6, TMEM107, KDELR3, STX2, CLMN, SLC3A2, RNF170, ELMO2, ELMO1, SERPINB9, EPB41L3, CACFD1, EREG, CLIC4, CLIC5, VCAN, TMCO3, CLN8, PARVB, SNAP29, MFSD6, ALDH18A1, HK1, DGKA, SORBS1, DAPP1, DISP1, PTK2B, SLC4A8, ARMCX1, CERK, MTMR4, PRSS12, CNST, NTNG2, CYP4V3, APPL2, TTC17, CPT1A, TFRC, BNIP3L, GFRA1, CTNS, GRIK1, PDE3B, NFXL1, RELL1, ST3GAL1, SLC2A8, MFF, GHITM, IFT122, SLC2A4, PGRMC1, SLC2A1, PDE4B, SLC8B1, ANKZF1, DNAJC3, FNDC3A, PQLC2, PQLC3, ATG9A, GOLT1B, TMEM167B, SLC33A1, PDE4D, TMEM106B, PNPLA8, ANKRD13D, SCCPDH, PCMTD1, LCLAT1, BBS4, ARFGAP3, RAB7B, PANX1, STK10, OSCP1, IKBIP, SLCO2A1, MIA3, FICD, PDE6D, SLC48A1, APOBR, PCYT1A, SLC35F6, HERPUD1, VSTM5, MSMO1, B4GAT1, SEC11C, SEC11A, WIPI1, HERPUD2, NDUFV3, ATF4, DDX50, ADAM22, DNAJB4, SEL1L, RHOJ, IER3, SLC45A4, ALG2, CYP2S1, G6PDX, PINK1, RHOQ, ALG5, CHPF2, ALG9, ACOX3, TMF1, SLC1A4, SPRY2, TMEM230, TMEM231, RNF103, PEX2, HMOX1, ZFPL1, SLC43A3, EBAG9, ANO8, TRPM4, SEC23A, SGK1, LIMK1, STXBP1, SRPRB, HLTF, LPIN1, SLC7A11, DHRS7, UFL1, ZFYVE27, SLC41A2, SLC41A1, MFSD11, MFSD12, SEC23B, OSTC, SNX14, APH1B, PLPP1, SEC62, CDH5, ALDH3A2, SLC35B1, TMED4, AP3M2, INPP5K, HSPA2, SEC22A, SEC22B, KDM3A, HSPA5, INPP5B, SCNN1A, EHD3, VPS39, TMEM45A, CNNM2, CREB3, TSPAN15, HID1, TMEM55B, GDPD1, HSP90B1, TMEM263, INVS, HSDL2, SDF2L1, GGA2, SLC36A1, STARD3NL, AU040320, CHMP5, CNPPD1, RNF215, SLC35A2, CD47, PSKH1, DNAJB11, INSIG2, PLOD2, CREB3L2, TMUB2, RINT1, ABCC10, RAB18, HAS1, PARP14, VEGFA, RAB13, TMEM184C, ADD3, SUCO, TMX2, ALDOA, CLCN3, CLCN2, CRELD1, SFXN4, RFFL, PXK, CALR, NRN1, TMCC3, SERINC3, GPD1L, EPHB6, SERINC1, STX17, GYS1, TCTN3, SLC31A2, TRAM1, TRPC1, SASH1, ABR, LGALS3, IL1RL1, NDFIP1, EHBP1, LGALS8, MCAM, GPR153, TMEM39A, HYOU1, CD55, SEMA6C, TCTA, BET1L, ALG12, SLC27A1, RAB5B, ANPEP, VPS37C, SLC26A2, FAR1, CYP39A1, FANCI, GOLGA5, ATP6V0D1, GOLGA3, ZFYVE1, GOLGA2, ARRDC4, ARRDC3, RHBDD1, RAB11FIP5, CHMP1B, RAB11FIP3, DNAJC25, RAB5A, RAB11FIP1, SERP1, RAB3A, RAB3D, SLC39A13, ABCD1, BET1, EDEM1, TPCN2, PEX19, XBP1, RBSN, PLIN3, ABCD3, PEX13, NLGN2, AGTRAP, SLC16A3, DRAM2, COG6, FYN, KREMEN1, ABCC3, MBOAT2, ATP6V0A1, CHN2, PGK1, ATP6V0A4, CD14, ATP6V0A2, GOLGB1, VLDLR, CAST, PLXNA4, WFS1, SLC6A4, CNGB1, FOXO3, PI4K2B, GLT8D1, CPOX, RNF34, OMA1, SMIM19, FECH, MYO6, SARAF, MADD, SMIM14, CHP1, POR, LRP12, NBR1, USO1, KDSR, STX5A, EMP2, FGFR1, DERL2, FGFR3, SYVN1, DERL1, IL22RA1, SLC38A9, ITGB3, DERL3, BLOC1S6, PEF1, ENTPD7, HEG1, NDRG1, ERO1L, MFAP3L, SLC30A9, SLC30A6, RHEBL1, CSF1R, GABARAPL1, ADGRG1, KITL, RAB33B, SLC25A14, TXNDC11, ULK1, ULK2, YIPF3, SLC25A19, YIPF5, YIPF4, SPCS2, SLC25A16, PLEKHA2, PLEKHA1, ARL13B, PRPH, OSBP, CPT2, HELZ2, ADGRF4, 1600014C10RIK, WHAMM, TMEM175, PLEKHB2, FOS, HEATR5B, TMEM57, HPSE, PXMP4, GOPC, NIPAL3, ATP8B2, SV2C, SHC4, PIGA, VSIG10, PFKL, RAB39B, PIGU, PFKP, LMBRD1, IFNAR1, STOM, TMEM67, PRKD2, MAGT1, NUCB2, PPP1R15A, TNFRSF23, MAL2, ZC4H2, CD248, SLC37A3, GPRC5A, HECA, TMEM159, MTM1, TMEM154, SLC25A44, PLCD1, PIK3R4, STAMBP, NGEF, FAM174A, TMEM53, TMBIM1, SLC17A5, SLC6A9, SLC6A8, TMEM43, TMEM86A, MAPK8IP1, LIPE, MGST1, ATP8A1	947	6998	19662	1.3736774392925055	1.820687789779577E-15	9.103438948897884E-16	5.0614772056371685E-15
GOTERM_CC_DIRECT	GO:0005737~cytoplasm	439	42.745861733203505	1.7832456944907391E-16	KIFC2, LDHA, PTGS2, TUBB2A, RUSC1, PTGS1, PGAM1, MXI1, PGPEP1, MAP2K6, IBTK, LRRC1, KIF5C, MAPK9, EIF2AK3, GRB14, TRAPPC2, HSD17B11, GATSL2, 1810043G02RIK, DUSP10, CTIF, TTC41, P3H1, NPHP4, NAGA, ZDHHC9, FAM162A, KIF1BP, KIF3B, MAP2K1, CLCC1, NXF3, ENGASE, GAS7, FNIP1, CDC42BPG, RGS2, AREG, PARP4, MAP9, TMEM119, CREBRF, KCNAB2, PDIA3, VIPAS39, NAAA, BNIP3, MMP28, CFAP36, P4HA2, MAP1LC3B, EEF2K, MASTL, SIK3, CSDC2, ZFP354C, SRPK2, ARHGEF2, FBXL20, CLMN, TLE6, SLC3A2, ARHGEF9, ELMO2, JMY, ELMO1, ARHGEF11, SERPINB9, EPB41L3, FAM114A1, CLIC4, CLIC5, USP20, PARVB, SNAP29, ALDH18A1, CREM, MKNK1, TRIM16, WDR19, SORBS1, DAPP1, SNRK, PTK2B, PER2, TRP53INP2, TRP53INP1, PER1, CERK, MTMR4, TBC1D2, PDK2, CAPN5, AMACR, APPL2, TTC17, GLA, TFRC, DUSP1, RASSF2, AOX1, HSPA4L, AOX3, KATNAL1, DUSP8, GNPDA1, IMPACT, STK36, LZTFL1, IFT122, SLC2A4, OIP5, CDKN2D, SLC2A1, PDE4B, DNAJC3, ATG9A, STK25, RBL2, CHAC1, SIX5, PDE4D, GRHL3, RUBCN, TACC1, DDIT3, DDIT4, PNPLA8, ANKRD13D, MIB2, PCMTD2, PCMTD1, TESK2, NFE2L2, FBXO10, SRXN1, EID1, BBS4, ARFGAP3, ASS1, STK10, BEX2, SESN2, CCNG2, SESN3, GMPPB, PDE6D, OTUD7B, TUBE1, PCYT1A, ARL14EP, NR4A2, NR4A1, WIPI1, ATF4, CDKN1A, DNAJB9, CDKN1B, PLK3, IKBKG, FBXO32, DNAJB4, ALG2, G6PDX, RHOQ, PINK1, TMF1, TOR3A, CASP6, SPRY2, FRMD5, ALAS1, SGK1, SSBP2, LIMK1, STXBP1, STXBP4, SRPRB, HLTF, LPIN1, UFL1, CAPN10, ZFYVE27, ZFYVE26, ZFAND2A, UBC, TXNRD1, MAPRE3, ABLIM2, SHPK, EGLN1, KIF9, CALCOCO1, ALDH3A1, NGLY1, SERPINB9B, TSC22D3, TSPYL2, INPP5K, HSPA2, SEC22A, KDM3A, NEDD4L, HSPA5, NFATC2, INPP5B, EHD3, VPS39, GSTA4, CREB3, SCRN1, AHI1, RCAN1, RCAN3, HID1, DUBR, INVS, KDM4B, APAF1, KDM4A, GDF15, MOK, RAD51C, CHMP5, DZIP1, CHMP7, GPCPD1, TPD52, NOV, CRY2, PSKH1, DNAJB11, CRY1, PAN2, RINT1, UBR2, PIM2, VASH2, KRT18, PIAS3, HAS1, PARP14, CNTROB, VEGFA, FBXL4, PDE4DIP, RAB13, ADD3, NEK7, ALDOA, STK11IP, NEK1, PXK, RFFL, CALR, 2700097O09RIK, GPD1L, STX17, GYS1, IDH1, PLAT, TRPC1, UAP1, S100A16, LGALS3, KLF9, LGALS8, PTPN13, EHBP1, ETS2, KLF4, SLC27A1, CPEB2, CPEB3, ZFP438, ANPEP, CAMKK1, TRIM12C, BLZF1, FANCI, GSTZ1, FANCG, IP6K1, GOLGA3, TUBB3, GOLGA2, DSN1, MBD4, ARRDC3, RBBP9, RAB11FIP5, CHMP1B, RAB11FIP3, RIN2, RAB5A, NPPB, SIAH2, RAB11FIP1, GADD45A, KIZ, BCAT2, ABCD1, ABTB1, ATG13, KLC4, CEP128, FAM117B, IFT46, STK40, PEX19, XBP1, SQSTM1, PLIN3, PREPL, METTL7A1, AGL, ZFP703, NLGN2, SNAI2, STAT3, AGTRAP, STAT2, DNPEP, CAPRIN2, DRAM2, NUPR1, FYN, HELB, ATP6V0A1, CHN2, PGK1, ATP6V0A2, TOB1, CAST, STIL, PI4K2B, FOXO3, MAF1, CPOX, NQO1, RNF34, POC5, VMAC, C2CD3, MYO6, MADD, CHP1, ARNTL, METTL7B, NUMBL, NEBL, TRIM35, NDEL1, 0610009B22RIK, NBR1, USO1, ZFP260, EMP2, TRIM39, FGFR1, FGFR3, ITGB3, RRM2B, BLOC1S6, PEF1, NDRG4, NDRG1, MFAP3L, DDIAS, SLC30A9, RHEBL1, CFLAR, GABARAPL1, WDR7, AK1, ZMYM6, WRN, KITL, BRCA1, KCTD9, POC1A, ULK1, YIPF3, CIRBP, CCNDBP1, 3110043O21RIK, PLEKHA2, PLEKHA1, OSBP, IGFBP6, ESD, PDCD4, WHAMM, FOS, RMND5A, GOPC, MT2, MT1, KLHL24, ZFP365, PFKL, GPRASP1, PFKP, TBCEL, UBE2H, EML6, STOM, TMEM67, PRKD2, CTH, EML1, EVPL, BTG1, ZMIZ1, NUCB2, PPP1R15A, MDM1, PEG3, ZC4H2, CD248, SLC37A3, HCFC2, HECA, TRIB2, MTM1, ARHGAP44, KRT8, PLCD1, GLRX, TXNIP, STAMBP, NGEF, GORAB, SLC17A5, DUS2, TEP1, MAPK8IP1, LIPE	947	6631	19662	1.374558428245814	1.156852391659413E-13	3.852473895449293E-14	3.219646771412954E-13
GOTERM_CC_DIRECT	GO:0005789~endoplasmic reticulum membrane	79	7.6923076923076925	7.174068289849551E-12	OSBP, PTGS2, CYP2S1, PTGS1, ALG5, 1600014C10RIK, ALG9, ERO1LB, CYP39A1, PSKH1, RNF103, PGRMC1, HMOX1, CREB3L2, ATP8B2, SLC8B1, PIGA, SEC23A, KDELR3, SGK1, SLC33A1, SMIM14, RINT1, SRPRB, RHBDD1, LPIN1, POR, RNF170, TMEM67, UFL1, PNPLA8, SURF4, FKBP14, LCLAT1, KDSR, EIF2AK3, CLN8, PPP1R15A, SEC23B, SERP1, GGCX, DERL2, DERL1, FKBP7, CYP1B1, PANX1, TTC9, BET1, SEC62, ALDH3A2, IKBIP, TMED4, MIA3, NDRG4, STX17, SERINC1, ZDHHC9, SEC22A, SEC22B, PCYT1A, ERO1L, HSPA5, TRAM1, HERPUD1, MSMO1, SEC11C, CREB3, SEC11A, CYP4V3, GDPD1, AGTRAP, TXNDC11, HSP90B1, SDF2L1, YIPF5, MAPK8IP1, TMEM119, ALG12, MGST1	947	710	19662	2.3101833811740558	3.737674392212398E-9	9.344185425419482E-10	1.039066610530881E-8
GOTERM_CC_DIRECT	GO:0005829~cytosol	147	14.313534566699124	7.81744997845514E-11	CAST, STIL, LDHA, CHMP5, SLC6A4, PGAM1, PDE3B, FOXO3, MAF1, GPCPD1, PGPEP1, CRY2, SLC2A4, SLC2A1, PDE4B, CRY1, RNF34, NQO1, DNAJC3, FNDC3A, MAP2K6, MADD, CHAC1, NCALD, CHP1, ARNTL, DDIT4, NBR1, USO1, MAPK9, NFE2L2, STX5A, EMP2, TRIM39, SRXN1, FGFR1, ARFGAP3, GATSL2, GCLC, RFFL, CALR, VDR, TPI1, PDE6D, NDRG4, STX17, IDH1, PCYT1A, NDRG1, SLC30A6, KIF3B, GABARAPL1, UAP1, ABR, S100A16, MAP2K1, LGALS8, BPGM, ENGASE, WIPI1, CDKN1A, CDKN1B, RGS2, ULK1, IKBKG, BET1L, DNAJB2, DNAJB4, CDK19, OSBP, KCNAB2, G6PDX, PINK1, PDCD4, FOS, SPRY2, CASP6, MAP1LC3B, HMOX1, MT2, GSTZ1, MT1, GOLGA3, TRPM4, SUOX, PFKL, TLE6, PFKP, STXBP1, ARHGEF10, ELMO2, UFL1, SERPINB9, CTH, CHMP1B, EML1, CAPN10, CLIC4, RAB5A, UBC, TXNRD1, SIAH2, WDR45, RAB3A, ATG13, UGDH, HK1, EGLN1, KIF9, ALDH3A2, ALDH3A1, NGLY1, DGKA, MTHFR, SORBS1, PEX19, INPP5K, HSPA2, XBP1, RBSN, PER2, TRP53INP2, PER1, TRP53INP1, PREPL, PLCD1, NFATC2, SCNN1A, INPP5B, EHD3, GLRX, TXNIP, NGEF, MAT2A, STAT3, MON2, HSP90B1, FYN, BNIP3L, AOX1, HSPA4L, DUS2, AOX3, APAF1, MAPK8IP1, PGK1, LIPE	947	1784	19662	1.7108037654902666	4.072889647765976E-8	8.145779384349794E-9	1.1322555115711452E-7
GOTERM_CC_DIRECT	GO:0005768~endosome	63	6.134371957156767	2.5300198676832E-10	STARD3NL, RAB5B, CHMP5, VIPAS39, RUSC1, SLC6A4, VPS37C, ZFYVE21, PLEKHB2, TMEM175, TMEM230, SLC2A4, ATG9A, ARRDC4, PTPRN, ARRDC3, RUBCN, IFNAR1, RAB11FIP5, ANKRD13D, TMEM106B, NPC1, RAB11FIP3, CHMP1B, ZFYVE27, MIB2, RAB5A, RAB13, RAB11FIP1, GRB14, RAB3A, RAB7B, CLCN3, SLC38A9, SNX14, RFFL, BLOC1S6, MTM1, SLC48A1, SQSTM1, ARHGAP44, RBSN, PLIN3, DOPEY2, PRSS16, PIK3R4, INPP5B, EHD3, VPS39, STAMBP, NDFIP1, TMBIM1, APPL2, WIPI1, TMEM55B, CDKN1B, TFRC, FYN, BET1L, ATP6V0A4, GGA2, 3110043O21RIK, ATP6V0A2	947	544	19662	2.4044699981365305	1.3181400870809767E-7	2.1969002617083788E-8	3.6644044465461434E-7
GOTERM_CC_DIRECT	GO:0005794~Golgi apparatus	106	10.321324245374878	9.204508742519714E-10	SGMS2, AU040320, RUSC1, PTGS1, PDE3B, SLC35A2, GLT8D1, ST3GAL1, PSKH1, RAB27B, FNDC3A, ATG9A, MYO6, STK25, CHAC1, TMEM167B, GOLT1B, SIX5, PTPRN, ESCO2, RUBCN, PNPLA8, TRAPPC11, NPC1, 0610009B22RIK, USO1, SURF4, PDE4DIP, RAB13, STX5A, EMP2, GRB14, TRAPPC2, ARFGAP3, RAB7B, CLCN3, FGFR3, CRELD2, DUSP10, PRRC1, CALR, SERINC3, ZDHHC9, GOLPH3L, SLC30A6, ACER3, GABARAPL1, MAP2K1, B4GAT1, CLCC1, NDFIP1, WIPI1, RAB33B, PLK3, ARF2, YIPF3, BET1L, YIPF5, YIPF4, OSBP, IGFBP6, WHAMM, MMP24, TMF1, BLZF1, TMEM230, GOPC, ZFPL1, ATP8B2, GOLGA5, GOLGA3, ZFYVE1, GOLGA2, EBAG9, TRPM4, SEC23A, ARHGEF2, RAB39B, LIMK1, RAB11FIP5, PRKD2, CLIC5, NUCB2, PPP1R15A, SEC23B, SNAP29, SLC39A13, BET1, AP3M2, SEC22B, PREPL, CNST, CBY1, TMBIM1, HID1, GORAB, AGTRAP, DRAM2, COG6, GLA, TMEM43, ATP6V0A1, GGA2, CD14, ATP8A1, GOLGB1	947	1190	19662	1.849424542784379	4.795547658975607E-7	6.850783773604263E-8	1.333153376581464E-6
GOTERM_CC_DIRECT	GO:0043231~intracellular membrane-bounded organelle	70	6.815968841285297	1.8634616641245045E-7	SLC27A1, PTGS2, CYP2S1, PTGS1, G6PDX, MAF1, ACBD5, NOV, CYP39A1, P4HA2, SLC2A4, HPSE, P4HA1, PGRMC1, HMOX1, PQLC2, GTPBP2, MYO6, ZFP326, SIX5, ARNTL, SLC7A11, POR, RUBCN, RAB11FIP5, TMEM106B, CAPN10, RAB11FIP3, ZMIZ1, VCAN, SIAH2, SMARCA2, RAB11FIP1, SEC23B, GRB14, CROT, GGCX, HSD17B11, KMT2E, STK11IP, CYP1B1, SFXN4, CALR, GPRC5A, ALDH3A2, CALCOCO1, ALDH3A1, VDR, MIA3, PEX19, RBSN, PLIN3, CHD2, ABCD3, PEX13, SEC11C, CLCC1, SEC11A, CPT1A, AGTRAP, DRAM2, TFRC, FYN, YIPF3, ATP6V0A1, SPCS2, YIPF4, CTNS, MGST1, ATP8A1	947	751	19662	1.9352443837642737	9.708164900490424E-5	1.2135721578210301E-5	2.6989786305886554E-4
GOTERM_CC_DIRECT	GO:0005765~lysosomal membrane	31	3.0185004868549172	9.90446053653602E-7	SLC36A1, STARD3NL, STK11IP, SLC38A9, SNX14, TLDC1, ANPEP, TPCN2, SLC2A8, TMEM175, SLC48A1, HPSE, ATP6V0D1, SLC35F6, PQLC2, VPS39, ABCC10, GPR137B, TMBIM1, LMBRD1, TMEM55B, TMEM106B, NPC1, DRAM2, SLC17A5, ZFYVE26, GNB4, MFSD12, CTNS, ATP6V0A4, ATP6V0A2	947	234	19662	2.750575366203666	5.158895326914381E-4	5.733420627385133E-5	0.0014345227989487341
GOTERM_CC_DIRECT	GO:0031410~cytoplasmic vesicle	60	5.8422590068159685	1.7692914962216783E-6	SLC27A1, AU040320, VIPAS39, RUSC1, ESD, ZFYVE21, WHAMM, SLC2A8, MFF, TMEM230, MAP1LC3B, TICAM1, SV2C, FNDC3A, ARHGEF2, ATG9A, MYO6, STX2, ARRDC4, PTPRN, ARRDC1, STOM, RAB11FIP5, CLIC4, NBR1, RAB5A, RAB13, EMP2, RAB11FIP1, SNAP29, FGFR1, RAB7B, CLCN3, FGFR3, IL33, RFFL, PDE6D, AP3M2, SQSTM1, STX17, ENTPD7, TRP53INP2, TRP53INP1, PRSS16, PIK3R4, INPP5B, PRSS12, EHD3, TBC1D2, GABARAPL1, CNST, WIPI1, AGTRAP, SLC17A5, TFRC, ULK2, ATP6V0A1, YIPF5, 3110043O21RIK, ATP8A1	947	646	19662	1.9283969909866907	9.213769563308771E-4	9.217592003774033E-5	0.0025625582058985685
