Category	Term	Count	%	PValue	Genes	List Total	Pop Hits	Pop Total	Fold Enrichment	Bonferroni	Benjamini	FDR
REACTOME_PATHWAY	R-MMU-73762:R-MMU-73762	15	1.4312977099236641	2.425544226444566E-7	POLR2H, POLR2F, POLR1E, POLR1D, MTA2, TAF1D, POLR1A, MBD3, POLR1B, CD3EAP, UBTF, RRN3, GATAD2A, CHD4, ERCC2	442	47	7575	5.469577356310773	1.2903064333402714E-4	1.2903064333402714E-4	3.5233355192287874E-4
REACTOME_PATHWAY	R-MMU-72163:R-MMU-72163	29	2.767175572519084	6.46228251256476E-7	NCBP2, POLR2H, SRSF1, POLR2F, CHERP, U2AF2, XAB2, SF3B4, SF3B3, HNRNPL, PRPF19, HNRNPM, SRRT, HNRNPK, DDX23, PCBP1, SNRNP70, EFTUD2, PTBP1, ELAVL1, PRPF3, HNRNPA1, SF3A1, HNRNPU, HNRNPA0, SRSF2, EIF4A3, SNRPA, CSTF1	442	173	7575	2.872845447649936	3.437344505189399E-4	1.718819969699359E-4	9.387059243137763E-4
REACTOME_PATHWAY	R-MMU-390471:R-MMU-390471	7	0.6679389312977099	9.542550808617506E-7	CCT7, CCT5, TCP1, CCT4, CCT8, CCT2, CCT3	442	8	7575	14.995757918552037	5.0753510569157E-4	1.6920699795719418E-4	0.0013861403148740514
REACTOME_PATHWAY	R-MMU-73817:R-MMU-73817	8	0.7633587786259541	1.3271373428446766E-6	ADSS, ATIC, ADSL, GMPS, PFAS, IMPDH2, PPAT, GART	442	12	7575	11.425339366515837	7.057883490216854E-4	1.7649380685369476E-4	0.0019277800790029609
REACTOME_PATHWAY	R-MMU-73772:R-MMU-73772	11	1.049618320610687	4.226163444274506E-6	POLR2H, CD3EAP, POLR2F, RRN3, UBTF, POLR1E, POLR1D, TAF1D, POLR1A, POLR1B, ERCC2	442	30	7575	6.28393665158371	0.002245798116663811	4.4956365661597E-4	0.006138742167127731
REACTOME_PATHWAY	R-MMU-1650814:R-MMU-1650814	15	1.4312977099236641	9.213080030981379E-6	COL18A1, COL4A2, COL4A1, ADAMTS14, COL3A1, CRTAP, COL16A1, COL5A2, PCOLCE, P3H2, COL27A1, COL6A2, COL6A1, COL8A1, COL8A2	442	62	7575	4.146292512042037	0.004889388987045273	8.165632897524366E-4	0.013382070100775856
REACTOME_PATHWAY	R-MMU-186797:R-MMU-186797	10	0.9541984732824428	2.490888638248878E-5	COL4A2, COL4A1, PDGFA, COL3A1, COL6A2, COL6A1, THBS1, COL5A2, FURIN, SPP1	442	29	7575	5.9096582930254336	0.013164275487872357	0.001891308161079297	0.036176510133067996
REACTOME_PATHWAY	R-MMU-73863:R-MMU-73863	10	0.9541984732824428	4.5168139767251096E-5	POLR2H, CD3EAP, POLR2F, UBTF, POLR1E, POLR1D, TAF1D, POLR1A, POLR1B, ERCC2	442	31	7575	5.528390016056051	0.023743571594278534	0.002999242390994583	0.06559112220735352
REACTOME_PATHWAY	R-MMU-5663220:R-MMU-5663220	19	1.8129770992366412	6.448586786979082E-5	FMNL1, ACTB, PPP2R1B, NUP133, PPP2R1A, XPO1, KIF18A, CDC20, RANGAP1, SRF, SRC, PFN1, CDCA8, RCC2, PLK1, CENPA, INCENP, BUB1B, NUDC	442	111	7575	2.9335330805919044	0.03372575533871436	0.003804697936326984	0.09363121780563421
REACTOME_PATHWAY	R-MMU-5250924:R-MMU-5250924	13	1.2404580152671756	6.976843072729777E-5	KAT2A, POLR2H, ACTB, POLR2F, MYO1C, POLR1E, POLR1D, TAF1D, POLR1A, POLR1B, CD3EAP, DDX21, MYBBP1A	442	56	7575	3.9784663865546217	0.03643766808014037	0.0037049297483990884	0.10129769511498798
REACTOME_PATHWAY	R-MMU-450604:R-MMU-450604	7	0.6679389312977099	1.199831010552547E-4	DIS3, AKT1, EXOSC5, EXOSC2, KHSRP, EXOSC3, EXOSC1	442	15	7575	7.997737556561085	0.06184006619621185	0.005786361367069892	0.17414588899791195
REACTOME_PATHWAY	R-MMU-450385:R-MMU-450385	7	0.6679389312977099	1.826020756096098E-4	DIS3, AKT1, EXOSC5, EXOSC2, EXOSC3, EXOSC1, MAPKAPK2	442	16	7575	7.497878959276019	0.0925829978212992	0.00806341275630107	0.26492014139799513
REACTOME_PATHWAY	R-MMU-72649:R-MMU-72649	12	1.1450381679389312	2.251083562120459E-4	EIF4B, EIF4G1, EIF3D, EIF4E, EIF3B, EIF3G, EIF2S1, EIF4H, EIF3E, EIF4A1, EIF3L, EIF3M	442	54	7575	3.808446455505279	0.11287654768967503	0.009170852444090327	0.3264946573557026
REACTOME_PATHWAY	R-MMU-72702:R-MMU-72702	12	1.1450381679389312	2.669327829797144E-4	EIF4B, EIF4G1, EIF3D, EIF4E, EIF3B, EIF3G, EIF2S1, EIF4H, EIF3E, EIF4A1, EIF3L, EIF3M	442	55	7575	3.7392019744960923	0.1324023401020934	0.010093514893335431	0.3870468888938161
REACTOME_PATHWAY	R-MMU-72662:R-MMU-72662	5	0.4770992366412214	3.445376805322139E-4	EIF4B, EIF4G1, EIF4E, EIF4H, EIF4A1	442	7	7575	12.241435035552682	0.16750297370377898	0.012147326861745689	0.4993103486657269
REACTOME_PATHWAY	R-MMU-216083:R-MMU-216083	14	1.3358778625954197	4.430252640119668E-4	COL18A1, VCAM1, COL4A2, COL4A1, COL3A1, COL6A2, COL6A1, ITGA3, THBS1, COL16A1, COL8A1, COL8A2, COL5A2, SPP1	442	77	7575	3.11600164541341	0.2100152709840647	0.014625841906161563	0.6416131330517438
REACTOME_PATHWAY	R-MMU-2022090:R-MMU-2022090	11	1.049618320610687	7.007689657806401E-4	COL18A1, COL4A2, COL4A1, COL27A1, COL3A1, COL6A2, COL6A1, LAMC2, COL8A1, COL8A2, COL5A2	442	52	7575	3.6253480682213715	0.31129329267813555	0.021698754079759075	1.0131255632172875
REACTOME_PATHWAY	R-MMU-72165:R-MMU-72165	11	1.049618320610687	9.549494553514901E-4	SRSF1, POLR2H, NCBP2, SRSF2, SNRNP48, POLR2F, DDX23, EFTUD2, SF3B4, PDCD7, SF3B3	442	54	7575	3.4910759175465054	0.3984681763141731	0.02784259325993932	1.378234827534175
REACTOME_PATHWAY	R-MMU-68877:R-MMU-68877	14	1.3358778625954197	0.0019885603496832445	PPP2R1B, PPP2R1A, XPO1, NUP133, KIF18A, CDC20, RANGAP1, CDCA8, RCC2, PLK1, CENPA, INCENP, BUB1B, NUDC	442	90	7575	2.665912518853695	0.6531862426993589	0.054210380791154145	2.850052594929997
REACTOME_PATHWAY	R-MMU-429958:R-MMU-429958	5	0.4770992366412214	0.0026933506847870462	DIS3, EXOSC5, EXOSC2, EXOSC3, EXOSC1	442	11	7575	7.7900041135335245	0.7618359689787896	0.06922693164064386	3.8418877222263337
REACTOME_PATHWAY	R-MMU-176417:R-MMU-176417	4	0.38167938931297707	0.0034339704646520353	FZR1, PLK1, FBXO5, CDC20	442	6	7575	11.425339366515837	0.8395890308069823	0.08345455590758377	4.873979108515369
REACTOME_PATHWAY	R-MMU-73777:R-MMU-73777	10	0.9541984732824428	0.004107643673711038	POLR2H, CD3EAP, POLR2F, UBTF, POLR1E, POLR1D, TAF1D, POLR1A, POLR1B, ERCC2	442	55	7575	3.11600164541341	0.8880571617567947	0.09474160761052974	5.803809265117488
REACTOME_PATHWAY	R-MMU-419037:R-MMU-419037	7	0.6679389312977099	0.0047332541008531645	NCAM1, COL4A2, COL4A1, COL3A1, COL6A2, COL6A1, COL5A2	442	28	7575	4.284502262443438	0.9198671531729995	0.1039348435516988	6.6597156760855425
REACTOME_PATHWAY	R-MMU-2500257:R-MMU-2500257	14	1.3358778625954197	0.005525543035735784	PPP2R1B, PPP2R1A, XPO1, NUP133, KIF18A, CDC20, RANGAP1, CDCA8, RCC2, PLK1, CENPA, INCENP, BUB1B, NUDC	442	101	7575	2.375565610859728	0.9475418908489246	0.11557937956282816	7.7332652149971315
REACTOME_PATHWAY	R-MMU-1442490:R-MMU-1442490	11	1.049618320610687	0.005605489172680466	COL18A1, COL4A2, COL4A1, COL3A1, COL6A2, COL6A1, COL8A1, COL8A2, COL5A2, FURIN, MMP2	442	68	7575	2.7723249933457543	0.9497381896273561	0.1127428147002506	7.840951009578745
REACTOME_PATHWAY	R-MMU-446353:R-MMU-446353	4	0.38167938931297707	0.0057510450527523274	ACTB, FERMT2, FBLIM1, VASP	442	7	7575	9.793148028442147	0.9535039384325389	0.11131719799938089	8.036711327135237
REACTOME_PATHWAY	R-MMU-69273:R-MMU-69273	6	0.5725190839694656	0.0075427616518173035	PPP2R1B, XPO1, PPP2R1A, PLK1, CCNA2, CDC25A	442	22	7575	4.674002468120115	0.9821893615898223	0.1385891228402928	10.414913810675763
REACTOME_PATHWAY	R-MMU-159236:R-MMU-159236	11	1.049618320610687	0.007623278890878175	SRSF1, NCBP2, SRSF2, DDX39, NUP133, EIF4A3, POM121, U2AF2, DDX39B, NUP93, THOC3	442	71	7575	2.655184500669173	0.9829417583333019	0.13532123199670387	10.52043022678224
REACTOME_PATHWAY	R-MMU-450520:R-MMU-450520	4	0.38167938931297707	0.008807207650293409	PRKCA, XPO1, SET, ELAVL1	442	8	7575	8.569004524886878	0.9909608417051285	0.14979891494537723	12.058647431549574
REACTOME_PATHWAY	R-MMU-429947:R-MMU-429947	6	0.5725190839694656	0.011062108651672328	EIF4B, TNKS1BP1, EIF4G1, EIF4A3, EIF4E, EIF4A1	442	24	7575	4.284502262443438	0.9973089783161272	0.1790237884985708	14.920441088959969
