Category	Term	Count	%	PValue	Genes	List Total	Pop Hits	Pop Total	Fold Enrichment	Bonferroni	Benjamini	FDR
UP_KEYWORDS	Phosphoprotein	514	50.04868549172347	5.595418379532064E-31	LDHA, TUBB2A, RUSC1, PGAM1, ACBD5, HIGD1A, MAP2K6, IBTK, VWA5A, LRRC1, KIF5C, SIPA1L2, ZHX3, PTPRN, WDR90, CCDC130, MAPK9, FCHSD1, EIF2AK3, GRB14, ERBB3, PRRC1, CTIF, MANF, NPHP4, GOLPH3L, NAGA, KIF1BP, DHX57, MAP2K1, CLCC1, TFCP2, GAS7, FNIP1, CDC42BPG, RGS2, FAM214B, TRAFD1, TMEM119, MAP9, ACAD11, TMEM41B, KCNAB2, PDIA3, VIPAS39, CCDC186, BNIP3, PDIA6, KHNYN, RNF181, CFAP36, STAC2, MAP1LC3B, TICAM1, EEF2K, TRPV6, MASTL, SIK3, CSDC2, SRPK2, INTS6L, ARHGEF2, CLMN, FBXL20, TLE6, SLC3A2, ARHGEF9, ELMO2, ARHGEF10, ELMO1, JMY, GNAL, EPB41L3, FAM114A1, CLIC4, USP20, VCAN, GNB4, PARVB, SNAP29, MFSD6, CREM, UGDH, MKNK1, HK1, SORBS1, SNRK, DAPP1, PTK2B, PER2, TRP53INP2, PER1, CERK, MTMR4, TBC1D2, PDK1, PDK2, MAT2A, 4931406C07RIK, SPTY2D1, PHF10, SGTB, CPT1A, GLA, TFRC, DUSP1, AOX1, BNIP3L, RASSF2, HSPA4L, AOX3, KATNAL1, GNPDA1, GRIK1, FAM219A, IMPACT, PDE3B, RELL1, MFF, AKAP17B, SLC2A4, OIP5, PGRMC1, SLC2A1, DNAJC3, ANKZF1, FNDC3A, ATG9A, STK25, RBL2, SLC33A1, PDE4D, TACC1, DDIT3, RUBCN, DDIT4, TMEM106B, SCCPDH, ANKRD13D, MIB2, TESK2, NFE2L2, SMARCA2, SRXN1, FBXO10, ARFGAP3, RAB7B, ASS1, STK10, TTC9, CTPS2, SESN2, MIA3, APOBR, OTUD7B, PCYT1A, DOPEY2, PCYT1B, SLC35F6, ARL14EP, HERPUD1, NR4A1, BPGM, NDUFV3, ATF4, ZC2HC1A, CDKN1A, ATF3, DNAJB9, CDKN1B, PLK3, DYRK1B, CDKN2AIP, IKBKG, DDX50, HIVEP2, ADAM22, DNAJB4, SEL1L, IER3, FOSL2, SLC45A4, G6PDX, PINK1, TMF1, ACOX3, SLC1A4, CASP6, TMEM230, FRMD5, DCAF11, HMOX1, ZFPL1, AI597479, EBAG9, ANO8, TRPM4, SEC23A, SGK1, SSBP2, LIMK1, LRIF1, ARID5B, ARID5A, STXBP1, RB1, SRPRB, STXBP4, HLTF, LPIN1, SLC7A11, UFL1, ZFYVE27, ZFYVE26, SLC41A2, UBC, SLC41A1, TXNRD1, MFSD11, CHFR, MAPRE3, KMT2E, ABLIM2, SNX14, CRLF1, CABP1, EGLN1, KIF9, SEC62, ALDH3A2, CALCOCO1, CDH5, TSC22D3, TSPYL2, HSPA2, SEC22A, CHD2, SEC22B, KDM3A, NEDD4L, HSPA5, NFATC2, EHD3, CNNM2, AHI1, RCAN1, HID1, TMEM55B, HSP90B1, DBP, SDF2L1, KDM4A, ALKBH5, MOCOS, RAD51C, MOK, STARD3NL, AU040320, CHMP5, CHMP7, TPD52, GPCPD1, CD47, PSKH1, CRY2, DNAJB11, PLOD2, CREB3L2, BSDC1, PELI3, CRY1, PAN2, SLC12A6, ZFP326, ABCC10, PIM2, VASH2, ESCO2, TRAPPC12, KRT18, RAB18, PIAS3, PARP14, CNTROB, PDE4DIP, RAB13, ADD3, SUCO, NEK7, TMX2, ALDOA, STK11IP, CLCN2, PFKFB4, NEK1, RFFL, TMCC3, DENND2C, GPD1L, TPI1, SERINC1, STX17, POLM, GYS1, IDH1, SLC31A2, TRAM1, MOCS1, TRPC1, SASH1, OSBPL2, ABR, LGALS3, KLF9, EHBP1, PTPN13, CSRP1, MCAM, HYOU1, ETS2, BET1L, KAT6B, KLF4, 6430548M08RIK, KLF3, CPEB2, CPEB3, ANPEP, VPS37C, SLC26A2, CAMKK1, BLZF1, FANCI, NARF, DNAJC12, MTBP, GSTZ1, IP6K1, GOLGA5, ATP6V0D1, TUBB3, GOLGA3, GOLGA2, DSN1, MBD4, RBBP9, RAB11FIP5, RAB11FIP3, RIN2, SIAH2, RAB11FIP1, GADD45A, RAB3A, KIZ, YPEL5, ATG13, BET1, KLC4, CEP128, FAM117B, IFT46, PEX19, SQSTM1, XBP1, RBSN, PLIN3, ABCD3, PREPL, PEX13, SPATA6, ZFP703, NLGN2, STAT3, AGTRAP, CAPRIN2, DNPEP, STAT2, SLC16A3, NUPR1, FYN, HELB, TOM1L2, GFPT1, ABCC3, PHF21A, ATP6V0A1, PGK1, ATP6V0A2, TOB1, CAST, STIL, WFS1, SLC6A4, FOXO3, PI4K2B, MAF1, GATA2, CPOX, NQO1, RNF34, POC5, ALDH6A1, SATB1, C2CD3, MYO6, MADD, CHP1, ARNTL, NUMBL, NEBL, TRIM35, NDEL1, NBR1, USO1, 5730455P16RIK, FGFR1, CCDC18, PPME1, FGFR3, SYVN1, DERL1, GCLC, SLC38A9, ITGB3, GCLM, BLOC1S6, NDRG4, HEG1, NDRG1, ERO1L, MFAP3L, CREBL2, CSF1R, TBL2, WDR7, AK1, WRN, BRCA1, KCTD9, TXNDC11, TBC1D23, ULK1, ULK2, CIRBP, HOXB9, DNAL1, PHF8, CCNDBP1, PLEKHA2, PLEKHA1, ARL13B, CDK19, PRPH, OSBP, PRRX1, PDCD4, WHAMM, TMEM175, FOS, TMEM57, HEATR5B, RSPRY1, GOPC, NIPAL3, MT2, ATP8B2, SHC4, PIGA, SUOX, ZFP365, PFKL, RAB39B, MPP2, GPRASP1, PFKP, TBCEL, LMBRD1, IFNAR1, STOM, PRKD2, EVPL, BTG1, NUCB2, ZADH2, IRGQ, PPP1R15A, MDM1, CD248, GPRC5A, ARHGAP39, MTM1, ARHGAP44, TMEM154, KRT8, PLCD1, PIK3R3, PIK3R4, TXNIP, STAMBP, NGEF, CENPQ, TMBIM1, CBY1, MON2, RUFY2, SLC6A9, GMCL1, SLC6A8, DUS2, MAPK8IP1, HIBCH, LIPE, TCP11L2, ATP8A1	1012	7617	22680	1.5123130546868067	1.9751826879748186E-28	1.9751826879748186E-28	7.662445668693073E-28
UP_KEYWORDS	Endoplasmic reticulum	123	11.976630963972736	8.502478532213369E-25	PTGS2, WFS1, PTGS1, ERO1LB, PSKH1, INSIG2, DNAJB11, PLOD2, PGRMC1, CREB3L2, DNAJC3, SLC8B1, SLC33A1, SARAF, SMIM14, RINT1, CHP1, POR, PNPLA8, SURF4, LCLAT1, KDSR, EIF2AK3, SUCO, GGCX, DERL2, DERL1, CYP1B1, CRELD2, FGFR3, SYVN1, PANX1, CALR, DERL3, IKBIP, P3H1, MIA3, SERINC1, STX17, ZDHHC9, ENTPD5, ERO1L, PCYT1B, TRAM1, ACER3, HERPUD1, GABARAPL1, MSMO1, SEC11C, CLCC1, SEC11A, HYOU1, TXNDC11, DNAJB9, YIPF5, SPCS2, TMEM119, ALG12, SEL1L, OSBP, PDIA3, CYP2S1, ALG5, PDIA6, 1600014C10RIK, PDIA4, ALG9, FOS, TOR3A, CYP39A1, RNF103, P4HA2, P4HA1, HMOX1, P4HA3, ATP8B2, ZFYVE1, PIGA, TRPM4, SEC23A, KDELR3, SGK1, PIGU, SRPRB, RHBDD1, LPIN1, RNF170, TMEM67, UFL1, MAGT1, ZFYVE27, NUCB2, FKBP14, CLN8, PPP1R15A, SEC23B, SERP1, FKBP7, SLC37A3, BET1, EDEM1, SEC62, ALDH3A2, SLC35B1, TMED4, INPP5K, SQSTM1, XBP1, SEC22A, SEC22B, HSPA5, CREB3, CYP4V3, AGTRAP, HSP90B1, SDF2L1, TMEM43, BNIP3L, MBOAT2, DUS2, MAPK8IP1, MGST1, ATP8A1	1012	997	22680	2.7648558323190917	3.001374921871319E-22	1.5006874609356595E-22	1.1643415270005695E-21
UP_KEYWORDS	Cytoplasm	308	29.990262901655306	4.91292878708419E-18	KIFC2, MOK, RAD51C, LDHA, CHMP5, TUBB2A, RUSC1, DZIP1, CHMP7, GPCPD1, NOV, PGPEP1, CRY2, PSKH1, CRY1, MAP2K6, PAN2, IBTK, RINT1, LRRC1, KIF5C, KRT18, PIAS3, PARP14, CNTROB, MAPK9, FBXL4, PDE4DIP, ADD3, GRB14, TRAPPC2, NEK7, HSD17B11, ALDOA, GATSL2, STK11IP, 1810043G02RIK, NEK1, DUSP10, PXK, RFFL, CTIF, TTC41, GPD1L, NPHP4, STX17, IDH1, KIF1BP, UAP1, KIF3B, MAP2K1, LGALS3, EHBP1, LGALS8, PTPN13, ENGASE, GAS7, FNIP1, CDC42BPG, RGS2, TMEM119, MAP9, SLC27A1, CPEB2, KCNAB2, VIPAS39, CPEB3, CAMKK1, CFAP36, BLZF1, MAP1LC3B, GSTZ1, MASTL, IP6K1, SIK3, GOLGA3, TUBB3, CSDC2, GOLGA2, SRPK2, ARHGEF2, FBXL20, CLMN, TLE6, ARHGEF9, ARRDC3, RBBP9, ELMO2, JMY, ELMO1, EPB41L3, RAB11FIP5, CHMP1B, RAB11FIP3, FAM114A1, CLIC4, CLIC5, RIN2, RAB5A, USP20, SIAH2, PARVB, SNAP29, KIZ, CREM, ATG13, ABTB1, KLC4, TRIM16, CEP128, WDR19, IFT46, SORBS1, DAPP1, STK40, PEX19, XBP1, SQSTM1, PTK2B, PLIN3, TRP53INP2, PER2, TRP53INP1, PREPL, PER1, CERK, MTMR4, TBC1D2, ZFP703, SNAI2, TTC17, STAT3, CAPRIN2, STAT2, DNPEP, FYN, HELB, AOX1, RASSF2, HSPA4L, AOX3, PGK1, KATNAL1, DUSP8, TOB1, STIL, GNPDA1, STK36, IMPACT, PI4K2B, FOXO3, MAF1, LZTFL1, IFT122, SLC2A4, CDKN2D, RNF34, NQO1, POC5, VMAC, C2CD3, MYO6, STK25, MADD, CHAC1, CHP1, PDE4D, ARNTL, DDIT3, TACC1, NUMBL, DDIT4, NEBL, PNPLA8, TRIM35, NDEL1, MIB2, NBR1, 0610009B22RIK, PCMTD2, USO1, PCMTD1, NFE2L2, EMP2, SRXN1, FBXO10, TRIM39, FGFR1, EID1, BBS4, ARFGAP3, BEX2, RRM2B, SESN2, CCNG2, SESN3, GMPPB, BLOC1S6, PEF1, PDE6D, NDRG4, OTUD7B, TUBE1, PCYT1A, NDRG1, MFAP3L, DDIAS, RHEBL1, ARL14EP, GABARAPL1, AK1, NR4A2, NR4A1, WIPI1, KITL, BRCA1, CDKN1A, ATF4, POC1A, PLK3, CDKN1B, ULK1, IKBKG, YIPF3, CIRBP, FBXO32, DNAJB4, CCNDBP1, 3110043O21RIK, PLEKHA2, PLEKHA1, OSBP, ESD, 1600014C10RIK, PINK1, RHOQ, PDCD4, WHAMM, TMF1, TOR3A, FOS, CASP6, SPRY2, GOPC, KLHL24, ZFP365, SGK1, PFKL, LIMK1, GPRASP1, STXBP1, PFKP, STXBP4, TBCEL, HLTF, EML6, LPIN1, UFL1, TMEM67, STOM, PRKD2, CTH, EVPL, EML1, ZFYVE26, ZMIZ1, ZFAND2A, NUCB2, UBC, TXNRD1, MAPRE3, MDM1, PEG3, ABLIM2, ZC4H2, SHPK, EGLN1, KIF9, CALCOCO1, TRIB2, ALDH3A1, NGLY1, MTM1, TSC22D3, TSPYL2, HSPA2, KRT8, KDM3A, NEDD4L, HSPA5, NFATC2, INPP5B, VPS39, GLRX, STAMBP, TXNIP, NGEF, GSTA4, CREB3, SCRN1, AHI1, HID1, GORAB, INVS, DUS2, APAF1, MAPK8IP1, LIPE	1012	4404	22680	1.567349840066343	1.734263861840719E-15	5.780879539469064E-16	6.727834694702303E-15
UP_KEYWORDS	Alternative splicing	326	31.7429406037001	1.2857697070726702E-17	MOK, RAD51C, AU040320, OSMR, RUSC1, DZIP1, CHMP7, TLDC1, GPCPD1, TPD52, MXI1, ACBD5, CD47, TMUB2, PAN2, EFCAB11, IBTK, TMEFF2, NUDT18, ZFP326, RINT1, LRRC1, SIPA1L2, ABCC10, UBR2, PIK3IP1, WDR90, CARNS1, CCDC134, TRAPPC11, CCDC130, PIAS3, PARP14, CNTROB, VEGFA, MAPK9, PDE4DIP, TMEM184C, FCHSD1, ADD3, SUCO, HSD17B11, CLCN3, PFKFB4, PXK, RFFL, TMCC3, DENND2C, CTIF, BC003331, TTC41, GPD1L, P3H1, EPHB6, GOLPH3L, TCTN3, KIF1BP, MOCS1, DHX57, TRPC1, UAP1, ABR, IL1RL1, TMEM120B, EHBP1, TFCP2, CCDC157, ENGASE, MCAM, GAS7, TMEM39A, FAM214A, TRAFD1, MAP9, TMEM41B, KAT6B, VIPAS39, CPEB3, POT1A, VPS37C, RNF181, FAR1, BLZF1, P4HA2, FANCI, P4HA1, P4HA3, MTBP, RBM47, MASTL, TMEM107, SIK3, GOLGA3, GOLGA2, ARHGEF2, FBXL20, CLMN, SLC3A2, TTC38, ARHGEF9, ARRDC4, FAM76A, ARRDC1, ARHGEF10, RNF170, ELMO2, JMY, ELMO1, CACFD1, EPB41L3, RAB11FIP3, DNAJC25, RIN2, NPPB, VCAN, TMCO3, WDR45, MFSD6, LCORL, ALDH18A1, SLC39A13, CREM, ATG13, HK1, TRIM16, CEP128, TPCN2, WDR19, SORBS1, STK40, PEX19, DISP1, XBP1, SQSTM1, TRP53INP2, SLC4A8, TRP53INP1, PREPL, HBP1, SPATA6, MTMR4, TBC1D2, CNST, NTNG2, PHF10, TTC17, STAT3, CAPRIN2, FYN, TOM1L2, GFPT1, ABCC3, HSPA4L, ATP6V0A1, PHF21A, CHN2, MBOAT2, GFRA1, ATP6V0A2, CAST, MKRN1, GRIK1, STK36, PXDC1, PI4K2B, RELL1, GLT8D1, MFF, IFT122, SLC8B1, ANKZF1, PQLC2, POC5, OMA1, C2CD3, MADD, PDE4D, ARNTL, RUBCN, TACC1, NEBL, TRIM35, NDEL1, MIB2, FBXO18, LRP12, USO1, TRIM39, FGFR1, EID1, RAB7B, CCDC18, DERL2, SYVN1, FGFR3, CTPS2, DERL3, SLCO2A1, IKBIP, BLOC1S6, HOXA1, FICD, MIA3, NDRG4, ENTPD7, RTKN2, HEG1, DOPEY2, MFAP3L, PCYT1B, SLC30A9, TBC1D31, ARL14EP, CFLAR, B4GAT1, WDR7, AK1, NR4A2, NR4A3, WIPI1, KITL, TBC1D23, SLC25A14, POC1A, ZC2HC1A, TXNDC11, PLK3, DYRK1B, DNAJB2, YIPF4, ADAM22, SLC25A16, DNAL1, PHF8, CCNDBP1, PLEKHA1, SEL1L, RHOJ, PRPH, POU6F1, OSBP, SLC45A4, FOSL2, PRRX1, WHAMM, PLEKHB2, FRMD5, HEATR5B, DCAF11, RSPRY1, GOPC, SLC43A3, TRPM4, ZFP365, SGK1, SSBP2, LRIF1, MPP2, ARID5B, ARID5A, GPRASP1, PFKP, STXBP1, TBCEL, STXBP4, LMBRD1, LPIN1, UFL1, TMEM67, MAGT1, EML1, ZFYVE27, ZFYVE26, FAM120C, ZMIZ1, OXNAD1, MFSD11, TXNRD1, CHFR, PPP1R15A, MDM1, PEG3, KMT2E, ABLIM2, ZC4H2, GLIS1, APH1B, CABP1, PLPP1, ARHGAP39, SLC35B1, TSC22D3, ARHGAP44, TMEM154, KDM3A, NEDD4L, NSUN3, NFATC2, INPP5B, VPS39, CNNM2, TXNIP, NGEF, CREB3, ABHD18, CENPQ, TMEM53, AHI1, RCAN1, TSPAN15, TMBIM1, HID1, GORAB, MON2, SLC17A5, SLC6A9, INVS, SLC6A8, IFT172, KDM4B, KDM4A, MAPK8IP1, APAF1, GGA2, LIPE, ATP8A1	1012	4779	22680	1.5287733637033565	4.538767065966526E-15	1.1346917664916314E-15	1.7607513602440685E-14
UP_KEYWORDS	Transport	158	15.384615384615385	1.6273526378743915E-14	SLC36A1, GRIK1, CHMP5, CHMP7, SLC6A4, SLC35A2, ACBD5, SLC2A8, ERO1LB, SLC2A4, SLC2A1, SLC8B1, PQLC2, HIGD1A, SLC12A6, MYO6, ATG9A, GOLT1B, SARAF, SLC33A1, KIF5C, RINT1, CHP1, ABCC10, TRAPPC12, TRAPPC11, TMEM106B, NDEL1, RAB18, 0610009B22RIK, USO1, RAB13, STX5A, CROT, TRAPPC2, BBS4, ARFGAP3, RAB7B, CLCN3, CLCN2, DERL1, SLC38A9, PANX1, SFXN4, OSCP1, SLCO2A1, MIA3, SLC48A1, STX17, APOBR, DOPEY2, ERO1L, SLC35F6, SLC31A2, SLC30A9, TRAM1, SLC30A6, TRPC1, OSBPL2, CLCC1, RAB33B, NDUFV3, SLC25A14, ARF2, KCTD18, BET1L, SLC25A19, YIPF5, SLC25A16, CREBRF, SLC27A1, OSBP, CPT2, SLC45A4, KCNAB2, RAB5B, TTC26, VIPAS39, VPS37C, SLC26A2, TMEM175, SLC1A4, BLZF1, GOPC, ZFPL1, ATP8B2, TRPV6, ATP6V0D1, SV2C, SEC24D, TRPM4, KDELR3, SEC23A, RAB39B, SLC3A2, STXBP1, LMBRD1, SLC7A11, RAB11FIP5, MAGT1, CHMP1B, RAB11FIP3, CLIC4, CLIC5, SLC41A2, RAB5A, SLC41A1, MFSD12, TMCO3, RAB11FIP1, SEC23B, SERP1, SNAP29, RAB3A, RAB3D, SNX14, SLC39A13, ABCD1, SLC37A3, BET1, SEC62, TPCN2, MTM1, SLC35B1, TMED4, SORBS1, AP3M2, XBP1, RBSN, PLIN3, SLC4A8, SEC22A, ABCD3, SEC22B, SLC25A44, PEX13, SCNN1A, VPS39, EHD3, GLRX, CNNM2, CPT1A, MON2, SLC16A3, SLC6A9, SLC17A5, COG6, SLC6A8, TOM1L2, ABCC3, ATP6V0A1, ATP6V0A4, AP4B1, CTNS, GGA2, ATP6V0A2, ATP8A1, VLDLR	1012	1901	22680	1.8626768104159865	5.7610582970824E-12	1.1521894549559875E-12	2.23487894857044E-11
UP_KEYWORDS	Golgi apparatus	78	7.59493670886076	9.525499637348376E-12	OSBP, SGMS2, AU040320, RUSC1, SLC35A2, WHAMM, TMF1, MMP24, ST3GAL1, TMEM230, BLZF1, PSKH1, GOPC, ZFPL1, GOLGA5, FNDC3A, ZFYVE1, GOLGA3, GOLGA2, EBAG9, TRPM4, SEC23A, ARHGEF2, MYO6, ATG9A, STK25, RAB39B, CHAC1, TMEM167B, GOLT1B, RAB11FIP5, PRKD2, PNPLA8, TRAPPC11, CLIC5, NUCB2, USO1, SURF4, PDE4DIP, RAB13, EMP2, STX5A, SEC23B, SNAP29, ARFGAP3, RAB7B, SLC39A13, BET1, PRRC1, SERINC3, AP3M2, GOLPH3L, ZDHHC9, SEC22B, SLC30A6, ACER3, GABARAPL1, CNST, B4GAT1, CLCC1, NDFIP1, CBY1, HID1, WIPI1, GORAB, RAB33B, AGTRAP, PLK3, COG6, ARF2, YIPF3, BET1L, YIPF5, YIPF4, AP4B1, GGA2, CD14, ATP8A1	1012	753	22680	2.321465127631765	3.362498501857658E-9	5.604163799688422E-10	1.3044343383228352E-8
UP_KEYWORDS	Endosome	55	5.355404089581304	2.1441772025803393E-11	STARD3NL, RAB5B, CHMP5, VIPAS39, RUSC1, SLC6A4, VPS37C, ZFYVE21, PLEKHB2, TMEM175, TMEM230, ATG9A, ARRDC4, ARRDC3, PTPRN, RUBCN, IFNAR1, RAB11FIP5, ANKRD13D, TMEM106B, NPC1, CHMP1B, RAB11FIP3, ZFYVE27, MIB2, RAB5A, RAB13, RAB11FIP1, GRB14, CLCN3, RAB7B, SLC38A9, SNX14, RFFL, MTM1, SLC48A1, ARHGAP44, SQSTM1, RBSN, PLIN3, PIK3R4, INPP5B, EHD3, VPS39, STAMBP, NDFIP1, TMBIM1, TSPAN15, APPL2, WIPI1, TMEM55B, CDKN1B, GGA2, 3110043O21RIK, ATP6V0A2	1012	443	22680	2.782412405535381	7.568933257928734E-9	1.0812761797041048E-9	2.9362623443773828E-8
UP_KEYWORDS	Unfolded protein response	14	1.3631937682570594	2.2590271135916546E-9	CREBRF, DERL2, HERPUD1, DERL1, CREB3, CHAC1, HERPUD2, EDEM1, DDIT3, MANF, XBP1, CREB3L2, DNAJC3, EIF2AK3	1012	36	22680	8.715415019762846	7.974362409290947E-7	9.967956493550645E-8	3.0935438322110542E-6
UP_KEYWORDS	Protein transport	59	5.744888023369036	6.982375287908736E-9	RAB5B, CHMP5, VIPAS39, TTC26, CHMP7, VPS37C, BLZF1, GOPC, SEC24D, SEC23A, KDELR3, ATG9A, MYO6, RAB39B, GOLT1B, RINT1, STXBP1, CHP1, RAB11FIP5, CHMP1B, RAB18, USO1, RAB5A, RAB13, RAB11FIP1, SEC23B, SERP1, SNAP29, RAB3A, BBS4, ARFGAP3, RAB7B, DERL1, RAB3D, SNX14, BET1, SEC62, MTM1, MIA3, TMED4, AP3M2, XBP1, RBSN, SEC22A, SEC22B, PEX13, DOPEY2, TRAM1, EHD3, VPS39, MON2, RAB33B, COG6, ARF2, TOM1L2, BET1L, YIPF5, AP4B1, GGA2	1012	577	22680	2.2915995917276906	2.464775428534516E-6	2.7386423651076797E-7	9.56176372524098E-6
UP_KEYWORDS	Cytoplasmic vesicle	51	4.965920155793573	4.465216757961818E-8	SNAP29, FGFR1, RAB7B, CLCN3, FGFR3, VIPAS39, RUSC1, ESD, IL33, ZFYVE21, WHAMM, SLC2A8, MFF, TMEM230, PDE6D, AP3M2, SQSTM1, MAP1LC3B, ENTPD7, STX17, TICAM1, TRP53INP2, TRP53INP1, PRSS16, SV2C, INPP5B, PIK3R4, EHD3, TBC1D2, GABARAPL1, ARHGEF2, MYO6, ATG9A, CNST, ARRDC4, PTPRN, WIPI1, AGTRAP, STOM, RAB11FIP5, SLC17A5, CLIC4, NBR1, ULK2, RAB5A, ATP6V0A1, YIPF5, RAB13, RAB11FIP1, 3110043O21RIK, ATP8A1	1012	489	22680	2.3373505662115956	1.5762091302273795E-5	1.5762203102731576E-6	6.114729735884339E-5
