Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Z-score	Combined Score	Genes
7646-79-9_CTD_00000928	331/3095	0.0000000000000000000000000000000000000160753684224117021502249260280316412659624675622934348971837775389989566510240713686743930386360899691122749999294683220796287059783935546875	0.0000000000000000000000000000000000092138653341123072976629638603966929479315072460531313985385517615971572652487819689078938473723867641496099167852662503719329833984375	0.0000000000000000000000000000000000000000014386238118532128339895776201610195227216598416226566596935326477967224348831169889761644155886730521976793646665715442622968112118542194366455078125	0.0000000000000000000000000000000000000016491424296543998061594627088800985409949242131344836618908393626992989589118919101397186677878192533584778001198856145492754876613616943359375	-4.654923256155446	405.08785566831205	PANK4;EIF4A1;VARS;SERPINE1;CCNF;HNRNPU;HGH1;PWP2;CDC20;PNN;PPP2R1A;PPAT;PSMD3;AKT1;RCC1;FBXO5;TNS3;FNBP4;DDX17;LIMCH1;IFRD2;ACTN1;CSNK2A2;KRT7;DNTTIP2;CD3EAP;PRKCA;SCRIB;P3H4;ACTN4;WDR77;RUNX1;NUP93;SNHG12;MTHFD1;CDC37;PSME3;TTLL12;PFN1;EZR;L3MBTL3;SET;CDCA4;ENDOD1;CDCA8;MRPL12;GSPT1;FXR1;NLN;NUAK1;DHX33;MIER2;RRS1;TSPAN4;ASL;RBM12;ZBED5;SNX5;SLC19A1;BANP;VASP;CADM1;XRCC5;RCC2;PLK2;PLK1;MICAL2;NR1D2;PA2G4;MEX3D;TPX2;MOV10;AIMP2;EHD2;UCK2;TBL3;HNRNPK;FUBP1;FASN;FARSA;FERMT2;FARSB;COL18A1;ARPC1B;PRPF19;PRSS23;PFAS;PTPRF;SYNCRIP;ATIC;HYAL2;C1QBP;XPO5;TIMP2;TK1;RRP15;CDV3;CCT2;EDN1;PRMT1;TEX10;BGN;PAWR;TIMM23;KIF23;GNL2;GMIP;PPRC1;ZDHHC16;LRRC42;APRT;GNL3;MED22;CTU2;KAT2A;PXDN;GAS1;CDC42EP1;PPARG;ANGPTL4;GAS6;TKT;UMPS;SLC29A1;CACTIN;FJX1;GART;VGLL4;DBN1;KANK1;SF3B3;CTDP1;NIP7;WRB;HEATR1;TIMM10;CENPA;NOL6;CAMKK2;UNG;AKAP1;LIMA1;EXOSC5;ADAM23;LMNA;HSF1;SPP1;HEATR3;TBL1X;BID;EXOSC2;LDLR;CCT5;FARP1;MYEF2;MCRS1;TRMT1;RRP1B;WDR12;GATAD2A;BOP1;KRT19;MYBBP1A;AXL;APEX1;SERBP1;TRIP10;UBAP2;TJP2;PHLDB1;KDM1A;CSF1;AHR;CELSR1;IPO4;CTGF;IPO5;YY1;FADS2;TUBB6;BASP1;FAM198B;RUVBL1;ARHGDIB;CAPN2;KPNA2;KPNA3;TGM2;GTF2I;KCMF1;TPM1;ATP1B1;PUS7;DCTD;EBNA1BP2;ILF3;COL4A2;COL4A1;DKC1;MAP7D1;NCL;MRTO4;NHP2;FSCN1;ERF;SRSF2;VCL;KHDRBS1;FBLIM1;TROAP;MAZ;ISG20L2;AK2;ARHGAP18;HTRA2;PHB;HMMR;CORO1C;CNN2;TMEM123;HNRNPDL;SMYD2;MCL1;CBX6;NOP16;HSPA4;DNAJC11;DHCR24;ARPC4;CHERP;BMP4;CDK8;BMP2;KIF18A;H1F0;NASP;COL5A2;SAE1;NES;EIF4G1;BCAR3;B4GALT2;RBM25;HSP90AB1;WDR1;WDR4;FHL2;FHL3;HMGB1;YBX3;PTBP1;DUSP12;SART3;GM2A;UBTF;PMEPA1;MYBL2;TNPO2;BOK;RHBDF1;NCBP2;MMP2;SIGMAR1;CAD;DDX56;DDX54;NRG1;URB2;RABGGTB;RANGAP1;SENP3;TGFBR2;CCNA2;EEF1G;SFPQ;DDAH1;ESPL1;ALDH1A1;MCM3;POLR1D;LUC7L3;MYH9;MCM6;ST6GALNAC4;THOP1;FXN;TNFRSF21;B4GALT5;SLC25A13;MCM2;USP15;SRC;USP10;SRF;SRSF1;DDX21;PBXIP1;FURIN;ASAP1;SEMA3F;THBS1;THSD4;AURKA;SRM;PDLIM1;ZNRF1;TAF1D;RPS6KC1;U2AF2;CCDC85B;SH3BP5;GCN1L1;IGF2BP1;CCL2;POLR2F;IGF2BP2;MTA2;ADSS;CMTM7;MYO10;NAP1L1;HNRNPAB;SLC25A37;MARCKS;MYO1C;TOMM70A;CARM1;ERCC2;EIF3G;VIM;ZPR1
alprostadil_HL60_DOWN	123/500	0.000000000000000000000000000000000000000000000005015203302124629361766037124320747972255879418253844206252616566794186435852006185183571080459730796108087860443811638821130782783797030788264237344264984130859375	0.0000000000000000000000000000000000000000000086236420780033001459281318378585684293712905499278649485466599720127648442769691556287783897036549827066636791472568901451012379766325466334819793701171875	0.00000000000000000000000000000000000000000014710732328932982920096698528406083180649280109441866068493486536134260578753720210172533845329398165512543319131955055212301886058412492275238037109375	0.0000000000000000000000000000000000000002529510423960026325291435710782994231695611787873415587267816404895175524193744522226937248797058892572052479774669109247042797505855560302734375	-3.1713918995629	345.4013993217294	VARS;POP1;PPAN;PWP2;PWP1;RRP9;PPAT;RUVBL1;RCC1;ST6GAL1;PUS1;IFRD2;ACTN1;PUS7;GTPBP4;WDR77;EBNA1BP2;MTHFD1;DKC1;MRTO4;FSCN1;CCDC86;TTLL12;FKBP4;NOP2;ENDOD1;PDGFA;NOLC1;PHB;MRPL12;BAG2;PDCD11;ZNHIT6;GRK6;RRS1;UTP20;SLC19A1;EIF2B3;NOP16;PNO1;RPP40;DHCR24;PA2G4;RCL1;AIMP2;UCK2;LAS1L;NDUFAF4;FASN;NOL11;FARSA;WDR3;SETD6;NAT10;PRPF19;PFAS;WDR46;TTC27;WDR43;SYNCRIP;ATIC;RRP12;RRP15;CLUH;ELAC2;SIGMAR1;CAD;EMP1;AHSA1;URB2;PPRC1;UTP18;GNL3;KAT2A;PFDN2;UMPS;SLC29A1;GART;FXN;DBN1;SLC29A2;KANK1;TOMM40;NIP7;TIMM9;MAK16;HEATR1;DDX21;TIMM10;TMA16;NOL6;SRM;CAMKK2;UNG;TBRG4;AKAP1;EXOSC5;TCOF1;CCDC85B;PES1;SPP1;CCL2;EXOSC2;NOP56;DDX31;TRMT1;RRP1B;NOC3L;WDR12;NLE1;BYSL;P2RX7;BOP1;EIF3M;MYBBP1A;LPCAT4;SERBP1;PCYOX1L;ESF1;TSR1;ABCE1;RAN;EIF3B
pergolide_HL60_DOWN	104/341	0.000000000000000000000000000000000000000000000000038113026505127167190665316010867749923163704548475344237614713507319268236152765959821357333055110745988102051766406302499702422881266983267778414301574230194091796875	0.0000000000000000000000000000000000000000000001310706981511323251864966722537531589760999949605532626464140105010270883441538248229262362894468562587492359470004864470393801667569277924485504627227783203125	0.000000000000000000000000000000000000000000078867466046236080796521970826849657115332304482132888349690865738186763694280615301298296321390302950728041207241469923161503174924291670322418212890625	0.0000000000000000000000000000000000000002529510423960026325291435710782994231695611787873415587267816404895175524193744522226937248797058892572052479774669109247042797505855560302734375	-2.719454610127303	309.4502308217734	VARS;POP1;PPAN;HGH1;PWP2;PWP1;IPO4;RRP9;PPAT;RUVBL1;TNS1;DDX18;PUS1;IFRD2;CD3EAP;KAZN;SCRIB;PUS7;ATAD3A;GTPBP4;WDR77;EBNA1BP2;DKC1;MRTO4;CCDC86;TTLL12;FKBP4;AK2;NOLC1;PHB;MRPL12;GSPT1;BAG2;PDCD11;ZNHIT6;RRS1;UTP20;SLC19A1;EIF2B3;NOP16;PNO1;RPP40;DHCR24;NR1D2;PA2G4;RCL1;AIMP2;UCK2;NDUFAF4;FASN;FARSA;WDR3;SETD6;NAT10;PFAS;TTC27;WDR43;RRP12;ENOPH1;RRP15;CLUH;SIGMAR1;RBM19;CAD;AHSA1;URB2;URB1;RABGGTB;PPRC1;REXO4;DIEXF;GNL3;PFDN2;UMPS;SLC29A1;GART;FXN;SLC29A2;TOMM40;NIP7;MAK16;HEATR1;DDX21;NOL6;SRM;UNG;TBRG4;AKAP1;EXOSC5;TCOF1;CCDC85B;PES1;EXOSC2;EIF4E;DDX31;RRP1B;NOC3L;WDR12;BYSL;BOP1;MYBBP1A;TSR1;ABCE1;EIF3B
co-dergocrine mesilate_HL60_DOWN	73/203	0.000000000000000000000000000000000000000069660262892738297212835289044555198304703735811179079104725431971142687228042860359124686958913775448507497978223312884438200853765010833740234375	0.00000000000000000000000000000000000005989041102203175375865743867262655365915848647841216332120445591526147716052064755628619764570258303393313070728254388086497783660888671875	0.00000000000000000000000000000000010279509959339998609081648835447324386588328295186487221327557600661989502070093701043625340763032482982453075237572193145751953125	0.000000000000000000000000000000088378086875425632621212643795785601040685197134660573648144403618652695277238396493434124945309804388671182096004486083984375	-2.4612335754098056	227.5778243935433	VARS;POP1;WDR3;PPAN;NAT10;HGH1;PWP2;PFAS;TTC27;WDR43;RRP9;RUVBL1;RRP12;RRP15;CLUH;PUS1;IFRD2;SIGMAR1;CAD;CD3EAP;AHSA1;URB2;URB1;PUS7;ATAD3A;REXO4;EBNA1BP2;DKC1;MRTO4;CCDC86;TTLL12;FKBP4;SLC29A1;FXN;SLC29A2;TOMM40;NIP7;NOP2;MAK16;DDX21;NOLC1;PHB;GSPT1;TMA16;NOL6;SRM;AKAP1;EXOSC5;TCOF1;PDCD11;CCDC85B;RRS1;UTP20;EIF4E;SLC19A1;NOP56;EIF2B3;NOP16;PNO1;RPP40;NR1D2;RRP1B;NOC3L;WDR12;AIMP2;BOP1;UCK2;TBL3;NDUFAF4;TSR1;ABCE1;FARSA;EIF3B
quinpirole_HL60_DOWN	77/245	0.000000000000000000000000000000000000027335467013586732966879061825702925853642290283719155336398516390435896283062331692627427777401581850125200645607037586160004138946533203125	0.00000000000000000000000000000000001342952443710353947839932585723049435283990907754165535799049704840280811169560006508152190558835759048861291375942528247833251953125	0.00000000000000000000000000000000271483875981384647051553428226371816735140717452567126071022666125363390111994635803109067462290937555735581554472446441650390625	0.00000000000000000000000000000155605508249996966121433395631316503050616229866628922026820803374163173642095460945389273632599724805913865566253662109375	-2.5329108258647426	219.0781280276773	WDR3;NAT10;PWP2;PFAS;TTC27;WDR43;RRP9;SYNCRIP;ADAMTS1;PPAT;RUVBL1;RRP12;RRP15;CLUH;PUS1;IFRD2;SIGMAR1;CAD;EMP1;URB2;PUS7;GNL3;DKC1;MRTO4;CCDC86;PFDN2;TTLL12;FKBP4;SLC29A1;GART;SLC29A2;TOMM40;NIP7;NOP2;MAK16;HEATR1;DDX21;NOLC1;MRPL12;GSPT1;TMA16;NOL6;SRM;UNG;AKAP1;EXOSC5;TCOF1;PDCD11;CCDC85B;DPH2;PES1;RRS1;CCL2;UTP20;EXOSC2;EIF4E;SLC19A1;NOP56;EIF2B3;NOP16;PNO1;RPP40;RRP1B;NOC3L;WDR12;BYSL;RCL1;AIMP2;BOP1;UCK2;MYBBP1A;NDUFAF4;FASN;TSR1;ABCE1;FARSA;EIF3B
hydrogen peroxide_CTD_00006118	256/2674	0.0000000000000000000014953428970926376890204035731357692445993431923506439319986223435154926164614153094589710235595703125	0.000000000000000000270657064373767431868964237842138302122364799415669208045021054687140349415130913257598876953125	0.000000000000000000000001129520378502089866366204983440851158511010930336119551657840507133921670313014828934683464467525482177734375	0.000000000000000000000277458612976334775134645446034006267233925774945070079935166736107010621026347507722675800323486328125	-4.566463839835559	218.97076083279842	LTV1;POP1;SERPINE1;EIF4A3;PPAN;GPATCH4;PWP1;ACTB;MYLK;CDC20;EPS8;TRIM28;AKT1;RCC1;LUC7L;PIP4K2B;TNS3;FNBP4;DDX17;CD3EAP;PRKCA;P3H4;GTPBP4;EML4;EWSR1;BIN1;CCDC86;EZR;SDC4;MRPL19;PDGFA;NOLC1;NMD3;MRPL12;IGSF9;ZBTB2;FXR1;NUAK1;SPATA5L1;FLRT3;ZNHIT6;DPH2;LYAR;ZBED5;SLC19A1;PPARGC1B;BANP;PRPF38B;JAG1;GADD45B;FOXF2;PLK2;PLK1;LIF;MICAL2;PYCR2;PA2G4;OCEL1;NR2F6;CCT6A;HNRNPM;FARSB;SUV39H2;COL18A1;CTSZ;NAT10;PEPD;SMPD3;AKAP12;SYNCRIP;XPO1;RARS;C1QBP;PRX;TIMP2;TK1;RRP15;CCT3;CCT2;EDN1;WDR36;TEX10;GAA;NSUN2;EMP1;PAWR;TIMM23;CACYBP;KIF23;GNL2;PPRC1;DUSP9;DIEXF;GNL3;KAT2A;INCENP;TCP1;PPARG;FJX1;GART;TRUB1;CTDP1;NIP7;WRB;HEATR1;NOL9;GDPD5;CENPA;UNG;RELB;FGD3;LIMA1;SERTAD4;EXOSC10;HSF1;EXOSC3;LDLR;CCT5;TRMT10A;TRMT10C;NR1H4;MRE11A;NOC3L;WDR12;APEX1;FMOD;COL16A1;AHR;YARS2;IPO7;LOXL1;IPO4;CTGF;IPO5;CHCHD4;YY1;CDH3;SALL2;CAPN2;PIM3;KPNA2;CARD10;USP7;TPM1;WNT5A;LMO7;PUS7;ATAD3A;CDC25A;EBNA1BP2;STIM2;DKC1;PRR15L;NCL;MAPKAPK2;ERF;PPIF;GEMIN5;KPNB1;VCL;DLX4;DDX1;NOP2;ZCCHC9;LTBP4;ARHGAP18;HTRA2;SLC1A3;PHB;NRF1;HMMR;SLC9A3R1;TMEM123;ATXN1;BAG2;HNRNPDL;G3BP1;UTP20;VCAM1;NOP16;ARHGEF39;RPP40;HMGA1;INHBB;CDK9;BMP4;RCL1;KIF18A;H1F0;LRFN4;ACO1;AMOTL2;RBM28;PRR7;WDR3;FHL2;FHL3;LAMC2;CHD4;HMGB1;TTC27;LBH;PPP1R13L;UBTF;SPEG;MYBL2;ADAMTS9;POLH;BOK;UTP15;ITGA3;MARS2;MMP2;DDX56;AHSA1;DDX51;URB2;TNFRSF1B;UTP18;TGFBR2;ARL4C;CCNA2;POLR1B;ALDH1A1;MCM3;LUC7L3;IRF5;FXN;TNFRSF21;SRC;SRF;MAK16;SRSF1;AURKA;SRM;BMS1;CCL2;POLR2F;ADSS;EIF4E;SLC25A22;HNRNPA0;NOP56;NOP58;SEMA4D;NIFK;NAP1L1;LAMB1;HNRNPAB;EIF3M;MYO1C;CDKN2AIPNL;TRMT61A;FOLR1;RAN;BCAR1
8-azaguanine_HL60_DOWN	129/897	0.0000000000000000000000004018851881398045060490710758481385952557998051819390221727940578125802539855015993452980183064937591552734375	0.000000000000000000000081299009530163978823976252058419761339377782477151698998100505001718207864769283332861959934234619140625	0.00000000000000000000000038027553232269171000775118348826207536549912520393078414754142193253405590525062507367692887783050537109375	0.00000000000000000000010898062963814474710034158501661960344094010295861756399096362778189384101779069169424474239349365234375	-3.704629811817449	208.10250828015347	KDM1A;POP1;ZMYND8;PREP;BUB1B;SLA;IPO7;PWP1;IPO5;RRP9;CDC20;PPAT;KHSRP;RUVBL1;PIP4K2B;TRIM27;TNS3;KPNA3;TNS1;GTF2I;DDX18;USP7;PUS1;IFRD2;CD3EAP;MOGS;TBC1D2B;PUS7;WDR77;AFG3L2;CCNE1;DKC1;NCL;FSCN1;TTLL12;FKBP4;KPNB1;TROAP;AK2;ENDOD1;HTRA2;NOLC1;HMMR;MAN2A2;HNRNPDL;RRS1;RBM12;PATZ1;SLC19A1;CBX6;UBE2I;NOP16;XRCC5;RPP40;DNAJC11;DHCR24;PA2G4;SRPK1;CCT6A;RCL1;AIMP2;NASP;LAS1L;FUBP1;FASN;INTS5;ACO1;FARSA;RBM28;WDR3;PFAS;TTC27;WDR43;SYNCRIP;XPO1;METTL13;ELAC2;ACTL6A;SIGMAR1;CAD;AHSA1;TIMM23;URB2;PPRC1;UTP18;DIEXF;GNL3;CCNA2;MCM3;POLR1E;LUC7L3;MCM6;SLC29A1;THOP1;GART;FXN;MCM2;SLC29A2;ADCY7;CENPA;TMA16;NOL6;CAMKK2;UNG;AKAP1;TCOF1;CCDC85B;GCN1L1;HEATR3;POLR2H;HNRNPA1;ADSS;EXOSC2;TTC13;SEMA4D;MYO10;RRP1B;NOC3L;MPP6;NLE1;LRPPRC;LPCAT4;SERBP1;PCYOX1L;BCOR;ABCE1;RAN;EIF3B;TJP2
tetryzoline_HL60_DOWN	62/135	0.00000000000000000000000000000000000000000186717174179399381754173482241833113336164290900726989699139604349370541041639897730005280145845973721350293146603593896770689752884209156036376953125	0.0000000000000000000000000000000000000021404012066765146623017541273352188218016394324231904326234272845657698789208834851144082167849342344424778961098354557179845869541168212890625	0.000000000000000000000000000000000208358835149754747360180789610518919685626975606558364694167263230325892424865122108169381009989962194595136679708957672119140625	0.00000000000000000000000000000014330920681600131335270599118920917807683656094754760055074964005586386544461823650507825700373132349341176450252532958984375	-2.132958345602798	204.94348761194308	POP1;WDR3;PPAN;NAT10;HGH1;PWP2;PFAS;TTC27;WDR43;RRP9;PPAT;RUVBL1;RRP15;PUS1;IFRD2;SIGMAR1;CAD;CD3EAP;AHSA1;URB2;SCRIB;PUS7;EBNA1BP2;MRTO4;CCDC86;FKBP4;SLC29A1;FXN;SLC29A2;MAK16;DDX21;NOLC1;NOC4L;PHB;NOL6;SRM;AKAP1;EXOSC5;BAG2;PDCD11;CCDC85B;DPH2;RRS1;UTP20;SLC19A1;EIF2B3;NOP16;PNO1;RPP40;PA2G4;RRP1B;NOC3L;WDR12;NLE1;RCL1;AIMP2;BOP1;MYBBP1A;NDUFAF4;FASN;TSR1;FARSA
dihydroergotamine_HL60_DOWN	79/293	0.0000000000000000000000000000000005490170868733423244259596234283037838293307003071425203614208773214023581018781985785943110245366227673002867959439754486083984375	0.000000000000000000000000000000236008720219678019941753609875212463470710933459406696638238739655903372864672175139577614544350581127218902111053466796875	0.000000000000000000000000000002486161922519433595893697952879938588567464988522686858787036566292470057801841480660254291024102712981402873992919921875	0.0000000000000000000000000010687388564430415600371500314620874647323905991504912920841156852705533118925995683667906632763333618640899658203125	-2.6321426636661895	201.58247160462545	VARS;WDR3;PPAN;NAT10;PWP2;PRPF19;PFAS;TTC27;WDR43;SYNCRIP;MRPL3;ATIC;PPAT;C1QBP;RUVBL1;LRRFIP1;ENOPH1;RRP15;DDX18;PUS1;IFRD2;ACTL6A;SIGMAR1;CD3EAP;URB2;SCRIB;RABGGTB;PUS7;UTP18;GTPBP4;DIEXF;GNL3;EBNA1BP2;DKC1;MRTO4;CCDC86;PFDN2;GART;B4GALT5;SLC29A2;NIP7;MAK16;HEATR1;DDX21;NOLC1;MRPL12;GSPT1;SRM;UNG;AKAP1;BAG2;PDCD11;CCDC85B;ZNHIT6;RRS1;EXOSC2;EIF4E;SLC19A1;NOP56;EIF2B3;NOP16;PNO1;PA2G4;RRP1B;NOC3L;WDR12;BOP1;UCK2;TOMM70A;NDUFAF4;FASN;SERBP1;ESF1;UBAP2;CEBPZ;NAA15;ABCE1;FARSA;EIF3B
podophyllotoxin_HL60_DOWN	60/137	0.00000000000000000000000000000000000000125895500214192443292252499248438105118407870336061852116347587073804618065549839552431690015050176688175820327586507119121961295604705810546875	0.000000000000000000000000000000000000865909250473215646464990911885895602514828422171757614891574934230872937919558917214363254872232233960716030196635983884334564208984375	0.00000000000000000000000000000001960618091849054666453451004427608201952217822238121871870951216936326734163156988721699036659629200585186481475830078125	0.00000000000000000000000000000963223659695557132327664374202550584783503717178048298648248246890818061120690708742930752350730472244322299957275390625	-2.1423806945631605	191.89418844198786	POP1;WDR3;PPAN;NAT10;PWP2;PFAS;TTC27;WDR43;RRP9;SYNCRIP;PPAT;RRP15;EIF5A;PUS1;IFRD2;SIGMAR1;URB2;URB1;PUS7;DIEXF;WDR77;GNL3;EBNA1BP2;DKC1;MRTO4;CCDC86;SLC29A1;FXN;SLC29A2;TOMM40;NOP2;MAK16;NOLC1;PHB;MRPL12;NOL6;SRM;AKAP1;PDCD11;RRS1;CCL2;UTP20;EXOSC2;SLC19A1;EIF2B3;NOP16;PNO1;RPP40;DDX31;NOC3L;WDR12;NPM3;BYSL;RCL1;MYBBP1A;FASN;PCYOX1L;TSR1;ABCE1;FARSA
