Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Z-score	Combined Score	Genes
Kidney disorder associated with type 2 diabetes mellitus C1720457 mouse GSE2557 sample 8	56/282	0.000000000000000003387677896651930270722681453999039759531838485241716542317735871847617090679705142974853515625	0.00000000000000284226175529096960999582448099721534732751992459454104533733698190189898014068603515625	0.00000000000000000000875653024615843004286707591703680527443226906860152694111847082591992830202798359096050262451171875	0.0000000000000000073467288765269234183510136987727797766416601798577894200104054789335350506007671356201171875	-1.769349472143211	71.17453655770069	TRAM1;SLC35B1;MAGT1;GHITM;HERPUD1;LGALS3;SERP1;OSBP;CHAC1;CNPPD1;PDIA3;SMIM14;ALG12;PDIA6;PDIA4;DNAJC3;MTHFD2;ANGPTL6;DDIT3;DNAJB11;TRIB3;NUPR1;CRELD2;SQSTM1;AVPI1;PPP1R15A;USO1;SEL1L;DERL2;SLC3A2;HSP90B1;DNAJB9;SARAF;SEC23B;AAED1;XBP1;SDF2L1;HSPA5;PHF10;RHBDD1;EDEM1;SURF4;OSBPL2;SYVN1;MANF;SPCS2;P4HA2;OSTC;CDK2AP2;HYOU1;SERINC1;CALR;ALDH18A1;SEC24D;YPEL5;NUCB2
Sendai virus infection C1319860 mouse GSE10211 sample 82	46/292	0.0000000000202009627777639460365291157620956587377680779837874069926328957080841064453125	0.000000008474303885271975977862662075291988461600567461573518812656402587890625	0.0000000000000545671386448502123579622110585722798031826398512666997930864454247057437896728515625	0.0000000000150363503178279139679872136486072612023001671133215495501644909381866455078125	-1.6874272408479543	41.55338659475477	BC031181;TBCEL;ALAS1;AK1;NEDD4L;CSAD;MAP1LC3B;PGRMC1;RMND5A;CASP6;NACC2;MXI1;AOX1;CYP1B1;MAF1;PDK1;EGLN1;NQO1;BNIP3L;CPT1A;EDN2;COG6;ENTPD5;NICN1;NEK7;CTPS2;RNASE4;MT1;SMARCA2;GSTZ1;EID1;UGDH;POR;KIF9;TTC30B;KITL;P4HA2;CYP2S1;PQLC3;TMEM119;PDCD4;LPIN1;ATP6V0D1;TSPYL4;MXD4;PCYOX1
Dehydration C0011175 rat GSE4130 sample 23	52/370	0.000000000079418626702135813606747357190043974661808334758461569435894489288330078125	0.000000016658056950772987175433896664573929502495275301043875515460968017578125	0.000000000000071687009858535937777253511814350458213811016772165629618029925040900707244873046875	0.0000000000150363503178279139679872136486072612023001671133215495501644909381866455078125	-1.6893769370456828	39.2886368958951	BTG1;PTPRN;MSMO1;PCMTD2;RGS2;SERP1;GPRASP1;TMED4;PDIA3;SMIM14;TPI1;TSPYL1;DUSP1;PGAM1;KRT8;FOS;FNDC3A;PDIA6;PDIA4;SEC22B;ALDOA;CHMP5;ATF4;BEX2;GLT8D1;GLRX;SLC3A2;TOB1;HSP90B1;MAT2A;UBC;PGK1;DNAJB9;SEC23B;SEC11A;NDFIP1;HSPA5;TMEM50B;YIPF4;YIPF5;TVP23B;MANF;NR4A2;NR4A1;SPCS2;KRT18;GSTA4;OSTC;SERINC1;NUCB2;PFKP;BET1
Arthropathy C0022408 human GSE10575 sample 271	55/401	0.00000000005820905389564715435917997419902419030390827714427359751425683498382568359375	0.00000001627913207281598680882525663309035035553051784518174827098846435546875	0.00000000000003321265000464865694641690706676159108661459951061800666138879023492336273193359375	0.00000000001393270667695011223273239117485212067680533376545781720778904855251312255859375	-1.608091286443885	37.897855520397464	BTG1;TFRC;PLOD2;VLDLR;LCLAT1;HK1;ERO1L;SCRN1;TUBB3;FAM162A;CYP1B1;MIR22HG;APPL2;IER3;ARRDC4;SMIM14;BNIP3L;TPI1;H2AFZ;PGAM1;ARRDC3;EMP2;OSMR;PDIA6;EID1;UGDH;NOV;DDIT4;DNAJB11;TXNIP;TRIB3;ALDOA;CRELD2;ATF4;TMEM45A;NRN1;UAP1;SLC3A2;MFF;PTGS2;NDRG1;PGK1;HMOX1;CD55;HSPA5;BNIP3;TVP23B;P4HA1;P4HA2;MAFF;CALR;GCLM;NUCB2;CRLF1;PFKP
ulcerative colitis DOID-8577 human GSE38713 sample 810	48/350	0.0000000009835236375412989077322165068170169155425952567384229041635990142822265625	0.00000013752938864952497251322046344090832548090475029312074184417724609375	0.0000000000014703151280937311734823611690667075958295628712590996656217612326145172119140625	0.0000000002055990654117733938111885287400152667880437462599729769863188266754150390625	-1.6875828400495738	35.00026465487097	PPP1R15A;CLIC4;TESK2;PLOD2;VLDLR;PTGS2;TOB1;NDRG1;ARNTL;CCDC28A;ZFYVE26;RGS2;MAP1LC3B;EEF2K;CHMP1B;HMOX1;CHP1;CD14;APPL2;PDK2;MAP2K6;NQO1;KLF11;CPT1A;GABARAPL1;GADD45A;DUSP1;ENTPD5;KLHL24;DUSP8;FBXO32;EREG;VEGFA;NR4A2;NR4A1;CYP2S1;DDIT3;NAAA;MAFF;PDCD4;CREBRF;PTX3;ALDH18A1;SGK1;YPEL5;CENPQ;NGEF;ATF3
Adenoma C0001430 human GSE8514 sample 294	50/371	0.0000000008104102525665840422352471898053728749378166185124428011476993560791015625	0.00000013598684038067281986466249520117965943200033507309854030609130859375	0.00000000000089660434097931786556874921215213607617218471990128136894782073795795440673828125	0.0000000001504502084163295393368542166498131977536711900711452472023665904998779296875	-1.6185740994349502	33.882389367477586	BTG1;PLAT;MSMO1;HERPUD1;RGS2;MAP1LC3B;AOX1;NDEL1;IER3;ABCC3;SMIM14;PARP4;H2AFZ;DUSP1;FOS;ARFGAP3;EID1;VCAN;NOV;DDIT4;ACOT2;TXNIP;NUPR1;SGK1;PPP1R15A;NDRG4;SEMA3B;CREBL2;SLC1A4;GLRX;TOB1;HSP90B1;PGRMC1;S100A16;UBC;SARAF;CD14;CD55;IDH1;TXNRD1;KLF4;ASS1;PNRC1;TMEM230;FOSL2;NR4A1;GSTA4;CSDC2;SERINC1;CALR
esophagus squamous cell carcinoma DOID-3748 human GSE63941 sample 659	50/391	0.00000000489776428018786335686883480467455898033080075038014911115169525146484375	0.0000005870320330110882957528315763406911997890347265638411045074462890625	0.000000000005116954815946019359649233703962514503531255893875595575082115828990936279296875	0.0000000006133035843683871012563084751585164300369257261991151608526706695556640625	-1.5776197101373544	30.186943842931164	SPON2;TRAM1;TNFAIP6;PLAT;PLOD2;MSMO1;SLC7A11;TMEM263;RGS2;RASSF2;FTH1;CYP1B1;MIR22HG;BNIP3L;GABARAPL1;HEG1;PGAM1;WIPI1;EID1;UGDH;ARMCX1;VCAN;TUBB2A;NUPR1;SGK1;FAM8A1;PCYOX1;TMEM45A;SEC23A;FAM114A1;MGST1;GLRX;ADD3;STOM;SARAF;IGFBP6;NQO1;IL33;LHFP;GADD45A;TXNRD1;NEK7;YIPF5;OSTC;RAB13;PMP22;SNAI2;PTX3;SERINC1;GCLM
relapsing-remitting multiple sclerosis DOID-2378 human GSE16461 sample 879	46/359	0.000000018979784677827193140099647206651967135115910423337481915950775146484375	0.0000019905049180871267511141846362487939359198207966983318328857421875	0.00000000003457691296361951749852011211004590256201662867852064664475619792938232421875	0.000000003626253747059597005901634728347419922567240746502648107707500457763671875	-1.6713292204910049	29.71605201478434	PPP1R15A;KMT2E;TMEM55B;KDM3A;CERK;SATB1;ZFAND2A;FAM214A;DEDD2;HERPUD1;MAP1LC3B;FTH1;UBC;MXI1;PDE4B;FYN;CD14;WHAMM;PIM2;CD55;HSPA5;GADD45A;PNPLA8;STAT3;ARID5A;UBALD2;GPCPD1;KLF4;PNRC1;FOSL2;EREG;NR4A2;NR4A1;NR4A3;PIK3IP1;DDIT3;JMY;MAFF;DNAJB11;CRY1;PDCD4;HECA;SERINC1;HBP1;PLCD1;TSPYL4
Papillary Carcinoma of the Thyroid C0238463 human GSE3678 sample 306	40/292	0.0000000252648550538433681919610741643811291368137972312979400157928466796875	0.0000021197213390174588493858852389362112944581895135343074798583984375	0.000000000112436369529477320633797068468655126760591400625344249419867992401123046875	0.0000000090187802946106625510552733354478760485761767995427362620830535888671875	-1.6909432593537497	29.581110333670807	ERO1LB;MAGT1;MTMR4;ADD3;TOB1;NDRG1;HERPUD1;HSP90B1;CDH5;RGS2;CSRP1;MAT2A;UBC;MIR22HG;PXDC1;SEC62;SLC25A44;IL33;TMEM184C;HSPA5;WFS1;GADD45A;DUSP1;FOS;KLF4;PDIA6;PDIA4;MANF;RCAN1;NME7;SLCO2A1;MAFF;CRY1;CALR;GPD1L;TRIM16;SGK1;ATF3;NUCB2;ATF4
RA (rheumatoid arthritis) C0003873 human GSE1919 sample 110	42/314	0.000000022848941991066684002322059905687456904388454859144985675811767578125	0.0000021197213390174588493858852389362112944581895135343074798583984375	0.0000000000751745916986430571017436996482407630948419097194346250034868717193603515625	0.00000000700794249279572470547477154654940345590574679590645246207714080810546875	-1.6513650179246775	29.05471230618323	PPP1R15A;CLIC5;CDKN1A;CALCOCO1;BTG1;TNXB;GLRX;FOXO3;LIPE;MAP1LC3B;MXI1;STOM;IGFBP6;SASH1;IER3;GABARAPL1;HSPA5;GDF15;GADD45A;TSC22D3;CIRBP;ARID5B;RNASE4;FOS;KLF4;ASS1;FOSL2;VEGFA;UGDH;PER1;MTHFD2;DDIT3;DDIT4;MAFF;KLF9;PMP22;TXNIP;MAPRE3;TACC1;NUPR1;ALDOA;ATF4
