Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Z-score	Combined Score	Genes
progressive myoclonus epilepsy DOID-891 mouse GSE47516 sample 516	222/459	0.00000000000000000033324865119741520644948838540111700766285303801077124878637913951706650550477206707000732421875	0.0000000000000002795956183546313427073847030342885523285112610823721635000538299209438264369964599609375	0.0000000000000000000000000124814782646834325214186455406703764530088265874066137026916066663881246627532117798864419455640017986297607421875	0.00000000000000000000001047196026406939936746064809245326813812483282955059214297150751125931034124505458748899400234222412109375	-2.863123952223108	121.81274818875163	ERRFI1;MKI67;SMC4;FAM110A;CDC20;FAM122B;LGALS1;CDK5RAP1;FBXO5;TIPIN;SERPINF1;DNTTIP2;IFT80;ESCO2;KNSTRN;CYP39A1;MTAP;DEPDC1B;DEPDC1A;KIF20A;MYL9;ASF1B;CDCA2;TSHZ1;HSPA4L;NCAPG;PLA2G7;NCAPH;DSN1;HSPH1;RACGAP1;MICAL1;SNX7;S100A11;S100A10;PLK4;EGR1;JUN;PLK1;NR2F1;LARP7;PARVA;PAICS;GPR137B;VASN;COL1A1;TPX2;H19;ANLN;COL1A2;TRIP6;ID4;EZH2;TOP2A;COL18A1;TINAGL1;ADM;AKR1B3;PTH1R;AKR1B8;EDA2R;TUBA1C;CSRP2;TCTN2;NUF2;PBK;PHGDH;TIMP1;TK1;TEAD2;DLGAP5;ZCCHC24;ANXA5;BGN;EMP1;EMP2;AMPD3;EMP3;KIF22;COMMD1;WDR35;SUMF1;OAF;PXDN;RHOJ;CKS2;KIF2C;MFGE8;FOXC1;AHCY;PRIM1;RPS27L;PTGS2;GNAI2;PSMC3IP;GINS2;NDE1;DHRS4;CENPE;2610005L07RIK;CENPF;GSTA4;CENPI;CENPJ;MORN2;CENPL;TACC3;RPL22L1;CENPP;CRLF1;SPC24;HSPA1B;CDKN3;ACAA2;ZFAND4;BUB1B;ZFAND1;LOXL1;FGF7;CCND1;PTTG1;RUVBL1;LAMP2;NUSAP1;ENPP1;PDGFRB;GAS2L3;BORA;TPM4;PCOLCE;CDC25C;PDGFRL;CDC25B;HAT1;S100A6;MYADM;S100A4;AJUBA;PPID;VCL;HIST1H2BC;PPIC;TMED10;NDRG2;FBLN2;ZFP36L1;RAD51AP1;CNN2;TMEM123;CCNB2;CCNB1;IGFBP6;FAM83D;ECT2;CRTAP;UBE2C;LRRC75A;CAV1;ARHGEF39;MSN;HMGA2;DNAJC15;NR4A1;RGCC;CDK4;UBE2T;CDK1;TGFBI;FGFR1;GPSM2;MCM7;LRRK2;HMGB2;FOXM1;CHTF18;CYR61;CKS1B;THBD;RFC5;KLF10;PLEKHG2;LIX1L;H2AFX;CKAP2;GPX8;4930503L19RIK;CCNA2;ESPL1;MCM3;2810025M15RIK;FAM96A;MCM4;PFDN1;COL6A3;TRIM59;MCM5;DNAJC9;MCM6;MCM2;PPM1M;UHRF1;TTK;TFPI;THBS1;UACA;AURKB;IFT74;PDLIM2;BUB1;E2F7;PRPS1L3;HN1L;RRM1;IRX5;IRX3;PRC1;PSAT1;RAB13;ACKR3;CD248;VIM;NUP37
Kidney disorder associated with type 2 diabetes mellitus C1720457 mouse GSE2557 sample 8	151/318	0.0000000000010874406201935313580019814548127842141790611041329839281388558447360992431640625	0.000000000456181340171186417000683116225283331157669408639776520431041717529296875	0.00000000000000000591323442343897257508600590483754151632247002888889166050123691320550278760492801666259765625	0.000000000000000992240736253059589625340035527901712992607523473875819064460301888175308704376220703125	-1.7643199159330554	48.602063417873865	IFITM3;NDUFA13;IFITM2;CD81;PEBP1;SAT1;AQP1;CDC20;LAPTM4B;TUBB6;PNP;LGALS1;TUBB5;PTTG1;PSMD5;AP1S1;PRKACA;PHLDA1;IER2;TPM4;S100A1;CYBA;PCOLCE;TUBA4A;COX6B1;ACLY;1810037I17RIK;POR;MYL6;IFI27;S100A6;MXRA8;MYADM;UQCRC1;PGP;PSME2;S100A4;ERH;LY6A;SNRPB;PFN2;HIST1H2BC;LY6E;ABHD4;INSIG1;TWIST2;OAZ1;UQCRH;ACAT2;PRDX2;CCNB2;LDHA;CYB5R3;PSAP;PMVK;ATP5D;ESD;S100A13;PGK1;SNX7;S100A11;S100A10;EGR1;GSTM2;JUN;GSTM1;UBE2C;PLK1;ARPC4;MT1;NFKBIA;FOSL1;GNB2;CDK1;DHCR7;GSTM5;SLC48A1;COL18A1;H2-T23;CDKN1A;TINAGL1;ILK;DBI;ATP5G3;AKR1B3;LITAF;CYR61;TUBA1B;BLNK;SCD2;FLOT2;TSPO;SH3BGRL3;TK1;CTSD;CLIC1;YWHAH;OASL2;CBR2;D8ERTD738E;ANXA2;GPX4;TSC22D1;TNFRSF12A;HMGCS1;H2AFZ;PLAUR;MRPS21;EMP3;RHOC;DYNLL1;MRPS6;APRT;GCHFR;PSMA5;HMGA1-RS1;2010107E04RIK;PKM;RPL37A;CKS2;PLIN2;MFGE8;ALDOA;TKT;HBEGF;PCNA;ELOF1;RAMP3;SSNA1;GSTP1;ATP5A1;TIMM13;OAS1A;NEDD8;PSMB7;DNAJB1;PSMB5;SPP1;AP2S1;FLNA;ROMO1;POLR2L;GSN;PET100;OAZ1-PS;TMEM176B;NDUFA3;NDUFA1;FABP5;GSTA4;CD9
acute myocardial infarction DOID-9408 mouse GSE775 sample 1000	192/443	0.0000000000345985118543707262512244132385079951885753501983344904147088527679443359375	0.0000000096760504819390138923573832182602194595943956301198340952396392822265625	0.0000000000000000004383529206412292051183862665656409335601548237320549024353955047672570799477398395538330078125	0.000000000000000183889050208995645865669702881940605113350017930061441884248552014469169080257415771484375	-1.7665339272608878	42.550874463775116	OTUD4;ERRFI1;NDUFA13;ISCA1;ZFAND6;MRFAP1;GHITM;BZW2;LCLAT1;NUDT4;RPS17;GOLGA4;PSMD6;PSMD7;SESN1;CFL2;MPC2;CHCHD7;LAMP2;NAMPT;QK;PRKACA;HADH;JUNB;B2M;IER2;CD93;PPTC7;ATP1B3;SDHA;WDR77;EID1;CLIP1;COX7A2L;PPA2;CTAGE5;IFT81;FDX1;CLIP4;MYADM;TMEM126A;VDAC3;SRSF2;JTB;SUCLG2;PKP4;ERH;PPIA;PPID;KMT2E;UQCRB;RRAD;WDR61;NDRG2;HIF1A;ADH5;OAZ2;ZFP36L1;SNX3;LDHB;TMEM123;EMG1;IRAK1;RAD21;PGK1;ISOC1;ZC3H14;HSPA9;PRNP;EGR1;SNAPIN;ZRANB2;NDFIP1;DMPK;NEK7;IDH2;MSN;NR1D2;MT1;HPRT;PUM2;GADD45G;NFKBIA;NR4A1;ARL2BP;KITL;NACA;OGN;RPS27RT;CALU;CYCS;CPE;TCF4;SERINC3;CALM1;FERMT2;RPS24;ITM2B;RPS23;ITGB1;DDX3Y;GFM1;HIBADH;GDI1;FHL2;HMGB3;DBI;ETFA;BMI1;PKD2;RBM3;UBL3;SEPT7;ACADL;AIFM1;CTSL;ACADM;ARIH1;TRP53INP2;ACTR3;HSP90AA1;TSC22D1;VBP1;SSR3;EMP1;NDUFC1;NUTF2;MUT;FH1;IMMP1L;PSMA6;PSMA3;MRPL51;2010107E04RIK;TNNT2;CSDE1;NDUFS2;TOP1;MYZAP;SGK1;ZMYND11;PTMA;DLD;RHOQ;CD63;ROCK2;SYPL;ATP5A1;TIMM13;ETFDH;ATP1A1;PDHB;THBS1;PSMB7;CD59A;GNG5;OXCT1;PERP;FAM120A;CTNNA1;RBBP7;PAIP2;METTL9;SRSF11;EGLN1;SLC12A2;POLR2M;GSN;CSNK1A1;CNBP;NDUFA2;SOD2;DHRS4;FKBP1A;EIF3M;PSMC6;SUCLA2;SLMAP;RAB12;CAPZA2;HNRNPA2B1;MGP;NDUFAB1;RAB18;FOSB;CTNNB1;ACKR3;CHPT1;RPL22L1;SLIRP;RNF141;SLC25A36
colorectal cancer DOID-9256 human GSE1323 sample 763	158/351	0.0000000000626744089946896369283321383196840893836654373671990470029413700103759765625	0.000000013145957286636151429728196974970610977351270776125602424144744873046875	0.00000000000000004463454984114438426777918777259260958860972827444424382292709196917712688446044921875	0.0000000000000041609319240800154216774656835234557945230938515168706004487830796279013156890869140625	-1.7775874461437522	41.76098257330558	IFITM3;CARS;IFITM2;CD81;CISD1;PEBP1;SAT1;IPO5;EDC4;LGALS3;PSMD7;LGALS1;LAMP1;KHSRP;STMN1;DENND5A;VPS35;B2M;TNS3;GABARAPL2;SERPINF1;COG4;CMC2;ILF2;CDC25B;MYL6;S100A6;UQCRC1;SMS;SRSF2;VOPP1;S100A4;PPIA;SKAP1;SNRPB;SRSF9;RPN2;CBFB;SHC1;VPS26A;OAZ1;GLG1;CNN3;CNN2;LDHB;TMEM123;ATP5B;LDHA;CCNB1;RACGAP1;BLOC1S1;ATP5D;NAE1;SEC31B;BTF3;ACD;RPL41;XRCC5;CAV1;NONO;ASPSCR1;MSN;ARPC5;PA2G4;MRPL23;THAP11;HNRNPK;STK24;CDK4;NACA;HNRNPF;HNRNPD;CDK1;FXYD6;UBA1;TGFBI;HNRNPC;NES;EIF4G2;RPS24;RPS23;YWHAE;TOP2A;ARF3;SLC25A3;BTG1;HMGB2;DBI;CTCF;ATP5G3;ITGAE;COX7C;HK1;RBM3;PTBP1;SEPT9;TUBA1C;TUBA1B;RPLP2;SH3BGRL3;TIMP1;TK1;CLIC1;GPX4;GSTO1;NUTF2;NAV2;TERF2;SLC39A14;DDX19A;PKM;LCK;MCM3;FAM96B;TMEM106C;PLIN2;ALDOA;SLC25A5;PTMA;KIZ;MCM2;CD63;PCNA;SF3B3;RPL10;GSTP1;ODC1;VPS4A;TIMM13;NDUFB2;RPL36A;NEDD8;TYMS;AURKB;REPIN1;GNG5;GMDS;FLNA;E2F4;RBBP7;BRD7;EIF4B;POLR2L;GALNT7;CYB5B;NQO1;RRM1;TAF10;SSRP1;DEK;NAP1L4;ABHD17A;TRMT5;HDGF;CENPN;VIM;ESYT1;CKLF
colon adenoma DOID-0050912 mouse GSE422 sample 650	184/427	0.00000000015734872234349063037502147865552733219107750528564793057739734649658203125	0.000000022002596341031441209974453781898773296887839023838751018047332763671875	0.0000000000000000038399487567261820284701272564220908004062435782605990086668867888874956406652927398681640625	0.00000000000000080542925172331663309373256010853156020815220295094860603057895787060260772705078125	-1.8188141604855304	41.0552856047927	IFITM3;NCKAP1;ERRFI1;MIDN;AHCYL1;RPL3;KDELR1;ZMYND8;RAB3D;RPL7;TPGS2;YY1;CDH5;LGALS3;LAPTM4B;TUBB6;TUBB5;SNRPD2;LAMP1;BASP1;LAMP2;CPNE1;PSMD1;PHLDA1;HIST1H2AC;TPM4;RPS5;SHISA5;ANXA11;CYBA;ATP1B3;EEF1A1;NISCH;ACLY;1810037I17RIK;CTAGE5;HAT1;S100A6;MYADM;JTB;SNRPE;LY6A;MYL9;RPL28;PPIA;LY6E;SRSF9;CDC42SE1;TMED10;CBFB;GLO1;FLII;HTRA1;ITPR2;ADIPOR2;HIF1A;RTN4;CNN3;ZFP36L1;MYL12B;SNX3;TMEM123;LDHA;IRAK1;PCBP1;GAR1;PGK1;CD14;S100A11;TXNDC5;S100A10;SNX6;FDFT1;CBX6;GSTM1;TNK2;RPS16-PS2;NEK7;GLMP;1110004F10RIK;IGF2R;D17WSU92E;COPS6;RPL27A;DNAJC10;RPS27RT;TMEM119;DYNLRB1;GSTM5;ITGB1;GSK3A;OTUD7B;HMGB3;CHD4;LITAF;AKR1B8;TUBA1C;TUBA1B;YWHAQ;CTSL;SCD2;TSPO;CTSD;ACTR3;TGIF1;PLA2G12A;GLRX3;ANXA2;TSC22D1;GSTO1;ANXA4;ANXA5;TCF12;SPATS2;EMP1;RPL13A;EMP3;DYNLL1;1110008F13RIK;LSS;ARL4C;PSMA5;MRPL52;PSMA6;PSMA3;MMP14;PKM;NPC2;CSDE1;RPL37A;SDHAF1;STRAP;RHOU;TOP1;ALDOA;SLC25A4;ENG;PCNA;RPL10;NDUFB5;SYPL;TIMM13;GNAI3;CXXC1;HSD17B4;GNAI2;IL1RL1;CYTH2;NRAS;GNG5;SERTAD1;PERP;LMNA;SPP1;RPS3;RPL13;ROMO1;RBBP7;RPS2;RPL18;POLR2L;BRD4;PTPN1;CSNK1A1;OAZ1-PS;TMEM176B;TAF10;GALNT1;SSRP1;FKBP1A;PSMC6;LPCAT3;IMPDH2;SLMAP;CDK2AP1;CD9;NUCB1;PTPN9;CTNNB1;HDGF;RPSA-PS10;PLP2;SUGT1;SEC24C
nemaline myopathy DOID-3191 mouse GSE3384 sample 971	203/493	0.000000001977837257109083232310317083360758083632191528522525914013385772705078125	0.000000139822561308722587996539545897312084576924462453462183475494384765625	0.00000000000000000354809438567330718168040015592274625978965298120164882644811399359241477213799953460693359375	0.00000000000000080542925172331663309373256010853156020815220295094860603057895787060260772705078125	-1.9695815650872386	39.47289994705877	ISCA1;THUMPD1;GHITM;RPL7;NUDT4;PSMD6;PSMD7;LGALS1;PSMD4;SNRPD2;CAPNS1;PSMD1;EPC1;CPNE3;QK;MBNL1;AP1AR;BIN1;CDC37;VDAC3;UQCRC1;JTB;UQCRC2;PFN2;CTBP1;MGST3;FLII;HIF1A;MYL12B;SNX3;PCBP1;ST3GAL5;GSTM1;NDFIP1;LRBA;RDX;NFATC1;D17WSU92E;ARL2BP;SSPN;ITM2B;RPS23;HBS1L;SRPR;BMI1;PPP3CA;GYS1;TUBA1B;UBL3;SMPD1;KIF1C;ACADM;TRP53INP2;JAK1;ANXA2;TNNC1;SSR3;EMP1;NUTF2;DYNLL1;1110008F13RIK;MRPL52;PSMA6;PSMA3;2010107E04RIK;CSDE1;ADSSL1;ANGPTL2;MFGE8;DLD;RHOQ;CD63;NFIX;RPL10;PSMB7;GPC1;LMNA;RPL13;RABAC1;PAIP2;MEF2D;EGLN1;CSNK1A1;OAZ1-PS;RAB11B;FKBP1A;PSMC6;NFIC;SLMAP;HNRNPA2B1;CCDC6;HDGF;PLP2;RAMP1;PNPLA2;GRINA;MIDN;ACAA2;ZFAND6;UBE2D3;MRFAP1;BZW2;RPL10A;PAIP2B;LAPTM4A;CFL2;HCFC1R1;CAPN1;HADH;KPNA3;PPTC7;TPM3;RPS5;USP2;DYRK1A;ANXA11;ATP1B3;EEF1A1;CLIP1;CLIP4;SRSF2;CHMP4B;ANAPC5;ERH;LY6A;PPIA;CSNK1G2;HIST1H2BC;CBFB;NDRG2;ADIPOR2;RTN4;BTBD1;BAG3;HSPA9;PRNP;CHTOP;RPS16-PS2;UQCC1;2310061I04RIK;NFKB1;QDPR;NR4A1;H1F0;BCL6;UBA2;TPP1;SERINC3;NFE2L2;ITGB1;PHTF2;RNF10;GSK3A;SCHIP1;HSPB8;HSPB2;SIX1;DBI;CHD4;ETFA;HK2;RBM3;SEPT7;GYG;ACTR3;SUN2;GLRX3;VBP1;NAV2;ARFGAP2;PPM1A;TRAF3;CTDSP2;RPL37A;COL6A3;ETF1;ZMYND11;ANK;PLEC;CAMK2B;DCTN1;VPS4A;ETFDH;PDHB;MLLT3;CD59A;STOM;RBBP7;POLR2L;SLC12A2;POLR2M;CNBP;GALNT1;NDUFA2;RPIA;RAB10;EIF3M;SUCLA2;RAB12;RAB18;LPIN1;EIF3C;SLC25A36
Sickle Cell Anemia C0002895 human GSE9877 sample 109	174/403	0.000000000410150123745787255319170927142838865842033868602811708115041255950927734375	0.0000000491594219746736412804445919173812473701445924234576523303985595703125	0.000000000000000027255077419772842960622536034659583195378313781077894706328379470505751669406890869140625	0.00000000000000299529316208754489155733607130352872008097436622164888575525765190832316875457763671875	-1.824895149600527	39.44419231994664	IFITM3;MTCH1;NDUFA13;IFITM2;CCNI;KDELR1;CD81;DIXDC1;PEBP1;PPP2R2A;RPL10A;PHB2;NARS;FBL;LGALS3;RPS14;PSMD6;RPS16;TMEM147;LGALS1;SNRPD2;CAPNS1;PTTG1;FCGRT;LIPG;CAPN2;PRKACA;SEMA6B;GABARAPL2;TPM4;RPS5;SARS;RPSA;ACTN4;PLA2G16;ACLY;OXA1L;CDC37;CSNK2B;ERF;MXRA7;PPIA;SNRPB;TMED10;CBFB;SHC1;GLO1;MGST3;PXN;GNS;SNX3;CNN2;LDHB;ATP5B;SEC14L1;RRAS;IRAK1;ZMAT3;BAG3;PCBP1;PSAP;TSPAN3;PIP5K1C;S100A11;S100A10;VAT1;XRCC5;NONO;HMGA1;TBCA;EHD2;EHD4;RPS27;RNF103;RGCC;CNIH1;GIPC1;GNB1;PPT1;CALM3;TPP1;UBA1;DYNLRB1;FXYD5;RNF187;RPS23;YWHAE;COL18A1;CDKN1A;TINAGL1;GDI1;HEXB;DYSF;ILK;ATP5G3;HK1;RPS4X;TUBA1C;TUBA1B;ALDH2;RNPEP;TSPO;SH3BGRL3;TIMP1;AP3S1;COLGALT1;CTSB;JAK1;ACTR3;CCT3;CAP1;ANXA2;ATP6AP1;GPX4;GSTO1;RHOG;NDUFC2;NME4;RHOC;REXO2;ITFG1;PKM;NDUFS7;CTDSP1;NPC2;PPDPF;PLIN3;NDUFS2;ALDOA;SLC25A5;TKT;DCTPP1;ARF5;ENG;CERS2;CD63;USP14;LEPROT;RPL36A;AGPAT1;TMEM164;GNAI2;PSMB7;PSMB5;GNG5;OS9;EIF4H;RPL14;FLNA;E2F4;RABAC1;CDIPT;METTL9;NQO1;TAF10;CMTM6;TXNL1;NAP1L1;CDC42BPB;SPCS1;FABP5;EIF3K;ABHD17A;APEX1;MGP;ASXL2;CD9;R3HDM4;HDGF;PLP2;ESYT1;PNPLA2;FAM50A;GRINA
Muscular Dystrophy C0026850 mouse GSE2507 sample 232	128/271	0.00000000008793523502019483066143699044107354297061807102409147773869335651397705078125	0.0000000147555324363886923290801249874192035971276482086977921426296234130859375	0.00000000000000268171548930747769053311360592837780987963795797934807296769577078521251678466796875	0.00000000000011841891029099861663647190930573249094230614542055946003529243171215057373046875	-1.6870756498194013	39.06325907548252	ISCA2;ISCA1;AHCYL1;ACAA2;CSF1;ZFAND6;CISD1;MRFAP1;ENO3;NUDT4;LAPTM4A;CHCHD3;LAMP1;CAPN7;MPC2;LAMP2;CPNE1;QK;HADH;B2M;CAST;CD93;PPTC7;DNTTIP2;ATP1B3;IFT81;CLIP4;MYADM;PSME1;SRSF2;SUCLG2;UQCRC2;LY6A;PPID;VCL;SNRPB;PFN2;KMT2E;CBFB;UQCRB;RTN4;ZFP36L1;SNX3;LDHA;BTBD1;RAD21;ESD;PGK1;ISOC1;ARGLU1;HSPA9;PRNP;RPL41;GSTM1;ZRANB2;DMPK;NEK7;RDX;OCEL1;PUM2;RPS28;BCL6;REEP5;WNK1;KITL;OGN;TMEM119;CYCS;CPE;TCF4;RPS24;ITM2B;PHTF2;NRP1;GDI1;CHD4;ETFA;PPP3CA;UBL3;SEPT7;AIFM1;SS18;GLRX3;VBP1;DYNLL1;FH1;PSMA3;TNNT2;CSDE1;ADSSL1;NDUFS2;TOP1;ZMYND11;SLC25A4;DLD;ENG;NDUFB5;SYPL;ATP5A1;TFPI;SH3BGRL;GNG5;OXCT1;POLR2C;RPS3;TNNI3;SPTSSA;PAIP2;MEF2D;POLR2L;EGLN1;SLC12A2;CSNK1A1;AMFR;DEK;EIF3M;PSMC6;SUCLA2;SLMAP;HNRNPA2B1;NDUFAB1;RAB18;RPL22L1;LPIN1;ABCE1;RNF141;LAMTOR3;TPT1
colon carcinoma DOID-1520 mouse GSE422 sample 651	180/421	0.000000000526328087070886606830704657305868010563898451437125913798809051513671875	0.0000000551986581315592320124907500973610030570171147701330482959747314453125	0.00000000000000001639421332020447467418897071624208044252702913697559983230433999779052101075649261474609375	0.000000000000002292457495941925793861923276696158010491319832746537343837189837358891963958740234375	-1.7921855514457699	38.29021699797733	IFITM3;ERRFI1;MIDN;AHCYL1;KDELR1;CD81;RAB3D;RPL7;LGALS3;LAPTM4B;TUBB6;TUBB5;SNRPD2;LAMP1;BASP1;LAMP2;CPNE1;SLC39A6;PSMD1;PHLDA1;TPM4;SHISA5;ANXA11;CYBA;ATP1B3;TMEM131;WDR77;EEF1A1;NISCH;ACLY;1810037I17RIK;CTAGE5;HAT1;S100A6;MYADM;SRSF2;CHMP4B;JTB;SNRPE;PKP4;RELL1;LY6A;RPL28;PPIA;LY6E;SRSF9;SET;TMED10;RPN2;CBFB;GLO1;CDCA7;HTRA1;ITPR2;HIF1A;RTN4;CNN3;ZFP36L1;MYL12B;SNX3;TMEM123;LDHA;PRDX4;IRAK1;BAG3;GAR1;PGK1;CD14;S100A11;TXNDC5;S100A10;SLC38A4;HSPA9;CBX6;NOP16;TNK2;RPS16-PS2;NEK7;GLMP;1110004F10RIK;HPRT;PRDX6;NFKB1;1190005I06RIK;D17WSU92E;DNAJC10;RPS27RT;TMEM119;GSTM5;ITGB1;GSK3A;CETN3;HMGB3;CHD4;LITAF;AKR1B8;TUBA1C;TUBA1B;ACADL;YWHAQ;CTSL;SCD2;TSPO;TNPO2;PGM1;ACTR3;PLA2G12A;GLRX3;ANXA2;TSC22D1;H2AFZ;VBP1;ANXA5;TCF12;SPATS2;EMP1;RPL13A;EMP3;DYNLL1;ARL4C;MRPL52;PSMA6;PSMA3;MMP14;PKM;NPC2;CSDE1;RPL37A;SDHAF1;MCM3;ANGPTL2;STRAP;ETF1;TOP1;ALDOA;SLC25A4;ENG;PDXK;PCNA;RPL10;SYPL;GPS1;ODC1;TIMM13;HSD17B4;MLLT3;GNAI2;IL1RL1;PSMB4;GNG5;RBBP4;PERP;LMNA;FAM120A;RPS3;RPL13;ROMO1;RBBP7;RPS2;LDLR;POLR2L;SLC12A2;PTPN1;CSNK1A1;TMEM176B;TAF10;FKBP1A;PSMC6;PRC1;SLMAP;RAB18;CDK2AP1;CD9;NUCB1;PTPN9;CTNNB1;HDGF;RPSA-PS10;PLP2;EIF3C
Setleis syndrome C1744559 human GSE16524 sample 285	168/393	0.000000001999845930518082388797228946832572338276889922781265340745449066162109375	0.000000139822561308722587996539545897312084576924462453462183475494384765625	0.00000000000000019932715028331258730820318582952081265333239205699011886707694429787807166576385498046875	0.000000000000012864267622130711648704848460597385414623246117915567054978964733891189098358154296875	-1.866465748025684	37.3856741892794	IFITM3;IFITM2;RNH1;CCNI;ARL6IP1;MRFAP1;ZDHHC7;NR3C1;ANTXR2;BZW1;PHB2;LOXL1;NARS;LAPTM4B;FGF7;LAPTM4A;CAPNS1;LAMP1;PTTG1;PLAU;CFL2;DPYSL2;LAMP2;CAPN2;IER2;RPS9;RPS5;PCOLCE;CDC25B;EID1;WDR82;ERH;MATR3;RPL29;VCL;PFN2;PPIC;CUTA;TMED10;RHOBTB3;TWIST1;PTTG1IP;IQGAP1;PCDH18;GNS;HIF1A;ADH5;UQCRH;CNN3;TMEM123;ATP5B;ZMAT3;PCBP1;RAD21;PSAP;SNX9;IGFBP6;S100A10;SNX6;VAT1;EGR1;ATP8B2;CAV1;NONO;MSN;STAM;PRDX6;H1F0;COL1A2;HNRNPK;CNIH1;ADI1;PPT1;TPP1;TCF4;ITM2B;TOP2B;FHL2;HMGB2;HMGB1;COX7C;YBX3;CYR61;WISP2;CKS1B;SGCE;TUBA1C;TUBA1B;YWHAQ;NPTN;MFSD1;UQCRFS1;ANXA7;TSPO;SH3BGRL3;EDIL3;CTSB;SH3D19;KLF10;GPX4;H2AFZ;ANXA4;ANXA5;SMIM19;GPX8;EMP3;ATP5F1;RHOA;PJA2;SUMF1;TGFBR3;UGDH;NSA2;CSDE1;TMBIM1;ANGPTL2;COL6A3;AIDA;MICU2;SLC25A5;SGK1;PTMA;DDR2;MATN2;AVPI1;COLEC12;MTPN;PCNA;MVP;ODC1;RPL36A;CAPG;NEDD8;TYMS;SH3BGRL;PGRMC2;OLFML3;RAB23;LMNA;STOM;CDIPT;EIF4B;POLR2L;HNRNPA0;SEPT10;DUT;PRRX1;YTHDF3;CNBP;AHNAK2;DEK;TUBB4B;MEIS2;PDP1;MFAP5;RAB10;TM9SF2;GNPDA1;TRMT5;APEX1;SERBP1;MGAT4B;CTNNB1;RPL22L1;PLP2;LAMTOR1;KCNK2;HSPA1B
