Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Z-score	Combined Score	Genes
idiopathic urticaria DOID-1555 human GSE57178 sample 815	91/408	0.00000000000000000000000000000005150300843670122294363640550336746715120511213187237526965472057254654873978766079813118583530240357504226267337799072265625	0.00000000000000000000000000004321102407839232335659045809306749675831829619333335804698689101643780554706623930893982787893037311732769012451171875	0.0000000000000000000000000000000000144699919478741041006884874034100822094979442522422639163034584906336648063176428531702972200834178551076547591947019100189208984375	0.00000000000000000000000000000001214032324426637341531505281404253706570379630787275203260411431658300831543475213430104131528963762320927344262599945068359375	-1.7517799053367835	126.20464964041997	LTV1;EIF4A1;WDR3;EIF4A3;NAT10;BZW2;IPO7;IPO4;WDR43;MRPL3;TUBA1C;TUBB6;CDH3;ADAMTS1;C1QBP;RUVBL1;XPO5;RRP12;KPNA2;ADAMTS9;UTP14A;CCT3;UTP15;DDX18;CCT2;ADSL;WDR36;ACTN1;DNTTIP2;URB2;GNL2;PUS7;PPRC1;GTPBP4;GNL3;EBNA1BP2;POLR1A;DKC1;POLR1B;PSME3;MRTO4;B4GALT5;RRN3;SEMA3A;NIP7;NOP2;HEATR1;ARHGAP18;DDX21;SLC1A3;NOLC1;RPF2;SDAD1;THBS1;GSPT1;HSPD1;SRM;STIP1;ZNHIT6;G3BP1;RRS1;CCL2;UTP20;LYAR;LDLR;CCT5;NOP58;VCAM1;GADD45B;NOP16;NIFK;HSPA4;PNO1;PLK2;MSN;PA2G4;NOC3L;WDR12;HNRNPAB;EIF2S1;BYSL;CCT6A;AIMP2;UCK2;NDUFAF4;NOL10;NAA15;ABCE1;RAN;FARSB;ZPR1
Simian Acquired Immune Deficiency Syndrome C0080151 human GSE4785 sample 92	66/353	0.000000000000000000416034558950156037755951639725246719965105746845681288469120939765844013891182839870452880859375	0.000000000000000116350998319726961861529348226307264683689456238012416289251405032700859010219573974609375	0.000000000000000000000250095147702998065303081971518733486581565150439573322850767868319454834136195131577551364898681640625	0.00000000000000000009951395201820419038460266976228046386744645017360355837392205113900445212493650615215301513671875	-1.7927844492241132	75.87694602136777	EIF4A1;HSP90AB1;EIF4A3;HNRNPU;HMGB1;PRPF19;PTBP1;MRPL3;ATIC;C1QBP;PMEPA1;KPNA2;CCT3;EIF5A;CCT2;PRMT5;NUDC;ADSL;DNTTIP2;AHSA1;CACYBP;GTPBP4;GNL3;EBNA1BP2;MTHFD1;DKC1;NCL;TCP1;NHP2;MCM3;PPIF;SRSF2;LAP3;SET;DDX1;SRSF1;DDX21;NOLC1;PHB;HSPD1;UNG;STIP1;BID;CCT7;CCT5;CCT4;HNRNPA0;NOP56;NOP58;YTHDF2;XRCC5;HSPA4;RCC2;CNBP;RPP40;PA2G4;HNRNPAB;CCT6A;HNRNPM;HNRNPK;SERBP1;NOL11;ABCE1;DANCR;TOMM5;RAN
Protozoan Infection C0033740 human GSE2077 sample 239	64/334	0.00000000000000000039297769713534629536694473798413197566683698348427903300483787774055599584244191646575927734375	0.000000000000000116350998319726961861529348226307264683689456238012416289251405032700859010219573974609375	0.000000000000000000000355830579326117454532225042358386424213523601732549726884614373079163129887092509306967258453369140625	0.00000000000000000009951395201820419038460266976228046386744645017360355837392205113900445212493650615215301513671875	-1.7012463459528078	72.09972876508778	LAD1;EIF4A1;HSP90AB1;WDR1;ARPC1B;FHL2;PRSS23;ACTB;PTBP1;LASP1;LAMP1;RARS;C1QBP;PSMD3;CAPN2;CCT3;CCT2;NUDC;PRMT1;ACTL6A;TOMM34;AHSA1;ACTN4;EBNA1BP2;DDX39B;DKC1;NCL;CDC37;TCP1;MCM3;SRSF2;VDAC2;CCDC86;MCM6;FKBP4;PFN1;EZR;VCL;TOMM40;MAZ;DDX21;NOLC1;HSPD1;SRM;UNG;STIP1;PCBP1;CCT5;MCL1;NOP56;NPM1;UBE2I;XRCC5;PLK2;HMGA1;PA2G4;HNRNPAB;CCT6A;BMP4;HNRNPK;TARDBP;RAN;EIF3B;EIF4G1
hepatitis C DOID-1883 human GSE20948 sample 597	59/301	0.00000000000000000320556943104807681685574085984744312829834318113639800296166271209585829637944698333740234375	0.0000000000000006723681881623340736242997631695605497354208362863203785053656247328035533428192138671875	0.0000000000000000000059794875212284596313798988703018924404634898893219616448045650169973441734327934682369232177734375	0.000000000000000001254197507577669497207583546671238546286191679131512277667326316077378578484058380126953125	-1.7001848856875836	68.4862387795684	EIF4A1;RPL3;HSP90AB1;HMGB1;AHR;BZW2;PHB2;CDC20;FBL;MRPL3;TUBA1C;ATIC;NOB1;C1QBP;KPNA2;ENOPH1;CCT3;AHSA1;ATP1B1;DUSP9;TGFBR2;EEF1G;KARS;NCL;ALDH1A1;NHP2;GEMIN5;CCDC86;PABPC1;SLC25A5;MCM2;TOMM40;PKDCC;WRB;ARHGAP18;DDX21;RPF2;HSPD1;SRM;SLC9A3R1;FLRT3;RRS1;LYAR;NOP56;NOP58;NPM1;CNBP;DHCR24;LAMB1;WDR12;MARCKS;APEX1;SERBP1;EIF3E;ABCE1;DANCR;TOMM5;RAN;EIF4G1
Scleroderma C0011644 human GSE1724 sample 155	66/411	0.000000000000001243679194773611192013727555949814302455592421488284049502226480399258434772491455078125	0.0000000000002086893688830119768342360734095103990217746903201856412124470807611942291259765625	0.00000000000000000030465409581493540876687591902787748921511569340971211337920632189479874796234071254730224609375	0.00000000000000005112095727774616765776110403267077981662693249667074602005101269242004491388797760009765625	-1.7972764288784342	61.68378929485903	HSP90AB1;WDR1;FHL2;PHB2;LOXL1;MYLK;FBL;LASP1;TRIM28;SNRNP70;BASP1;PPP2R1A;XPO6;CAPN2;DDX17;CCT2;ACTN1;TPM1;WNT5A;BGN;TBC1D2B;TGFBR2;DCTD;EEF1G;ACTA2;KARS;DAAM2;NCL;COL6A2;COL6A1;PXDN;SRSF2;ANGPTL2;GAS1;PABPC1;PFN1;TKT;VCL;SET;LTBP4;THBS1;FBLN2;HSPD1;PDLIM1;STIP1;TMEM123;EIF4H;EIF4B;FARP1;NPM1;FOXF2;XRCC5;WDR18;MSN;LAMB1;BMP4;COL3A1;MARCKS;CXCL12;HNRNPK;PTK7;APEX1;COL5A2;EIF3G;PLXNB2;RAN
progressive myoclonus epilepsy DOID-891 mouse GSE47516 sample 516	59/459	0.00000000050132341505151618252104257303651720090176269195580971427261829376220703125	0.00000001504056871962469655943839719376697861008551626582629978656768798828125	0.0000000000001770521437745720841315589381457401121412222055884200244690873660147190093994140625	0.00000000000645855428812460762633438170665897194201721109863001402118243277072906494140625	-2.657309609803901	56.903015963658184	COL18A1;TINAGL1;SERPINE1;BUB1B;PRSS23;LOXL1;WISP1;CTGF;CDC20;TUBA1C;BMPER;FAM198B;RUVBL1;ENPP1;FBXO5;TK1;GUSB;KPNA2;BGN;DNTTIP2;EMP1;PCOLCE;CCNA2;MTAP;COL4A2;ESPL1;COL4A1;PXDN;NHP2;MCM3;NAF1;MCM6;LAP3;PPID;VCL;MCM2;AHCY;CDCA8;HMMR;THBS1;FBLN2;CNN2;SLC9A3R1;TMEM123;PITRM1;PACSIN2;FAM83D;MBD3;CRTAP;PNO1;ARHGEF39;PLK1;MSN;TPX2;COL3A1;SMTN;COL5A2;VIM;TJP2
acute myocardial infarction DOID-9408 mouse GSE775 sample 1002	59/352	0.0000000000000059241513372090412657343329004166636473372180467233949485716948402114212512969970703125	0.000000000000828393828653064303588819054060927928213875492957640744862146675586700439453125	0.0000000000000000043263360056528208568522107908432785900667757260471164848514291634273831732571125030517578125	0.0000000000000006049659847904527875152753495306530564378874755514237104847552473074756562709808349609375	-1.7230935926582023	56.448096285992364	RPL3;WDR1;SERPINE1;CHD4;ACTB;CTGF;TUBA1C;TUBB6;TUBB5;PPP2R1A;RARS;PRMT1;ACTN1;BGN;DNTTIP2;SHROOM3;EMP1;CTPS;ACTN4;GTPBP4;WDR77;ACTA2;COL4A2;DDX39B;COL4A1;NHP2;FSCN1;PKP2;SRSF2;MYH9;PLIN2;PABPC1;VCL;THBS1;FBLN2;GSPT1;HSPD1;CCL9;HNRNPDL;PCBP1;LMNA;SPP1;ANKRD10;CCL2;CCT8;CCT7;VASP;NPM1;PNO1;CNBP;PLK2;MSN;GADD45G;UCK2;EIF3M;CARM1;COL5A2;RAN;FERMT2
cervical cancer DOID-4362 human GSE9750 sample 619	57/335	0.00000000000000880469584636600774426594944735881628981020476099050853235894464887678623199462890625	0.0000000000009233924768876350247089984502936951013367383733765336728538386523723602294921875	0.000000000000000008863005549099805294784692314153058427862133622997763138240401303846738301217555999755859375	0.000000000000001062294522242105125004838143957093166210673969122868509629142863559536635875701904296875	-1.7246611130802243	55.81605475071315	LGALS3BP;EIF4A1;HSP90AB1;SERPINE1;PHB2;ACTB;CDC20;PTBP1;MRPL3;TUBA1C;TUBB6;XPO1;CDH3;TRIM28;BASP1;KPNA2;CCT3;CCT2;PRMT1;ACTN1;KRT7;AHSA1;ACTN4;KARS;MTHFD1;DDX39B;NCL;NHP2;MCM3;SRSF2;PFDN2;MCM6;PFN1;TKT;SNRPA;KPNB1;MCM2;AHCY;SET;SDC4;GMPS;DDX21;HSPD1;EIF4H;POLR2H;CCT7;CCT5;CCT4;NPM1;EEF2;HNRNPAB;TPX2;KRT19;H1F0;APEX1;SAE1;RAN
Treacher Collins syndrome DOID-2908 mouse GSE10167 sample 480	49/258	0.00000000000000872750760599207239165626893125279940903633868476418911086511798202991485595703125	0.0000000000009233924768876350247089984502936951013367383733765336728538386523723602294921875	0.00000000000000004019177649682709560705441180188171846278214976804464553250539893269888125360012054443359375	0.00000000000000421511256010474130897430133679436337982020417680661950043941033072769641876220703125	-1.7215520350342006	55.73059302748082	RPL3;WDR3;HMGB1;PRPF19;TOMM20;ACTB;PTBP1;XPO1;TUBB5;LAMP1;LRRFIP1;KPNA2;RRP15;EIF5A;PRMT1;DIS3;MMP2;CACYBP;AEN;RABGGTB;ACTA2;CDC34;DDX39B;NCL;TNNT2;CLNS1A;SRSF2;PABPC1;MAK16;SRSF1;HSPD1;HNRNPDL;PCBP1;RRS1;UTP20;ARGLU1;NOP58;NPM1;NIFK;CNBP;PLK2;HNRNPAB;CCT6A;MARCKS;SERBP1;EIF3E;VIM;SUPT16;EIF4G1
thymic carcinoma DOID-3284 mouse GSE2501 sample 985	47/261	0.0000000000002413869531514615022097802073456395744767422062437844942905940115451812744140625	0.000000000020252365369407619914231524354351746987357163476417554193176329135894775390625	0.000000000000001063678423172294723872990059797265062556219372691401758856954984366893768310546875	0.000000000000081129654276505027142998875203843923696362012976113220474871923215687274932861328125	-1.6767709137555662	48.714177600717946	LGALS3BP;AHCYL1;RPL3;HSP90AB1;VARS;LEF1;INPPL1;CDCA7;CHD4;BZW2;HSPD1;SRM;FBL;TAF1D;TRIM28;U2AF2;PCBP1;CCT8;CCT5;CCT4;NPM1;GLRX3;PRMT1;PABPC4;TMEM176B;CNBP;ACTN1;PYCR2;CTPS;EIF2S1;MFHAS1;H1F0;EIF3L;NCL;IMPDH2;TRP53;FASN;2410002F23RIK;NHP2;EIF3G;TSR1;PABPC1;TKT;SLC29A1;GAS5;EIF3D;RAN
