Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Z-score	Combined Score	Genes
imatinib DB00619 mouse GSE30883 sample 2523	120/378	0.0000000000000000000000000000000000000000000000000000000000047033240846081502372475904150541319667425303242382072929152140670551186246859580104703113146754928638014972770557510598398465585910732600318155294965606627588527999250800348818302154541015625	0.000000000000000000000000000000000000000000000000000000004247101648401159881451485642529352383686026935942751198212079468852121514207609765135112150293335418112108768516336681486266979741295492600350151846111401710004429332911968231201171875	0.00000000000000000000000000000000000000000000000000000000001517827614811415370044161859257448767579635392508690092920915948762422107405031206619353252312234119985978480300381854680906121839843574513722931755045630897171804463141597807407379150390625	0.0000000000000000000000000000000000000000000000000000000137059833617470817664876667850371827988616874970673815197878481607230948735034587639261000782048392402246967891198997735481295775582998993052767644496015009281109087169170379638671875	-1.606748879559101	219.49288079376632	LTV1;TMEM41A;POP1;PWP2;NOC2L;YARS2;IPO4;IPO5;RRP9;THG1L;PPAT;RCC1;DDX18;IFRD2;WDR75;MOGS;CTPS;PUS7;ATAD3A;WDR77;FTSJ3;DCTD;MTAP;1810032O08RIK;MTHFD1;CCNE1;DKC1;GRWD1;MRTO4;GEMIN5;LAP3;DNA2;FKBP4;SMYD5;SHMT1;NOP2;CDCA7;NOLC1;RPF2;NLN;RRS1;SMYD2;TSPAN4;UTP20;LYAR;EIF2B3;CRTAP;NOP16;XRCC5;RPP40;LIF;SNHG5;RCL1;AIMP2;TBL3;NDUFAF4;SUV39H2;NAT10;AATF;PFAS;TTC27;ATIC;C1QBP;RRP12;RRP15;ADSL;PRMT7;CLUH;GLRX3;NUP133;PRMT1;NSUN2;SIGMAR1;CAD;PPRC1;UTP18;YDJC;LRRC42;GNL3;KAT2A;POLR1A;POLR1B;MIR17HG;MCM3;MCM6;UMPS;THOP1;GART;MCM2;AHCY;USP10;TIMM9;HEATR1;DDX21;NOC4L;SDAD1;HSPD1;NOL6;SRM;UNG;AKAP1;HIRIP3;ZNRF3;EXOSC2;UBQLN4;EXOSC1;NOP58;PCGF6;TXNRD3;NIFK;RRP1B;MPP6;BOP1;MYBBP1A;LPCAT4;IMPDH2;2410002F23RIK;TSR1;TRMT61A;RAN
cytarabine 6253 human GSE5681 sample 2599	95/291	0.000000000000000000000000000000000000000000000000965730174799003387240808206816906387376231666018485808754476167368373497159250541039792832546283329648990908855481091481627597961079345623147673904895782470703125	0.00000000000000000000000000000000000000000000043602717392175004544370780218645190961498748638442567621140404338624729677790848372546442306824664905668910363256717856172972602735171676613390445709228515625	0.000000000000000000000000000000000000000000000005747780004891196623681808085680026548456535027782514648872002509591590096946426787550711804483789155002874263228289223627565096563785118632949888706207275390625	0.000000000000000000000000000000000000000000002595122672208375423875122268469549227170276846523328284280311590889663522196356031364938909473801862944982968389967363520565157841701875440776348114013671875	-1.667676014956917	184.37651794189955	EIF4A1;RPL3;HSP90AB1;PPAN;HMGB1;BZW2;YARS2;PHB2;TOMM20;CDC20;FBL;SYNCRIP;MRPL3;XPO1;ATIC;RARS;C1QBP;RUVBL1;ENOPH1;CCT3;DDX18;CDV3;CCT2;ADSL;USP7;CLUH;PRMT1;AHSA1;RABGGTB;GNL3;SFPQ;KARS;DDX39B;DKC1;NCL;CLNS1A;MRTO4;TCP1;POLR1D;SRSF2;VDAC2;CCDC86;PFDN2;SKIV2L2;SET;NIP7;DDX1;MRPL19;NOP2;HEATR1;SRSF1;GMPS;DDX21;TIMM10;HMMR;HSPD1;STIP1;TAF1D;HNRNPDL;PCBP1;EIF4H;CCT7;EIF4E;CCT5;EIF4B;CCT4;HNRNPA0;NOP56;NPM1;NOP16;XRCC5;PNO1;CNBP;PLK1;WDR12;EEF2;HNRNPAB;CCT6A;UCK2;EIF3M;NACA;EIF3L;NDUFAF4;IMPDH2;APEX1;SERBP1;EIF3G;ESF1;EIF3E;NAA15;NOL11;ABCE1;RSL24D1;EIF3D;RAN
4-Hydroxynonenal 5283344 human GSE2397 sample 3080	99/354	0.0000000000000000000000000000000000000000000549940670246477874962261694435199851485939935997276896502040583012921169218202691523797015550695948118303620273140952523505120552727021276950836181640625	0.00000000000000000000000000000000000000001655321417441898550001727035544004505001065752260325597153873163190743689885052881340345593319813340482476136938938537923604599200189113616943359375	0.00000000000000000000000000000000000000000000548452557588919228418212728815341076955708611622677417950782538922833202461714833395336510047196459694326193924445410343704310207613161765038967132568359375	0.00000000000000000000000000000000000000000165084219834264691549921350868714105521547364904301689563239367135684745132657299873712578285790033490198526477943374857204617001116275787353515625	-1.680342601294802	167.37742072232606	EIF4A3;IPO7;TOMM20;PWP1;RRP9;TRIM28;KPNA2;MAP2K3;DDX18;NOM1;TOMM34;DNTTIP2;ACTN4;PUS7;GTPBP4;AFG3L2;EBNA1BP2;MTHFD1;DDX39B;DKC1;CDC37;PSME3;PPIF;SRSF2;GEMIN5;VDAC2;CCDC86;PFN1;SNRPA;KPNB1;SET;DDX1;CDCA7;NOLC1;RPF2;CORO1C;DHX33;HNRNPDL;PCBP1;RRS1;RBM12;LYAR;PHC2;HMGA1;PA2G4;SRPK1;TPX2;UCK2;SMTN;EIF6;NDUFAF4;NOL11;RBM28;WDR3;ARPC1B;NAT10;PTBP1;SYNCRIP;MRPL3;TUBA1C;ATIC;NOB1;RARS;ENOPH1;CDV3;CCT2;PABPC4;REXO4;GNL3;CCNA2;ST6GALNAC4;FJX1;FAM60A;SF3B4;DDX24;NIP7;MAK16;DDX21;ASAP1;SRM;EIF4H;HNRNPA0;NOP56;NOP58;NIFK;CNBP;RRP1B;NOC3L;HNRNPAB;AXL;TOMM70A;CARM1;SERBP1;CEBPZ;NAA15;ABCE1;FOLR1;TOMM5;RAN
cytarabine, 2xEC50, 1 d 6253 human GSE6930 sample 3422	79/253	0.00000000000000000000000000000000000000492352828795165936447065339492966588789548993251026950056137704930479777419390794731243552795869693715358206276277996948920190334320068359375	0.00000000000000000000000000000000000111148651100508711294853282290278999593542154346315156222876832050124955610188851617779799848227673120248937266296707093715667724609375	0.00000000000000000000000000000000000000801502597039747098564478126515621064080623056812931464886350581135505722456475075963992282017132125389313745955632839468307793140411376953125	0.0000000000000000000000000000000000012062614085448193696364001976091081953497200710647119876815126826641063620038584328393895707810627715428353212701040320098400115966796875	-1.7470470032108991	154.10141376060855	RPL3;WDR3;NAT10;BUB1B;PHB2;IPO7;PWP1;PFAS;IPO4;CDC20;PTBP1;SYNCRIP;MRPL3;BASP1;RARS;C1QBP;RCC1;KPNA2;DDX18;CDV3;ADSL;PABPC4;DNTTIP2;RAD23A;SOX11;RABGGTB;PUS7;WDR77;GNL3;EBNA1BP2;SFPQ;DDX39B;DKC1;NCL;NHP2;SRSF2;CCDC86;MCM6;PABPC1;SET;CDCA8;TIMM10;HMMR;CENPA;HSPD1;AURKA;SRM;TAF1D;HNRNPDL;PES1;RRS1;POLR2H;HNRNPA1;CCT5;CCT4;HNRNPA0;NOP56;NPM1;HSPA4;PLK1;DHCR24;PA2G4;WDR12;EEF2;HNRNPAB;CCT6A;TPX2;HNRNPM;UCK2;TOMM70A;APEX1;SERBP1;EIF3E;NAA15;NOL11;ABCE1;RAN;EIF3B;EIF4G1
curcumin 969516 mouse GSE23639 sample 3442	109/484	0.0000000000000000000000000000000000000111994505614793583928341414659080448546430566242661276446496286838896646487942401663191943521479952868002971655414512497372925281524658203125	0.000000000000000000000000000000000002022620771403172136708357454980514105621830129893462546201678893866337235806749019226381550921704810530599161211284808814525604248046875	0.0000000000000000000000000000000000000000067797002452263113321355466399710514013129292139852925400584451732748026106476500636960219293097517368200562171143275236318004317581653594970703125	0.000000000000000000000000000000000000001530517330359839804895649645374815821439167179698060346957215948486402179958554607931192411119267443413149987208043967257253825664520263671875	-1.6184585388786035	141.42892481978078	EIF4A1;TMEM41A;EXOC3L4;POP1;INPPL1;PPAN;HNRNPU;GPATCH4;PWP2;YARS2;HS6ST1;CDC20;FBL;PNN;TUBB6;FPGS;RUVBL1;AKT1;KPNA2;DNTTIP2;MOGS;CTPS;EBNA1BP2;CCNE1;MAP7D1;PRPF3;EHBP1L1;ERF;SRSF2;CCDC86;PPID;NOP2;HTRA2;PCBP1;G3BP1;RRS1;MCL1;PHC2;PNO1;PLK1;PYCR2;NR2F6;CDK9;HNRNPM;HNRNPK;FASN;RCOR2;RNF220;LGALS3BP;CTSZ;WDR4;HMGB1;AACS;LIMD2;TUBA1C;LASP1;SART3;SNRNP70;HYAL2;C1QBP;NTMT1;UBTF;TK1;GUSB;METTL16;CLUH;NUP133;ELAC2;RBM19;AHSA1;CACYBP;AMPD2;ZDHHC16;YDJC;ARL4C;CCNA2;SFPQ;INCENP;MCM3;LUC7L3;IRF5;PFDN2;MCM6;SLC25A5;CACTIN;USP10;NIP7;GPS1;SRSF1;PBXIP1;TIMM10;SDAD1;AURKA;SRM;HIRIP3;CCDC85B;LMNA;EIF4H;CCL2;BID;EIF4E;LDLR;NOP56;DDX39;AU020206;NIFK;HNRNPAB;P2RX7;APEX1
PLX4720 CID 24180719 human GSE50791 sample 2505	83/301	0.000000000000000000000000000000000001844943036994980500863470525862833724346619055453697304731129651217493896534966732681310171517753693226637778934673406183719635009765625	0.00000000000000000000000000000000023799765177235245888602736319892245633805036182051386871404575399596299476936234647205209262466052422269058297388255596160888671875	0.000000000000000000000000000000000000210567785461866939357865076330061517974023557625041303504896717079197659291032391712944174638993781456530740570087800733745098114013671875	0.000000000000000000000000000000000023767838784008230043964676500522127228396733542787972850023888630135009205301089037613791721779976651163224232732318341732025146484375	-1.716070938067908	141.19937207351722	EIF4A1;HSP90AB1;BZW2;YBX3;ACTB;CDC20;PTBP1;FBL;TUBA1C;ATIC;RARS;C1QBP;CCT3;EIF5A;DDX18;CCT2;NUDC;ADSL;NSUN2;TOMM34;AHSA1;GNL2;RANGAP1;GTPBP4;MTAP;EBNA1BP2;DKC1;NCL;CDC37;NHP2;MCM3;SRSF2;CCDC86;FKBP4;SLC25A5;PFN1;EZR;KPNB1;TNFRSF21;AHCY;SET;TOMM40;NIP7;DDX1;SRRT;SRSF1;AK2;DDX21;TIMM10;RPF2;GSPT1;HSPD1;PPM1G;STIP1;NCLN;RRS1;POLR2F;POLR2H;CCT8;CCT7;LYAR;LDLR;NOP56;NOP16;RCC2;RPP40;MSN;PA2G4;NPM3;HNRNPAB;GATAD2A;AIMP2;BOP1;RSL1D1;EIF6;IMPDH2;FASN;EIF3E;NOL11;RSL24D1;TOMM5;RAN;EIF3B
4-Hydroxynonenal 5283344 human GSE2397 sample 3082	95/382	0.000000000000000000000000000000000000153120121723224194577027134227951693898815007008433476032041585810568369433807041326005794952026806132749925382086075842380523681640625	0.0000000000000000000000000000000000230445783193452411167947893205445020479881293578016207168724536579249959771668664595389570785843869060727229225449264049530029296875	0.0000000000000000000000000000000000000014467443060573257684597132248046651806372152319009570975652909521444624823893997926598139113098969430783180545319055454456247389316558837890625	0.000000000000000000000000000000000000261282021673953045594625295477051924968713408635663927639398853062119375762657586954561465104017459193386230253963731229305267333984375	-1.6502166557440079	139.88819906165187	RBM28;WDR3;SERPINE1;EIF4A3;BUB1B;IPO7;TOMM20;WDR43;CDC20;CHCHD4;PTBP1;SYNCRIP;MRPL3;TRIM28;NOB1;C1QBP;RCC1;FBXO5;KPNA2;ENOPH1;KPNA3;DDX18;NOM1;CDV3;CCT2;MARS2;PABPC4;ACTN1;NSUN2;ACTN4;RABGGTB;PUS7;PPRC1;REXO4;GTPBP4;GNL3;CCNA2;AFG3L2;EBNA1BP2;MTHFD1;DKC1;MCM3;PPIF;SRSF2;GEMIN5;LUC7L3;CCDC86;NAF1;PFN1;FJX1;FAM60A;B4GALT5;SET;NIP7;NOP2;MAK16;SRSF1;CDCA8;DDX21;NOLC1;NMD3;RPF2;AURKA;SRM;CORO1C;DHX33;PCBP1;RRS1;POLR2H;RBM12;LYAR;HNRNPA0;NOP56;NOP58;TRMT10C;NIFK;CNBP;PLK1;LYSMD2;PA2G4;RRP1B;NOC3L;HNRNPAB;SRPK1;TPX2;UCK2;EIF6;AXL;NDUFAF4;SERBP1;CEBPZ;NOL11;ABCE1;TOMM5;RAN
cytarabine, EC50, 1 d 6253 human GSE6930 sample 3373	88/339	0.0000000000000000000000000000000000022431940855521206686089787921348313602877750722538921049510750776219952022327325367553776773454909942984158988110721111297607421875	0.000000000000000000000000000000000253200532406695624478385546300512559003287312007880889569147919544155755394925923326861216811067833987181074917316436767578125	0.0000000000000000000000000000000000000668786073854874377007219000842466615184337516404079285300596914259441441565420025201067612824891266132265599253514665178954601287841796875	0.0000000000000000000000000000000000086273403527278796513218937892253257051344243082011923845712308263330311716426482426218016498487006771256346837617456912994384765625	-1.648294900804729	135.3005548901599	EIF4A1;RPL3;HSP90AB1;KDM1A;HNRNPU;NAT10;BUB1B;PHB2;TOMM20;ACTB;CTGF;CDC20;PTBP1;MRPL3;PNN;BASP1;RARS;RUVBL1;PSMD3;RCC1;KPNA2;FNBP4;CCT3;DDX17;DDX18;CCT2;PRMT5;PABPC4;AHSA1;TIMM23;SOX11;WDR77;CCNA2;SFPQ;DKC1;FSCN1;SRSF2;VDAC2;PFDN2;PFN1;TKT;PPID;FAM60A;AHCY;CDCA4;DDX1;MAK16;HEATR1;SRSF1;CDCA8;DDX21;NOL9;TIMM10;HMMR;CENPA;HSPD1;AURKA;CNN3;CORO1C;STIP1;TMEM123;OLFML3;PCBP1;RRS1;CCT8;CCT7;SNX5;CCT5;EIF4B;CCT4;HNRNPA0;XRCC5;PNO1;PLK1;DHCR24;WDR12;EEF2;HNRNPAB;LRPPRC;TPX2;HNRNPM;UCK2;APEX1;EIF3E;VIM;RSL24D1;EIF3D;EIF3B
SODIUM BUTYRATE 5222465 mouse GSE4410 sample 3583	87/345	0.0000000000000000000000000000000000632445061884322184422546592118731757134522469724602305581415780732189641595575265814072898028219693600249229348264634609222412109375	0.00000000000000000000000000000000634553212090603282960057080273994140817906375750650931699831796967744961650718777909120638103246392347500659525394439697265625	0.0000000000000000000000000000000000011589447370478279895922186693991761545387701451921253368209180840947947732948524708748418032984960068798585552940494380891323089599609375	0.00000000000000000000000000000000010465270975541887158625786705157263548430411527594906833588908665592889550726618164261361686173668061883290647529065608978271484375	-1.7163307255783264	135.15427385640353	LAD1;EIF4A1;HSP90AB1;ITGB2;EIF4A3;FHL2;HNRNPU;HMGB1;PWP2;YBX3;LIMD2;CDC20;EPS8;PTBP1;FBL;FADS2;LASP1;TUBB6;XPO1;TUBB5;TRIM28;ADAMTS1;PPP2R1A;C1QBP;TIMP2;CAPN2;TK1;KPNA2;BOK;EIF5A;CDV3;PRMT1;ITGA3;TPM1;KRT7;TIMM23;AMPD2;PCOLCE;APRT;TGFBR2;GNL3;CCNA2;HMGA1-RS1;CDC34;NCL;TNNT2;RAB34;TCP1;NHP2;PLIN2;MCM6;SLC25A5;PFN1;KPNB1;AHCY;SET;SRSF1;MRPL12;CENPA;HSPD1;AURKA;SRM;BAG2;PCBP1;RRS1;CCT5;NOP56;NOP58;NPM1;ERDR1;CNBP;MID1IP1;PLK1;NAP1L1;HNRNPAB;CCT6A;AIMP2;PTPRB;SMTN;MYO1C;HNRNPK;MYBBP1A;NACA;APEX1;PLXNB2;EIF3D;RAN
2,2',4,4',5,5'-Hexachlorobiphenyl   (PCB-153) 37034 human GSE6878 sample 3349	92/389	0.000000000000000000000000000000000169457759341147141781652809707536211660634782506908588540414795753346827651900594224033632685666450612416156218387186527252197265625	0.0000000000000000000000000000000153020356685055863148750124963074777620372980870478322058561424334165049853403753831425360143470015827915631234645843505859375	0.000000000000000000000000000000000000768846235695555302379844459873118866424365185255372278573038323964779304865294534084392690811114723370423007509089075028896331787109375	0.0000000000000000000000000000000000771409056481207172319860637892415089474579711529220161109259685788756846445236085334164373439325146364353713579475879669189453125	-1.5985590359571402	124.3046854287934	HSP90AB1;EIF4A3;NAT10;BUB1B;BZW2;PRPF19;PHB2;IPO4;IPO5;CDC20;FBL;MRPL3;PNN;TUBA1C;ATIC;TRIM28;NOB1;C1QBP;KPNA2;ENOPH1;CCT3;DDX18;CCT2;PRMT5;PRMT1;IFRD2;AHSA1;THOC3;RABGGTB;GNL3;CCNA2;KARS;MTHFD1;DDX39B;DKC1;TCP1;ALDH1A1;NHP2;MCM3;SRSF2;VDAC2;PFN1;GAS5;FAM60A;SNRPA;KPNB1;MCM2;SET;DDX1;SRSF1;CDCA7;DDX21;NOLC1;HMMR;RPF2;CENPA;AURKA;SRM;PPM1G;UNG;DHX33;HNRNPDL;PCBP1;RRS1;EIF4H;FAM83D;CCT7;CCT5;CCT4;NOP56;NOP58;NPM1;XRCC5;PNO1;PLK1;PA2G4;WDR12;HNRNPAB;SRPK1;TPX2;AIMP2;UCK2;EIF6;TOMM70A;APEX1;SERBP1;NOL11;SAE1;ABCE1;RSL24D1;TOMM5;RAN
