Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Z-score	Combined Score	Genes
Lipopolysaccharide 11970143 mouse GSE2002 sample 3603	199/343	0.0000000000000000000000000000065840760762525993535325393102165764812410182193061535348748314868324934428546468812015746152610518038272857666015625	0.0000000000000000000000000059454206968560975077099635766875193146963927763360119482864567429250221043679491828015670762397348880767822265625	0.00000000000000000000000000000231337483747626349280656282132650475106457837987564734472035237656891453858118944120203508418853743933141231536865234375	0.000000000000000000000000002088977478241066095153649625011796946440216355368064649512601511841043580401666712731412189896218478679656982421875	-1.752314825139404	117.74311266191113	RPL14-PS1;RPL3;CCNI;ARL6IP1;VARS;MKI67;SMC4;PHB2;CDC20;NSDHL;TRIM28;SNRPD2;SNRPD1;STMN1;SEPHS2;MBNL1;TIPIN;MOGS;VDAC2;ASF1B;SET;IQGAP3;NCAPH;ATP5B;RACGAP1;PCBP1;RAD21;SNX5;RCC2;PLK1;PAICS;ANLN;BC005537;GLUD1;SQLE;RPS28;EIF5;HNRNPK;HNRNPF;ANP32E;FXYD5;TOP2A;HEXB;TECR;HEXA;AKR1B3;PTMS;TUBA1B;XPO1;NUF2;DHX15;PBK;SCD2;TK1;SCD1;CTSB;CAP1;SSR3;CACYBP;AMPD2;NUTF2;EMP3;KIF22;TCP1;ADSSL1;CKS2;TKT;PTMA;AHCY;PCNA;SF3B3;RPL10;GPS1;ATP5A1;RPS27L;CENPA;UCP2;RPS3;RPL14;RPS2;SPTSSA;GSN;SLC16A1;OAZ1-PS;TM9SF2;CENPF;SNX17;APEX1;HNRNPA2B1;NCAPD2;PLP2;CAMK1;SUPT16;CSE1L;MRFAP1;NRM;BUB1B;PEBP1;MSMO1;RPL10A;IPO7;ERO1L;LAPTM4A;TMEM147;TUBB5;CCND1;LAMP1;PTTG1;RUVBL2;LIG1;SDHA;EEF1A1;RBMXL1;S100A6;ERP29;SRSF2;SNRPE;S100A4;ANAPC5;ERH;MATR3;PPIA;FKBP3;SNRPB;CSF1R;DNMT1;CBFB;RTN4;ACAT1;CCNB2;CCNB1;ECT2;TXNDC5;FDPS;UBE2C;IDH2;HPRT;QDPR;H1F0;CDK4;CDK1;UBA2;TPP1;DHCR7;SERINC3;CNIH4;MCM7;COX4I1;HP1BP3;HMGB2;DBI;ATP5G3;HMGB1;CKS1B;NPTN;TOPBP1;LBR;RFC5;SUN2;HSP90AA1;HMGCS1;H2AFZ;H2AFX;ATP6AP2;AHSA1;ATP5F1;CKAP5;FH1;CKAP4;CCNA2;TFDP1;RCN2;PKM;MCM4;MCM5;MCM6;SLC25A5;ANK;MCM2;LRP1;PPM1G;RBBP4;OXCT1;EIF4H;RBBP7;ADSS;BUB1;EIF4B;GALNT7;HNRNPA3;RRM1;NAP1L1;SSRP1;DEK;PRC1;IMPDH2;CDK2AP1;CD9;NUP37
doxorubicin, EC50, 5 d 31703 human GSE6930 sample 3262	216/411	0.00000000000000000000000195225720662960058541862792217930276626627600640985020095219038449747828156688456147094257175922393798828125	0.0000000000000000000008814441287932647041731158394321410160341968320858148792690429929042039702835609205067157745361328125	0.000000000000000000000000000201630710933056286415071633984180237841298454002109684616080693726687631819015356082758216871297918260097503662109375	0.0000000000000000000000000606908439908499384890878405825241112168050614366177703890645711877070873907502601696251076646149158477783203125	-1.5713092484207904	85.78257377169949	NCKAP1;TCERG1;RPL3;THYN1;SMC4;PHB2;PSMD6;RPS16;PSMD7;SNRPD2;CAPNS1;PSMD1;GABARAPL2;FNBP1;GNPAT;PPA2;MTHFD1;FDX1;UQCRC1;JTB;VDAC2;MXRA7;RPL29;PFN2;RPN2;SHMT2;MRPL17;ADH5;GLG1;SNX3;FAM171A1;LDHA;PCBP1;PDGFC;LTA4H;S100A11;PCK2;XRCC5;RDX;PRDX6;MLLT11;COL1A2;HNRNPK;ANP32E;HNRNPC;PSMG2;CDK14;ARF3;TOP2B;ECM1;SRPR;MRPL39;PTPRK;COX7C;PPP3CA;CSRP2;DHX15;PBK;PHGDH;DLGAP5;JAK1;CCT3;NCOA6;PRMT1;MMD;PARP2;GSTO1;CACYBP;NME4;SLC39A14;RHOA;PSMA5;PSMA6;PSMA3;NSA2;PSMA1;TMEM106C;DLD;AHCY;PCNA;PRIM1;GSTP1;FAM35A;ATP5A1;HSD17B4;TYMS;PSMB7;PSMB4;OLFML3;UCP2;BRD7;GINS1;GINS2;WDR12;KTN1;PSMC6;SPCS1;GSTA4;RPA3;MARS;TRMT5;APEX1;HNRNPA2B1;NDUFAB1;ACTR10;CDKN3;LAMTOR5;NDUFA13;CSE1L;BUB1B;RPL10A;IPO5;PTTG1;BASP1;PAPOLA;NUDT15;SARS;ACOT13;VRK1;ILF2;COX6B1;TUFM;HAT1;ERP29;SRSF2;MATR3;SRSF4;SNRPF;PPIB;FKBP3;SNRPB;SRSF9;TMED10;UQCRB;GLO1;DDX1;GMPS;ACAT2;RPF1;ACAT1;TMEM123;EMG1;BTBD1;ESD;H1FX;NAE1;NDUFV2;TXNDC5;HSPA9;IDH1;HMGA2;ARPC5;EIF2S2;IRAK1BP1;CAPRIN1;GNB1;YWHAE;DDX47;HMGB2;DBI;ADAR;ETFA;ATP5G3;ELAVL1;MRPL3;SEPT7;ALDH2;UQCRFS1;PGM1;PDCD6IP;GPX4;VBP1;DYNLT3;DCXR;PLA2G4A;NDUFC1;RAD23A;ATP5F1;ASPM;FAM189B;NSMCE4A;HAX1;RCN2;MCM3;NDUFS2;MCM6;SLC25A5;ITGB3BP;PRPS1;SLC24A3;PDHB;HSD17B10;CRYZ;EIF4H;LRRC8D;IARS2;RBBP7;POLR2I;MAPK6;EIF4B;RBM39;HNRNPA3;DUT;RRM1;TAF10;DDHD2;IMMT;SSRP1;EIF3K;PSAT1;IMPDH2;CDK2AP1;CHPT1;ATXN10;EIF3C;NUP37
doxorubicin, 2xEC50, 5 d 31703 human GSE6930 sample 3265	245/493	0.000000000000000000000043767559253699556183748081958872972865465642047707278569252677645484705948319970048032701015472412109375	0.00000000000000000001317403533536356684624108247386714278093767702859079164225131197696327944868244230747222900390625	0.00000000000000000000000000002467005609201796357543365727770805908914509255913229306467705002658546907762064648306221670281956903636455535888671875	0.0000000000000000000000000111385303255461111092224881335127487645459242732550183056854170701035849043447623074598595849238336086273193359375	-1.6330236178299435	84.07319880098484	NCKAP1;TCERG1;RPL3;CCNI;ENO1;PHB2;PSMD8;PSMD6;RPS16;PSMD7;SNRPD2;RPL18A;DPYSL2;PSMD1;VPS35;B2M;IER2;GABARAPL2;FNBP1;NUP93;GNPAT;PPA2;MTHFD1;MAP1B;FDX1;CSNK2B;UQCRC1;JTB;VDAC2;UQCRC2;MXRA7;RPL29;PFN2;SET;SHMT2;MGST3;MRPL17;VPS26A;OAZ1;ADH5;GLG1;SNX3;ATP5B;LDHA;PRDX4;PDCD10;PCBP1;PDGFC;LTA4H;S100A11;FDFT1;XRCC5;RDX;MLLT11;TPX2;COL1A2;HNRNPK;ANP32E;HNRNPC;PSMG2;TOP2B;PTPRK;COX7C;PPP3CA;DHX15;PBK;PHGDH;TIMP1;CLIC1;DLGAP5;JAK1;CCT3;NCOA6;PRMT1;MMD;GSTO1;SSR2;CACYBP;NUTF2;NME4;RHOA;PSMA5;PSMA6;PSMA3;NSA2;PSMA1;CSDE1;STRAP;SGK1;DLD;AHCY;PCNA;GSTP1;ODC1;ATP5A1;HSD17B4;TYMS;PAPSS1;PSMB7;PSMB4;OLFML3;UCP2;AP2S1;RPL15;GINS1;GINS2;WDR12;TUBB4B;KTN1;TM9SF2;PSMC6;SPCS1;PSMC3;GSTA4;RPA3;MARS;TRMT5;APEX1;HNRNPA2B1;NDUFAB1;ACTR10;LAMTOR5;NDUFA13;CSE1L;UBE2D3;BUB1B;PEBP1;MSMO1;RPL10A;IPO5;NARS;PTTG1;BASP1;PAPOLA;RPS5;UBE2E1;SARS;VRK1;ILF2;COX6B1;TUFM;HAT1;ERP29;SRSF2;ERH;MATR3;SRSF4;SNRPF;PPIB;SNRPB;SRSF9;IDI1;TMED10;GLO1;DDX1;GMPS;RTN4;ACAT2;CNN3;RPF1;TMEM123;EMG1;CCNB1;RAP1A;BTBD1;ESD;NAE1;NDUFV2;TXNDC5;HSPA9;IDH1;CAV1;MSN;HMGA2;DHCR24;ARPC5;EIF2S2;IRAK1BP1;CNIH1;UBE2S;CDK4;CAPRIN1;GNB1;CDK1;UBA2;UBA1;SAE1;EIF4G2;YWHAE;SLC25A3;HMGB2;DBI;ADAR;ETFA;ATP5G3;ITGAE;ELAVL1;MRPL3;ALDH2;YWHAQ;NPTN;UQCRFS1;LBR;PDCD6IP;GPX4;H2AFZ;VBP1;DYNLT3;AHSA1;EDF1;NDUFC1;ATP5F1;CKAP5;ASPM;HAX1;RCN2;MCM3;MCM6;SLC25A5;ITGB3BP;CERS2;USP14;NDUFB5;PDHB;CRYZ;EIF4H;IARS2;RBBP7;POLR2I;MAPK6;SH2B3;EIF4B;HNRNPA0;RBM39;HNRNPA3;DUT;RRM1;TAF10;IMMT;SSRP1;DEK;PRC1;CDK2AP1;ATXN10;EIF3C
azacitidine DB00928 human GSE29077 sample 2545	166/310	0.00000000000000000003727285133309126502430671501636230203749997255254105036313683196880219838931225240230560302734375	0.0000000000000000084143461884453524021524948413061850949733733637226316959267791162346838973462581634521484375	0.000000000000000000000093694772632414845902868881982782720667828921402898758930799755044460663810923506389372050762176513671875	0.00000000000000000000940070885411895677374344738971149515856149477150958642507859452930318866492598317563533782958984375	-1.6749330838430492	74.9298428477137	IFITM3;IFITM2;ARL6IP1;GLDC;BUB1B;PEBP1;NUCKS1;MSMO1;ENO1;BZW2;RPL10A;PHB2;CDC20;FBL;LAPTM4B;TUBB6;LGALS1;PPP4R1;SNRPD2;PTTG1;PLAU;NUSAP1;FBXO5;B2M;PHLDA1;RPS9;APLP2;TPM1;ACTN4;COX6B1;MTHFD1;CLNS1A;SMS;SRSF2;PSME2;SNRPF;PPIB;PRR11;FKBP3;VCL;PFN2;SRSF9;DNMT1;SET;RPN2;CDCA3;UQCRH;ACAT2;RAD51AP1;LDHB;TMEM123;CCNB2;ATP5B;LDHA;PTDSS1;CCNB1;PRDX4;RACGAP1;PGK1;ECT2;S100A10;FDFT1;SMURF2;UBE2C;CAV2;CAV1;PBX3;MSN;HMGA2;PRDX6;DHFR;FOSL1;TPX2;EHD4;QARS;CDK4;ADI1;ANP32E;HNRNPD;CDK1;HNRNPC;PSMG2;CALM1;ITM2B;TOP2A;MCM7;ARPC1B;CETN3;HMGB2;DBI;ATP5G3;HMGB1;COX7C;CYR61;TUBA1C;TUBA1B;XPO1;YWHAQ;AP3S1;LBR;MYBL1;CLIC1;DLGAP5;ANXA2;GPX4;H2AFZ;PRMT1;MYOF;PLAUR;CKAP2;EMP3;ATP5F1;DYNLL1;CCNA2;ASPM;NSA2;PKM;DDAH1;CSDE1;MCM3;CKS2;PLIN3;ITGA6;MCM6;ALDOA;SLC25A5;PTMA;CD44;AHCY;PCNA;TOMM40;RPL10;SLC20A1;ATP5A1;TTK;ATP1A1;TYMS;CENPA;COX5A;SPP1;AP2S1;RBBP7;POLR2I;CTNNAL1;POLR2L;HNRNPA3;DUT;AHNAK2;NAP1L1;TUBB4B;TMEM158;SPCS1;FABP5;EIF3K;AXL;PRC1;RPA3;TRMT5;HNRNPA2B1;CDK2AP1;F2RL1;PLP2;VIM;SLIRP;SPC25;CDKN3
doxorubicin, EC50, 3 d 31703 human GSE6930 sample 3261	171/325	0.00000000000000000011152548523473031156401502953416120431108355434595747791848285856985967257060110569000244140625	0.000000000000000014386787595280210480647430467992173314526469898367612432199535987820127047598361968994140625	0.000000000000000000000087060183786938639407537596184166686863048538590354758021842666859679837898511323146522045135498046875	0.00000000000000000000940070885411895677374344738971149515856149477150958642507859452930318866492598317563533782958984375	-1.6119525939626387	70.34566571832124	NCKAP1;NDUFA13;GMFB;RPL3;POGK;CSE1L;CISD1;THYN1;NUCKS1;MSMO1;RPL10A;BZW1;PHB2;PSMD6;RPS16;PSMD7;CAPNS1;BASP1;RUVBL1;PSMD1;SKP2;IER2;SARS;ILF2;GNPAT;PPA2;MTHFD1;MAP1B;HAT1;ERP29;SRSF2;JTB;ERH;MATR3;PPIB;PPID;SNRPB;PFN2;SRSF9;SLBP;IDI1;TMED10;SEH1L;SHMT2;GLO1;DDX1;GMPS;OAZ1;GLG1;ACAT2;SNX3;FAM171A1;EMG1;PRDX4;PCBP1;ESD;H1FX;NAE1;TXNDC5;FDFT1;HSPA9;FDPS;PHF10;XRCC5;IDH1;NONO;NR2F2;MRPL23;EIF2S2;PRDX6;MLLT11;POLA1;IRAK1BP1;HNRNPK;HOOK1;CDK4;CAPRIN1;GNB1;ANP32E;PPT1;MPHOSPH10;DHCR7;SAE1;CDK14;BMPR1A;YWHAE;DDX47;MRPL39;CTCF;ATP5G3;HMGB1;PTPRK;LMNB1;MRPL3;DHX15;PBK;PHGDH;CCT3;PRMT5;PDCD6IP;GPX4;PRMT1;VBP1;PARP2;SSR2;DCXR;CACYBP;EDF1;NUTF2;NME4;SLC39A14;RHOA;CKAP4;PSMA5;PSMA3;NSA2;NSMCE4A;HAX1;PSMA1;TMEM106C;NDUFS2;MCM6;SLC25A5;PTMA;DLD;ITGB3BP;USP14;AHCY;SLC24A3;PCNA;PRIM1;ODC1;FAM35A;SRSF1;HSD17B4;HSD17B7;PSMB4;OLFML3;UCP2;EXOSC8;AP2S1;RBBP8;RBBP7;POLR2I;BRD7;MAPK6;EIF4B;HNRNPA0;GINS1;RBM39;GINS2;HNRNPA3;DUT;RRM1;TXNL1;IMMT;SSRP1;WDR12;PSMC6;SPCS1;PSMC3;GSTA4;PSAT1;RPA3;CARM1;MARS;TRMT5;HNRNPA2B1;NDUFAB1;CDK2AP1;CHPT1
cytarabine, EC50, 5 d 6253 human GSE6930 sample 3375	227/468	0.0000000000000000000843405912847783763164610135640569782243336227981001852228859494431389975943602621555328369140625	0.0000000000000000126932589883591448532183426340760099187711710559873547199405408036909648217260837554931640625	0.0000000000000000000000000371506183101044556494240787942435129074521237441450280727749459392414248248837083110629464499652385711669921875	0.000000000000000000000008386752083506081307685670303070404032886035854791716801035294875064918240781253189197741448879241943359375	-1.6015013007442005	70.33701417364183	NCKAP1;TCERG1;RPL3;CCNI;THYN1;SMC4;PHB2;CDC20;PSMD8;PSMD6;RPS16;PSMD7;PSMD4;SNRPD2;CAPNS1;PSMD1;IER2;GABARAPL2;NUP93;GNPAT;PPA2;CLNS1A;FDX1;CSNK2B;UQCRC1;JTB;VDAC2;UQCRC2;MXRA7;RPL29;PFN2;SET;MRPL17;ADH5;GLG1;FXR1;SNX3;FAM171A1;ATP5B;LDHA;PDCD10;PCBP1;LTA4H;FDFT1;BTF3;XRCC5;RDX;MRPL23;TPX2;COL1A2;EIF5;HNRNPK;QARS;ANP32E;HNRNPC;PSMG2;TOP2B;MRPL39;COX7C;DHX15;PBK;PHGDH;CLIC1;DLGAP5;JAK1;CCT3;NCOA6;PRMT1;MMD;GSTO1;SSR2;CACYBP;NUTF2;NME4;RHOA;PSMA5;PSMA6;PSMA3;NSA2;PSMA1;CKS2;STRAP;TKT;DLD;AHCY;GSTP1;ODC1;ATP5A1;NOL7;HSD17B4;TYMS;PAPSS1;PSMB7;PSMB4;OLFML3;RPL15;BRD7;GINS2;WDR12;KTN1;PSMC6;SPCS1;PSMC3;GSTA4;RPA3;MARS;TRMT5;APEX1;HNRNPA2B1;NDUFAB1;ACTR10;CDKN3;LAMTOR5;NDUFA13;CSE1L;UBE2D3;BUB1B;PEBP1;RPL10A;IPO5;PTTG1;RUVBL2;RUVBL1;SARS;ILF2;COX6B1;TUFM;HAT1;SRSF2;MATR3;SRSF4;SNRPF;PPIB;SNRPB;SRSF9;TMED10;UQCRB;GLO1;DDX1;GMPS;ACAT2;CNN3;RPF1;ACAT1;TMEM123;EMG1;CCNB1;BTBD1;ESD;H1FX;NAE1;ECT2;NDUFV2;TXNDC5;KLHDC2;HSPA9;UBE2C;IDH1;MSN;ARPC5;EIF2S2;IRAK1BP1;UBE2S;CDK4;CAPRIN1;GNB1;CHMP2A;CDK1;UBA2;UBA1;DYNLRB1;EIF4G2;YWHAE;MCM7;DDX47;HMGB2;ADAR;ETFA;ATP5G3;ELAVL1;CKS1B;PTBP1;MRPL3;ALDH2;YWHAQ;UQCRFS1;PDCD6IP;VBP1;AHSA1;NDUFC1;ATP5F1;CKAP5;ASPM;FAM189B;HAX1;RCN2;NDUFS2;MCM6;SLC25A5;ITGB3BP;MCM2;CERS2;PRPS1;NDUFB5;RPL36A;PDHB;CRYZ;EIF4H;IARS2;POLR2I;MAPK6;TRIM44;EIF4B;HNRNPA0;RBM39;HNRNPA3;DUT;TAF10;DDHD2;IMMT;SSRP1;EIF3K;PRC1;PSAT1;IMPDH2;EIF3C;NUP37
azacitidine DB00928 human GSE29077 sample 2544	198/392	0.00000000000000000006615463662054814279648713968816367889671503335349158725180174211999428734998218715190887451171875	0.000000000000000011947527373670995193306097479177609305059814509661526849004786754449014551937580108642578125	0.000000000000000000000001485491442162300753095910747384723838205294533108716687537477217141181073944977697465219534933567047119140625	0.0000000000000000000002682797544545115075235216359792931770305593146063482470157763974671905060631615924648940563201904296875	-1.5757592930717608	69.58914197861358	CYFIP1;IFITM2;ARL6IP1;GLDC;CISD1;CCNC;ENO1;CDC20;LGALS1;FBXO5;B2M;ACSL4;ACTN4;ARMC1;EID1;MTHFD1;CLNS1A;VDAC3;PSME2;UQCRC2;PFN2;CUTA;SLBP;RPN2;CDCA3;SNX3;GNG10;LDHA;PTDSS1;PRDX4;RACGAP1;RAD21;SNX7;S100A10;FDFT1;MTERF3;PBX3;PA2G4;PAICS;PRDX6;DHFR;FOSL1;TPX2;EHD4;QARS;ADI1;ANP32E;HNRNPD;HNRNPC;PSMG2;ITM2B;TOP2A;CETN3;SYNCRIP;IMPA1;PBK;ACADM;AP3S1;DLGAP5;LYPLA1;ANXA2;PRMT1;ACTL6A;MYOF;EMP1;EMP3;RHOC;DYNLL1;PSMA6;CKS2;ALDOA;TKT;PTMA;CD44;CDC123;AHCY;PCNA;TOMM40;SLC20A1;TYMS;CENPA;COX5A;TCEAL1;SPP1;GINS1;TUBB4B;KTN1;TMEM158;SPCS1;FABP5;AXL;RPA3;HNRNPA2B1;SERBP1;F2RL1;HDGF;PLP2;SPC25;CDKN3;CSE1L;BUB1B;NUCKS1;MSMO1;BZW2;FBL;LAPTM4B;TUBB6;PTTG1;PLAU;NUSAP1;SACS;RPS9;EIF1AX;APLP2;TPM1;ATP1B3;ILF2;HAT1;SMS;SRSF2;SNRPE;ERH;SNRPF;PPIB;FKBP3;SRSF9;DNMT1;GLO1;UQCRH;ACAT2;CNN3;ACAT1;RAD51AP1;TMEM123;CCNB2;CCNB1;BAG3;UBR7;PGK1;ISOC1;ECT2;FDPS;UBE2C;CAV2;CAV1;MSN;HMGA2;TBCA;LSM6;CDK4;CDK1;CYCS;MCM7;AMD1;DPY30;DBI;ETFA;ATP5G3;HMGB1;CYR61;MRPL3;YWHAQ;IFT57;LBR;MYBL1;GPX4;H2AFZ;GLRX5;CKAP2;ATP5F1;REXO2;CCNA2;ASPM;RCN2;PKM;DDAH1;ASPH;MCM3;ITGA6;SNRPA1;MCM6;TOP1;SRSF1;TTK;ATP1A1;RBBP7;EIF4E;CTNNAL1;SLC25A24;POLR2L;RWDD1;DUT;EIF3K;PRC1;SPRY2;CDK2AP1;VIM;SLIRP
doxorubicin, 2xEC50, 3 d 31703 human GSE6930 sample 3264	173/332	0.000000000000000000251705517361960833607880903046708854121717081950062862120975903934549933183006942272186279296875	0.00000000000000002841126027223132877450740989226132374659246888448475842903206967093865387141704559326171875	0.000000000000000000000106917016907956231651155102214180927650979685454234777058414064543345745050828554667532444000244140625	0.00000000000000000000965460662678844799081399512071123961563034223207839762230519919938842576812021434307098388671875	-1.5903917670773653	68.11016096511385	PLVAP;GMFB;RPL3;POGK;CSE1L;UBE2D3;CISD1;NUCKS1;MSMO1;RPL10A;BZW1;PHB2;CHCHD3;RPS16;PSMD7;CAPNS1;BASP1;DPYSL2;RUVBL1;PAPOLA;PSMD1;IER2;FNBP1;SARS;ACOT13;ILF2;GNPAT;PPA2;MSH2;MAP1B;HAT1;ERP29;SRSF2;MATR3;SNRPF;PPIB;PPID;PFN2;SRSF9;IDI1;TMED10;SHMT2;GLO1;MGST3;INSIG1;GMPS;MRPL17;OAZ1;GLG1;RTN4;ACAT2;SNX3;FAM171A1;APOO;EMG1;LDHA;PRDX4;PCBP1;ESD;H1FX;NAE1;NDUFV2;TXNDC5;FDFT1;HSPA9;FDPS;PHF10;XRCC5;IDH1;NONO;RDX;MSN;DHCR24;NR2F2;MLLT11;POLA1;SQLE;IRAK1BP1;HNRNPK;HOOK1;CAPRIN1;GNB1;ANP32E;DHCR7;SAE1;CDK14;BMPR1A;TOP2B;CETN2;LPCAT1;MRPL39;CTCF;HMGB1;PTPRK;LMNB1;PPP3CA;MRPL3;DHX15;PBK;ANXA7;PHGDH;JAK1;LYPLA1;WARS;GPX4;MMD;PARP2;SSR2;DCXR;PLA2G4A;EDF1;NUTF2;NME4;UCHL3;ITFG1;RHOA;CKAP4;PSMA5;PSMA3;NSMCE4A;HAX1;PSMA1;PCCB;TMEM106C;NDUFS2;MCM6;PTMA;DLD;ITGB3BP;USP14;AHCY;SLC24A3;PCNA;PRIM1;HEATR1;SRSF1;HSD17B4;HMGCR;HSD17B7;PSMB4;RBBP4;OLFML3;EXOSC8;AP2S1;RBBP8;RBBP7;POLR2I;BRD7;MAPK6;SH2B3;EIF4B;GINS1;RBM39;GINS2;HNRNPA3;DUT;RRM1;TXNL1;IMMT;SSRP1;WDR12;TM9SF2;PSMC6;PSMC3;GSTA4;PSAT1;RPA3;MARS;TRMT5;APEX1;HNRNPA2B1;NDUFAB1;EIF3C
4-Hydroxynonenal 5283344 human GSE2397 sample 3083	173/337	0.00000000000000000181871221882437956266535174555960321595420857939177060325075530045069172047078609466552734375	0.0000000000000001824774592887127404664172179973795417395085287359801640150180901400744915008544921875	0.000000000000000000000356962545556721766125893805411542453846504578289669537094312701253073782936553470790386199951171875	0.000000000000000000029303379876156339910276184657734429883961324902599062010299935110424485174007713794708251953125	-1.6330122493230346	66.70594245665094	NCKAP1;CYFIP1;ARL6IP1;CSE1L;BUB1B;PEBP1;MSMO1;ZFAND1;MKI67;BZW2;SMC4;NARS;FBL;SNRPD2;PTTG1;SNRPD1;CAPN2;NUSAP1;NEK2;PMPCA;CPNE3;TMPO;ILF2;TUFM;ARMC1;NUP93;ACLY;DEPDC1B;HNRNPUL1;MTHFD1;MSH2;TMX1;HAT1;UQCRC1;UQCRC2;DENND6A;PPIA;SRSF9;IDI1;DNMT1;SET;INSIG1;HIF1A;ACAT2;RAD51AP1;TMEM123;ATP5B;LDHA;CCNB1;RACGAP1;UBR7;PCBP1;RAD21;ATP5D;ISOC1;NAE1;LTA4H;FAM83D;ECT2;RAB6A;SEC31B;PCK2;FDFT1;PHF10;XRCC5;UBE2C;TIPARP;LRBA;PLK1;PAICS;TPX2;LSM6;UBE2S;CDK4;UBE2T;CDK1;UBA2;HNRNPC;PSMG2;TOP2A;MCM7;YWHAB;C2CD2;CDCA7L;NCAPG2;CETN3;KIF14;HMGB2;PSIP1;DBI;ETFA;HMGB1;FOXM1;CYR61;CKS1B;LMNB1;IMPA1;YWHAQ;NUF2;DHX15;NPTN;PBK;TSPO;PHGDH;TOPBP1;AP3S1;LBR;PGM1;RAB8A;DLGAP5;LYPLA1;SSR4;H2AFZ;VBP1;ACTL6A;SSR3;SMIM19;CKAP5;RHOA;CCNA2;ESPL1;CKS2;NDUFS2;MCM4;KIF2C;ALDOA;SLC25A5;TKT;PTMA;DLD;ITGB3BP;MCM2;CDC123;PCNA;UHRF1;PRIM1;ATP5A1;DLST;TYMS;CENPA;OXCT1;EXOSC8;EIF4H;IARS2;BUB3;RBBP7;SPTSSA;SH2B3;NPDC1;GINS1;SEPT10;DUT;RRM1;MND1;SSRP1;DEK;RPIA;NUDT21;SLC25A39;SUCLA2;FABP5;AXL;PRC1;PSAT1;ERCC1;SERBP1;NDUFAB1;CENPK;RPL22L1;NCAPD2;NCAPD3;SPC25;CDKN3
cytarabine, 2xEC50, 5 d 6253 human GSE6930 sample 3424	167/324	0.00000000000000000427640164646498072949303323436040035288554497775099540179954971108600147999823093414306640625	0.0000000000000003861590686757877303679741530502908830479826310898283647787820882513187825679779052734375	0.00000000000000000000138217273747184840871745223223775151261454979615398739882146071644708484882357879541814327239990234375	0.000000000000000000096007844764390703884584576607101836124269985467950230990930027274998792563565075397491455078125	-1.6617763403751622	66.46011871909258	NCKAP1;TCERG1;NDUFA13;RPL3;BUB1B;THYN1;NUCKS1;RPL10A;SMC4;PHB2;IPO5;CDC20;PSMD6;PSMD7;PSMD4;SNRPD2;CAPNS1;PTTG1;SNRPD1;RUVBL2;RUVBL1;PSMD1;NUDT15;GABARAPL2;RPS9;SERPINF1;SARS;ACOT13;ILF2;TUFM;GNPAT;PPA2;FDX1;UQCRC1;PSME1;SRSF2;JTB;MATR3;SRSF4;SNRPF;FKBP4;PPIB;SNRPB;PFN2;SHMT2;GLO1;DDX1;GMPS;ADH5;GLG1;RPF1;ACAT1;FXR1;FAM171A1;ATP5B;LDHA;CCNB1;ESD;H1FX;TXNDC5;PCK2;RPL41;XRCC5;IDH1;PLK1;MRPL23;PRDX6;HNRNPL;TPX2;IRAK1BP1;COL1A2;UBE2S;RPS29;GNB1;ANP32E;CHMP2A;HNRNPC;PSMG2;YWHAE;TOP2B;DDX47;CETN3;HMGB2;HMGB3;MRPL39;ADAR;ETFA;ATP5G3;COX7C;MRPL3;ALDH2;PBK;UQCRFS1;PHGDH;LBR;PGM1;DLGAP5;CCT3;HSP90AA1;MRPS27;PRMT1;VBP1;DCXR;PLA2G4A;CACYBP;RAD23A;NIPSNAP1;ASPM;FAM189B;PSMA3;NSA2;NSMCE4A;HAX1;PSMA1;NDUFS2;SNRPA1;MCM6;SLC25A5;TKT;PTMA;DLD;ITGB3BP;MCM2;PRPS1;PRIM1;GSTP1;ODC1;FAM35A;ATP5A1;RPL36A;HSD17B4;PDHB;CRYZ;PSMB4;UCP2;EIF4H;RPL13;IARS2;MAPK6;EIF4B;GINS1;GINS2;HNRNPA3;DUT;TAF10;DDHD2;NDUFA1;IMMT;ELP4;SSRP1;WDR12;ASS1;PSMC6;SPCS1;GSTA4;PRC1;RPA3;CARM1;IMPDH2;MARS;TRMT5;HNRNPA2B1;NDUFAB1;CHPT1;ATXN10;NUP37;CDKN3
