Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Z-score	Combined Score	Genes
tamoxifen DB00675 human GSE4025 sample 2820	177/361	0.0000000000000002669995731014500148788481676885141245503580320792835767207407116075046360492706298828125	0.00000000000024190161322991371564960392928357626172487793159149305211030878126621246337890625	0.000000000000000000000725071684411271164893343507559075113692454492837011017255903488898383102423395030200481414794921875	0.00000000000000000061222175065769176654440004692646222925591188300354999161922986417039282969199120998382568359375	-1.79848484151583	64.49237980653696	NDUFA13;ARL6IP1;CSE1L;NUCKS1;SPINT2;TM7SF2;CDC20;LAPTM4B;RPS17;LAPTM4A;TRIM28;SNRPD2;RPS19;PTTG1;NUSAP1;SLC39A6;B2M;RPL39;CMC2;TPM1;RPSA;ACTN4;ILF2;CDC25B;COX6B1;RAB31;MTHFD1;BOLA2;CSNK2B;PPIF;SRSF2;JTB;VDAC2;ERH;KIF20A;FKBP4;PPIA;SNRPB;PFN2;CDC42SE1;SET;CDCA3;SHMT2;GLO1;ARL3;SDC2;ARPP19;OAZ1;UQCRH;CCNB2;ATP5B;EBP;PTDSS1;CCNB1;INPP5A;HSPH1;PRDX4;IRAK1;RACGAP1;H1FX;TSPAN3;RPL41;XRCC5;UBE2C;NONO;TBCA;TPX2;GLUD1;H1F0;RPS27;HNRNPK;UBE2S;RPS29;CDK1;CYCS;RPS20;UBA1;DHCR7;SAE1;LRP10;EIF4G2;RPS23;TOP2A;SLC25A1;SLC25A3;MCM7;ARPC1B;HSPB8;NCAPG2;HMGB2;HMGB3;ATP5G3;HMGB1;FOXM1;COX7C;CKS1B;LMNB1;PTBP1;TUBA1C;TUBA1B;XPO1;UBL3;YWHAQ;DHX15;PBK;UQCRFS1;SH3BGRL3;TK1;JAK1;CCT3;HSP90AA1;SSR4;H2AFZ;GLRX5;H2AFX;NDUFC2;EMP2;DYNLL1;CKAP5;RHOA;CKAP4;ASPM;PSMA6;ELF1;HAX1;RAD51C;PKM;DDAH1;MCM3;CKS2;TMEM106C;KIF2C;DNAJC9;MCM6;MAPRE1;ALDOA;SLC25A5;ZMYND11;TKT;PTMA;DCTPP1;ARF6;CERS2;CD63;PCNA;ODC1;SRSF1;RPL36A;ATP1A1;TYMS;MRPL57;TMEM164;PSMB4;PGRMC1;RNF139;PERP;FAM120A;AP2S1;BUB3;RPS2;MAPK6;GINS2;DUT;RRM1;TAF10;TPBG;NDUFA1;TUBB4B;PRC1;RPA3;TRMT5;TACC3;CD9;CHPT1;HDGF;SLIRP;CDKN3
estradiol 5757 human GSE4668 sample 3063	178/367	0.00000000000000083290533407953422977878625795350743129692445802791933573416827130131423473358154296875	0.000000000000377306116338028995440167954369279493319171148169033358499291352927684783935546875	0.00000000000000000000135148289328408771220873780110907727622801068605004638564369597031333825043475371785461902618408203125	0.00000000000000000061222175065769176654440004692646222925591188300354999161922986417039282969199120998382568359375	-1.780990424000489	61.83885791283484	DCLRE1B;ARL6IP1;CSE1L;MSMO1;BZW2;SMC4;CDC20;FBL;LAPTM4B;TUBB6;PNP;LGALS1;TRIM28;CCND1;PTTG1;BASP1;RUVBL1;NUSAP1;AP1S1;B2M;TMPO;TPM1;UBE2E1;ATP1B3;ILF2;THOC7;OLFM1;ACLY;RAB31;MTHFD1;UQCRC1;PPIF;SRSF2;ERH;SNRPF;KIF20A;FKBP4;PPIB;PPIA;PRR11;SNRPB;PFN2;ASF1B;SRSF9;IDI1;DNMT1;TMED10;RPN2;GLO1;INSIG1;CSTF2;OAZ1;HIF1A;RTN4;ACAT2;CCNB2;ATP5B;LDHA;CCNB1;RAP1A;HSPH1;PRDX4;IRAK1;RACGAP1;PCBP1;RAD21;H1FX;SLC19A2;FDFT1;HSPA9;FDPS;XRCC5;UBE2C;SIAH2;CAV1;PAICS;PRDX6;TPX2;SQLE;UBE2S;CDK4;ANP32E;CDK1;CYCS;UBA1;DHCR7;SAE1;TOP2A;MCM7;ARPC1B;HSPB8;NCAPG2;FHL2;HMGB2;HMGB3;DBI;ATP5G3;HMGB1;FOXM1;WISP2;CKS1B;PTBP1;MRPL3;TUBA1C;TUBA1B;YWHAQ;TIMP1;AP3S1;NELFCD;MYBL1;CTSD;CCT3;HSP90AA1;ANXA2;TNFRSF12A;H2AFZ;PRMT1;DYNLT3;ANXA5;H2AFX;AHSA1;CACYBP;ELOVL6;DYNLL1;LSS;RHOA;ASPM;SFPQ;RAD51C;PKM;DDAH1;ESPL1;NPC2;MCM3;CKS2;SNRPA1;MCM6;ALDOA;PTMA;DCTPP1;MCM2;PCNA;FAM35A;ATP5A1;SRSF1;ATP1A1;HMGCR;TYMS;TMEM164;UNG;NRAS;PSMB5;EIF4H;RBBP8;FLNA;BUB3;RBBP7;MAPK6;CTNNAL1;GINS1;GINS2;RRM1;CNBP;TPBG;DEK;TUBB4B;ASS1;PSMC3;FABP5;PRC1;RPA3;TRMT5;HNRNPA2B1;MGP;CDK2AP1;HDGF;ESYT1;SLIRP
estradiol DB00783 human GSE4668 sample 2727	171/350	0.00000000000000130355128815727280820409750919556201644936292878551586937874162686057388782501220703125	0.0000000000003936724890234963951773855947661659776732646920383018596112378872931003570556640625	0.00000000000000000000478089764322698872521318978569128649625279700615812503226680074686072430267813615500926971435546875	0.000000000000000001443831088254550495708620557811919848669482031324438897623707589445984922349452972412109375	-1.7478838253701892	59.9064180651441	ARL6IP1;CSE1L;NUCKS1;MSMO1;BZW2;SMC4;CDC20;FBL;LAPTM4B;TUBB6;PNP;LGALS1;CCND1;PTTG1;BASP1;NUSAP1;AP1S1;B2M;CMC2;TPM1;ATP1B3;ILF2;OLFM1;ACLY;MYL6;RAB31;MTHFD1;PPIF;SRSF2;SNRPE;ERH;SNRPF;KIF20A;FKBP4;PPIA;PRR11;SNRPB;PFN2;ASF1B;IDI1;DNMT1;RPN2;GLO1;INSIG1;OAZ1;HIF1A;RTN4;ACAT2;CCNB2;ATP5B;LDHA;CCNB1;RAP1A;HSPH1;PRDX4;IRAK1;RACGAP1;PCBP1;PGK1;H1FX;S100A11;S100A10;FDFT1;FDPS;XRCC5;UBE2C;SIAH2;PLK1;PA2G4;PAICS;PRDX6;TPX2;UBE2S;CDK4;ANP32E;CDK1;CYCS;DHCR7;SAE1;RPS23;TOP2A;MCM7;ARPC1B;HSPB8;NCAPG2;FHL2;HMGB2;HMGB3;DBI;ATP5G3;HMGB1;FOXM1;WISP2;CKS1B;PTBP1;MRPL3;TUBA1C;TUBA1B;YWHAQ;PBK;UQCRFS1;TIMP1;AP3S1;NELFCD;MYBL1;CTSD;BCAS2;HSP90AA1;ANXA2;GPX4;H2AFZ;DYNLT3;ANXA5;H2AFX;CKAP2;NDUFC2;AHSA1;CACYBP;ELOVL6;DYNLL1;CCNA2;ASPM;SFPQ;RAD51C;PKM;ESPL1;MCM3;CKS2;STRAP;SNRPA1;MCM6;SLC25A5;PTMA;DCTPP1;MCM2;PCNA;PRIM1;ATP5A1;SRSF1;ATP1A1;TYMS;TMEM164;UNG;NRAS;PSMB5;RBBP8;FLNA;BUB3;RBBP7;MAPK6;CTNNAL1;GINS1;GINS2;DUT;RRM1;TPBG;DEK;TUBB4B;ASS1;FABP5;PRC1;RPA3;TRMT5;HNRNPA2B1;MGP;NDUFAB1;CDK2AP1;HDGF;ESYT1;SLIRP;CDKN3
cisplatin DB00515 mouse GSE6206 sample 2692	148/293	0.00000000000000317497741010821696919123364067851742436246324265136653508534436696209013462066650390625	0.000000000000719132383389511184345366264801045126675051177844721905785263516008853912353515625	0.000000000000000000216909946732789698593967757527834668821181757185961240345928313644208174082450568675994873046875	0.00000000000000003930408234798149032299834608833863563139320569206174027510058976986329071223735809326171875	-1.6541902479198682	55.22262023825826	IFITM3;ERRFI1;FAM49B;NDUFA13;MCPT8;IFITM2;ARL6IP1;CD81;GHITM;SAT1;AQP1;CDC20;PSMD8;LGALS3;RPS14;FGF7;PSMD6;PNP;LGALS1;CCND1;PTTG1;STMN1;VPS35;JUNB;PHLDA1;IER2;RPS9;TIPIN;RPS5;CYBA;SDCBP2;TUBA4A;EREG;MSH6;PROCR;B230219D22RIK;CSNK2B;MXRA8;SNRPE;S100A4;LY6A;RPL28;PPID;SNRPB;SLBP;CBFB;ABHD4;PTTG1IP;ADH5;ZFP36L2;LDHB;PRDX2;LDHA;ESD;S100A13;SCAP;CD14;SLC19A2;SOCS5;EGR1;SIVA1;RPS16-PS2;PPBP;MT1;HPRT;PAICS;FOSL1;NR4A1;EIF6;SERPINB6A;RPS27RT;CDK1;DYNLRB1;FXYD5;LRP10;NFE2L2;RPS23;CDKN1A;ECM1;SLC25A3;BTG1;SRXN1;MCM7;COX4I1;HMGB3;ATP5G3;AREG;AKR1B8;THBD;TUBA1B;CLIC1;TNFRSF12A;H2AFZ;GSTO1;DCXR;CKAP2;RPL13A;NDUFC2;AMPD2;EMP3;APRT;ARL4C;GM5805;UGDH;PSMA3;HMGA1-RS1;HAX1;PKM;OAF;NPC2;TMBIM1;CKS2;PLIN2;DNAJC9;MCM6;SGK1;PTMA;AHCY;PCNA;RAMP3;EI24;SSNA1;ODC1;RPS27L;CAPG;PTGS2;COX5A;IL1RL1;PSMB4;PGRMC1;RBBP4;SERTAD1;SPP1;RPS3;SCAND1;CGREF1;UTP3;TMEM176B;PML;MAPK13;NUDT21;PSMC3;IMPDH2;MGP;CD9;BAX;TACC2;HSPA1B
Arachidonic acid DB04557 human GSE3737 sample 3171	180/395	0.000000000000790196395350044018142228770269061671727671425369265989502309821546077728271484375	0.0000000001193196556978566583515090691639220880915228661933724652044475078582763671875	0.000000000000000000129048733671115520376476455040936883884901286698965411185724416753828336368314921855926513671875	0.0000000000000000292295381765076675078689801975720907247056025630473075072046640343614853918552398681640625	-1.796963389932002	50.07507110263829	CYFIP1;NDUFA13;RPL3;CCNI;CSE1L;FBXO28;GDE1;BUB1B;MSMO1;ENO1;GHITM;RPL10A;BZW1;PHB2;IPO5;TM7SF2;PSMD8;FBL;LAPTM4B;RPS16;SNRPD2;PTTG1;PLAU;NUSAP1;LONP1;PSMD1;RPS7;HPCAL1;UBE4A;RPSA;SDHA;TUFM;ACLY;MTHFD1;TMX1;UQCRC1;PPIF;SRSF2;VDAC2;MXRA7;DAP3;PFN2;ASF1B;RPN2;CRABP2;CDCA4;GLO1;INSIG1;CRABP1;UQCRH;ACAT2;ACAT1;LDHB;ATP5B;LDHA;EBP;PTDSS1;PRDX4;CYB5R3;IRAK1;BAG3;PGK1;SEC31B;S100A10;FDFT1;BTF3;FDPS;XRCC5;UBE2C;NONO;MSN;DHCR24;TBCA;EIF2S2;PAICS;PRDX6;MLLT11;NFKBIA;TPX2;DAP;CNIH1;QARS;P4HA1;UBE2S;NACA;CAPRIN1;CDK1;SDC1;UBA1;DHCR7;UBE2M;RPS23;TOP2A;SLC25A3;C2CD2;GBE1;SRPR;BHLHE41;MRPL39;HMGB1;ITGAE;CKS1B;HK1;RPS4X;PTBP1;MRPL3;TUBA1C;PPP3CB;TUBA1B;XPO1;IMPA1;YWHAQ;DHX15;PBK;UQCRFS1;SH3BGRL3;NELFCD;PGM1;DLGAP5;CCT3;HSP90AA1;ANXA2;H2AFZ;PRMT1;VBP1;SSR2;MYOF;NDUFC1;ATP5F1;PSMA6;PSMA3;NSA2;PKM;PSMA1;CSDE1;STRAP;MCM6;MAPRE1;SLC25A5;MCM2;CERS2;AHCY;WDR26;NDUFB5;GSTP1;RPL36A;TYMS;HSD17B10;PSMB7;PSMB4;PGRMC1;PSMB5;NT5DC2;EIF4H;RPS3;IARS2;RPL15;RPS2;MAPK6;RRM1;NAP1L1;TUBB4B;PSMC3;FABP5;EIF3K;GSTA4;PRC1;IMPDH2;POLE2;TRMT5;APEX1;SERBP1;NDUFAB1;F2RL1;HDGF;PLP2;VIM;SLIRP;ABCE1;CDKN3
estradiol 5757 human GSE4668 sample 3062	155/325	0.0000000000003499218200971142935037450803019865125885988488274591645676991902291774749755859375	0.0000000000634058338015971141228206391505899108818056220115977339446544647216796875	0.00000000000000000185827771350751181132365533020156484627467561644188764891083565089502371847629547119140625	0.00000000000000028059993473963431432475106505620994068312309944156213159516255473135970532894134521484375	-1.7253388425417735	49.48455831353308	ARL6IP1;CSE1L;NUCKS1;MSMO1;BZW2;CDC20;FBL;TUBB6;TMEM147;PNP;LGALS1;SNRPD2;CCND1;PTTG1;BASP1;SNRPD1;RUVBL1;NUSAP1;AP1S1;B2M;CMC2;TPM1;UBE2E1;ACOT13;ATP1B3;ILF2;OLFM1;ACLY;MYL6;RAB31;MTHFD1;UQCRC1;PPIF;SRSF2;SNRPE;SNRPF;KIF20A;FKBP4;PPIA;PRR11;FKBP3;SNRPB;PFN2;ASF1B;IDI1;DNMT1;TMED10;RPN2;GLO1;INSIG1;RHOBTB3;RTN4;ACAT2;CCNB2;ATP5B;LDHA;CCNB1;HSPH1;PRDX4;IRAK1;RACGAP1;H1FX;SEC31B;SLC19A2;S100A10;FDFT1;VAT1;FDPS;XRCC5;UBE2C;IDH1;SIAH2;CAV1;PAICS;TPX2;SQLE;RPS27;UBE2S;CDK4;ANP32E;CDK1;CYCS;UBA1;DHCR7;SAE1;RPS23;YWHAE;TOP2A;MCM7;ARPC1B;HSPB8;FHL2;HMGB2;HMGB3;DBI;ATP5G3;HMGB1;WISP2;CKS1B;SEPT9;MRPL3;TUBA1C;TUBA1B;YWHAQ;UQCRFS1;TIMP1;AP3S1;NELFCD;CTSD;HSP90AA1;ANXA2;H2AFZ;PRMT1;DYNLT3;H2AFX;AHSA1;ELOVL6;DYNLL1;REXO2;LSS;RAD51C;PKM;NPC2;MCM3;CKS2;SNRPA1;MCM6;PTMA;MCM2;RPL36A;HMGCR;TYMS;TMEM164;UNG;NRAS;PSMB5;EIF4H;RPS3;RBBP8;RBBP7;MAPK6;GINS1;GINS2;RRM1;TPBG;DEK;TUBB4B;ASS1;FABP5;PRC1;RPA3;TRMT5;HNRNPA2B1;MGP;SLIRP
cisplatin DB00515 mouse GSE6206 sample 3412	136/279	0.00000000000130332000725355319737618762883691017249142285461260826195939444005489349365234375	0.000000000168686846653102743153354882411042170442527776685892604291439056396484375	0.000000000000000059004395657655680787259967734993488688283367845678617502613860779092647135257720947265625	0.0000000000000041121524973720036867111601556237362331495802970915409702001852565445005893707275390625	-1.622962190777421	44.41415576109305	IFITM3;IFITM2;ARL6IP1;SAT1;PWP1;ERO1L;FAM216A;CDC20;RPS17;PNP;PTTG1;STMN1;JUNB;PHLDA1;IER2;TIPIN;RPS5;EREG;EEF1A1;MSH6;PROCR;1810037I17RIK;CCNE2;TMX1;SNRPE;S100A4;RPL28;SNRPB;SLBP;CBFB;UQCRB;ABHD4;WDR61;ADH5;ZFP36L1;LDHB;GAR1;CD14;SLC19A2;EGR1;JUN;SIVA1;CAV2;RPS16-PS2;HPRT;PA2G4;NFKBIA;FOSL1;NR4A1;H19;RPS28;EIF5;SERPINB6A;RPS29;RPL27A;RPS27RT;CDK1;CYCS;MAN2B1;FXYD5;RPS23;CDKN1A;ECM1;SLC25A3;BTG1;MCM7;COX4I1;AMD1;HMGB2;HMGB3;AREG;AKR1B8;TUBA1B;ZFP385A;TCF19;HSP90AA1;TNFRSF12A;H2AFZ;GSTO1;DCXR;CKAP2;RPL13A;NDUFC2;AMPD2;PPP2R5D;EMP3;APRT;GNL3;ARL4C;GM5805;UGDH;PTP4A3;HMGA1-RS1;TFDP1;NPC2;MCM3;CKS2;MCM4;DNAJC9;MCM6;PTMA;MCM2;PRPS1;AHCY;PCNA;EI24;SSNA1;PRIM1;ODC1;RPL36A;RPS27L;PTGS2;IL1RL1;DNAJB1;PGRMC1;RBBP4;SERTAD1;PLAGL1;PERP;RPS3;RPL13;SCAND1;RPS2;CGREF1;UTP3;SSRP1;DEK;IFI202B;GFER;PML;RFWD3;IMPDH2;MGP;BAX;ACKR3;HSPA1B
estradiol DB00783 human GSE8597 sample 2731	176/397	0.00000000002456088605093169265124564565813138593275422039141631103120744228363037109375	0.00000000247246252912712371827559694882452123732008431034046225249767303466796875	0.0000000000000000028076598771444592789472215827561194085356866185533564195253575235255993902683258056640625	0.0000000000000003413956133212829769481303997975819920831713825785935778611701607587747275829315185546875	-1.7962684057467442	43.88259633801872	DCLRE1B;ERCC6L;NRM;BUB1B;TTF2;MKI67;SMC4;FAM216A;CDC20;PNP;PTTG1;CHEK1;NUSAP1;NEK2;CHAC2;FBXO5;HADH;SKP2;TMPO;WDHD1;TIPIN;GAS2L3;LIG1;DDX11;VRK1;KNSTRN;WDR76;NEIL3;DEPDC1B;RAB31;CCNE2;MTHFD1;MSH2;PPIF;DNA2;KIF20A;ASF1B;FKBP5;RHNO1;SLBP;BLM;DNMT1;CDCA2;CDCA3;CDCA4;HSPA4L;CDCA7;NCAPG;SKA3;NCAPH;ACAT2;SKA1;RAD51AP1;DSN1;LDHA;RACGAP1;UBR7;FAM83D;NR2C2AP;BARD1;PLK4;EGR3;UBE2C;FANCL;CAV1;PLK1;XRCC3;FANCA;ERLIN1;DHFR;TPX2;ANLN;POLA1;KIF18A;UBE2T;ANP32E;CDK1;PHF19;EZH2;TOP2A;KCNK5;SUV39H2;MCM7;SPIN4;SUV39H1;FAM57A;CDCA7L;NCAPG2;KIF14;BRCA2;FOXM1;CHTF18;AREG;WISP2;CKS1B;KIF15;LMNB1;H2AFJ;IMPA2;MIS18BP1;NUF2;PBK;TOPBP1;TK1;MYBL1;DLGAP5;RFC5;TCF19;HELLS;RMI2;CCDC34;RMI1;KIF23;MASTL;CCNA2;ASPM;ESPL1;MCM3;MCM4;KIF2C;MCM5;DNAJC9;MCM6;SGK1;SLC29A1;ITGB3BP;MCM2;PRPS2;PCNA;RAMP3;UHRF1;PRIM1;TTK;TYMS;LRP8;CENPA;TMEM164;AURKB;UNG;PSMC3IP;HAUS8;HAUS7;RBBP8;POC1B;CTNNAL1;E2F7;E2F8;GINS1;GINS2;DUT;RRM1;IRX3;GINS3;MND1;DEK;TICRR;CENPE;APITD1;FABP5;PRC1;CENPI;RPA3;RFWD3;POLE2;MGP;CENPK;CENPL;TACC3;CENPM;NCAPD2;CENPN;NCAPD3;CKLF;SPC24;SPC25;CDKN3
estradiol 5757 human GSE4668 sample 3061	152/331	0.0000000000231640536478639770388705530487226977136294703285557261551730334758758544921875	0.00000000247246252912712371827559694882452123732008431034046225249767303466796875	0.000000000000000053370616730892398375387108498354198239082204634382844421480740493279881775379180908203125	0.0000000000000040294815631823759910600651830775757501428946220911608833148420671932399272918701171875	-1.6864283353149956	41.29796444851331	NCKAP1;CSE1L;MSMO1;BZW2;FBL;LGALS3;LAPTM4B;RPS17;TUBB6;CHCHD3;LGALS1;TRIM28;OPHN1;PTTG1;BASP1;AP1S1;TPM1;UBE2E1;ACOT13;RPSA;THOC7;ACLY;RAB31;MTHFD1;SRSF2;SNRPE;SNRPF;RPL29;PPIA;PRR11;FKBP3;SNRPB;DAP3;PFN2;IDI1;RPN2;GLO1;INSIG1;RHOBTB3;FOXO3;RTN4;ACAT2;CCNB2;ATP5B;LDHA;EBP;CCNB1;PRDX4;IRAK1;ESD;PGK1;H1FX;S100A11;SLC19A2;FDFT1;FDPS;UBE2C;IDH1;SIAH2;CAV1;HMGA1;PAICS;PRDX6;MRPL24;SQLE;RPS27;UBE2S;RPS20;DHCR7;SAE1;YWHAE;TOP2A;SLC25A3;MCM7;YWHAB;DDX47;GBE1;ARPC1B;HSPB8;ADK;FHL2;HMGB2;HMGB3;DBI;ATP5G3;HMGB1;WISP2;SEPT9;MRPL3;TUBA1C;TUBA1B;YWHAQ;UQCRFS1;TIMP1;AP3S1;CTSD;CCT3;HSP90AA1;ANXA2;H2AFZ;DYNLT3;AHSA1;ELOVL6;NUTF2;DYNLL1;REXO2;LSS;RHOA;SFPQ;RAD51C;PKM;DDAH1;NPC2;PPDPF;CSDE1;PCCB;SNRPA1;EVL;MCM6;TKT;PTMA;DLD;MCM2;HDAC2;FAM35A;ATP5A1;DLST;HMGCR;TYMS;COX5A;TMEM164;UNG;REPIN1;NRAS;PSMB5;EIF4H;RPS3;RBBP8;RPL13;RBBP7;MAPK6;TPBG;CMTM6;NAP1L1;TUBB4B;ASS1;FABP5;PRC1;HNRNPA2B1;MGP;TACC2;TPT1
vitamin c DB00126 mouse GSE32994 sample 3509	180/411	0.000000000050345281167565378197228250887289009544989237809886617469601333141326904296875	0.0000000045612824737814229092397100740093052184676025717635639011859893798828125	0.00000000000000000301453080195393358999252396135577422026266772116568325168284303572363569401204586029052734375	0.0000000000000003413956133212829769481303997975819920831713825785935778611701607587747275829315185546875	-1.741234315617241	41.288350461233605	CDA;SPON2;STEAP3;CCNF;BUB1B;CCP110;UBE2L6;MSMO1;MKI67;SMC4;IFIT3;AQP1;RCBTB2;CDC20;NSDHL;PRL2C3;OPHN1;PTTG1;STMN1;CHEK1;NUSAP1;NEK2;FBXO5;WDHD1;GAS2L3;BORA;LIG1;IL1R1;HGF;SKIDA1;ARRDC3;EBF1;CDC25C;EML1;KNSTRN;CDC25B;CYP39A1;TPST1;NEIL3;DEPDC1B;DEPDC1A;MSH2;HAT1;SH2D1B2;LY6A;SLC27A3;PRR11;LY6E;IDI1;BLM;CDCA2;CDCA3;INSIG1;ZFP229;ARHGAP18;MGST2;NCAPG;SKA3;NCAPH;ACAT2;SKA1;CCNB2;CCNB1;RACGAP1;RDH11;MUSTN1;ARSJ;ERI2;FAM83D;ECT2;CNTLN;FDFT1;PLK4;GSTM1;MLKL;UBE2C;IDH1;PLK1;ERLIN1;PPBP;CYP51;DHFR;TPX2;ANLN;ARHGAP32;POLA1;KIF18A;LSM6;MIR186;OGN;ANP32E;CDK1;TRMT12;TRMT13;TRMT11;TOP2A;RTP4;SUV39H2;GPSM2;TTC26;SETD3;MTMR12;HP1BP3;NCAPG2;KIF14;HMGB2;HMGB3;GTDC1;TSPAN11;CXCL5;KIF15;MEDAG;MIS18BP1;NUF2;PBK;TNFAIP8L1;TK1;SCD1;CD34;DLGAP5;OASL2;HELLS;HMGCS1;KIF23;KIF22;MASTL;LSS;DNM1;ZDHHC15;CCNA2;TGFBR3;RAD51B;ASPM;RAD51C;ESPL1;MCM3;G2E3;CKS2;MCM4;TRIM59;KIF2C;MCM5;MCM6;KIZ;MATN2;SLC43A3;PRIM1;TTK;LRP8;CENPA;PAPSS1;ZFP709;IL1RL2;RBBP8;SNCG;BUB1;XDH;E2F8;D1ERTD622E;GINS1;KCNJ14;IFI202B;PDP1;RPIA;CENPE;CENPF;EVI2A;PRC1;CENPI;RPA3;POLE2;CENPK;TACC3;HYLS1;NCAPD2;CENPN;CENPP;CLEC2D;SPC25;CDKN3
