MGI Gene/Marker ID	Symbol	Name	Chr	Qualifier	Annotated Term	Context	Proteoform	Evidence	Inferred From	Reference(s)
MGI:88024	Ank1	ankyrin 1, erythroid	8		endoplasmic reticulum to Golgi vesicle-mediated transport			ISO	P16157 	J:164563 	
MGI:2387591	Arcn1	archain 1	9		endoplasmic reticulum to Golgi vesicle-mediated transport			IBA	PTN000012805 	J:265628 	
MGI:99431	Arf1	ADP-ribosylation factor 1	11		positive regulation of ER to Golgi vesicle-mediated transport			ISO	RGD:621270 	J:155856 	
MGI:1924288	Arfgap2	ADP-ribosylation factor GTPase activating protein 2	2		endoplasmic reticulum to Golgi vesicle-mediated transport			IBA	PTN002904183 	J:265628 	
MGI:1913501	Arfgap3	ADP-ribosylation factor GTPase activating protein 3	15		endoplasmic reticulum to Golgi vesicle-mediated transport			IBA	PTN002904183 	J:265628 	
MGI:101917	Bcap29	B cell receptor associated protein 29	12		endoplasmic reticulum to Golgi vesicle-mediated transport			IBA	PTN000294723 	J:265628 	
MGI:101917	Bcap29	B cell receptor associated protein 29	12		endoplasmic reticulum to Golgi vesicle-mediated transport	results in the placement of H2-D1		IGI	MGI:1350933 	J:90842 	
MGI:1350933	Bcap31	B cell receptor associated protein 31	X		endoplasmic reticulum to Golgi vesicle-mediated transport			IBA	PTN000294723 	J:265628 	
MGI:1350933	Bcap31	B cell receptor associated protein 31	X		endoplasmic reticulum to Golgi vesicle-mediated transport	results in the placement of H2-D1		IGI	MGI:101917 	J:90842 	
MGI:1350933	Bcap31	B cell receptor associated protein 31	X		endoplasmic reticulum to Golgi vesicle-mediated transport	results in the placement of H2-D1		IMP		J:90842 	
MGI:1343104	Bet1	Bet1 golgi vesicular membrane trafficking protein	6		endoplasmic reticulum to Golgi vesicle-mediated transport			IBA	PTN000980454 	J:265628 	
MGI:1343104	Bet1	Bet1 golgi vesicular membrane trafficking protein	6		endoplasmic reticulum to Golgi vesicle-mediated transport			ISO	RGD:2203 	J:155856 	
MGI:1343104	Bet1	Bet1 golgi vesicular membrane trafficking protein	6		endoplasmic reticulum to Golgi vesicle-mediated transport			ISO	Q62896 	J:96057 	
