MGI Gene/Marker ID	Symbol	Name	Chr	Qualifier	Annotated Term	Context	Proteoform	Evidence	Inferred From	Reference(s)
MGI:1921455	Acsl3	acyl-CoA synthetase long-chain family member 3	1		positive regulation of Golgi to plasma membrane protein transport			ISO	O95573 	J:164563 	
MGI:1934943	Amn	amnionless	12		Golgi to plasma membrane protein transport			ISO	Q9BXJ7 	J:164563 	
MGI:88026	Ank3	ankyrin 3, epithelial	10		Golgi to plasma membrane protein transport			ISO	Q12955 	J:164563 	
MGI:1917037	Anxa13	annexin A13	15		positive regulation of Golgi to plasma membrane protein transport			IBA	PTN002574747 	J:265628 	
MGI:1923938	Arfrp1	ADP-ribosylation factor related protein 1	2		Golgi to plasma membrane protein transport			IBA	PTN000196303 	J:265628 	
MGI:1923938	Arfrp1	ADP-ribosylation factor related protein 1	2		Golgi to plasma membrane protein transport			ISO	Q13795 	J:164563 	
MGI:1277215	Bbs1	Bardet-Biedl syndrome 1 (human)	19		Golgi to plasma membrane protein transport			ISO	Q8NFJ9 	J:146158 	
MGI:2135267	Bbs2	Bardet-Biedl syndrome 2 (human)	8		Golgi to plasma membrane protein transport			ISO	Q9BXC9 	J:73065 	
MGI:1201607	Blzf1	basic leucine zipper nuclear factor 1	1		Golgi to plasma membrane protein transport			IBA	PTN000990856 	J:265628 	
MGI:1201607	Blzf1	basic leucine zipper nuclear factor 1	1		Golgi to plasma membrane protein transport			ISO	Q9H2G9 	J:73065 	
MGI:2445141	Cnst	consortin, connexin sorting protein	1		positive regulation of Golgi to plasma membrane protein transport			IBA	PTN002408364 	J:265628 	
MGI:2445141	Cnst	consortin, connexin sorting protein	1		positive regulation of Golgi to plasma membrane protein transport			ISO	Q6PJW8 	J:164563 	
MGI:88537	Csk	c-src tyrosine kinase	9		negative regulation of Golgi to plasma membrane protein transport			ISO	P41240 	J:164563 	
MGI:2443049	D230025D16Rik	RIKEN cDNA D230025D16 gene	8		Golgi to plasma membrane protein transport			IBA	PTN000336163 	J:265628 	
MGI:2443049	D230025D16Rik	RIKEN cDNA D230025D16 gene	8		Golgi to plasma membrane protein transport			ISO	RGD:621098 	J:155856 	
MGI:2146207	Gga1	golgi associated, gamma adaptin ear containing, ARF binding protein 1	15		Golgi to plasma membrane protein transport			ISO	Q9UJY5 	J:164563 	
