Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Z-score	Combined Score	Genes
regulation of mitotic cell cycle phase transition (GO:1901990)	85/185	0.0000005344502142000626772325362102977752698507174500264227390289306640625	0.0005229162351847046162622856257939929491840302944183349609375	0.00002949927011102247717089057388317741015271167270839214324951171875	0.0239681569652057634145503328682025312446057796478271484375	-1.9158861836382348	27.669280482425393	YWHAE;PID1;CETN2;CEP164;KIF14;BUB1B;CCP110;CDC14A;PPP1R9B;CDC20;PSMD8;PSMD6;PSMD7;PSMD4;PSMD5;CNTRL;PSMD1;CEP250;NEK2;FBXO5;PRKACA;CEP290;CDK5RAP2;HSP90AA1;CEP135;CEP131;UBE2E1;HAUS4;DYNLL1;CKAP5;TUBA4A;SIRT2;PSMA5;PSMA6;PSMA3;PSMA1;ZW10;PSME1;PSME2;ANAPC5;MAPRE1;SDCCAG8;ANAPC2;DCTN1;PSMD13;SSNA1;CUL1;ZFP36L2;ANAPC11;ZFP36L1;PSMB7;FZR1;PSMB4;CCNB1;PSMB5;HAUS8;HAUS7;PRKAR2B;CEP70;E2F1;CEP192;BUB3;CEP76;CLASP1;PLK4;NPM2;ODF2;UBE2C;NDE1;PLK1;INO80;TUBB4B;TPX2;CENPE;ANLN;CENPF;PSMC6;RGCC;PSMC3;CENPJ;ALMS1;CDC16;CDK1;PTPN6;CEP41
secondary alcohol biosynthetic process (GO:1902653)	24/37	0.000005732368424396510706172146176751169832641608081758022308349609375	0.0025404814608120901246735012790622931788675487041473388671875	0.000800872189870140659129216231804093695245683193206787109375	0.162677163567372329300297906229388900101184844970703125	-2.037209711501485	24.587861763944904	FDPS;IDI1;MVK;ACAA2;HMGCS1;CNBP;DHCR24;MSMO1;HMGCR;HSD17B7;LSS;ACAT2;ACAT1;TM7SF2;ACLY;SQLE;EBP;NSDHL;ERG28;PMVK;MVD;DHCR7;LBR;FDFT1
mitotic nuclear division (GO:0140014)	39/75	0.000020212180389900380049657269143636995067936368286609649658203125	0.00528310529477599329084558377189750899560749530792236328125	0.00069213874197587127966302400494669200270436704158782958984375	0.1533716530514714626587391421708161942660808563232421875	-2.2062816101224296	23.84819465859393	TUBGCP2;BCCIP;XIAP;ABRAXAS2;SMC4;NSL1;EPS8;DSN1;KIF3B;NUP62;NUSAP1;FLNA;CEP192;PIBF1;CLASP1;MAP9;UBE2C;NDE1;PLK1;INO80;SMC1A;KNSTRN;RHOA;MZT1;TPX2;KIF18A;KIF2A;ESPL1;UBE2S;KIFC1;CEP57L1;ZW10;PPP2R2D;CHMP2A;CHMP4B;TUBGCP3;TUBGCP4;CHMP7;BIRC3
cell cycle G2/M phase transition (GO:0044839)	62/128	0.00000206137856453149330093429537902327552956194267608225345611572265625	0.0012561525627613786930403261266064873780123889446258544921875	0.000108853985095792532111595718458119108618120662868022918701171875	0.053066317734198863165229198557426570914685726165771484375	-1.8127147108595891	23.732306785814774	YWHAE;CDKN1A;CETN2;CEP164;KDM8;CCP110;PPP2R2A;FOXM1;PPME1;ENSA;CNTRL;CEP250;NEK2;PRKACA;CEP290;PHLDA1;RAB8A;CDK5RAP2;HSP90AA1;CEP135;BORA;CEP131;HAUS4;MASTL;DYNLL1;CDC25C;CKAP5;TUBA4A;CDC25B;CCNA2;LATS1;CCNY;MAPRE1;AJUBA;SDCCAG8;DCTN1;SSNA1;CUL1;ARPP19;CCNB2;CCNB1;HAUS8;HAUS7;PRKAR2B;CEP70;CEP192;LCMT1;CEP76;CLASP1;PLK4;ODF2;NDE1;PLK1;TUBB4B;WEE1;CDK7;CENPJ;ALMS1;CDK1;CEP41;NES;CDK14
phosphorylation (GO:0016310)	155/387	0.000001154504486289879968555021315379516266830250970087945461273193359375	0.000938034895110527390700572158976910941419191658496856689453125	0.000011462712448665700779265423647768074033592711202800273895263671875	0.01137006739096675829447935512916956213302910327911376953125	-1.7173925364899545	23.479914812110923	PANK2;DGKD;GMFB;TESK2;LIPE;RPS6KA3;STK10;RPS6KA5;PPP4R1;RPS6KA2;AKT3;STK16;CHEK1;AKT1;NEK2;NEK3;PRKACA;PRKACB;XYLB;ACVR1;PRKCG;PRKCI;MAP2K1;CSNK2A1;PRKCE;DYRK1A;MATK;LMTK2;PRKCA;VRK1;PRPF4B;VRK2;PASK;HASPIN;DGKZ;RUNX3;CDC25B;BCR;ILF3;PRKAR1B;CCNE1;MAPKAPK2;SIK3;UQCRC1;TSSK6;UQCRC2;SIK2;PRKD1;TSSK4;CSNK1G2;UQCRB;CTBP1;PIK3R4;WNK4;UQCRH;STK3;NUAK1;NUAK2;FGGY;IRAK1;STK36;ATP5D;ABL1;PGK1;MAP3K20;STK38L;MARK4;IP6K3;PLK4;CDK17;CDK18;TGFB1;DMPK;NEK4;TNK2;NEK7;PLK1;EIF2AK4;DCLK1;CLK3;CLK2;ICK;CDK7;FER;STK24;FES;WNK1;CDK4;CDK1;CDK10;CDK14;FGFR1;CDK16;BMPR1A;MAP3K12;ACVRL1;DYRK3;GSK3A;MAST2;LRRK2;ADK;PIK3CD;ILK;PIK3CB;LIMD1;HK1;DSTYK;PPP3CB;PRKG2;JAK3;JAK1;SYK;MINK1;OXSR1;TGFBR2;NIPSNAP2;LATS1;HCK;CREB1;PIK3CA;LCK;PEAK1;RARA;FAM20B;FAM20C;TOP1;FAM20A;SGK1;CAMK2B;CAMK2D;ROCK2;CAMK2A;ACVR1B;AURKB;CAMKK2;PAK1;ERBB2;CSK;MAPK6;MAP4K5;FNIP2;MAP3K2;MAP3K1;GK;CSNK1A1;CDC42BPB;HIPK2;BCKDK;PINK1;ADM2;PKN2;CAMK1;PKN1;FRK;TAF1
cleavage furrow formation (GO:0036089)	7/8	0.0009879887741685556244719546015176092623732984066009521484375	0.07525695740737044225898699778554146178066730499267578125	0.0230812364226027112723560463791727670468389987945556640625	0.621913174752043662607547958032228052616119384765625	-3.2977234814971026	22.819716292086152	SNX18;SPIRE2;SPIRE1;SNX9;SNX33;RHOA;AURKB
cilium assembly (GO:0060271)	124/289	0.000000195346250568972929869112427521404828922868546214886009693145751953125	0.0004197497500702865032111421594862576966988854110240936279296875	0.0000071697962144895524097304613519998639503683079965412616729736328125	0.01137006739096675829447935512916956213302910327911376953125	-1.4600473422759603	22.55552999196696	GALNT11;CCP110;FNBP1L;CDC14A;PTPDC1;CEP250;NEK2;PRKACA;CDK5RAP2;CEP135;DNAAF3;CEP131;RFX2;IFT80;OCRL;RPGRIP1L;TMEM80;TUBA4A;IFT88;IFT81;TMEM138;FAM92A;CCNO;UNC119B;NOTCH1;INTU;ARL3;SPATA6;DYNC2LI1;KIF3B;STK36;KIF3A;PRKAR2B;TTC21B;NPHP1;CEP70;NPHP4;CEP192;KIF3C;MARK4;PIBF1;CEP76;PLK4;BBS2;CFAP74;ODF2;PLK1;RAB3IP;PARVA;FUZ;TMEM231;ICK;IFT22;WDR60;TMEM237;CDK1;CEP83;DYNLRB1;CEP89;YWHAE;TTC26;C2CD3;CETN2;CEP164;PTPN23;KIF17;SEPT8;SEPT9;IFT52;NUDCD3;SEPT7;TCTN2;TMEM107;CNTRL;WDR5;BBS7;IFT57;CC2D2A;CEP290;RAB8A;ACTR3;HSP90AA1;IFT140;HAUS4;KIF24;DYNLL1;CKAP5;WDR35;SEPT5;BBS10;IFT43;RILPL2;RILPL1;TRIM59;MAPRE1;IFT46;SSX2IP;SDCCAG8;DCTN1;SSNA1;DNAH6;HDAC6;IFT74;HAUS8;HAUS7;RAB23;FLNA;POC1B;TOGARAM1;E2F4;CLASP1;SEPT10;GSN;NDE1;WDR19;SCLT1;TUBB4B;TTC8;CENPJ;ALMS1;HYLS1;B9D1;B9D2;CEP41
regulation of alcohol biosynthetic process (GO:1902930)	23/35	0.0000064878554699912643381688910626525768066130694933235645294189453125	0.0026356912846839512278018791135991705232299864292144775390625	0.000898410502021293011325198119010337904910556972026824951171875	0.1684519691289924347987749797539436258375644683837890625	-1.8478156043647502	22.073226388560503	MBTPS1;FDPS;IDI1;MVK;NFYA;HMGCS1;NFYB;ELOVL6;HMGCR;ACACB;LSS;ACACA;SREBF2;TM7SF2;SEC14L2;SQLE;PMVK;SC5D;SCAP;MVD;DHCR7;MBTPS2;FDFT1
cellular protein modification process (GO:0006464)	353/1002	0.0000038418636597221133793084689445063162338556139729917049407958984375	0.0020810094823494780513772894892099429853260517120361328125	0.00000168567671394780946479631696111045613406531629152595996856689453125	0.0082176739804955718782242257702819188125431537628173828125	-1.7368408645466653	21.657629180109637	GMFB;CCNF;TESK2;KEAP1;UBE2L6;PPP2R2A;DCAF5;DCAF6;PSMD8;LIPE;RPS6KA3;PSMD6;RPS6KA5;PSMD7;LGALS1;PPP4R1;PSMD4;PSMD5;AKT2;RPS6KA2;AKT3;CHEK1;FBXO4;AKT1;PSMD1;PRKACA;SEPHS1;SKP2;PRKACB;FBXO9;ACVR1;PRKCG;PRKCI;COG7;CSNK2A1;PRKCE;ALG5;COG3;PRKCA;PASK;HASPIN;RUNX3;BCR;CDC34;PRKAR1B;MXRA8;SIK3;PSME1;PSME2;SIK2;PRKD1;MTMR2;RPN2;CTBP1;FUT10;SDC2;DCUN1D1;PIK3R4;WNK4;COPS7A;HIF1A;MTMR6;NUAK1;NUAK2;ARSJ;ST3GAL4;STK38L;ARSG;APOB;ST3GAL2;ARSB;PLK4;CDK17;B3GALNT2;CDK18;B3GALNT1;DMPK;PLK1;FUCA2;EIF2AK4;DCLK1;ICK;FBXL8;MSRA;PPP5C;WNK1;CALU;CDK10;FBXL3;FBXL5;CDK14;BAP1;CDK16;ACVRL1;PIGU;PTPRS;PTPRM;PTPRK;WDR45;PHEX;TRIOBP;ANKRD9;SERP2;PPP3CA;DSTYK;PPP3CB;PPP3CC;QSOX1;ELOB;TIMP1;JAK3;RAB8A;JAK1;DUSP5;DUSP2;SYK;RIPK3;MINK1;ANO8;FN3KRP;COMMD1;UCHL3;DUSP9;LRRC41;SUMF2;CTTNBP2NL;SUMF1;DUSP7;PSMA5;HCK;PSMA6;PSMA3;PSMA1;RARA;FAM20B;PIGK;B3GNT3;VWA1;FAM20C;FAM20A;MFGE8;SGK1;PHLPP2;PHLPP1;GPS1;NEDD8;CAMKK2;PSMB7;PPP2CB;PSMB4;PAK1;PSMB5;SPP1;PGGT1B;CHML;AGA;MAP4K5;LCMT1;MAP3K2;UBL4A;MAP3K1;CSNK1A1;KRT10;HIPK2;KTN1;RAB11B;SPSB2;PSMC6;PSMC3;KLHL5;ADM2;QPCT;NUCB1;PKN2;NOTUM;CAMK1;PKN1;KBTBD7;FRK;PNPLA2;CSF1;UBE2D3;MPI;PLOD1;LOXL1;STK10;STK16;FNTB;MACROD1;NEK2;NEK3;SBF1;LARGE1;MEN1;FBXW4;CSNK1G3;MAP2K1;FBXW7;APLP2;FBXO17;UBE2E1;DYRK1A;SHISA5;MATK;LMTK2;UBE2E2;VRK1;PRPF4B;VRK2;FBXW2;KCTD6;CDC25B;KLHL42;ILF3;CCNE1;MAPKAPK2;PGP;TSSK6;TSSK4;CSNK1G2;CUL5;PSMD13;CUL2;CUL1;DAPP1;LTBP1;FUT4;TIMM50;STK3;PORCN;FUT7;MAN2A2;BTBD1;IRAK1;STK36;ABL1;MAP3K20;ABL2;NAE1;MARK4;SOCS6;IP6K3;SOCS5;UBE2F;TGFB1;KLHL25;NEK4;NEK7;KLHL21;B3GALT6;ISG15;BTBD6;MT3;CLK3;FBXO30;CLK2;SSH1;PTPRE;COPS6;CDK7;FER;TMEM115;STK24;FES;UBE2S;CDK4;UBA3;CDK1;CPE;MAN2B1;UBE2M;FGFR1;BMPR1A;MAP3K12;DYRK3;GSK3A;MAST2;LRRK2;POMT1;NGLY1;PIK3CD;ILK;PTPN21;PTPN22;PIK3CB;MSLN;CYR61;DUSP12;WDR5;PRKG2;MAN2C1;PLAUR;PPP2R5D;OXSR1;RABGGTB;POMGNT1;RABGGTA;CKAP4;TGFBR2;LATS1;DUSP22;PPM1A;PPM1B;CREB1;PIK3CA;VGF;CTDSP1;LCK;PEAK1;CTDSP2;ATG4D;CAMK2B;CAMK2D;PPM1M;ROCK2;CAMK2A;ASB13;GLRX;ACVR1B;THBS1;AURKB;PPM1G;FBXL21;ERBB2;CSK;RBBP7;MAPK6;DCAF11;FNIP2;MBTPS1;PTPN1;SLC35A1;ATE1;FEM1B;LAMB2;FBXL19;PTPN12;PPP2R3A;CDC42BPB;FBXL16;FBXL14;FBXL12;CUL4A;PINK1;CTH;RAB13;ASB6;PTPN9;ERCC8;PTPN6;PTPN5;METAP1;TAF1
regulation of G2/M transition of mitotic cell cycle (GO:0010389)	69/150	0.000005713655265980015281082442235582874445753986947238445281982421875	0.0025404814608120901246735012790622931788675487041473388671875	0.00015389085814117176172731438210661281118518672883510589599609375	0.0577090718029394100785367527350899763405323028564453125	-1.760361121473389	21.252226487633543	YWHAE;CETN2;CEP164;PINX1;KIF14;CCP110;PSMD8;MECP2;PSMD6;PSMD7;PSMD4;CCND1;PSMD5;CNTRL;PSMD1;CEP250;NEK2;PRKACA;CEP290;CDK5RAP2;USP47;HSP90AA1;CEP135;CEP131;HAUS4;DYNLL1;CKAP5;TUBA4A;PSMA5;RAD51B;PSMA6;PSMA3;RAD51C;PSMA1;PSME1;PSME2;MAPRE1;SDCCAG8;DCTN1;PSMD13;SSNA1;CUL1;PSMB7;PSMB4;CCNB1;PSMB5;HAUS8;HAUS7;PRKAR2B;CEP70;CEP192;CEP76;CLASP1;BRD4;PLK4;ODF2;RCC2;NDE1;PLK1;TUBB4B;TPX2;CENPF;PSMC6;PSMC3;CDK4;CENPJ;ALMS1;CDK1;CEP41
glycerophospholipid biosynthetic process (GO:0046474)	71/165	0.0000658852241307949343905592254344583125202916562557220458984375	0.0127636154709701056531034879526487202383577823638916015625	0.000562299273139691031808684584802904282696545124053955078125	0.1442741556082101916924642637241049669682979583740234375	-2.021805533128732	19.465127587585627	ARF3;SLC27A1;MTMR12;MTMR14;CPNE7;LPCAT1;PIK3CD;PCTP;PIK3CB;PIK3C2A;LCLAT1;PIK3C2B;IMPA1;ACP6;CPNE1;CPNE3;PIP4K2B;SBF1;PLA2G12A;PCYT1B;CSNK2A1;SACM1L;CSNK2A2;PLA2G4A;OCRL;HDHD5;RUFY1;INPP4B;GNPAT;PHOSPHO1;PIK3CA;PITPNM1;PITPNM3;PITPNM2;CSNK2B;FAR1;VAC14;MTMR2;PIK3R4;MTMR9;PIK3R2;ABHD5;PIK3R1;AGPAT1;AGPAT2;AGPAT3;MTMR6;PIK3R5;PLD2;PGS1;PTDSS2;PTDSS1;INPP5D;PIP5K1A;GPAT3;CEPT1;PIP5K1C;CDIPT;PLEKHA1;CHKA;DDHD2;PLEKHA4;DDHD1;SYNJ2;RAB14;LPCAT2;CHPT1;PI4KB;LPIN1;LPIN3;CDS2
cholesterol biosynthetic process (GO:0006695)	23/36	0.000013059894300613636582662768770290995234972797334194183349609375	0.00489746036273011435546731462409297819249331951141357421875	0.0011839672746788783459781502216401349869556725025177001953125	0.1704853608342989657042920725871226750314235687255859375	-1.7226132223114667	19.3724471927461	FDPS;IDI1;MVK;ACAA2;HMGCS1;CNBP;DHCR24;MSMO1;HMGCR;HSD17B7;LSS;ACAT2;TM7SF2;ACLY;SQLE;EBP;NSDHL;PMVK;SC5D;MVD;DHCR7;LBR;FDFT1
regulation of cholesterol biosynthetic process (GO:0045540)	25/41	0.00001808930923579870326633849131336972959616105072200298309326171875	0.00528310529477599329084558377189750899560749530792236328125	0.0012033853856607298719871845804618715192191302776336669921875	0.1704853608342989657042920725871226750314235687255859375	-1.7396797064280645	18.997631966339057	IDI1;MVK;HMGCR;ACACB;ACACA;TM7SF2;SEC14L2;PMVK;SC5D;SCAP;FDFT1;MBTPS1;FDPS;NFYA;HMGCS1;NFYB;ERLIN1;ELOVL6;LSS;SREBF2;SQLE;MVD;DHCR7;MBTPS2;ABCG1
ciliary basal body-plasma membrane docking (GO:0097711)	52/97	0.0000002583075385047916714138902145869725046622988884337246417999267578125	0.0004197497500702865032111421594862576966988854110240936279296875	0.000054768873643477983498110972515604544241796247661113739013671875	0.038142608430279313636024340894437045790255069732666015625	-1.2384604220025397	18.78634850510145	YWHAE;C2CD3;CETN2;CEP164;CCP110;TCTN2;CNTRL;CEP250;NEK2;PRKACA;CC2D2A;CEP290;RAB8A;CDK5RAP2;HSP90AA1;CEP135;CEP131;HAUS4;KIF24;RPGRIP1L;DYNLL1;CKAP5;TUBA4A;MAPRE1;SDCCAG8;DCTN1;SSNA1;HAUS8;HAUS7;PRKAR2B;NPHP1;CEP70;NPHP4;CEP192;MARK4;CEP76;CLASP1;PLK4;ODF2;NDE1;PLK1;RAB3IP;SCLT1;TUBB4B;CENPJ;ALMS1;CDK1;CEP83;B9D1;B9D2;CEP41;CEP89
protein deubiquitination (GO:0016579)	105/258	0.0000264319481514405511574268559105149734023143537342548370361328125	0.005857079419921486750089112405248670256696641445159912109375	0.00017547603671989314287789352153623667618376202881336212158203125	0.061103262786391367156202392152408719994127750396728515625	-1.7628196286654905	18.581770863561466	OTUD4;OTUD5;KEAP1;CCP110;CDC20;PSMD8;YY1;PSMD6;PSMD7;PSMD4;PSMD5;RUVBL1;PSMD1;TRIM25;SKP2;USP2;HCFC1;DMWD;PSME1;PSME2;INO80C;INO80E;MINDY1;PSMD13;SHMT2;BRCC3;ADRB2;HIF1A;SNX3;ATXN3;ATXN7;RIPK1;SUDS3;BARD1;SMAD2;SMAD1;ZRANB1;SMAD4;SMURF2;SIAH2;STAM;INO80;SMAD7;TADA2B;NFKBIA;CYLD;MAVS;CDK1;MDM4;OGT;BAP1;WDR48;USP31;USP33;OTUD7B;BABAM1;BABAM2;UIMC1;USP46;USP47;USP43;ACTR5;ACTL6A;AXIN1;RAD23A;JOSD2;AXIN2;ACTR8;UCHL3;JOSD1;RHOA;CCNA2;PSMA5;PSMA6;PSMA3;PSMA1;TRAF3;BIRC3;OTUB2;USP14;USP15;USP27X;USP10;FOXK2;WDR20;NEDD8;ABRAXAS2;NOD2;USP18;USP19;PSMB7;PSMB4;PSMB5;STAMBPL1;USP20;USP21;USP9X;TAF10;USP28;ASXL1;PSMC6;PSMC3;ASXL2;EIF3F;OTUD1
sterol biosynthetic process (GO:0016126)	25/41	0.00001808930923579870326633849131336972959616105072200298309326171875	0.00528310529477599329084558377189750899560749530792236328125	0.0012033853856607298719871845804618715192191302776336669921875	0.1704853608342989657042920725871226750314235687255859375	-1.6875648318282677	18.428527662851113	IDI1;MVK;ACAA2;MSMO1;HMGCR;HSD17B7;ACAT2;ACAT1;TM7SF2;EBP;NSDHL;PMVK;SC5D;LBR;FDFT1;FDPS;HMGCS1;CNBP;DHCR24;LSS;ACLY;SQLE;ERG28;MVD;DHCR7
mitotic cell cycle phase transition (GO:0044772)	100/222	0.000000184119391264291985892167223017035215804071413003839552402496337890625	0.0004197497500702865032111421594862576966988854110240936279296875	0.00001166160758047872549329933289374849891828489489853382110595703125	0.01137006739096675829447935512916956213302910327911376953125	-1.1709607780789988	18.15888670667411	RB1;CCP110;PPP2R2A;EPS8;CCND1;PPME1;CEP250;NEK2;PRKACA;PHLDA1;CDK5RAP2;ACVR1;CEP135;BORA;CEP131;CDC25C;TUBA4A;CDC25B;CDC34;CCNE2;CCNY;CCNE1;CHMP4B;AJUBA;CUL5;CUL2;CUL1;ARPP19;CCNB2;CCNB1;PRKAR2B;CEP70;ORC2;CEP192;CEP76;PLK4;ODF2;UBE2C;PLK1;POLA1;CDK7;UBE2S;CDK4;CHMP2A;CDK1;NES;CDK14;TRIM71;YWHAE;CDKN1A;MCM7;CETN2;CEP164;KDM8;FOXM1;ENSA;CNTRL;CEP290;RAB8A;HSP90AA1;HAUS4;MASTL;DYNLL1;CKAP5;CCNA2;LATS1;MCM3;MCM4;MCM5;MCM6;MAPRE1;CHMP7;SDCCAG8;MCM2;DCTN1;SSNA1;PRIM1;CAMK2A;ACVR1B;HAUS8;HAUS7;EIF4E;LCMT1;CLASP1;CDKN2D;RANBP3;NDE1;TUBB4B;POLE4;CUL4A;WEE1;RPA3;POLE2;CENPJ;ALMS1;PPP2R2D;TACC3;CEP41;CRLF3;CDKN3
