Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Z-score	Combined Score	Genes
IRE1-mediated unfolded protein response (GO:0036498)	19/58	0.00000000005259992100968146816889964312798674654636510439331686939112842082977294921875	0.00000008184547709106436576327755182125311961272018379531800746917724609375	0.000000007836759891321459762475822898031285745901186601258814334869384765625	0.0000121939983908961912845332620225491382370819337666034698486328125	-1.4580747151511815	34.51015925504091	TSPYL2;XBP1;HSPA5;WFS1;FKBP14;EDEM1;GFPT1;SYVN1;WIPI1;PDIA6;DNAJC3;SERP1;DNAJB11;SRPRB;DNAJB9;HYOU1;KDELR3;SEC62;ATP6V0D1
response to endoplasmic reticulum stress (GO:0034976)	26/107	0.000000000032314986403424604232248460971145369302615080187024432234466075897216796875	0.00000008184547709106436576327755182125311961272018379531800746917724609375	0.000000003226626419128893438684730653512842957209016958586289547383785247802734375	0.00001004126141632911604038846942188456523581407964229583740234375	-1.2618125772356392	30.47970111395816	PPP1R15A;FICD;SEL1L;DERL1;TXNDC11;SELENOK;HERPUD1;HSP90B1;UFL1;CREB3L2;DNAJB9;CHAC1;PDIA3;HSPA5;WFS1;RHBDD1;EIF2AK3;SYVN1;PDIA6;PDIA4;SELENOS;DDIT3;TRIB3;HYOU1;ATF3;ATF4
retrograde protein transport, ER to cytosol (GO:0030970)	8/19	0.0000024741866276502475483801968270114457482122816145420074462890625	0.00109995268360679591436446234098411878221668303012847900390625	0.00004354995684392219614140817629532875798759050667285919189453125	0.0193610665283265558078706902733756578527390956878662109375	-2.279218838402229	29.42380089798218	SELENOS;RHBDD1;SEL1L;DERL1;SYVN1;DERL2;HERPUD1;HSP90B1
endoplasmic reticulum to cytosol transport (GO:1903513)	7/17	0.0000129236715771699310628672918710435624234378337860107421875	0.004021846594815282893708996425630175508558750152587890625	0.00014785949435016247145192880285691217068233527243137359619140625	0.0460138746417705635227690663668909110128879547119140625	-2.576635710369263	29.003770841475266	SELENOS;SEL1L;DERL1;SYVN1;DERL2;HERPUD1;HSP90B1
Golgi vesicle transport (GO:0048193)	37/272	0.00000010070686722363990913415156096266667162808516877703368663787841796875	0.000104466590266655796957577517769522046364727430045604705810546875	0.000001454101337363158239469559419865252181125470087863504886627197265625	0.00150838778729138283350719174080722950748167932033538818359375	-1.6302537487614237	26.265102666270685	SEC23A;STX17;ATP8A1;PEF1;USO1;MIA3;AREG;DNAJC28;GOLGA2;GOLGA3;GOLGA5;KIF3B;TRAPPC12;TRAPPC11;WHAMM;CD55;TMED4;TRAPPC2;COG6;SURF4;GOLPH3L;ARFGAP3;RBSN;BET1L;RAB33B;RINT1;EHD3;GOLGB1;RAB13;HYOU1;GOPC;KDELR3;SEC22B;SEC24D;RAB7B;SEC22A;BET1
negative regulation of keratinocyte proliferation (GO:0010839)	4/8	0.0004411238595157355199365134534872368021751753985881805419921875	0.034319436270324223114958073210800648666918277740478515625	0.0024600076933127957949654085467727782088331878185272216796875	0.1509413075741854737277236608861130662262439727783203125	-3.3277483873946268	25.710799213141716	MBD4;VDR;KLF9;SNAI2
protein exit from endoplasmic reticulum (GO:0032527)	7/20	0.0000448476923709345442928091152179348455319995991885662078857421875	0.00835323193739866652618442088851224980317056179046630859375	0.00033147151449228911580802137137879981310106813907623291015625	0.05246866644365776044534044331157929264008998870849609375	-2.4479629470890467	24.50958867676922	SELENOS;SEL1L;DERL1;SYVN1;DERL2;HERPUD1;HSP90B1
negative regulation of glucocorticoid receptor signaling pathway (GO:2000323)	4/7	0.0002301125761344792984564033844208097434602677822113037109375	0.021062068733249984797684106752058141864836215972900390625	0.00170906828595106079216048300395414116792380809783935546875	0.136374884766146176051648808424943126738071441650390625	-2.8384605216713146	23.77761889630158	PER1;CRY2;CRY1;ARNTL
protein localization to pre-autophagosomal structure (GO:0034497)	5/12	0.0002264251668440867113103742713775545780663378536701202392578125	0.021062068733249984797684106752058141864836215972900390625	0.0013056400946123377683483202105207965360023081302642822265625	0.11609005641238843986595696833319379948079586029052734375	-2.819471503371464	23.664095157322755	STX17;ATG9A;WIPI1;WDR45;ATG13
ATP generation from ADP (GO:0006757)	8/25	0.000026719818809739886143229947723654049696051515638828277587890625	0.00692933967799254368902239775707130320370197296142578125	0.000207037161117275096688938873512597638182342052459716796875	0.05246866644365776044534044331157929264008998870849609375	-2.1652284675422275	22.800083091403998	LDHA;PFKL;TPI1;PGAM1;PGK1;BPGM;ALDOA;HK1
ATF6-mediated unfolded protein response (GO:0036500)	5/10	0.000078683976880459803354868342228911615165998227894306182861328125	0.01020268900216628714383571008283979608677327632904052734375	0.000690398693889858060430964048492796791833825409412384033203125	0.07408692190983580394547658443116233684122562408447265625	-2.353828531955133	22.243846797579113	XBP1;HSPA5;DDIT3;CALR;HSP90B1
regulation of glucocorticoid receptor signaling pathway (GO:2000322)	4/8	0.0004411238595157355199365134534872368021751753985881805419921875	0.034319436270324223114958073210800648666918277740478515625	0.0024600076933127957949654085467727782088331878185272216796875	0.1509413075741854737277236608861130662262439727783203125	-2.857436310491586	22.07708116445326	PER1;CRY2;CRY1;ARNTL
PERK-mediated unfolded protein response (GO:0036499)	7/13	0.000001372452840274838490697111026417331913762609474360942840576171875	0.000804768213873208941404324701096584249171428382396697998046875	0.0000396683612001999855688205709469684734358452260494232177734375	0.0193610665283265558078706902733756578527390956878662109375	-1.6271793384481934	21.96514911079357	HSPA5;DDIT3;EIF2AK3;ATF3;NFE2L2;HERPUD1;ATF4
positive regulation of transcription from RNA polymerase II promoter involved in cellular response to chemical stimulus (GO:1901522)	7/22	0.000089974917710746482352353325939731121252407319843769073486328125	0.0107693055352247324396586236616712994873523712158203125	0.000532548515649723859001485326558622546144761145114898681640625	0.0637419607962284862079371805521077476441860198974609375	-2.290068508606134	21.334231551323633	CREB3;XBP1;SESN2;CARF;NFE2L2;ATF4;VEGFA
protein transport (GO:0015031)	37/327	0.000008965113501940185071980259079449382397797307930886745452880859375	0.0034874291522547320489044953006896321312524378299713134765625	0.000059564574091951875164756280423006273849750868976116180419921875	0.0231706193217692778263394615123615949414670467376708984375	-1.7739739917668962	20.617426936113073	RAB5B;RAB3A;STX17;TFRC;RAB3D;USO1;MIA3;VLDLR;HSP90B1;HID1;GGA2;MYO6;ATP6V0A2;ATP6V0A4;EVI5L;STX2;ABCD1;TMED4;ATP6V0A1;ARRDC4;BBS1;PEX19;ARRDC1;GOLPH3L;RAB39B;RAB27B;ARFGAP3;RAB33B;TBC1D2;RAB13;RAB18;VIPAS39;ARHGEF2;ATP6V0D1;RAB7B;RAB5A;BLZF1
carbohydrate catabolic process (GO:0016052)	9/36	0.00007451937276257186346627159334587986450060270726680755615234375	0.01019283048018329758399591611350842867977917194366455078125	0.0003988783853615046680156364100611199319246225059032440185546875	0.054790403258452281820556351021878072060644626617431640625	-2.119967467165467	20.14912782337253	LDHA;PFKL;TPI1;PGAM1;PGK1;NAGA;BPGM;ALDOA;HK1
