Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Z-score	Combined Score	Genes
regulation of non-canonical Wnt signaling pathway (GO:2000050)	10/12	0.000197063290312074327649549676522156005376018583774566650390625	0.1941073409573932095906201311663608066737651824951171875	0.009435938393513587651995067062671296298503875732421875	0.8604640415731175107083572584087960422039031982421875	-2.4904177024409364	21.24820800062082	SFRP4;TIAM1;SFRP1;RNF213;DAAM2;NPHP3;RSPO3;CSNK1D;CSNK1E;DACT1
negative regulation of cytoplasmic translation (GO:2000766)	6/7	0.0036897291843876775345456575649905062164179980754852294921875	0.465946570079725896906808202402316965162754058837890625	0.0392836178950406178511656207774649374186992645263671875	0.9790679321512680832739761171978898346424102783203125	-3.5961845411921916	20.146553003610492	CPEB1;UNK;FMR1;CPEB3;CPEB2;CPEB4
endoplasmic reticulum to cytosol transport (GO:1903513)	12/17	0.000623421263056772958534301753985573668614961206912994384765625	0.30703497205546070869530694835702888667583465576171875	0.01118889971612774432430104099012169172056019306182861328125	0.87642816334354101126535852017696015536785125732421875	-2.576635710369263	19.016313827483035	VCP;NPLOC4;SELENOS;TMEM129;SEL1L;DERL1;SYVN1;DERL2;UFD1;SEC61B;HERPUD1;HSP90B1
tube closure (GO:0060606)	18/30	0.00058415945207716812870302192095550708472728729248046875	0.30703497205546070869530694835702888667583465576171875	0.007227494935353594163185420029549277387559413909912109375	0.8604640415731175107083572584087960422039031982421875	-2.3138827679693206	17.227636009622415	TGFB2;STIL;LMO4;SEMA4C;IFT122;COBL;TSC2;GRHL3;LRP2;PRICKLE1;CELSR1;SKI;VANGL2;DLC1;DVL2;PLXNB2;FOLR1;BBS4
retrograde protein transport, ER to cytosol (GO:0030970)	13/19	0.000584647339407424354064402027830738006741739809513092041015625	0.30703497205546070869530694835702888667583465576171875	0.010054075101949035142556709843120188452303409576416015625	0.8604640415731175107083572584087960422039031982421875	-2.2779688880535613	16.958343330580636	VCP;RHBDD1;SEL1L;DERL1;SYVN1;DERL2;HERPUD1;HSP90B1;NPLOC4;SELENOS;TMEM129;UFD1;SEC61B
protein exit from endoplasmic reticulum (GO:0032527)	13/20	0.0012138419865285947178701331239381033810786902904510498046875	0.393582450945027251254515476830420084297657012939453125	0.01342727962126702596912242171356410835869610309600830078125	0.95839640774985657145634831977076828479766845703125	-2.4519736122345432	16.462464410729957	VCP;SEL1L;DERL1;SYVN1;DERL2;HERPUD1;HSP90B1;NPLOC4;SELENOS;TMEM129;UFD1;PREB;SEC61B
IRE1-mediated unfolded protein response (GO:0036498)	33/58	0.000016431083516166508922025368821806523556006141006946563720703125	0.0555363577566571897659031264993245713412761688232421875	0.00068910618090583662838366496572461983305402100086212158203125	0.8604640415731175107083572584087960422039031982421875	-1.458819717918051	16.070847710159924	ACADVL;FKBP14;GOSR2;SEC61A2;SEC61A1;SERP1;EXTL1;SEC61G;DNAJB9;SSR1;SEC61B;SEC31A;ZBTB17;KLHDC3;XBP1;HSPA5;WFS1;PLA2G4B;EDEM1;GFPT1;SYVN1;PPP2R5B;PDIA6;ARFGAP1;PDIA5;YIF1A;ERN1;DNAJB11;SRPRB;PREB;HYOU1;KDELR3;ATP6V0D1
positive regulation of macromolecule metabolic process (GO:0010604)	111/277	0.00016947616811558235635527813744971581400022841989994049072265625	0.1941073409573932095906201311663608066737651824951171875	0.000311899698600470796742978318860650688293389976024627685546875	0.8604640415731175107083572584087960422039031982421875	-1.850344342122689	16.06616660109409	ATF2;RPL5;APP;CNTF;FMR1;HFE;PDCD5;PARK7;CLU;ACTG2;RIMS2;CDH3;HMGN5;MYC;ZC3H12A;LGALS9;EPHB2;BVES;NSF;MEF2C;RPL23;WNT5A;ANK2;SOX11;POU3F1;PRKAB1;SFRP4;MYCN;HGS;DGKQ;EZR;ATF4;PDGFB;PHB;INPP5F;DDRGK1;UBR5;SEC16B;SMAD3;WFS1;VDR;FN1;EIF2AK3;RAB27A;IGF1;SNF8;BMP4;BMP2;IL6;ID2;TADA3;GSK3B;MYOM1;CALCOCO1;DDX3X;CITED1;CITED2;PRKAG1;PCSK9;BRCA1;EPB41L4B;C1QTNF1;CTSH;ITGB8;SCYL2;GABPA;DDX58;TESC;NOG;SERPINB9;TGFBR1;GREM1;ACTA2;PLSCR1;RNF207;HAND2;NOS1AP;PICK1;TLR6;GAS6;TLR4;TLR3;VAMP3;RPL11;ALOX12B;TTN;MAPK9;CUX2;WNT11;MAPK7;CAMK2N1;RAB29;MAPK1;SNCA;MAPK3;ATAD1;MBD4;EGF;STAT3;KLF4;MAPK14;POU4F1;MTOR;KLF2;VEGFA;P2RX7;MAPK11;UBAP2;FAM98A;LIMS1;HSPA1A
smooth muscle cell differentiation (GO:0051145)	8/11	0.004149248930405295687773303825451876036822795867919921875	0.4831129724938618696938874563784338533878326416015625	0.032431430008959448441085982040021917782723903656005859375	0.9790679321512680832739761171978898346424102783203125	-2.8817690193511956	15.806007238988864	BMP4;MKL2;MEF2C;HEY1;TMEM204;HEY2;MKL1;GATA6
positive regulation of endothelial cell chemotaxis (GO:2001028)	10/14	0.00159698668837090639212317189077339207869954407215118408203125	0.393582450945027251254515476830420084297657012939453125	0.0189230426999008778665700702958929468877613544464111328125	0.9790679321512680832739761171978898346424102783203125	-2.447838117827081	15.763188289814101	FGF16;P2RX4;TMSB4X;FGF18;KDR;HSPB1;PRKD2;FGF2;MET;VEGFA
