Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Z-score	Combined Score	Genes
GPI anchor metabolic process (GO:0006505)	5/27	0.000742741282573241602682490025699735269881784915924072265625	0.65855908163474274896742599594290368258953094482421875	0.00049554659986462859348754772526035594637505710124969482421875	0.328582505877008046457632417514105327427387237548828125	-2.5925432213133357	18.67969592473535	PIGC;PGAP2;MPPE1;PIGF;PIGH
Golgi to endosome transport (GO:0006895)	4/21	0.00230231494497499210305502259643617435358464717864990234375	0.714868790414735055804840158089064061641693115234375	0.001691108830399684105627589048026493401266634464263916015625	0.5250892918391019126289620544412173330783843994140625	-2.5539321346879844	15.512175576848131	AP4M1;MON2;RBSN;KLHL20
negative regulation of peptidyl-serine phosphorylation (GO:0033137)	4/19	0.00155711995603750419196742438288083576480858027935028076171875	0.7107770856545949644811344114714302122592926025390625	0.0012234296389388439434131594651944396900944411754608154296875	0.455849883468613270576241802700678817927837371826171875	-2.3171211872901054	14.97999695659412	RASSF2;PDE4D;DDIT4;GPD1L
regulation of T-helper 17 cell lineage commitment (GO:2000328)	2/7	0.01436297174379972015068052115793761913664638996124267578125	0.86482385220545265891445296801975928246974945068359375	0.01430347570075339753981058521503655356355011463165283203125	0.68470889059582240587786827745730988681316375732421875	-3.5108636791990477	14.896951964553198	LOXL3;IL12RB1
histone H3-K9 demethylation (GO:0033169)	3/13	0.004766152581772186043462813387350252014584839344024658203125	0.86482385220545265891445296801975928246974945068359375	0.00417057692786428242659457765739716705866158008575439453125	0.6758497198676678419104746353696100413799285888671875	-2.711998769403882	14.498930904283508	KDM4B;KDM3A;PHF8
regulation of relaxation of cardiac muscle (GO:1901897)	2/7	0.01436297174379972015068052115793761913664638996124267578125	0.86482385220545265891445296801975928246974945068359375	0.01430347570075339753981058521503655356355011463165283203125	0.68470889059582240587786827745730988681316375732421875	-2.9882299723716796	12.679363947168296	PDE4D;PDE4B
regulation of TOR signaling (GO:0032006)	9/68	0.00009533606837431048250559861845232489940826781094074249267578125	0.1776110953813404280676735425004153512418270111083984375	0.000032112177048366859666468642320324988759239204227924346923828125	0.059824985841107458650611761186155490577220916748046875	-1.3102414384434558	12.130349336367793	WDR59;DEPTOR;DGKQ;NPRL2;DDIT4;SMCR8;SLC38A9;RICTOR;DEPDC5
histone H3-K36 demethylation (GO:0070544)	2/9	0.0237451898069440496541471219416052917949855327606201171875	0.86482385220545265891445296801975928246974945068359375	0.021257645755048716618151871671216213144361972808837890625	0.68470889059582240587786827745730988681316375732421875	-3.1550362804877916	11.801019785053105	KDM4B;PHF8
GPI anchor biosynthetic process (GO:0006506)	5/33	0.00190761429322220863423476000519940498634241521358489990234375	0.7107770856545949644811344114714302122592926025390625	0.00111475185917220948571271232907520243315957486629486083984375	0.455849883468613270576241802700678817927837371826171875	-1.8515879756687634	11.594462223586785	PIGC;PGAP2;MPPE1;PIGF;PIGH
late endosome to vacuole transport (GO:0045324)	2/9	0.0237451898069440496541471219416052917949855327606201171875	0.86482385220545265891445296801975928246974945068359375	0.021257645755048716618151871671216213144361972808837890625	0.68470889059582240587786827745730988681316375732421875	-3.083712229408173	11.534241065852264	TMEM50A;TMEM50B
preassembly of GPI anchor in ER membrane (GO:0016254)	3/18	0.01228572895912888492120362826653945376165211200714111328125	0.86482385220545265891445296801975928246974945068359375	0.009168783193359834882141257139664958231151103973388671875	0.68470889059582240587786827745730988681316375732421875	-2.6107233564987897	11.485399481207386	PIGC;PIGF;PIGH
replication fork protection (GO:0048478)	2/8	0.0188060573873598639582649383328316616825759410858154296875	0.86482385220545265891445296801975928246974945068359375	0.0176340860186380878060763421899537206627428531646728515625	0.68470889059582240587786827745730988681316375732421875	-2.7781566683317367	11.03921738269537	ZRANB3;TIMELESS
regulation of PERK-mediated unfolded protein response (GO:1903897)	2/9	0.0237451898069440496541471219416052917949855327606201171875	0.86482385220545265891445296801975928246974945068359375	0.021257645755048716618151871671216213144361972808837890625	0.68470889059582240587786827745730988681316375732421875	-2.946787063630857	11.022089557356788	PPP1R15A;TMEM33
glycolipid biosynthetic process (GO:0009247)	6/43	0.00106048161293839410430905889626274074544198811054229736328125	0.65855908163474274896742599594290368258953094482421875	0.000529118366951703803131856762576035180245526134967803955078125	0.328582505877008046457632417514105327427387237548828125	-1.583972062435698	10.848675536314865	PIGC;PGAP2;MPPE1;A3GALT2;PIGF;PIGH
regulation of glucose transport (GO:0010827)	3/17	0.01044749033282381389664550397355924360454082489013671875	0.86482385220545265891445296801975928246974945068359375	0.0079810487585017138301157757496184785850346088409423828125	0.6758497198676678419104746353696100413799285888671875	-2.3476069993217266	10.708359281325741	C2CD5;NR4A3;TRIB3
late endosome to vacuole transport via multivesicular body sorting pathway (GO:0032511)	2/9	0.0237451898069440496541471219416052917949855327606201171875	0.86482385220545265891445296801975928246974945068359375	0.021257645755048716618151871671216213144361972808837890625	0.68470889059582240587786827745730988681316375732421875	-2.748782692256644	10.281478896691791	TMEM50A;TMEM50B
negative regulation of DNA-dependent DNA replication (GO:2000104)	3/16	0.0087800383520022229344448305710102431476116180419921875	0.86482385220545265891445296801975928246974945068359375	0.00688939755702947138893410539139949833042919635772705078125	0.6758497198676678419104746353696100413799285888671875	-2.155593617182774	10.207327494781824	ZRANB3;GMNN;TIMELESS
Golgi to lysosome transport (GO:0090160)	2/9	0.0237451898069440496541471219416052917949855327606201171875	0.86482385220545265891445296801975928246974945068359375	0.021257645755048716618151871671216213144361972808837890625	0.68470889059582240587786827745730988681316375732421875	-2.715358766548293	10.156460870427633	AP4M1;RBSN
cAMP catabolic process (GO:0006198)	2/8	0.0188060573873598639582649383328316616825759410858154296875	0.86482385220545265891445296801975928246974945068359375	0.0176340860186380878060763421899537206627428531646728515625	0.68470889059582240587786827745730988681316375732421875	-2.531359326365045	10.058549323727432	PDE4D;PDE4B
