Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
ribosome biogenesis (GO:0042254)	110/227	1.8142155057802026E-9	9.257941725996375E-6	0	0	1.631862258957255	32.84549151316825	LTV1;RPL5;RPL30;RPP30;RRP1;PWP2;NOC2L;RPL9;RPL6;RRP9;RPL35;RPL38;RPL37;RPP38;NOM1;RPL21;RPS8;RPL23;RPL22;RPS6;WDR74;GTF3A;WDR75;IMP4;CSNK1D;CSNK1E;EBNA1BP2;MRTO4;RPP21;SBDS;RPL24;RPL27;RPL26;RPP25;NOLC1;SNU13;PDCD11;DHX37;RRS1;SURF6;LYAR;NOP14;PNO1;MTERF4;RPP40;WDR55;RCL1;LAS1L;NOL11;SETD4;DDX49;NVL;RPLP1;RPLP0;WDR46;WDR43;YAE1D1;RIOK1;UTP14A;PELP1;UTP11;TEX10;DDX56;DDX52;GNL2;UTP18;SENP3;DIEXF;LSG1;NOA1;C1D;NAF1;DDX27;NIP7;RPL11;NOL8;NOC4L;NOL9;SDAD1;MRM2;NOL6;EXOSC10;EXOSC4;RPS15A;EXOSC9;PES1;BMS1;RRP36;RPS27A;AAMP;EXOSC1;DCAF13;RPL19;NOP56;NPM1;UTP6;NOP58;UTP4;KRR1;WDR18;DDX31;RPL35A;RPL23A;RRP1B;WDR12;BYSL;BOP1;TSR1;RAN;MPHOSPH6
ncRNA processing (GO:0034470)	110/228	2.4882944855891337E-9	6.348883379980675E-6	0	0	1.6247049683477932	32.18811592915189	LTV1;RPL5;RPL30;POP1;RPP30;RRP1;PWP2;RPL9;RPL6;RRP9;THG1L;RPL35;RPL38;RPL37;RPP38;RPL21;RPS8;RPL23;RPL22;RPS6;WDR75;IMP4;CSNK1D;CSNK1E;EBNA1BP2;KARS;MRTO4;RPP21;SBDS;RPL24;RPL27;RPL26;RPP25;NOLC1;SNU13;PDCD11;DHX37;LYAR;NOP14;SMAD3;INTS1;PNO1;INTS2;RPP40;WDR55;RCL1;LIN28B;LAS1L;AGO3;AGO4;INTS5;NOL11;INTS11;ZCCHC11;DDX49;RPLP1;RPLP0;WDR46;WDR43;DGCR8;RIOK1;UTP14A;PELP1;UTP11;NCBP1;TEX10;DDX56;DDX52;UTP18;SENP3;DIEXF;MRPL44;C1D;TUT1;DDX27;RPL11;NOL8;NOC4L;NOL9;MRM2;NOL6;EXOSC10;EXOSC4;RPS15A;EXOSC9;PES1;BMS1;RRP36;DROSHA;RPS27A;EXOSC1;DCAF13;RPL19;NOP56;UTP6;NOP58;SSB;UTP4;KRR1;WDR18;ADAT1;RPL35A;RPL23A;RRP1B;WDR12;TARBP2;BYSL;BOP1;TSR1;MPHOSPH6
rRNA processing (GO:0006364)	100/203	3.2520976285915347E-9	5.531818066234201E-6	0	0	1.658901624645306	32.42151632669308	LTV1;RPL5;RPL30;RPP30;RRP1;PWP2;RPL9;RPL6;RRP9;RPL35;RPL38;RPL37;RPP38;RPL21;RPS8;RPL23;RPL22;RPS6;WDR75;IMP4;CSNK1D;CSNK1E;EBNA1BP2;MRTO4;RPP21;SBDS;NHP2;RPL24;RPL27;SRFBP1;RPL26;RPP25;NOP2;NOLC1;SNU13;PDCD11;DHX37;LYAR;NOP14;PNO1;RPP40;WDR55;RCL1;LAS1L;NOL11;DDX49;RPLP1;RPLP0;NAT10;WDR46;WDR43;SART1;MRPL1;RIOK1;UTP14A;RRP15;PELP1;UTP11;TEX10;DDX56;DDX52;UTP18;SENP3;DIEXF;C1D;DDX27;RPL11;TSR3;MAK16;NOL8;NOC4L;NOL9;MRM2;NOL6;EXOSC10;EXOSC4;RPS15A;EXOSC9;PES1;BMS1;RRP36;RPS27A;EXOSC1;DCAF13;RPL19;NOP56;UTP6;NOP58;UTP4;KRR1;WDR18;RPL35A;RPL23A;RRP1B;WDR12;BYSL;RSL1D1;BOP1;TSR1;MPHOSPH6
rRNA metabolic process (GO:0016072)	94/201	2.2210878104105094E-7	2.8335527741312074E-4	0	0	1.5748836219642652	24.12737232539766	LTV1;RPL5;RPL30;DDX49;RPLP1;RPP30;RRP1;RPLP0;PWP2;RPL9;WDR46;RPL6;WDR43;RRP9;RPL35;RPL38;RPL37;RIOK1;UTP14A;RPP38;PELP1;RPL21;UTP11;RPS8;RPL23;TEX10;RPL22;RPS6;DDX56;GTF3A;WDR75;IMP4;CSNK1D;CSNK1E;SIRT7;DDX52;UTP18;SENP3;DIEXF;EBNA1BP2;MRTO4;C1D;RPP21;SBDS;RPL24;RPL27;RPL26;MAPT;RPP25;DDX27;RPL11;NOLC1;NOL8;SNU13;NOC4L;NOL9;MRM2;NOL6;EXOSC10;EXOSC4;RPS15A;PDCD11;EXOSC9;PES1;BMS1;DHX37;RRP36;RPS27A;LYAR;EXOSC1;DCAF13;RPL19;NOP56;UTP6;NOP14;NOP58;UTP4;NIFK;PNO1;KRR1;WDR18;RPP40;RPL35A;RPL23A;RRP1B;WDR12;WDR55;BYSL;RCL1;BOP1;LAS1L;TSR1;NOL11;MPHOSPH6
ribosomal large subunit biogenesis (GO:0042273)	38/64	7.658285825440488E-7	7.816046513444561E-4	0	0	1.9994948644552955	28.157501475599904	RPL5;NIP7;RPL11;NOP2;MAK16;PPAN;SNU13;NOC2L;SDAD1;RPL6;MRPL11;MRPL20;YAE1D1;MRPL1;PES1;RRS1;SURF6;BRIX1;AAMP;RRP15;NPM1;WDR18;WDR74;GTF3A;RPL35A;RPL23A;WDR12;NLE1;WDR55;BOP1;RSL1D1;EBNA1BP2;LAS1L;MRTO4;NHP2;RPL24;RPL26;RSL24D1
mitochondrial translation (GO:0032543)	55/108	2.905902006560633E-6	0.0024714696565798183	0	0	1.7149663554782264	21.86370598913646	MRPS17;MRPS15;MRPL38;MRPL37;MRPL35;MRPL32;MRPL33;MRPL2;MRPL1;MRPL40;MRPL9;RARS2;TSFM;MRPS26;MRPS24;MRPS22;MRPS23;MRPS18B;MRPL49;MRPS18A;MRPL48;MRPS7;QRSL1;MRPL45;MRPS5;MRPL43;MRPL44;MRPS9;MRPL50;NOA1;AURKAIP1;MRRF;MRPS33;MRPL19;MRPL16;MTIF2;MRPL58;MRPL15;MTIF3;MRPS30;MRPL12;MRPL13;MRPL10;MRPL11;MRPL55;MRPL20;PTCD3;NDUFA7;MTERF4;MRPL27;ERAL1;HARS2;MRPL21;MRPL22;MRPL30
translational termination (GO:0006415)	50/97	5.179362562427355E-6	0.0037757553080095415	0	0	1.7358609783659644	21.1268663833363	N6AMT1;MRPS17;MRPS15;MRPL38;MRPL37;APEH;MRPL35;MRPL32;MRPL33;TRMT112;MRPL2;MRPL1;MRPL40;MRPL9;MRPS26;MRPS24;MRPS22;MRPS23;MRPS18B;MRPL49;MRPS18A;MRPL48;MRPS7;MRPL45;MRPS5;MRPL43;MRPL44;MRPS9;MRPL50;AURKAIP1;MRRF;MRPS33;MRPL19;MRPL16;MRPL58;MRPL15;MRPS30;MRPL12;MRPL13;MRPL10;GSPT1;MRPL11;MRPL55;MRPL20;PTCD3;MRPL27;ERAL1;MRPL21;MRPL22;MRPL30
mitochondrial translational elongation (GO:0070125)	46/88	7.514066316656267E-6	0.0047930350517371165	0	0	1.760320837606576	20.76955693929363	MRPS17;MRPS15;MRPS33;MRPL19;MRPL38;MRPL16;MRPL58;MRPL37;MRPL15;MRPS30;MRPL12;MRPL35;MRPL13;MRPL32;MRPL10;MRPL33;MRPL55;MRPL11;MRPL20;MRPL2;MRPL40;MRPL1;MRPL9;PTCD3;TSFM;MRPS26;MRPS24;MRPS22;MRPS23;MRPS18B;MRPL49;MRPL27;MRPS18A;MRPL48;ERAL1;MRPS7;MRPL45;MRPS5;MRPL43;MRPL21;MRPL44;MRPL22;MRPL30;MRPS9;MRPL50;AURKAIP1
translational elongation (GO:0006414)	53/106	8.731065069529307E-6	0.004950513894423117	0	0	1.6837851490149858	19.61377874130785	MRPS17;MRPS15;LTN1;MRPL38;MRPL37;MRPL35;MRPL32;MRPL33;EFTUD2;EEF1B2;MRPL2;MRPL1;MRPL40;RACK1;MRPL9;TSFM;MRPS26;MRPS24;MRPS22;MRPS23;MRPS18B;MRPL49;MRPS18A;MRPL48;MRPS7;MRPL45;MRPS5;MRPL43;MRPL44;EEF1G;MRPS9;MRPL50;EEF1D;AURKAIP1;MRPS33;MRPL19;MRPL16;MRPL58;MRPL15;MRPS30;MRPL12;MRPL13;MRPL10;MRPL11;MRPL55;MRPL20;PTCD3;MRPL27;ERAL1;EEF2;MRPL21;MRPL22;MRPL30
mitochondrial translational termination (GO:0070126)	46/90	1.620497277987015E-5	0.008269397609567738	0	0	1.7212025967708742	18.9851958036706	MRPS17;MRPS15;MRPS33;MRPL19;MRPL38;MRPL16;MRPL58;MRPL37;MRPL15;MRPS30;MRPL12;MRPL35;MRPL13;MRPL32;MRPL10;MRPL33;MRPL55;MRPL11;MRPL20;MRPL2;MRPL40;MRPL1;MRPL9;PTCD3;MRPS26;MRPS24;MRPS22;MRPS23;MRPS18B;MRPL49;MRPL27;MRPS18A;MRPL48;ERAL1;MRPS7;MRPL45;MRPS5;MRPL43;MRPL21;MRPL44;MRPL22;MRPL30;MRPS9;MRPL50;AURKAIP1;MRRF
