Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
circulatory system development (GO:0072359)	24/110	1.9466144283558014E-9	9.933573427899654E-6	0	0	4.167752018754884	83.5933281120424	CRB2;POPDC3;MEF2C;TGFB2;CXADR;FOXF1;NXN;PDGFB;GATA6;MICAL2;GATA4;PCSK5;CRIP1;GLI2;APELA;BMP2;FLRT3;WT1;HAND2;PLCE1;RBM20;ZFPM2;BVES;ZFPM1
extracellular matrix organization (GO:0030198)	36/230	3.6959112516747375E-9	9.430117558648093E-6	0	0	2.9899090569328517	58.052189945278776	DDR1;FBN2;SPARC;COL11A1;SERPINE1;PDGFB;NDNF;F11R;FBLN5;LOXL2;SCUBE3;ADAMTS5;ADAMTS3;CDH1;SPOCK2;KDR;CYP1B1;ADAMTS9;TGFB2;P3H4;NPNT;DCN;ADAM19;GREM1;MMP13;COL4A2;COL4A1;COL6A2;COL5A2;COL6A1;COL8A2;COL4A6;COL4A5;ITGA7;GAS6;MATN3
regulation of angiogenesis (GO:0045765)	29/178	4.8999647678707204E-8	8.334840070148095E-5	0	0	3.1121556507088206	52.38210072048238	SPARC;SERPINE1;GATA6;HSPB1;GATA4;SEMA3E;TSPAN12;NPPB;APELA;HHEX;KDR;CYP1B1;HMOX1;SASH1;HTATIP2;TGFB2;PTGIS;ANXA3;WNT5A;GAB1;VEGFC;SULF1;KLF4;DCN;RHOB;SFRP2;COL4A2;RAPGEF3;EPHA2
regulation of signal transduction (GO:0009966)	33/234	2.0992976552505425E-7	2.6781789836858796E-4	0	0	2.693899542037078	41.422726944519184	EPHB6;DDR1;SAMD5;SCARB2;FLT4;ABRACL;MST1R;EGFR;LFNG;SOCS2;IRAK2;ZIC1;KDR;TMEM108;NCK2;PLCE1;RSPO3;EPHB2;SASH1;EPHA4;EPHA7;TCF7L1;IGFBP4;IGFBP2;LIFR;SULF1;DUSP6;DHRS3;PLSCR1;KIT;ROR1;FGFR3;EPHA2
heart development (GO:0007507)	25/150	2.5954391738931416E-7	2.64890522087534E-4	0	0	3.1836994587710916	48.27870076461387	POPDC3;CHD7;PDGFB;GATA6;GATA4;PCSK5;CRIP1;GLI2;APELA;FLRT3;PLCE1;BVES;MEF2C;TGFB2;CXADR;FOXF1;MICAL2;BMP2;WT1;HAND2;DLC1;RBM20;CRELD1;ZFPM2;ZFPM1
regulation of MAPK cascade (GO:0043408)	30/204	2.9696149104931806E-7	2.52565748137445E-4	0	0	2.8091465812686107	42.22052746310712	EPHB6;DDR1;FLT4;PDGFB;MST1R;TNFRSF11A;ADRA1B;EGFR;DHX33;KDR;EPHB2;LYN;EPHA4;EPHA7;TGFB2;KSR1;TGFB3;INHBB;IGF1;GDF6;TNFRSF1B;BMP6;P2RX7;BMP2;KIT;FAS;ROR1;TRIB1;FGFR3;EPHA2
positive regulation of ossification (GO:0045778)	14/53	3.7631720509320935E-7	2.743352425129496E-4	0	0	5.0458632931466365	74.64261514877732	FBN2;MEF2C;TGFB2;PKDCC;TGFB3;WNT5A;SOX11;IGF1;NPNT;BMP6;P2RX7;BMP2;BMPR1B;WNT4
positive regulation of gene expression (GO:0010628)	73/772	7.00901567984593E-7	4.470875876781723E-4	0	0	1.8062958069193502	25.59683431746483	AHR;GLI2;RIMS2;C1QTNF1;CDH3;CDH1;MYC;ZIC1;CREB3L2;SOX8;LGALS9;EPHB2;YAF2;MAP3K5;MEF2C;WNT5A;PAX3;ANK2;SOX11;SERPINB9;EBF3;FOS;POU3F1;ACTA2;SFRP4;PLSCR1;MYCN;DDIT3;HAND2;IRF1;RBM20;POLR1E;GAS6;EZR;CREB5;ENY2;CASZ1;MYRF;PDGFB;GATA6;FAM129A;GATA4;EGFR;WNT11;ATOH8;INPP5K;WNT4;ARNT2;AFAP1L2;FOXF1;VDR;FZD4;TGFB3;FZD7;USP22;STAT3;IGF1;KLF4;GDF6;SMARCA2;KLF2;P2RX7;BMP2;DAB2;MYO1C;MYBBP1A;WT1;LHX2;BCL3;NFE2L3;UBAP2;FAM98A;FOXA2
axon guidance (GO:0007411)	25/159	8.055942400760026E-7	4.567719341230935E-4	0	0	3.003490055444426	42.144028297152154	SEMA3C;SEMA3A;IRS2;VLDLR;GLI2;EFNB1;KIF5C;GRB10;SLIT3;EPHB2;SPTAN1;EPHA4;BDNF;WNT5A;GAB1;GFRA1;SEMA4F;SPTB;ENAH;NELL2;CXCL12;PLXNB3;PLXNB2;EZR;SHANK3
negative regulation of signal transduction (GO:0009968)	36/284	8.534803936587048E-7	4.3553104488403704E-4	0	0	2.421405222163929	33.836579200137976	EPHB6;DDR1;KANK1;NXN;FLT4;PALM3;MST1R;CXXC4;EGFR;SOCS2;SLC9A3R1;HHEX;GRB14;UBC;KDR;GRB10;INPP5K;EPHB2;LYN;EPHA4;EPHA7;SPRY4;NRG1;SULF1;DCN;SULF2;SFRP4;BMP2;SFRP2;KIT;ROR1;SPRY1;TRIB1;FGFR3;MDFI;EPHA2
