Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
regulation of angiogenesis (GO:0045765)	35/178	9.569516204754506E-12	4.883324119286224E-8	0	0	3.756049923269266	95.30014554983804	SP100;SPARC;PDE3B;GATA6;HSPB1;GATA4;SEMA3E;TSPAN12;THBS2;NPPB;APELA;HHEX;KDR;CYP1B1;HMOX1;ITGB8;SASH1;HTATIP2;TGFB2;PTGIS;WNT5A;GAB1;VEGFC;SULF1;KLF4;DCN;RHOB;SFRP1;TMEM2;SFRP2;COL4A2;FGF18;TEK;EPHA1;EPHA2
regulation of signal transduction (GO:0009966)	37/234	1.6861380082777611E-9	4.3021811281207075E-6	0	0	3.020432819859754	61.015235196622726	EPHB6;DDR1;SAMD5;SCARB2;SP100;FLT4;RORA;MST1R;EGFR;SOCS2;IRAK2;ZIC1;KDR;TMEM108;NCK2;PLCE1;RSPO3;EPHB2;ROS1;SASH1;EPHA4;EPHA7;TCF7L1;IGFBP4;IGFBP2;LIFR;SULF1;DUSP6;DHRS3;KIT;ROR1;TEK;EPHA1;PLCB1;FGFR3;EPHA3;EPHA2
regulation of cell migration (GO:0030334)	44/317	3.377593436777557E-9	5.745286435958624E-6	0	0	2.651409012982865	51.718655663795836	KANK1;CEMIP;SEMA3C;SEMA3D;PDGFB;CHRD;SEMA3E;PRR5L;RND3;EGFR;ROBO1;PARD6B;WNT11;PODXL;FAM110C;PDGFD;PDPN;KDR;CYP1B1;SRGAP1;PLXNA4;TCAF2;SEMA4A;EDN1;JAG1;ANXA1;WNT5B;SEMA4F;IGF1;SULF1;PODN;SRCIN1;RHOB;SFRP1;BMP2;DAB2;SFRP2;CXCL12;DLC1;STK26;PLXNB3;SGK3;AMOTL2;EPHA1
negative regulation of signal transduction (GO:0009968)	41/284	3.6254184981888723E-9	4.625127649064454E-6	0	0	2.7577115030200305	53.59693964032795	EPHB6;DDR1;KANK1;IRS1;NXN;FLT4;PALM3;MST1R;CXXC4;EGFR;FSTL3;SOCS2;SLC9A3R1;HHEX;GRB14;KDR;GRB10;EPHB2;ROS1;LYN;EPHA4;EPHA7;SPRY4;SULF1;HIC1;DCN;SULF2;SFRP4;SFRP1;BMP2;SFRP2;KIT;ROR1;SPRY1;TEK;EPHA1;TRIB1;FGFR3;EPHA3;MDFI;EPHA2
circulatory system development (GO:0072359)	23/110	1.0016149059122355E-8	1.0222481729740276E-5	0	0	3.994095684640097	73.5675165813608	CRB2;POPDC3;MEF2C;TGFB2;CXADR;FOXF1;NXN;PDGFB;GATA6;MICAL2;GATA4;PCSK5;CRIP1;GLI2;APELA;BMP2;FLRT3;WT1;HAND2;PLCE1;RBM20;TEK;BVES
positive regulation of signal transduction (GO:0009967)	33/207	1.0331437765212467E-8	8.786887819313203E-6	0	0	3.0452777431723486	55.99679364931261	NECAB2;KANK1;IRS1;ITGB3;ROBO1;C3;RIMS2;HHEX;CDH3;ADAMTS3;GRB10;TMEM108;TNFSF11;RSPO3;JAK2;SASH1;JAG2;TGFB2;JAG1;PTGIS;BDNF;IGF1;SULF1;TPD52L1;BMP6;SULF2;SFRP1;BMP2;NOV;FAS;TEK;GAS6;SHANK3
skeletal system development (GO:0001501)	27/147	1.0453621705192149E-8	7.620690223085077E-6	0	0	3.5085667504824283	64.4745360291884	DLX5;DLX6;COL12A1;NPR3;CHD7;CHRD;PCSK5;PAPSS2;GLI2;WNT11;CREB3L2;ITGB8;NKX3-2;TGFB2;IGFBP4;WNT5A;P3H1;SOX11;IGF1;SULF1;BMP6;SULF2;BMP2;CDH11;BMPR1B;FGFR3;MATN3
extracellular matrix organization (GO:0030198)	35/230	1.28134992706247E-8	8.17341084724973E-6	0	0	2.906856027573606	52.82561610342074	DDR1;FBN2;SPARC;COL11A1;ITGB3;COL12A1;PDGFB;NDNF;F11R;FBLN5;LOXL2;SCUBE3;ADAMTS5;ADAMTS3;CDH1;SPOCK2;KDR;CYP1B1;ITGB8;ADAMTS9;TGFB2;P3H4;DCN;ADAM19;GREM1;MMP13;COL4A2;COL4A1;COL6A2;COL5A2;COL8A2;COL4A6;LCP1;GAS6;MATN3
regulation of MAPK cascade (GO:0043408)	32/204	2.5617034431532656E-8	1.4524858522679018E-5	0	0	2.996423020019851	52.37749925805435	EPHB6;DDR1;FLT4;PDGFB;MST1R;TNFRSF11A;ADRA1B;EGFR;KDR;EPHB2;ROS1;LYN;EPHA4;EPHA7;TGFB2;TGFB3;INHBB;IGF1;GDF6;TNFRSF1B;BMP6;P2RX7;BMP2;KIT;FAS;ROR1;TEK;EPHA1;TRIB1;FGFR3;EPHA3;EPHA2
peptidyl-tyrosine modification (GO:0018212)	15/52	3.969095262352748E-8	2.0254293123786074E-5	0	0	5.510249063257659	93.90645012584791	LYN;EPHA4;PKDCC;FLT4;PDGFB;EGFR;EFEMP1;KIT;KDR;TEK;EPHB2;JAK2;EPHA1;FGFR3;EPHA3
