Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Z-score	Combined Score	Genes
integral component of endoplasmic reticulum membrane (GO:0030176)	21/129	0.0000034124526566408313924222243940231891201619873754680156707763671875	0.0002371654596365377711854327547058574054972268640995025634765625	0.0000685946449968002740227301927689040894620120525360107421875	0.004767327827277618827739313900337947416119277477264404296875	-1.8005640361623771	22.66564281983405	PIGU;HSPA5;FICD;WFS1;DERL3;RHBDD1;EDEM1;SLC35B1;EIF2AK3;DERL1;SYVN1;DERL2;SGMS2;TBL2;ZFYVE27;SELENOS;ACER3;SARAF;CALR;SLC37A3;RETREG1
lysosomal membrane (GO:0005765)	38/292	0.00000021719991510283834498375534795278074540192392305471003055572509765625	0.000060381576398589058740813684256210081002791412174701690673828125	0.00001104883436307843463963264396543451084653497673571109771728515625	0.00307157595293580491790930153683802927844226360321044921875	-1.389191042521282	21.313590831503067	SLC48A1;PI4K2B;SLC35F6;ATP8A1;RAB3D;MGST1;VLDLR;MAGT1;ABCC10;SLC2A8;ZFYVE26;ANPEP;MYO6;ATP6V0A2;SLC17A5;STOM;TLDC1;ATP6V0A4;SLC38A9;SNAP29;VPS39;ATP6V0A1;SLC36A1;STARD3NL;STK11IP;SURF4;CTNS;MFSD12;TPCN2;TMEM175;LMBRD1;NPC1;PQLC2;TMBIM1;GNB4;TMEM106B;GOPC;ATP6V0D1
peroxisomal membrane (GO:0005778)	11/41	0.000005687100317951140419068557785298168028020882047712802886962890625	0.00031620277767808340797783817066601841361261904239654541015625	0.00009678472388089244364539620590903723496012389659881591796875	0.005381230647777619606475507652021406101994216442108154296875	-1.7233468370937965	20.813394075136536	ALDH3A2;ACBD5;PEX19;ABCD3;PNPLA8;MGST1;PXMP4;FAR1;PEX2;ABCD1;PEX13
peroxisomal part (GO:0044439)	15/76	0.000007731077656139679783460320894317163720188545994460582733154296875	0.00035820659806780515144186693987649050541222095489501953125	0.00011825514957018525593994417999255119866575114428997039794921875	0.005479155263418584130563626644061514525674283504486083984375	-1.7495254870487493	20.59237387068341	ACBD5;PEX19;ABCD3;PNPLA8;IDH1;MGST1;PEX2;CROT;PEX13;ALDH3A2;AMACR;PXMP4;FAR1;ACOX3;ABCD1
microbody (GO:0042579)	16/93	0.00002407774529411522450501360881336410102449008263647556304931640625	0.000743734799084892566310711625732210450223647058010101318359375	0.000285861152147532846488908742088597136898897588253021240234375	0.0099336750371267663883845244754411396570503711700439453125	-1.8412246823042335	19.57999308381409	ACBD5;HSDL2;PEX19;ABCD3;PNPLA8;IDH1;CROT;MFF;PEX13;AMACR;ZADH2;PXMP4;FAR1;ACOX3;ACAD11;ABCD1
peroxisome (GO:0005777)	16/93	0.00002407774529411522450501360881336410102449008263647556304931640625	0.000743734799084892566310711625732210450223647058010101318359375	0.000285861152147532846488908742088597136898897588253021240234375	0.0099336750371267663883845244754411396570503711700439453125	-1.7314314015080658	18.412426898492335	ACBD5;HSDL2;PEX19;ABCD3;PNPLA8;IDH1;CROT;MFF;PEX13;AMACR;ZADH2;PXMP4;FAR1;ACOX3;ACAD11;ABCD1
proton-transporting V-type ATPase complex (GO:0033176)	4/12	0.0026349762903376925012033371586994690005667507648468017578125	0.04578271304461740964786287122478825040161609649658203125	0.00970815098460670218571966216813962091691792011260986328125	0.1799243982480442094473715997082763351500034332275390625	-2.7091501749701274	16.089320757655795	ATP6V0A2;ATP6V0A4;ATP6V0D1;ATP6V0A1
lytic vacuole membrane (GO:0098852)	31/234	0.000001907312182391461012737044443399181403719921945594251155853271484375	0.00019784727459671661302549605654377273822319693863391876220703125	0.000053312514416194449647090625177270339918322861194610595703125	0.004767327827277618827739313900337947416119277477264404296875	-1.220088935542511	16.068346225124635	SLC48A1;PI4K2B;SLC35F6;VLDLR;ABCC10;SLC2A8;ZFYVE26;ANPEP;MYO6;ATP6V0A2;SLC17A5;TLDC1;ATP6V0A4;SLC38A9;VPS39;ATP6V0A1;SLC36A1;STARD3NL;STK11IP;CTNS;MFSD12;TPCN2;TMEM175;LMBRD1;NPC1;PQLC2;TMBIM1;GNB4;TMEM106B;GOPC;ATP6V0D1
endoplasmic reticulum-Golgi intermediate compartment (GO:0005793)	18/96	0.00000213504253161924430272117399198794629455733229406177997589111328125	0.00019784727459671661302549605654377273822319693863391876220703125	0.0000457041043500604950307851515045598489450640045106410980224609375	0.004767327827277618827739313900337947416119277477264404296875	-1.2186702081640446	15.912206144321507	HSPA5;STX17;SURF4;ARFGAP3;CLN8;AREG;PDIA6;GOLGA2;ANPEP;GOLGB1;TRAPPC12;WHAMM;CALR;SEC22B;CD55;NUCB2;TMED4;BET1
pre-autophagosomal structure (GO:0000407)	7/24	0.0001665394265975167508754550826921558837057091295719146728515625	0.004208905508555423231886738477669496205635368824005126953125	0.00121295335639467170840699594691614038310945034027099609375	0.0306546393707017063301467629798935377039015293121337890625	-1.785612597566547	15.535326856571775	ATG9A;NBR1;ULK2;ULK1;WIPI1;ZFYVE1;ATG13
