Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Z-score	Combined Score	Genes
COPI-coated vesicle membrane (GO:0030663)	12/17	0.000623421263056772958534301753985573668614961206912994384765625	0.051037557163352058331451388539790059439837932586669921875	0.0198615550327485568260499348980374634265899658203125	0.99906177229663983840879382114508189260959625244140625	-2.377332272836727	17.545397042559756	TMEM199;COPB2;COPA;COPB1;TMED3;COPZ2;COPG1;ARFGAP3;COPE;COPZ1;SCYL1;ARCN1
COPI vesicle coat (GO:0030126)	11/16	0.00149672900084388076601127348652653381577692925930023193359375	0.071676688818190281704545441243681125342845916748046875	0.028582707950311182776292895368897006846964359283447265625	0.99906177229663983840879382114508189260959625244140625	-2.392735758433009	15.563485658700042	COPB2;COPA;COPB1;TMED3;COPZ2;COPG1;ARFGAP3;COPE;COPZ1;SCYL1;ARCN1
vesicle coat (GO:0030120)	19/32	0.000496191101209718550546501347753292066045105457305908203125	0.051037557163352058331451388539790059439837932586669921875	0.014100388355052818900592370710000977851450443267822265625	0.99906177229663983840879382114508189260959625244140625	-1.9446073280113452	14.795640959118026	COPB2;COPA;SEC13;SEC23A;SEC24A;SAR1A;PEF1;COPB1;CLTA;COPZ2;ARFGAP3;COPZ1;ARCN1;NECAP1;TMED3;COPG1;COPE;SCYL1;SEC31A
nucleolus (GO:0005730)	247/677	0.00009824547672836894478785862983016841099015437066555023193359375	0.031353615667913448117332109177368693053722381591796875	0.0021289851751421285698528951257912922301329672336578369140625	0.79076136979120426051537151579395867884159088134765625	-1.5719194284662932	14.505737479509518	EIF4A2;RPL5;THUMPD3;GLE1;GOLGA3;RABGEF1;ENDOV;KAT5;MYC;RPL35;PDK3;CDK5RAP3;METTL1;SCAF11;RPL23;NGDN;CIRBP;MTUS1;WDR74;IMP4;P3H4;MIF4GD;GTPBP4;JMJD6;SUB1;CCDC86;RPL26;KIF20B;ATF3;L3MBTL3;MEAF6;PRKDC;PRKRIP1;AGAP2;NOLC1;XPC;RPAP2;CDKN2AIP;DEDD2;RNF213;DHX33;PDCD11;S100A16;RRS1;DHX37;SURF6;SPTBN1;PLK3;XRCC6;PNO1;UPF3B;MAD2L1BP;PUM3;PARP10;ABTB1;SPATS2L;RAD17;NANOG;MAGED2;NOL11;HOXD9;CUTC;SETD4;ZCCHC11;MRPS15;FEN1;STON2;KRI1;AATF;GLI2;PHF8;SMG6;NKRF;RRP12;DFFB;SIRT7;GNL2;DIEXF;MRPS9;ZEB2;PLSCR1;GPRC5A;SDHAF2;TUT1;EEF1E1;PAFAH1B2;CSTB;NIP7;RPL11;NOL8;NOL9;SDAD1;SPTY2D1;GNAI1;NOL6;EXOSC4;EXOSC10;PES1;RRP36;RPS27A;DTD1;EXOSC1;MBD4;NPM1;UTP6;CRBN;UTP4;STAT1;MTX2;MCRS1;CRIPT;NOC3L;APTX;NLE1;BYSL;MAD2L2;VMP1;BOP1;RSL1D1;MYBBP1A;CENPH;TSR1;MPHOSPH6;SRP19;NARF;FMR1;GEMIN2;RASL11A;HJURP;CDC14B;TXN2;CCND2;OSBP;PIM1;MACROD2;MAF1;NEPRO;RPP38;ARID5A;FTSJ3;EBNA1BP2;MYCN;FANCD2;MORF4L2;MRTO4;CMPK1;SBDS;S100A3;IPPK;DDX5;DDX4;RPS19BP1;NOP2;UTP23;ARL2;PKMYT1;ORC4;ATXN1;ORC1;DDRGK1;PODXL;CAMTA1;BRIX1;LLPH;ZC3H15;COX10;NOP14;HELQ;CCDC137;FANCG;RCL1;CDK8;LIN28B;UBLCP1;FGF18;RIOX2;MDM2;PLEKHM1;NF2;BRWD1;RBM28;USP36;ACADVL;DOCK4;DDX3X;CHD7;DDX42;DDX43;MCM10;TNFAIP1;CHD3;SNAPC5;RBM4;CPT2;SNAPC3;TRIM68;GET4;PELP1;BCAS3;UTP11;DDX55;RBM19;DDX56;DDX54;ZFP91;TFIP11;DDX52;URB1;DDX50;SENP3;UTP18;REXO4;METTL22;ACOX1;POLR1B;C1D;POLR1E;ANG;DDX27;RRN3;DDX25;PNKP;DCTN3;MAK16;DDX21;MRM2;SELENBP1;VPS51;TAF1C;SAP30L;MXI1;DNAJB9;DCAF13;RNF20;NOP58;TRIM41;MYO10;NIFK;IDH3G;KRR1;DDX31;RPL23A;SMUG1;KLF6;NOVA1;ERCC6;EIF3A
mitochondrion (GO:0005739)	355/1027	0.000472994135117143078665680189232034535962156951427459716796875	0.051037557163352058331451388539790059439837932586669921875	0.00424700412340286471979400317877662018872797489166259765625	0.79076136979120426051537151579395867884159088134765625	-1.8209534050939413	13.941997852404834	MT-ND6;PARS2;ECI1;NUDT1;ABAT;MTFR1L;ALKBH3;NFU1;GJA1;DHX57;PDK4;FDXR;PDK3;CYP1B1;MPV17;MLYCD;FBXO7;PDK2;GSTK1;CPT1A;GABARAPL1;ENDOG;PHYKPL;MCCC1;NGDN;SLC11A2;MRPS18B;GTPBP8;BCS1L;CPT1B;ATG13;PISD;NIF3L1;HOXB9;WDR81;SCO1;GUF1;ACOT2;YME1L1;TFAM;VDAC1;TMEM126B;AURKAIP1;LETMD1;ALDH7A1;MMADHC;SLC22A4;NLRX1;ABCB6;MAOA;SP140;MGST1;AGAP2;XPC;MRPL15;ATP5H;LIAS;ATP5O;MRPL10;MRPL11;PRDX3;MRPL20;CYP27B1;PRDX5;BLOC1S2;DECR1;FIS1;MTERF2;MTERF4;PYCR1;PYCR2;ERAL1;BRI3BP;HARS2;MRPL22;MRPL30;CS;FIBP;ALDH6A1;AKR1B10;ARMC10;NDUFAF6;NDUFAF7;NDUFAF4;ECHDC2;ALDH18A1;TRMU;SLC35F6;MRPS15;CLIC4;FEN1;FASTKD1;SLC44A1;HCCS;MRPL37;HSCB;IDE;TFCP2L1;TMEM186;MYOM2;AKAP10;C1QBP;RFK;RACK1;CCR7;JARID2;ACADS;AASS;MRPS26;NSUN3;MRPS23;SIRT4;USMG5;TFB2M;MRPL45;PARP9;COQ10B;COQ10A;MRPS5;MRPL44;HADHB;MRPS9;ALDH5A1;NME6;PLSCR3;BDH1;SDHAF2;PTRH2;PICK1;PGAM5;GARS;SDHAF4;MAPT;MICU1;MRRF;ATPAF1;CCDC90B;TRUB1;OAT;ECHS1;MRPS33;IBA57;MIEF2;MRPL58;MIEF1;NOL3;TMEM70;PTS;NAPG;TRAK2;NOL6;AKAP1;TMEM71;PPP2CA;MINOS1;NT5M;YKT6;NKTR;TEFM;CASP8AP2;TIMMDC1;TRMT10C;MDH1;MTX2;PTGES2;MDH2;AGK;G0S2;NMNAT3;NOC3L;AGMAT;GATM;NBR1;MSRB2;TOMM7;FAS;COQ8A;HSPA1A;TOMM6;MTFMT;NDUFA12;TACO1;MPV17L;HJURP;CPOX;OGDHL;PARK7;COX6A1;CELSR1;TOMM20;CLU;THG1L;TXN2;TOMM22;CHCHD2;ABHD10;ABHD11;FAM162A;PMPCB;RARS2;NANOS1;ADPRHL2;PUS1;TOMM34;MUL1;SDHC;LIG3;TRNT1;ATAD3A;SLC9B2;RAB32;CARD19;RAB38;COX19;ENY2;NDRG4;FECH;COX15;DIABLO;AK3;AK4;PHB;HIGD1A;FOXO1;UBB;PITRM1;COX11;PMAIP1;COX14;NDUFV3;NDUFV1;COX10;MARK2;COA3;PNPT1;BDNF;GOT2;DNAJC11;CHCHD10;ACSF3;MARCH5;FANCG;COQ3;AMACR;TMEM11;PXMP2;CAPRIN2;MAFF;ACO1;ACO2;GRSF1;MXD1;XAF1;MCU;ACADVL;ALAS1;RMND1;TRIAP1;ETFB;ATP5G1;DHTKD1;TCHP;HEBP2;MRPL1;CPT2;OPA1;CASP4;TIMM17A;MRPL9;USP30;COA7;BOK;COA5;TSFM;HSDL2;USP48;GPX1;NCBP1;ELAC2;AMT;DARS2;HAUS3;GLRX2;QRSL1;SEPT4;TNFRSF1A;SMDT1;AIM2;NDUFS8;TST;DNAJC5;NDUFS5;CAT;NOS1AP;TNFRSF25;CASQ1;MTFR2;BCAT1;FXN;SLC25A14;PPP1R15A;BECN1;NDUFB9;NDUFB6;POLDIP2;NDUFB4;MTIF2;AMBRA1;MTIF3;PPM1K;MFF;MRM1;MRM2;HSPD1;TBRG4;MRM3;GK5;SLC25A27;SLC25A29;ALDH1B1;RAB29;MAPK1;ETFRF1;D2HGDH;SLIT3;SLC25A20;SLC25A23;SNCA;MAPK3;NIPSNAP3B;MGME1;PTCD1;NDUFA7;METAP1D;NDUFA4;IDH3G;BAD;TXNRD1;MACC1;CCDC58;EXOG;HSPE1;MYO19;TRIT1;SOD1;SUGCT;GOLPH3;RPS6KB1;TRIM39;CAPN10;PPP2R2B;SERHL;DNAJA3;CCM2;SSBP1
vacuolar proton-transporting V-type ATPase complex (GO:0016471)	11/17	0.0030977931870292602957450700529307141550816595554351806640625	0.1335148863609611213920658201459445990622043609619140625	0.037619124836554128366028493246631114743649959564208984375	0.99906177229663983840879382114508189260959625244140625	-2.294707561592842	13.25667541888255	TMEM199;CCDC115;ATP6V0A2;ATP6V1H;ATP6V0A4;TCIRG1;ATP6V0D1;ATP6V0C;ATP6V1C1;ATP6V1F;ATP6V0A1
proton-transporting V-type ATPase complex (GO:0033176)	8/12	0.0091931230513093986633776921735261566936969757080078125	0.2330727079479029961728286934885545633733272552490234375	0.06494006661415208103704799214028753340244293212890625	0.99906177229663983840879382114508189260959625244140625	-2.6981826216840106	12.652586604577246	TMEM199;CCDC115;ATP6V0A2;ATP6V0A4;TCIRG1;ATP6V0D1;ATP6V1F;ATP6V0A1
zonula adherens (GO:0005915)	6/7	0.0036897291843876775345456575649905062164179980754852294921875	0.144570298042826284046213913825340569019317626953125	0.0543989840978378047520180871288175694644451141357421875	0.99906177229663983840879382114508189260959625244140625	-2.2454052729224054	12.579214394409496	CAMSAP3;JUP;KIFC3;SORBS1;PLEKHA7;NECTIN2
endoplasmic reticulum-Golgi intermediate compartment (GO:0005793)	46/96	0.00014549241609240577883556400085041104830452241003513336181640625	0.031353615667913448117332109177368693053722381591796875	0.005504139464903973731624287069053025334142148494720458984375	0.79076136979120426051537151579395867884159088134765625	-1.2256374220002737	10.82898044963668	LRPAP1;LMAN2L;GOSR2;RAB1B;TGFA;CLN8;GOLGA2;ANPEP;SERPINH1;TMED3;TMED2;YKT6;UGGT1;CD55;SCYL1;TMED4;HSPA5;CCDC115;IST1;SLC35C2;SURF4;GBF1;FN1;AZIN2;CSNK1D;ARFGAP3;PDIA6;YIF1A;YIF1B;TM6SF2;TAPBP;TMEM199;ERP44;F8;GJB2;RAB37;GORASP1;GOLGB1;CALR;P4HB;MPPE1;COPG1;CNIH2;FOLR1;PTPN2;BET1
lysosomal membrane (GO:0005765)	113/292	0.00071049963568471543977345117326649415190331637859344482421875	0.051037557163352058331451388539790059439837932586669921875	0.0089608698065261165044415037073122221045196056365966796875	0.96553372165318906983344504624255932867527008056640625	-1.3364503043845588	9.688652777180973	SCARB2;ATP8A1;HFE;ZFYVE26;ANPEP;TOM1;ANKFY1;AP1S3;ATP6V1E1;VPS39;BORCS5;RAB2A;NSF;STARD3;SZT2;VPS33A;STX7;SLC11A2;AP1B1;MYO7A;WDR81;RAB37;ATP6V0D1;CFTR;ATP6V1A;TMEM63A;RAB5C;BRI3;NPRL2;NPRL3;MGST1;CLEC16A;ABCB9;PLD1;NCSTN;SYNGR1;MYO6;ATP6V0A2;ATP6V1H;ATP6V0A4;SLC38A9;SLC15A3;SLC15A4;ATP6V1C1;VPS16;ATP6V0A1;HSPA8;WDR59;STK11IP;SURF4;TMEM192;HPS6;CP;MYLPF;DAB2;VNN1;PQLC2;TECPR1;SLC35F6;B4GALT1;SLC44A2;CLTC;CLTA;PCSK9;VLDLR;MAGT1;TCIRG1;ABCC10;AP2A2;SLC2A8;GLIPR1;TMEM44;ANXA6;SNAP29;SLC36A1;MANBA;SEC13;MIOS;ITFG2;DDOST;TMEM175;VAMP8;LMBRD1;NPC1;DNAJC5;COL6A1;DEPDC5;DAGLB;ATP6V0C;TLR3;TGFBRAP1;LRP2;WDR24;GNAI1;NAPG;TMEM165;CLN5;TLDC1;RILP;CD74;EGF;CTNS;TM6SF1;MCOLN2;MTOR;TPCN1;CLCN7;CLCN5;P2RX4;OSTM1;CD68;LAMTOR4;CYB561
