Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
Platelet activation	19/125	3.9903157437795874E-5	0.01209065670365215	0	0	2.8200371057513913	28.564311237844965	VASP;PRKCI;PTGIR;SYK;SRC;ITPR2;PLA2G4A;ADCY3;ITPR3;PIK3CB;ADCY7;PIK3R5;GNAI2;PTGS1;APBB1IP;RAP1A;COL1A2;PRKG2;PRKACB
Proteoglycans in cancer	25/203	1.001095005901413E-4	0.015166589339406409	0	0	2.2848369083414823	21.04162507918431	CD63;CDKN1A;CAMK2D;SRC;SDC2;PXN;TWIST2;ITPR2;ITPR3;PIK3CB;PAK1;CTSL;PLAU;GPC1;CASP3;PRKACB;WNT10B;CAV2;MSN;ANK3;COL1A2;CTTN;CD44;HBEGF;FGFR1
Rap1 signaling pathway	24/209	3.943721464443463E-4	0.03983158679087898	0	0	2.1304737641032925	16.699112608680544	VASP;PDGFRB;PRKCI;RALB;SRC;LPAR1;ADCY3;PIK3CB;SIPA1L2;NGF;SIPA1L3;ADCY7;GNAI2;APBB1IP;EFNA1;FGF7;SIPA1L1;RAP1A;ADORA2B;PARD3;PDGFC;RALGDS;PFN2;FGFR1
Small cell lung cancer	14/92	3.951820744684227E-4	0.02993504214098302	0	0	2.82326369282891	22.123557174606812	RB1;CDKN1A;LAMB2;PIK3CB;TRAF1;PTGS2;NFKB1;RXRA;CCNE1;CASP3;TRAF5;E2F1;ITGA6;BCL2L1
Glycosphingolipid biosynthesis	9/45	5.675295293453885E-4	0.03439228947833054	0	0	3.7105751391465676	27.733646663724127	B4GALT2;B3GALNT1;ST3GAL4;ST3GAL5;B4GALNT1;ST6GALNAC4;GGTA1;ST3GAL2;ST6GALNAC6
Human cytomegalovirus infection	27/255	6.443454014860583E-4	0.032539442775045946	0	0	1.9644221324893592	14.433150876642324	RB1;PTGER4;H2-T23;CDKN1A;H2-T22;SRC;PXN;ADCY3;ITPR2;IL6RA;ITPR3;PIK3CB;PTGS2;ADCY7;CX3CL1;GNAI2;PPP3CC;CASP3;E2F1;BID;B2M;PRKACB;ARHGEF11;NFATC1;NFKB1;TRAF5;GNB4
Gap junction	13/86	6.721967018926405E-4	0.029096514381924295	0	0	2.804504465634033	20.48679167679118	PDGFRB;SRC;LPAR1;ITPR2;ADCY3;ITPR3;ADCY7;TUBA4A;GNAI2;TUBB6;PDGFC;PRKG2;PRKACB
Regulation of actin cytoskeleton	23/217	0.0015442559408547474	0.05848869375987356	0	0	1.966433829501637	12.729145178837632	PDGFRB;GSN;SRC;PXN;LPAR1;MSN;PIK3CB;BAIAP2;IQGAP3;FGD1;PAK1;FGF7;DIAPH3;CFL2;PDGFC;BDKRB2;PIP5K1A;ITGB7;ITGA6;MYL9;DOCK1;PFN2;FGFR1
Oxytocin signaling pathway	18/154	0.0016384315973529842	0.055160530444217135	0	0	2.1685179384622795	13.908908401874935	JUN;CDKN1A;CAMK2D;SRC;NPR2;ITPR2;PLA2G4A;ADCY3;ITPR3;NFATC1;PTGS2;ADCY7;PIK3R5;GNAI2;EEF2K;PPP3CC;PRKACB;MYL9
Parathyroid hormone synthesis, secretion and action	14/107	0.0018070797367189622	0.054754516022584555	0	0	2.4274790629930814	15.332062487611932	ARHGEF11;EGR1;CDKN1A;ITPR2;ADCY3;ITPR3;ADCY7;GNAI2;MMP14;RXRA;PDE4A;PRKACB;FGFR1;HBEGF
