Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
Protein processing in endoplasmic reticulum	80/163	1.4251682458314553E-7	4.318259784869309E-5	0	0	1.6527952382969184	26.054343125591906	TRAM1;ERO1LB;HSP90AB1;PRKCSH;UBE2D1;HERPUD1;SEC61A2;SEC61A1;CASP12;SEC61G;UFD1;FBXO6;SEC61B;SKP1A;MAP3K5;PDIA3;SEC13;FBXO2;DNAJB12;YOD1;UBE4B;TRAF2;RAD23B;DDOST;RBX1;PDIA4;ERN1;MAN1A;SELENOS;DDIT3;DNAJB11;CANX;PLAA;PREB;CRYAB;ATF4;VCP;SEC23A;SAR1A;SAR1B;DERL3;RPN1;SEL1L;DERL1;DERL2;UBE2J2;HSP90B1;UBE2J1;MAPK9;GANAB;BAG2;MAN1C1;SSR1;UGGT1;SEC31A;EDEM3;BCAP31;HSPA8;XBP1;SEC24A;HSPA5;WFS1;EDEM1;EIF2AK1;EIF2AK3;SYVN1;EIF2AK2;UBE2G1;HSPA2;DNAJA1;NSFL1C;NPLOC4;STT3A;HYOU1;STUB1;STT3B;CALR;P4HB;RNF185;HSPA1A
RNA transport	78/167	2.4367857820603126E-6	3.6917304598213735E-4	0	0	1.5728771451876513	20.32917079693298	CYFIP2;EIF4A2;POP5;EIF4A1;NUP107;POP1;GEMIN2;FMR1;RPP30;EIF4A3;CASC3;NXT2;PNN;SUMO3;MAGOH;PABPC4L;EIF2B1;ALYREF2;RPP38;UPF2;NDC1;SAP18B;SEC13;NCBP1;NCBP2;ELAC2;PABPC4;THOC3;TRNT1;THOC5;SENP2;RANGAP1;SRRM1;DDX39B;NUP50;RPP21;GEMIN5;GEMIN6;PABPC1;RPP25;EIF1A;EIF4E2;EIF1B;KPNB1;POM121;AAAS;NXF1;FXR2;NXF3;NUP85;TGS1;SAP18;NUP88;NUP43;EIF3J2;EIF3J1;EIF2B4;EIF2B3;UBE2I;NUP155;RPP40;UPF3B;1700009N14RIK;SNUPN;EIF1;XPOT;EIF3I;EIF3G;NUP35;EIF3H;RNPS1;EIF3E;NUPL2;EIF3D;RAN;EIF3A;EIF4G1;EIF3B
Hippo signaling pathway	65/159	0.0016587594721772583	0.16753470668990308	0	0	1.3766796815845797	8.813070027961675	GSK3B;PATJ;WNT2B;WWC1;SERPINE1;ITGB2;ACTB;GLI2;PPP1CB;CCND2;PPP2R1A;CDH1;MYC;RASSF6;BTRC;YWHAG;TEAD3;APC2;WNT5B;WNT5A;CSNK1D;CSNK1E;YWHAZ;LATS2;BIRC2;YAP1;CRB2;PARD6G;AFP;PPP2CA;PARD6B;WNT11;DVL2;DVL3;CTNNA2;TRP53BP2;WNT2;WNT4;TGFB2;WNT10A;TCF7L1;SMAD3;FZD2;FZD5;TGFB3;FZD4;FZD7;WNT7B;FZD6;FZD9;BMP8A;GDF6;MPP5;WTIP;BMP6;BMP4;DLG1;BMP2;PPP2R2B;ID2;SNAI2;DCHS1;FAT4;NF2;BMPR1B
Mitophagy	30/63	0.00201449495431305	0.15259799278921354	0	0	1.6036049038237958	9.954195845092602	BECN1;USP15;CITED2;AMBRA1;RELA;GABARAP;MAPK9;TBK1;RHOT1;UBB;FUNDC1;USP30;TBC1D17;TBC1D15;ATG5;FIS1;GABARAPL1;TFEB;EIF2AK3;RRAS2;MRAS;TRP53;NBR1;TAX1BP1;TOMM7;ULK1;PGAM5;SQSTM1;OPTN;ATF4
Axon guidance	70/180	0.0049953939894963025	0.30272087576347595	0	0	1.3096106714561	6.939939936112205	EPHB6;ROBO2;GSK3B;LRRC4;RND1;ROBO1;DPYSL5;CFL1;BOC;NCK2;EPHB2;NEO1;EPHB3;EPHA4;EPHA7;WNT5B;UNC5B;SEMA6D;TRPC1;WNT5A;UNC5C;ENAH;EPHA1;MET;EPHA3;EPHA2;SEMA3C;SEMA3D;SEMA3A;SEMA3G;PARD6G;CXCR4;SEMA3E;SEMA3F;EFNA5;MYL12A;GNAI1;EFNB2;CDC42;EFNB1;PPP3R1;ABLIM1;PARD6B;EFNB3;ABLIM3;SLIT1;PLXNA1;MAPK1;SLIT3;FYN;PLCG1;SRGAP2;LRRC4C;SRGAP1;PAK2;PLXNA4;WNT4;PAK4;MAPK3;NTNG2;SEMA4A;LIMK2;SEMA4C;SEMA4F;SSH3;CXCL12;PLXNB3;PLXNB2;PLXNB1;BMPR1B
Spliceosome	53/132	0.0064666228997197865	0.32656445643584925	0	0	1.352130498451428	6.816226772527953	EIF4A3;DDX42;HNRNPU;PRPF19;EFTUD2;SART1;MAGOH;DHX16;SNRPD3;TXNL4A;ALYREF2;RBM17;AQR;NCBP1;NCBP2;BUD31;PRPF40B;THOC3;CRNKL1;PRPF4;DDX39B;SYF2;SNRPG;PPIE;PPIH;SRSF6;SNRPC;SLU7;DDX5;SF3B2;DHX8;SNU13;U2AF1;PRPF8;PUF60;U2AF2;TRA2B;HNRNPA1;SF3B1;SRSF10;SMNDC1;SF3A3;HSPA8;SF3A1;PRPF38A;SF3A2;HSPA2;LSM4;HNRNPM;XAB2;PHF5A;RBMX;HSPA1A
RNA polymerase	15/28	0.006953447685555451	0.3009849498176145	0	0	1.8040555168017705	8.96348171747887	POLR2A;POLR3B;POLR2B;POLR1A;POLR3D;POLR1B;POLR2E;POLR3F;POLR1D;POLR2F;POLR1E;POLR2G;POLR3H;POLR2H;POLR3K
TNF signaling pathway	45/110	0.007786234661620472	0.2949036378088754	0	0	1.3776423946486247	6.6890019779829295	ATF2;CEBPB;TRADD;TNFAIP3;CXCL1;RELA;ICAM1;RPS6KA4;MAPK9;CASP7;CREB3L1;CREB3L2;CCL2;MAPK1;MAP3K7;MAP3K5;MAPK3;MAP2K3;MAP2K4;EDN1;JAG1;CHUK;CCL20;MMP3;LIF;IFI47;TRAF2;FOS;TNFRSF1B;MAPK14;MAPK12;TNFRSF1A;CXCL10;CREB3;MAPK11;IL6;IRF1;BCL3;FAS;PGAM5;TAB1;MAP3K14;BIRC2;ATF4;CREB5
mRNA surveillance pathway	40/96	0.008170817777230556	0.27508419850009536	0	0	1.4031542908458214	6.745224055659131	DAZAP1;RNMT;CSTF3;EIF4A3;CASC3;MSI2;NXT2;GSPT1;SMG6;PPP1CB;PPP2CA;PNN;NXF1;NXF3;PPP2R3D;PPP2R1A;PAPOLG;MAGOH;PABPC4L;CSTF1;SAP18;PAPOLB;ALYREF2;UPF2;SAP18B;CPSF7;RNGTT;NCBP1;CPSF1;NCBP2;PABPC4;PPP2R5B;SSU72;PPP2R5A;UPF3B;SRRM1;DDX39B;PPP2R2B;RNPS1;PABPC1
N-Glycan biosynthesis	23/50	0.010708101064278858	0.3244554622476494	0	0	1.549082337093787	7.027806596989776	B4GALT3;ALG8;ST6GAL1;B4GALT1;ALG6;RPN1;ALG2;ALG3;ALG12;ALG11;ALG1;DDOST;DPM1;DPM2;MAN1A;GANAB;DOLPP1;MGAT4A;MAN1C1;MGAT3;STT3A;MGAT1;STT3B
