Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
Axon guidance	29/180	6.303007415125706E-8	1.9098112467830888E-5	0	0	3.0775761434787223	51.02514717737114	EPHB6;SEMA3C;SEMA3A;SEMA3E;GNAI1;EFNB1;PARD6B;BOC;NCK2;SLIT3;EPHB2;LRRC4C;SRGAP1;WNT4;EPHA4;SEMA4A;EPHA7;UNC5B;LIMK2;WNT5A;SEMA4C;SEMA4F;SSH3;ENAH;CXCL12;PLXNB3;PLXNB2;BMPR1B;EPHA2
Hippo signaling pathway	21/159	8.724664336277669E-5	0.013217866469460668	0	0	2.5229316465733183	23.58126553270263	CRB2;TGFB2;TCF7L1;TGFB3;FZD4;FZD7;SERPINE1;WNT5A;GDF6;BMP6;GLI2;BMP2;PARD6B;CCND2;WNT11;CDH1;PPP2R2B;MYC;BMPR1B;WNT2;WNT4
Melanogenesis	15/100	2.1328857785725947E-4	0.021542146363583207	0	0	2.865329512893983	24.22024207330096	EDN1;TCF7L1;FZD4;FZD7;WNT5A;ADCY1;GNAI1;CREB3;PLCB4;WNT11;CREB3L1;CREB3L2;KIT;WNT2;WNT4
AGE-RAGE signaling pathway in diabetic complications	15/101	2.3857948551726042E-4	0.018072396027932477	0	0	2.8369599137564183	23.6625380310074	TGFB2;EDN1;TGFB3;SERPINE1;STAT3;VEGFC;F3;PLCB4;COL4A2;COL4A1;PIM1;COL4A6;PLCE1;COL4A5;JAK2
TGF-beta signaling pathway	14/91	2.618866864821544E-4	0.015870333200818557	0	0	2.938799500404085	24.238038768933226	TGFB2;TGFB3;CHRD;SMAD9;INHBB;GDF6;SMAD6;DCN;BMP6;BMP2;MYC;BMPR1B;FMOD;NBL1
Pathways in cancer	47/535	3.728752333791185E-4	0.018830199285645482	0	0	1.6781369109784072	13.247660316318477	FLT4;PDGFB;MGST1;TGFA;ADCY1;CSF2RA;EGFR;GNAI1;GLI2;RASGRP3;FGF5;CASP7;CCND2;WNT11;TFG;CDH1;MYC;PIM1;HMOX1;PMAIP1;JAK2;WNT2;WNT4;JAG2;ARNT2;EDN1;TGFB2;TCF7L1;JAG1;FZD4;TGFB3;FZD7;STAT3;WNT5A;VEGFC;FOS;IGF1;BMP2;PLCB4;CXCL12;COL4A2;COL4A1;KIT;COL4A6;FAS;COL4A5;FGFR3
Proteoglycans in cancer	23/203	4.1685114544562916E-4	0.018043699581432232	0	0	2.1642883020217276	16.844182666005377	TGFB2;SDC4;FZD4;FZD7;STAT3;WNT5A;GAB1;ANK2;IGF1;EGFR;DCN;MRAS;WNT11;MYC;KDR;GPC3;PDCD4;PLCE1;TIMP3;FAS;EZR;WNT2;WNT4
Parathyroid hormone synthesis, secretion and action	15/107	4.515500642013802E-4	0.017102458681627276	0	0	2.6778780494336285	20.627224130593344	MEF2C;VDR;FOS;ADCY1;EGFR;GNAI1;SLC9A3R1;CREB3;MAFB;MMP13;PLCB4;CREB3L1;CREB3L2;MMP17;CREB5
Relaxin signaling pathway	17/131	4.893182552349419E-4	0.016473714592909708	0	0	2.478911028966804	18.895493000758123	EDN1;VEGFC;FOS;ADCY1;EGFR;GNAI1;ACTA2;CREB3;MMP13;PLCB4;COL4A2;COL4A1;CREB3L1;CREB3L2;COL4A6;COL4A5;CREB5
Cushing syndrome	19/159	6.687265872229508E-4	0.02026241559285541	0	0	2.282652442137764	16.68649812671277	TCF7L1;CDKN2C;FZD4;FZD7;WNT5A;AHR;ADCY1;PBX1;EGFR;GNAI1;CACNA1G;CREB3;PLCB4;WNT11;CREB3L1;CREB3L2;WNT2;WNT4;CREB5
