Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Z-score	Combined Score	Genes
HBEGF-HS578T	24/156	0.00000327698236361286666698772011840912199431841145269572734832763671875	0.0003145903069068351864782939752984702863614074885845184326171875	0.002023757726038696337644839928771034465171396732330322265625	0.1942807416997148484139046331620193086564540863037109375	-1.727767430980107	21.819262302953963	DDX17;FARP1;PRR7;ST6GAL1;GADD45B;IFRD2;LEF1;KRT7;PAWR;SLC1A3;INHBB;PBXIP1;LAMB1;PDLIM1;FADS2;EBNA1BP2;CXCL12;LAMP1;DAAM2;COL5A2;ALDH1A1;PRODH;EZR;VGLL4
FGF1-HS578T	19/162	0.0011852569680306994197305225924310434493236243724822998046875	0.03792822297698238143137672295779339037835597991943359375	0.05806042246053132183103429042603238485753536224365234375	0.99628764820461290785402752590016461908817291259765625	-1.8626351277251365	12.550054911870982	LGALS3BP;GADD45B;HEATR1;KRT7;TWIST1;PBXIP1;DHCR24;ADCY7;PDLIM1;FADS2;MARCKS;CXCL12;DAAM2;PTK7;FUBP1;COL5A2;GAS1;TARDBP;HNRNPA0
IFNA-MCF7	19/158	0.0008765416137578355658399598127061835839413106441497802734375	0.03792822297698238143137672295779339037835597991943359375	0.048158310977283673437465694178172270767390727996826171875	0.99628764820461290785402752590016461908817291259765625	-1.5723515467326026	11.068610187988524	EIF5A;COLEC12;CDV3;AHCYL1;GADD45B;CADM1;LIMCH1;NAP1L1;IPO7;ACTA2;BMP2;COL3A1;MARCKS;CXCL12;EIF3L;LMNA;RUVBL1;FOLR1;EIF4B
IFNG-MCF7	19/174	0.002720200691978908076607002186619865824468433856964111328125	0.058387546627605847737729760638103471137583255767822265625	0.0960647942733933446479710482890368439257144927978515625	0.99628764820461290785402752590016461908817291259765625	-1.8026786435665725	10.648512192100181	ACTN1;PLK2;TPM1;KRT7;ATP1B1;LOXL1;MTSS1;MARCKS;CXCL12;FLRT3;EEF1D;CCDC85B;GRWD1;G3BP1;KRT14;FSCN1;PCYOX1L;AMOTL2;LAP3
HRG-MDAMB231	18/164	0.0032829514874434498512834057493137152050621807575225830078125	0.058387546627605847737729760638103471137583255767822265625	0.0999992234258002821167821139169973321259021759033203125	0.99628764820461290785402752590016461908817291259765625	-1.670187546727161	9.55182331923637	EIF5A;CDV3;CCT2;ST6GAL1;WDR1;HSPA4;KRT7;HNRNPU;SLC1A3;HSPD1;TGFBR2;STIP1;MARCKS;KRT19;LAMP1;MAPKAPK2;MCL1;EIF4G1
IFNA-SKBR3	17/159	0.0054738324963380484422525995569230872206389904022216796875	0.058387546627605847737729760638103471137583255767822265625	0.126227373982838952937157728229067288339138031005859375	0.99628764820461290785402752590016461908817291259765625	-1.387371004597324	7.22511779362027	EIF5A;DDX17;COLEC12;LIMCH1;NAP1L1;PRKCA;NR1D2;ACTA2;CXCL12;DDAH1;EIF3L;COL6A1;PCYOX1L;MXRA7;FOLR1;KPNB1;EIF4B
TGFA-SKBR3	17/162	0.0065863334500690269568412560374781605787575244903564453125	0.06322880112066266156123361952268169261515140533447265625	0.1407721595595308183845872918027453124523162841796875	0.99628764820461290785402752590016461908817291259765625	-1.4027259105062566	7.0455534427178295	DDX17;VCAM1;TMEM176B;KAZN;NR1D2;HMMR;MTSS1;SLC9A3R1;CXCL12;SALL2;ESPL1;OLFML3;LRIG1;PLXNB2;GAS1;TK1;TNS3
IL6-MCF7	17/154	0.003962411999024769045096849851006481912918388843536376953125	0.058387546627605847737729760638103471137583255767822265625	0.1040557074634889389574965434803743846714496612548828125	0.99628764820461290785402752590016461908817291259765625	-1.2718298787203346	7.034366863072884	LIMCH1;PRMT1;HSPA4;KRT7;KAZN;SOX11;MEX3D;IPO5;MARCKS;SOAT1;FLRT3;ARHGDIB;ANKRD10;VIM;TKT;MCL1;TJP2
IFNG-HS578T	17/156	0.004519402075386110169408215853081856039352715015411376953125	0.058387546627605847737729760638103471137583255767822265625	0.112611772376996321920472610145225189626216888427734375	0.99628764820461290785402752590016461908817291259765625	-1.2665512263290275	6.8385857598471445	SF3B4;CARD10;IFRD2;LTBP3;ATP1B1;PRSS23;PDLIM1;RSL1D1;CXCL12;BIN1;RUVBL1;KRT14;FSCN1;PLXNB2;EZR;SLC29A1;VGLL4
MCSF-MCF7	17/159	0.0054738324963380484422525995569230872206389904022216796875	0.058387546627605847737729760638103471137583255767822265625	0.126227373982838952937157728229067288339138031005859375	0.99628764820461290785402752590016461908817291259765625	-1.250176970085318	6.510641956481847	RBM38;NOP56;NPM1;CDCA4;IFRD2;PLK2;WNT5A;KRT7;NAP1L1;PWP1;FBL;CCNE1;BIN1;COL6A2;FPGS;ALDH1A1;GAS1
