Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Z-score	Combined Score	Genes
HRG-MCF7	29/160	0.0000000079143415119372951436445010812807676625624253574642352759838104248046875	0.0000003798883925729901404251564502045912519179182709194719791412353515625	0.0003060367911043141461550909365740835710312239825725555419921875	0.014689765973007078148082626967152464203536510467529296875	-1.8603435053911364	34.70394412818153	EIF4A1;NIP7;FHL2;DDX21;NOLC1;THBS1;CTGF;SRM;TUBB6;PMEPA1;RRP12;LDLR;RRP15;MCL1;EIF5A;EDN1;NOP16;IFRD2;ACTN1;PLK1;RPP40;LIF;EMP1;NOC3L;PPRC1;BOP1;MRTO4;FJX1;TNFRSF21
FGF1-MCF7	29/145	0.00000000073508479219847282112848296084972772590493406141831655986607074737548828125	0.0000000705681400510533941370568144536845611725084381760098040103912353515625	0.000067890425560068672441484116664156545084551908075809478759765625	0.00651748085376659298806334419396080193109810352325439453125	-1.5075812947462899	31.705995366875776	EIF4A1;PRR7;NIP7;FHL2;DDX21;NOLC1;LAMC2;CTGF;SRM;AKAP12;TUBB6;ADAMTS1;RRS1;LDLR;MCL1;EIF5A;CCT2;EDN1;JAG1;NOP16;LIF;EMP1;ATP1B1;PPRC1;GTPBP4;AXL;MRTO4;PPARG;TNFRSF21
BTC-MCF7	26/155	0.0000002321527417638400854799801166505890392954825074411928653717041015625	0.00000742888773644288273535936373281884925745544023811817169189453125	0.00172517018771211759660400009153136124950833618640899658203125	0.055205446006787763091328002929003559984266757965087890625	-1.6900726179004562	25.81733012931297	EIF4A1;NIP7;FHL2;NOLC1;THBS1;CTGF;AKAP12;TUBB6;RRS1;LDLR;RRP15;MCL1;CCT2;JAG1;ACTN1;LIF;EMP1;ATP1B1;PPRC1;MTSS1;FASN;MAPKAPK2;PPARG;MXRA7;EZR;TNFRSF21
TGFA-SKBR3	23/149	0.0000049228530792872869585705304651401803539556567557156085968017578125	0.000118148473902894893781956309197767041041515767574310302734375	0.007771633891105363123319449414339032955467700958251953125	0.171362262197734815938332531004562042653560638427734375	-1.6164723925323325	19.755915042121465	EIF5A;EDN1;SERPINE1;FHL2;LIF;EMP1;DDX21;LAMC2;THBS1;CTGF;CORO1C;TGFBR2;AKAP12;TUBB6;AXL;BASP1;LMNA;PMEPA1;CCL2;VIM;EZR;LDLR;MCL1
BTC-SKBR3	23/151	0.0000061887772186911146031496055996967697865329682826995849609375	0.000118824522598869397669966996300416894882800988852977752685546875	0.00892511782279868833012148598982093972153961658477783203125	0.171362262197734815938332531004562042653560638427734375	-1.632396485053477	19.57696054378875	MAP2K3;EIF5A;EDN1;PLK2;SERPINE1;CTSZ;FHL2;LIF;EMP1;DDX21;LAMC2;CTGF;AKAP12;TUBB6;AXL;ADAMTS1;LMNA;PPIF;PMEPA1;CCL2;VIM;LDLR;MCL1
EPR-SKBR3	23/156	0.000010746530256202865239389086793320160495568416081368923187255859375	0.00017194448409924584383022538869312256792909465730190277099609375	0.01242859844849669541388959004279968212358653545379638671875	0.17190121375023548200289269516360945999622344970703125	-1.6568221662804719	18.95558248752977	EIF5A;JAG1;PLK2;SERPINE1;FHL2;LIF;EMP1;DDX21;LAMC2;THBS1;PRSS23;CTGF;AKAP12;H1F0;TUBB6;BASP1;PMEPA1;CCL2;VIM;LDLR;RRP15;TNFRSF21;MCL1
EGF-MCF10A	23/160	0.0000163832254391609393969798935675186157823191024363040924072265625	0.00019659870526993127276375872281022338938782922923564910888671875	0.0159638697450010837164402488497216836549341678619384765625	0.17190121375023548200289269516360945999622344970703125	-1.4828612854013825	16.340023053343984	PRMT5;TEX10;PLK2;PLK1;TOMM34;CDCA8;SOX11;HMMR;THBS1;CENPA;CDC25A;GTPBP4;AURKA;SRM;CCNA2;TPX2;PPP3CA;KIF18A;MCM3;PPIF;AKT1;TSR1;TK1
EPR-MCF10A	23/170	0.0000438078306831854346801123634147501206825836561620235443115234375	0.000420555174558580129560991789361423798254691064357757568359375	0.028323753408293315947386048492262489162385463714599609375	0.27190803271961583309490606552571989595890045166015625	-1.398728165485988	14.037213416321327	EIF5A;WDR1;NOP16;PRMT1;TEX10;PLK1;CTPS;CDC25A;GTPBP4;SRM;CCNA2;TPX2;COL4A2;COL4A1;DKC1;ADAMTS1;GRWD1;RRS1;MCM3;PPIF;MXRA7;ABCE1;MCL1
EPR-BT20	22/166	0.00008702901078062627950905627560729271863237954676151275634765625	0.000759525912267284002317435653850452581536956131458282470703125	0.03779618034974095708289354433873086236417293548583984375	0.301928439911679336038474730230518616735935211181640625	-1.487733145505771	13.909217433556238	EIF5A;EIF4A1;CARD10;PRR7;JAG1;NOP16;ACTN1;FHL2;LIF;EMP1;MICAL2;DDX21;NOLC1;LAMC2;THBS1;MYLK;AKAP12;SMTN;TUBB6;AXL;COL6A2;FAM60A
IL4-HS578T	22/149	0.0000162033385955131324228546685350949019266408868134021759033203125	0.00019659870526993127276375872281022338938782922923564910888671875	0.014152789290355481666150438968543312512338161468505859375	0.17190121375023548200289269516360945999622344970703125	-1.1575428890167927	12.768037516251962	EIF5A;GADD45B;CADM1;SRC;SERPINE1;CTSZ;LEF1;WNT5A;NPR3;EMP1;DDX21;PCOLCE;AIMP2;RSL1D1;SFPQ;PITRM1;G3BP1;ANKRD10;CCL2;CCDC86;FOLR1;TGM2
