Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Z-score	Combined Score	Genes
EGF receptor signaling pathway_Homo sapiens_P00018	47/109	0.0009929321241318243666806875324937209370546042919158935546875	0.037293207599391052509130162206929526291787624359130859375	0.01481307186664363416406242635048329248093068599700927734375	0.41668712815728792264735602657310664653778076171875	-1.6694022104846649	11.543662954724306	YWHAE;SHC2;YWHAB;SHC1;PIK3CD;PEBP1;RASAL2;PIK3CB;PIK3C2A;AREG;PIK3R5;PIK3C2B;PPP2CB;NRAS;RRAS;ERBB3;YWHAQ;PPP2R5E;AKT2;AKT3;ERBB2;AKT1;STAT6;HRAS;MAP3K4;YWHAH;MAP2K6;MAP3K2;PRKCG;STAT5B;PRKCI;MAP2K1;PRKCE;DAB2IP;PRKCA;PPP2R5D;PPP2R5C;EREG;MAPK13;PIK3CA;RASA4;RASA1;RASA2;SPRY2;PRKD1;SOS2;HBEGF
PDGF signaling pathway_Homo sapiens_P00047	48/112	0.001035922433316418221627142060015103197656571865081787109375	0.037293207599391052509130162206929526291787624359130859375	0.0150463603405572542148771475467583513818681240081787109375	0.41668712815728792264735602657310664653778076171875	-1.4582507951607753	10.021774647972302	GSK3A;SHC2;SHC1;SRF;PIK3CD;PDGFA;ITPR2;PIK3R2;ITPR3;PIK3CB;PIK3R1;ETS1;ELK1;PIK3R5;ARHGAP12;ELK4;RPS6KA3;NRAS;RPS6KA5;OPHN1;AKT2;RPS6KA2;STAT6;SRGAP3;MAPK6;JAK3;HRAS;JAK1;NCK1;SPDEF;PDGFRB;STAT5B;JUN;MAP2K1;PRKCA;ETV3;RAB11B;ARHGAP10;ELF1;ELF2;PIK3CA;RASA4;RASA1;MAPKAPK2;RASA2;ERF;PKN2;SOS2
Ras Pathway_Homo sapiens_P04393	32/69	0.0014645569880058387050858481615023265476338565349578857421875	0.03954303867615764633836050734316813759505748748779296875	0.0200037589517074766709558986121919588185846805572509765625	0.41668712815728792264735602657310664653778076171875	-1.364151874625727	8.90273134661066	GSK3A;RALA;RALB;SHC1;SRF;PIK3CD;PIK3CB;ETS1;ELK1;PLD2;RPS6KA3;NRAS;PAK1;RPS6KA2;AKT3;AKT1;RAC3;RALGDS;HRAS;MAP3K4;MAP2K6;JUN;MAP2K1;MAP3K1;RHOC;RHOA;MAPK13;PIK3CA;MAPKAPK3;MAPKAPK2;SOS2;RGL2
Cholesterol biosynthesis_Homo sapiens_P00014	9/11	0.0004139872175002292449715046718239364054170437157154083251953125	0.037293207599391052509130162206929526291787624359130859375	0.021447665041032536181742074177236645482480525970458984375	0.41668712815728792264735602657310664653778076171875	-1.1008714098488217	8.575431006155984	FDPS;SQLE;MVK;HMGCS1;PMVK;MVD;HMGCR;LSS;FDFT1
VEGF signaling pathway_Homo sapiens_P00056	26/54	0.00204901834073029955052280826066635199822485446929931640625	0.04425879615977447445462900077473022975027561187744140625	0.024827595748985888113313791336622671224176883697509765625	0.41668712815728792264735602657310664653778076171875	-1.3404244877946927	8.297756321551867	SHC2;PXN;PIK3CD;PIK3R2;PIK3CB;PIK3R1;PIK3C2A;ETS1;HIF1A;PIK3C2B;NRAS;AKT1;RAC3;HRAS;PRKCG;PRKCI;MAP2K1;SPHK2;SPHK1;PRKCE;PLA2G4A;PRKCA;PIK3CA;MAPKAPK3;MAPKAPK2;PRKD1
FGF signaling pathway_Homo sapiens_P00021	42/99	0.002598595536451729810789590402464455110020935535430908203125	0.046774719656131134859489151267553097568452358245849609375	0.0250254844869819866037818911763679352588951587677001953125	0.41668712815728792264735602657310664653778076171875	-1.147939782621303	6.833437752545713	YWHAE;YWHAB;SHC1;PIK3CD;PEBP1;PPP2R2A;PIK3CB;PIK3C2A;PIK3C2B;PPP2CB;FGF7;NRAS;PPP2R1B;YWHAQ;PPP2R5E;AKT2;AKT3;AKT1;HRAS;FGF22;MAP3K4;MAP2K6;MAP3K2;PRKCG;PRKCI;MAP2K1;PRKCE;PRKCA;PPP2R5D;PPP2R5C;MAPK13;PIK3CA;RASA4;RASA1;PPP2R2D;RASA2;SPRY2;PTPN6;SOS2;FGFR2;FGFR1;FGF10
Endothelin signaling pathway_Homo sapiens_P00019	33/75	0.0035969395134592204062162767996824186411686241626739501953125	0.0485586834316994730986749573276028968393802642822265625	0.0310727562200840169703841553427992039360105991363525390625	0.41668712815728792264735602657310664653778076171875	-1.0404716621508139	5.855433167296409	PIK3CD;ITPR2;ADCY3;ECE1;FURIN;PIK3R2;ITPR3;PIK3CB;PIK3R1;PTGS2;PIK3C2A;ADCY7;PIK3R5;PIK3C2B;PRKAR2B;GNA11;AKT2;PRKAR2A;AKT3;AKT1;PRKG2;PRKACA;PRKACB;PRKCG;PRKCI;MAP2K1;PRKCE;PLA2G4A;PRKCA;PLCB3;PIK3CA;PRKAR1B;GNAQ
p53 pathway feedback loops 2_Homo sapiens_P04398	22/45	0.0034799373833056257421247892125393263995647430419921875	0.0485586834316994730986749573276028968393802642822265625	0.033271821642372099991913358962847269140183925628662109375	0.41668712815728792264735602657310664653778076171875	-0.9281399076707338	5.253959609282004	RB1;CDKN1A;PIK3CD;PIK3R2;PIK3CB;PIK3R1;PIK3C2A;PIK3R5;PIK3C2B;MAPK13;CCNA2;PPP2CB;NRAS;RBL1;PIK3CA;CCNE1;AKT2;AKT3;AKT1;CTNNB1;MDM4;HRAS
p53 pathway_Homo sapiens_P00059	31/71	0.005382468589357774883807916666000892291776835918426513671875	0.05813066076506397117373836636033956892788410186767578125	0.03858214149604517750891119476364110596477985382080078125	0.41668712815728792264735602657310664653778076171875	-0.6151758770520969	3.2140529098131467	CDKN1A;PIK3CD;PIK3R2;HMGB1;PIK3CB;PIK3R1;PIK3C2A;THBS1;PIK3R5;PIK3C2B;PPP2CB;WRN;CCNB1;ZMAT3;SIN3A;AKT2;PERP;AKT3;AKT1;CDKN2D;TNFRSF10B;CDC25C;SIRT1;SERPINB5;PML;GADD45G;PIK3CA;CCNE1;KAT6B;BAX;MDM4
Ubiquitin proteasome pathway_Homo sapiens_P00060	21/43	0.00433324527691646664562252766472738585434854030609130859375	0.051998943322997599747470331976728630252182483673095703125	0.037316951116670306343170437912704073823988437652587890625	0.41668712815728792264735602657310664653778076171875	-0.46619793654930497	2.5367874150618537	SMURF2;UBE2C;SMURF1;PSMD13;UBE2D3;UBE2E1;UBE2E2;UBE2L6;UBE3A;UBE3B;UBE2A;ITCH;PSMD7;PSMD4;UBE2S;UBE2T;UBA3;PSMD1;UBA2;UBA1;SAE1
CCKR signaling map ST_Homo sapiens_P06959	60/165	0.021401039722744243098961902660448686219751834869384765625	0.1670932994940701465935717351385392248630523681640625	0.07490192292053123035433515042313956655561923980712890625	0.55368144165704336057132195492158643901348114013671875	-0.654978549098764	2.517944367250564	ITGB1;YWHAB;PIK3CB;ELK1;ELK4;PPP3CA;RPS6KA3;CCND1;PLAU;CASP3;AKT1;PRKACA;PRKACB;MEN1;MAP2K1;PRKCE;PLA2G4A;PRKCA;DNM1;RHOA;TPST1;CREB1;PPARG;PRKD1;BIRC3;HBEGF;ROCK1;SRC;SHC1;SRF;ODC1;PXN;CREM;PIK3R1;PTGS2;FOXO3;CAMKK1;ACAT1;PAK1;GNG2;CSK;TAC1;MEF2D;EIF4E;MAP2K5;MAP2K6;JUN;CSNK1A1;NFATC2;NFKBIA;NR4A1;MOB1A;GNB1;BCL2;BAX;CPE;CTNNB1;TCF4;CALM1;BCL2L1
Parkinson disease_Homo sapiens_P00049	33/81	0.014153396057176380329334364205351448617875576019287109375	0.1273805645145874299029031817553914152085781097412109375	0.06335926418619224065320594263539533130824565887451171875	0.55368144165704336057132195492158643901348114013671875	-0.40758783777360413	1.735427772688922	YWHAE;TOR2A;SRC;YWHAB;CUL1;UBE2L6;ELK1;PLD2;PSMB7;YWHAQ;SNCG;CSK;NDUFV2;YWHAH;HSPA9;CSNK1G3;TOR1A;HSPA1L;FBXW7;CSNK1A1;CSNK2A2;SEPT5;PSMA5;HCK;PSMA6;PSMA3;CCNE2;PSMA1;LCK;CCNE1;CSNK2B;FRK;CSNK1G2
Huntington disease_Homo sapiens_P00029	46/124	0.028274171618867992294976687617236166261136531829833984375	0.1670932994940701465935717351385392248630523681640625	0.0899703916695481498155828603557893075048923492431640625	0.55368144165704336057132195492158643901348114013671875	-0.11077330148830983	0.3949961645336856	ARF3;SH3GL3;DCTN1;ARPC1B;GRIK5;CLTB;AP2A1;CRYZ;TUBB6;CASP8;CAPNS1;SIN3B;CAPN6;SIN3A;CAPN7;AKT2;CASP3;AKT3;CAPN5;CAPN2;AKT1;CAPN1;PRODH;IFT57;RAB8A;VAT1;JUN;HIP1R;RHOG;ARPC5;DYNLL1;TUBB4B;GRIN2D;ARL4C;DYNC1LI1;DYNC1LI2;ARL4A;DLG4;RHOJ;MAP3K10;BAX;HAP1;TAF4;ARF5;RHOQ;ARF6
Nicotinic acetylcholine receptor signaling pathway_Homo sapiens_P00044	4/68	0.9999996735480809473273211551713757216930389404296875	0.99999967354808105834962361768702976405620574951171875	0.9999858348131180907358839249354787170886993408203125	0.99998583481311797971358146241982467472553253173828125	9.182535248209883	-0.000002997656742842351	MYO1E;CHRNB1;ACTR1B;VAMP2
Adrenaline and noradrenaline biosynthesis_Homo sapiens_P00001	1/25	0.9997982643294152094171067801653407514095306396484375	0.99999967354808105834962361768702976405620574951171875	0.99875373185062998881988960420130752027034759521484375	0.99998583481311797971358146241982467472553253173828125	15.583145179044715	-0.0031439933809849865	VAMP2
Cadherin signaling pathway_Homo sapiens_P00012	29/150	0.99714925993928371639185570529662072658538818359375	0.99999967354808105834962361768702976405620574951171875	0.98845350296685985380662486932124011218547821044921875	0.99998583481311797971358146241982467472553253173828125	8.083852319197415	-0.023077871809357223	SRC;LEF1;PCDH19;PCDH18;CELSR3;WNT6;CDH5;ERBB3;ERBB2;CTNNA1;CDH24;PCDH1;PTPN1;WNT10B;FZD3;PCDHGC5;PCDHGC4;CSNK2A2;PCDHGC3;FZD8;WNT7A;WNT9A;PCDHGA12;FER;CSNK2B;CDH13;CTNNB1;FAT2;CDH17
5HT3 type receptor mediated signaling pathway_Homo sapiens_P04375	1/16	0.9956778957909622196353893741616047918796539306640625	0.99999967354808105834962361768702976405620574951171875	0.98727388937166171700710037839598953723907470703125	0.99998583481311797971358146241982467472553253173828125	22.52995413435054	-0.09758785427708207	VAMP2
Muscarinic acetylcholine receptor 2 and 4 signaling pathway_Homo sapiens_P00043	7/39	0.95907182718030858925573056694702245295047760009765625	0.99999967354808105834962361768702976405620574951171875	0.9220529225795266459186905194655992090702056884765625	0.9765724215200493052435604113270528614521026611328125	10.250538881301539	-0.4283629357552435	PRKAR1B;PRKAR2B;PRKAR2A;PRKACA;PRKACB;VAMP2;GNAI2
5HT2 type receptor mediated signaling pathway_Homo sapiens_P04374	9/46	0.944495173911473084871204264345578849315643310546875	0.99999967354808105834962361768702976405620574951171875	0.9030132080322250676118756018695421516895294189453125	0.9765724215200493052435604113270528614521026611328125	8.75313243466828	-0.4998450168774406	PRKCG;PRKCI;PLCB3;GNA11;PRKCE;GNAQ;PRKCA;PLCD1;VAMP2
Angiogenesis_Homo sapiens_P00005	51/142	0.039750943883653133692490655448636971414089202880859375	0.19340882478714338521541549198445864021778106689453125	0.10861907657657010606300218569231219589710235595703125	0.55368144165704336057132195492158643901348114013671875	0.15994853853650226	-0.5158535013438186	PIK3CD;PIK3CB;RBPJ;PIK3C2A;ETS1;PIK3C2B;AKT2;AKT3;AKT1;HRAS;JAK1;NCK1;PDGFRB;PRKCG;PRKCI;MAP2K1;SPHK2;SPHK1;PRKCE;AXIN1;PLA2G4A;PRKCA;RHOC;RHOA;PIK3CA;MAPKAPK3;RASA1;MAPKAPK2;PRKD1;SHC2;NOTCH1;SRC;SHC1;PXN;TCF7;PDGFA;PIK3R2;PIK3R1;HIF1A;PLD2;NRAS;PAK1;DVL1;PDGFC;WNT10B;JUN;FZD3;MAP3K1;WNT7A;CTNNB1;FGFR1
GABA-B receptor II signaling_Homo sapiens_P05731	16/35	0.02491874817246426954131521824820083566009998321533203125	0.1670932994940701465935717351385392248630523681640625	0.09179399112591581089137804383426555432379245758056640625	0.55368144165704336057132195492158643901348114013671875	0.14561084351226117	-0.5376148655265844	GABBR1;CACNA1B;GNAI3;CACNA1A;ADCY7;GNG5;PRKAR1B;PRKAR2B;GNB2;PRKAR2A;GNG7;GNB1;GNB4;GNG8;PRKACA;PRKACB
Heterotrimeric G-protein signaling pathway-Gi alpha and Gs alpha mediated pathway_Homo sapiens_P00026	30/127	0.92120248591756992428969397224136628210544586181640625	0.99999967354808105834962361768702976405620574951171875	0.88015126217561723276361362877651117742061614990234375	0.9765724215200493052435604113270528614521026611328125	6.898368761665266	-0.5661864615169491	GPSM2;GSK3A;CLTB;GNAI3;ADCY3;ARRB1;ADRB2;ADCY7;GNAI2;GRK1;GYS1;GNG10;RGS3;RAP1A;GNG2;GNG5;GRK4;PRKAR2B;PRKAR2A;GNG7;GRK6;ADORA1;GNG8;PRKACA;PRKACB;CREB1;PRKAR1B;GNB2;GNB1;RGS12
Blood coagulation_Homo sapiens_P00011	7/38	0.95050528422421309837631042682914994657039642333984375	0.99999967354808105834962361768702976405620574951171875	0.9108235897230516631140062600024975836277008056640625	0.9765724215200493052435604113270528614521026611328125	12.448293462290469	-0.6318947662779496	THBD;PROCR;PLAU;GP1BB;PROZ;PLAUR;TFPI
T cell activation_Homo sapiens_P00053	29/73	0.02939604342951233906244823401721077971160411834716796875	0.1670932994940701465935717351385392248630523681640625	0.09509043499908320651314852511859498918056488037109375	0.55368144165704336057132195492158643901348114013671875	0.18853289281231148	-0.6649357529902223	CD80;PIK3CD;PIK3R2;PIK3CB;PIK3R1;PPP3CA;NRAS;PAK1;PPP3CB;PPP3CC;AKT2;AKT3;AKT1;CSK;HRAS;NCK1;JUN;MAP2K1;MAP3K1;NFATC3;NFATC2;NFATC1;NFKB1;NFATC4;NFKB2;NFKBIA;PIK3CA;LCK;SOS2
5HT4 type receptor mediated signaling pathway_Homo sapiens_P04376	2/16	0.9676351327220391596029003267176449298858642578125	0.99999967354808105834962361768702976405620574951171875	0.938123599589911094653871259652078151702880859375	0.9765724215200493052435604113270528614521026611328125	22.630706167114308	-0.7445545727277422	ADCY7;VAMP2
Alzheimer disease-presenilin pathway_Homo sapiens_P00004	24/99	0.86996941274782224606809677425189875066280364990234375	0.99999967354808105834962361768702976405620574951171875	0.82639114786472323004318241146393120288848876953125	0.9765724215200493052435604113270528614521026611328125	7.184970709233342	-1.000846486623072	PSENEN;WNT10B;NOTCH3;FZD3;NOTCH1;LRP1;LEF1;PSEN2;LRP5;FZD8;WNT7A;FURIN;WNT9A;RBPJ;LRP6;BACE1;WNT6;MMP14;MMP24;DVL1;CTNNA1;CTNNB1;MMP19;CD44
Nicotine pharmacodynamics pathway_Homo sapiens_P06587	5/28	0.93841467112719012533261775388382375240325927734375	0.99999967354808105834962361768702976405620574951171875	0.89664160074888743512389055467792786657810211181640625	0.9765724215200493052435604113270528614521026611328125	15.986744197856174	-1.0161709779861714	GNG2;EPB41L1;GNB1;FLNA;PRKACA
Vasopressin synthesis_Homo sapiens_P04395	1/10	0.96669007362647463299509809075971134006977081298828125	0.99999967354808105834962361768702976405620574951171875	0.9404030725748622199233750507119111716747283935546875	0.9765724215200493052435604113270528614521026611328125	30.596011113864154	-1.0365114060546754	CPE
Ionotropic glutamate receptor pathway_Homo sapiens_P00037	10/45	0.8756787570146844501550731365568935871124267578125	0.99999967354808105834962361768702976405620574951171875	0.828393012818704921329526769113726913928985595703125	0.9765724215200493052435604113270528614521026611328125	8.228967457257506	-1.0924445654370953	CAMK2B;CAMK2D;GRIK5;CAMK2A;CACNA1B;SLC17A6;CACNA1A;SLC1A3;VAMP2;GRIN2D
Apoptosis signaling pathway_Homo sapiens_P00006	38/102	0.040401715515789769772592165963942534290254116058349609375	0.19340882478714338521541549198445864021778106689453125	0.11155660202440421946423754206989542581140995025634765625	0.55368144165704336057132195492158643901348114013671875	0.34574611546177564	-1.1094588431657315	ATF6B;PIK3CD;XIAP;PIK3CB;RELB;CASP8;BCL2L11;AIFM1;BAG3;AKT2;CASP3;AKT3;AKT1;RIPK1;FADD;BAK1;PRKCG;JUN;MAP3K1;HSPA1L;BIK;PRKCE;TNFRSF10B;PRKCA;CFLAR;EIF2S1;NFKB1;IGF2R;NFKB2;NFKBIA;PIK3CA;BCL2;CYCS;BAX;ATF6;BCL2L2;BCL2L1;BIRC3
Notch signaling pathway_Homo sapiens_P00045	8/38	0.89546489436519471905029377012397162616252899169921875	0.99999967354808105834962361768702976405620574951171875	0.84826016380003199657267032307572662830352783203125	0.9765724215200493052435604113270528614521026611328125	10.714799454518081	-1.1830452288138313	APH1A;NOTCH3;NOTCH1;POFUT1;FBXW7;PSEN2;NUMB;RBPJ
