Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Z-score	Combined Score	Genes
dimethyloxalylglycine_Cardiomyocytes_GSE71560_up	109/498	0.000000000000000000000000000000000000012222263692791681497809733408165573888203005816933166688297210429339201670947522991910775020806163848607894806264084763824939727783203125	0.00000000000000000000000000000000001590116506432197825507969209188176619274034505645861520878643954319108995873182713756934978342749698043689932092092931270599365234375	0.00000000000000000000000000000000000000900748625311584790100662452720373682172803827134549798435262521072799521745436387845400230963991620829200979159168127807788550853729248046875	0.0000000000000000000000000000000000117187396153037187834856133521418584241761181133370340480212868705779163397373185726864833048656289182787304525845684111118316650390625	-1.740966911450185	151.98216244457194	TFRC;CPOX;PLOD2;NPPB;GOLGA2;ALKBH5;PPME1;ZMIZ1;FAM162A;SLC16A3;TPD52;BNIP3L;GABARAPL1;MAP2K1;GPT2;ATG9A;ARRDC3;KRT8;PDIA6;PDIA4;MTHFD2;DDIT3;DDIT4;HECA;SQSTM1;ATF3;ATF4;KMT2E;PFKFB4;INSIG2;SEL1L;NEDD4L;AK4;FOXO3;NDRG1;HSP90B1;LDHA;PRRC1;UBC;PGK1;SARAF;HIVEP2;ANKZF1;RAB11FIP5;CDK19;XBP1;HSPA5;GADD45A;SIAH2;NEK7;SURF4;GFPT1;KLHL24;FBXO32;FOSL2;NR4A1;SLC6A8;P4HA1;P4HA2;JMY;CREBRF;HYOU1;CALR;MXD1;TRAM1;CLIC4;NGLY1;SLC2A1;VLDLR;SIPA1L2;HERPUD1;HK1;GYS1;TPI1;PDE4D;PGAM1;SERPINB9;FAM219A;FOS;DNAJC3;CRY1;ALDOA;TMEM45A;PPP1R15A;KDM3A;TMF1;CLDND1;SLC3A2;GGA2;DNAJB2;MXI1;SLC17A5;DNAJB9;GPAT3;FNIP1;EGLN1;KDM4B;PLEKHA2;BNIP3;MIB2;PNRC1;TTC17;VEGFA;PER1;PFKL;KRT18;CCNG2;BMT2;PFKP
RBM47_H358_knockdown_GSE75491_down	107/497	0.000000000000000000000000000000000000305409722725286399109430651883526049853244520422981480289999917781340706879314407527791258955391327789552491367430775426328182220458984375	0.00000000000000000000000000000000019866902463279880506375863186888127822986967504080085778316084473778320530582751102469259672778090219935620552860200405120849609375	0.0000000000000000000000000000000000001665027183016454842904317607156371014465301970306106207335164571072227835192833757051324001410125795474836962739573209546506404876708984375	0.000000000000000000000000000000000108310018255220396060803860913193195806664352788571173599714373496001491909383410486210851629562679221407961449585855007171630859375	-1.6953310156722496	142.54201517650566	PLEKHB2;TMEM41B;TFRC;GHITM;HID1;LGALS3;FTH1;CREB3L2;SESN2;OSBP;CHAC1;TPD52;GPT2;ALG2;KRT8;GTPBP2;PDIA6;PDIA4;DDIT3;DDIT4;DNAJB11;TRIB3;TRIM16;SQSTM1;SEL1L;MGST1;NDRG1;HSP90B1;ADGRG1;RAB11FIP1;SARAF;TMEM184C;XBP1;SDF2L1;IDH1;EDEM1;TMEM50B;SLC33A1;SURF4;GFPT1;EIF2AK3;RAB27B;CORO2A;FBXO32;TMEM230;MANF;IBTK;GCLC;P4HA1;OSTC;JMY;HYOU1;SERINC1;CPEB2;RAB5A;CDKN1A;TRAM1;SRXN1;SLC2A1;SLC7A11;MAGT1;HERPUD1;MAP1LC3B;SERP1;TCP11L2;SMIM14;GPCPD1;DNAJC3;UGDH;NOV;TMEM106B;LCORL;SGK1;CRELD2;RHOQ;CHMP5;PPP1R15A;RBM47;SEMA3B;DERL1;DERL2;SLC3A2;PTGS2;CLCN3;MAPK9;PGRMC1;MAL2;DNAJB9;PTK2B;SEC23B;CD55;SLC35A2;NQO1;GDF15;TXNRD1;SYVN1;TMCO3;ASS1;VEGFA;PDP1;TTC9;SPCS2;DHRS7;KRT18;CTH;CCNG2;GPD1L
ZNA_MCF7_30uM-12hrs_GSE59251_up	104/498	0.00000000000000000000000000000000005610079318373187961195676049174317940563004701244938054120351734488895088719359705389279346920972102452651597559452056884765625	0.0000000000000000000000000000000243290439773450574320435997911828306842755603348965065629996567282281416840289595994450966287558912881650030612945556640625	0.000000000000000000000000000000000018294533577647757611256824352700195405842087271904870054462578003785655305873642129485222838393421174174591214978136122226715087890625	0.000000000000000000000000000000007933729394839909981578159053156254894212371438765697567020458145503602172499642950658817197595595871462137438356876373291015625	-1.72128348886144	135.75059456356018	TFRC;GHITM;PVR;ETS2;GOLGA2;LGALS3;GOLGA5;FTH1;SESN2;CYP1B1;IER3;TSPYL2;PDIA3;CAST;GPT2;CIRBP;GTPBP2;ATG13;PREPL;MTHFD2;DDIT3;DDIT4;TXNIP;TRIB3;NUPR1;TRIM16;SQSTM1;ATF3;ATF4;SEL1L;MGST1;PIK3R3;SLC1A4;FOXO3;HSP90B1;ADGRG1;UBC;UBE2H;HSPA5;NEBL;GADD45A;IDH1;SIAH2;EDEM1;SLC33A1;GFPT1;RAB39B;IBTK;GCLC;SLC6A9;P4HA1;P4HA2;OSTC;GOLGB1;HYOU1;SERINC1;SERINC3;SLC35F6;CDKN1A;CLIC4;ALAS1;SRXN1;SLC7A11;AREG;HERPUD1;MAP1LC3B;SERP1;CSRP1;SCRN1;TMEM43;ABCC3;TSC22D3;WIPI1;IMPACT;TMEM106B;ARHGEF2;SEC22B;STK40;RHOQ;USO1;SLC3A2;CLCN3;RMND5A;ERBB3;MXI1;MAL2;DNAJB9;SEC23B;CD55;KDM4A;NQO1;GDF15;TXNRD1;MOCOS;ASS1;PNRC1;TTC17;VEGFA;ZDHHC9;NBR1;PDCD4;CFAP36;YPEL5;NUCB2
ADAR_Fetal_liver_Knockout_GSE71042_up	95/497	0.0000000000000000000000000000806782405627893205857792122788107471462579255750231639078513641088702285108537337610101758400560356676578521728515625	0.000000000000000000000000020992478194437780386851060154654850420608398926990677530907855350230696578339717461858526803553104400634765625	0.00000000000000000000000000000811735773654983293383228853483317467490917423468050024554458649610857279600175349931756585419861949048936367034912109375	0.00000000000000000000000000211213648305026670006131443152631128892163038057565095382660592684707164153057323829898450640030205249786376953125	-1.8235177539185263	117.9580459127371	RB1;CDKN1B;NARF;ATP8A1;TFRC;SLC2A1;CPOX;GHITM;CHD2;ERO1L;MAP1LC3B;FTH1;SESN2;TCP11L2;CHP1;SEC62;SLC16A3;CNPPD1;PDK1;BNIP3L;SLC30A9;TPI1;KHNYN;PGAM1;ATG9A;UBALD2;ESCO2;GPCPD1;DUSP8;GTPBP2;SYF2;MTHFD2;DDIT3;ULK1;TRIB3;HECA;CD47;ALDOA;SQSTM1;ATF4;PPP1R15A;OTUB2;KMT2E;TRIM12C;KDM3A;TBCEL;ABHD4;SLC43A3;DERL1;UBR2;SLC3A2;MFF;CCNDBP1;CLCN3;FOXO3;CLCN2;HELZ2;LDHA;ADGRG1;RMND5A;UBC;ESD;MXI1;PGK1;STOM;IP6K1;KDM4A;UBE2H;HSPA5;PHF10;GADD45A;RHBDD1;BNIP3;YIPF4;BSDC1;MT2;MT1;KLHL24;PNRC1;VEGFA;ABTB1;GCLC;P4HA1;CCNG2;MKRN1;NBR1;CREBRF;SERINC1;HBP1;SERINC3;GCLM;MXD1;YPEL5;YPEL3;PFKP
Estradiol_G1E-ER-GATA-1_cells_1_uM_48_hrs_GSE74371_up	97/496	0.0000000000000000000000000000030830645213742546638468200910871479860979159505080568904509670022699184996250640865278480617917011841200292110443115234375	0.0000000000000000000000000010027667355769762454258515291573716939873052644633973850084768762646269223137718284988295636139810085296630859375	0.00000000000000000000000000000040574202794648513343719711783926441786962865348826366572624174009368216392936758174503353302497998811304569244384765625	0.0000000000000000000000000001319675945895942808923329605471140586387868239850819367758229892372465503363500316513778898297459818422794342041015625	-1.5956669898621665	108.42817084474056	RB1;ATP8A1;TFRC;SLC12A6;SEC62;SLC25A44;CPT1A;KHNYN;ATG9A;GTPBP2;DOPEY2;TXNIP;ULK1;HECA;ATP6V0D1;SQSTM1;PRR13;KMT2E;TBCEL;SLC26A2;FECH;ABHD4;DAPP1;FOXO3;RAB11FIP1;UBC;HMOX1;INPP5K;IP6K1;ATP6V0A1;ACBD5;UBE2H;BSDC1;KLHL24;ABTB1;SLC6A9;STK25;GOLGB1;MKRN1;JMY;CREBRF;RNF181;HBP1;SERINC3;GCLM;MXD1;MXD4;CDKN1A;CALCOCO1;CDKN1B;SRXN1;ITGB3;CHD2;HK1;PCMTD2;MAP1LC3B;TCP11L2;WDR7;IKBKG;SNAP29;CNPPD1;TRP53INP1;DENND2C;PCYT1A;GPCPD1;IMPACT;TMBIM1;PLIN3;STX5A;PPP1R15A;KDM3A;SLC43A3;DERL1;MFF;CLCN3;CLN8;FAM214B;FBXL20;RMND5A;MKNK1;MXI1;FNIP1;ZFP954;CTNS;NAGA;KLF3;PNRC1;PINK1;GNPDA1;CCNG2;NBR1;RAB18;PDCD4;LPIN1;YPEL5;YPEL3;GPR146
Tunicamycin_PWK-PhJ_mice_-_primary_Mouse_Embryonic_Fibroblasts_GSE63756_up	92/495	0.0000000000000000000000000055391410434328200684966294605265598525763797766988384601076262606601991779486926503750510164536535739898681640625	0.000000000000000000000001201070416251016498005874073153125300437720036728877558384062388600714565978222481135162524878978729248046875	0.0000000000000000000000000004219076065659851256225335190108904820423901124333106555926987457531962132269154341912553718429990112781524658203125	0.0000000000000000000000000914836326903911066076620233313193080505862649802305312560496947959002254913141172210089280270040035247802734375	-1.55696744836521	94.13107270714742	CLIC4;ARF2;SLC35B1;SLC2A1;CPOX;GHITM;CHD2;PVR;ETS2;HERPUD1;ERO1L;SERP1;ZC3H7A;CREB3L2;SESN2;CYP1B1;CHAC1;IER3;PDIA3;GTPBP2;DDX50;PDIA6;EREG;PDIA4;DNAJC3;UGDH;GPRC5A;MTHFD2;PIGA;DDIT3;DDIT4;DNAJB11;TXNIP;TRIB3;FAR1;ARHGEF2;NUPR1;SGK1;CRELD2;SQSTM1;ATF3;STK40;ATF4;PPP1R15A;ZFP703;USO1;SEL1L;DERL1;UAP1;SLC1A4;SLC3A2;PTGS2;ARNTL;HSP90B1;MAT2A;HMOX1;DNAJB9;SARAF;FYN;HIVEP2;SASH1;KDM4A;PLK3;ARL14EP;XBP1;SDF2L1;PHF10;GDF15;GADD45A;SIAH2;EDEM1;TXNRD1;SURF4;SYVN1;NFXL1;CFLAR;KLF4;FOSL2;MANF;VEGFA;NR4A1;RCAN1;IBTK;TRIM35;SNAI2;PTX3;HYOU1;SERINC1;CALR;ALDH18A1;SERINC3;NFE2L2
Tunicamycin_NOD-ShiLtJ_mice_-_primary_Mouse_Embryonic_Fibroblasts_GSE63756_up	91/496	0.00000000000000000000000002864461463024539887829891833088178319607010256463920693576693466612763383505324554789694957435131072998046875	0.0000000000000000000000053238062334213230068355376816791479708963759094607693523657876259747023794943743268959224224090576171875	0.00000000000000000000000000192197915934227918532463118496705615478636685878711237292656835672405757527159142483696996350772678852081298828125	0.0000000000000000000000003572135551863292957367427287388735617100868620849554030198850793965427430354253601763048209249973297119140625	-1.5422044361813507	90.70449491059239	CLIC4;ARF2;SLC35B1;TXNDC11;CPOX;MAGT1;GHITM;CHD2;PVR;ETS2;HERPUD1;ERO1L;SERP1;ZC3H7A;CREB3L2;SESN2;OSBP;CYP1B1;CHAC1;IER3;PDIA3;ZBTB38;OSMR;DDX50;PDIA6;EREG;PDIA4;DNAJC3;MTHFD2;PIGA;DDIT3;DNAJB11;TXNIP;TRIB3;FAR1;ARHGEF2;NUPR1;TRIM16;SGK1;CRELD2;SQSTM1;ATF3;STK40;ATF4;PPP1R15A;USO1;SEL1L;DERL1;SLC1A4;SLC3A2;PTGS2;SPTY2D1;ARNTL;HSP90B1;IL1RL1;HMOX1;DNAJB9;SASH1;KDM4A;PLK3;ARL14EP;XBP1;SDF2L1;GADD45A;SIAH2;EDEM1;TXNRD1;SURF4;SYVN1;PDE4DIP;NFXL1;SUCO;CFLAR;KLF4;KLF3;FOSL2;MANF;VEGFA;RCAN1;IBTK;GOLGB1;TRIM35;TMCC3;SNAI2;HYOU1;SERINC1;CALR;ALDH18A1;SERINC3;SEC24D;NFE2L2
Tunicamycin_AJ_mice_-_primary_Mouse_Embryonic_Fibroblasts_GSE63756_up	85/494	0.00000000000000000000012018260435870417395319365521579551805899581890874290343354502917649906379438107251189649105072021484375	0.0000000000000000000195446960338342662215471930071872144161418441597551881963069908554331277628079988062381744384765625	0.000000000000000000000004970427759230289931211871014215484964826729463631377622290076034698713680626269706408493220806121826171875	0.000000000000000000000808315814344825931838412194351752442184856400811881264360726946638369128095291671343147754669189453125	-1.6284327706373989	82.19193599205965	CLIC4;ARF2;SLC35B1;TXNDC11;CPOX;GHITM;CHD2;PVR;ETS2;HERPUD1;ERO1L;SERP1;ZC3H7A;CREB3L2;SESN2;OSBP;CHAC1;IER3;PDIA3;GTPBP2;DDX50;PDIA6;EREG;PDIA4;DNAJC3;MTHFD2;PIGA;DDIT3;DNAJB11;TXNIP;TRIB3;FAR1;ARHGEF2;NUPR1;SGK1;CRELD2;SQSTM1;ATF3;STK40;ATF4;PPP1R15A;USO1;SEL1L;DERL1;UAP1;SLC1A4;SLC3A2;PTGS2;HSP90B1;IL1RL1;MAT2A;ESD;PGK1;HMOX1;DNAJB9;SARAF;SASH1;PLK3;XBP1;SDF2L1;GADD45A;SIAH2;EDEM1;TXNRD1;SURF4;SYVN1;MTHFR;NFXL1;MT2;CFLAR;FOSL2;MANF;VEGFA;RCAN1;IBTK;OSTC;TRIM35;TMCC3;SNAI2;PTX3;HYOU1;SERINC1;CALR;ALDH18A1;SERINC3
Anisomycin_Fibroblasts_(3T3_cells)_188.5_nM_1_hr_GSE55776_up	83/497	0.000000000000000000002841945323258543772883468336043602867929915810348225722469124587821198701931280083954334259033203125	0.000000000000000000369737086555936502045336950974850842928172307441005563048708193463198767858557403087615966796875	0.000000000000000000000096320774927834707539203977590428141524086395000136476254309490958871453614165147882886230945587158203125	0.00000000000000000001253133281811129471616646822058500873182330422561420692401969179119447517223306931555271148681640625	-1.6488015031876628	78.00446632535744	CDKN1A;CLIC4;BTG1;ZFAND2A;SLC2A1;ZBTB21;PLAT;MSMO1;PVR;ETS2;DUSP10;CSRP1;ZMIZ1;SESN2;PDE4B;CYP1B1;PXDC1;TRP53INP2;TRP53INP1;NDEL1;IER3;DUSP1;HEG1;ARID5A;VPS37C;ARID5B;FOS;DUSP8;EREG;UGDH;GPRC5A;TUBB2A;DDIT3;TMBIM1;DDIT4;ZFP9;SGK1;SQSTM1;ATF3;STK40;ATF4;PPP1R15A;KMT2E;UAP1;SLC3A2;PTGS2;SPTY2D1;FOXO3;TOB1;NDRG1;DNAJB2;HELZ2;IL1RL1;MNT;MAT2A;DNAJB4;UBC;ZSWIM4;SASH1;PLK3;GDF15;VDR;DDIAS;TXNRD1;STAT2;OSGIN1;SYVN1;MT2;MT1;KLF4;KLF3;PNRC1;FOSL2;VEGFA;NR4A1;PER1;NR4A3;MAFF;KLF9;SPRY2;LPIN1;MXD1;NFE2L2
PRMT9_HeLa_knockdown_GSE63953_up	81/498	0.000000000000000000047434298510122000687585454526200803797853036562614059234825603095231372208218090236186981201171875	0.000000000000000005142668530139059854521768048382571857021662096033469413480787579828756861388683319091796875	0.0000000000000000000013975574247957473194681318032053602816834621375855798763756902836075113327751751057803630828857421875	0.0000000000000000001515185174716055950940786145815447419017979794756271799856250925842005017329938709735870361328125	-1.7278095372122788	76.87878408889722	RB1;SLC2A1;PLOD2;ETS2;GYS1;MAP1LC3B;CSRP1;ZMIZ1;FAM162A;FTH1;SLC16A3;IER3;PDIA3;TPD52;IKBIP;CAST;BNIP3L;GABARAPL1;TPI1;DUSP1;ARRDC3;ARID5B;FOS;FNDC3A;ARFGAP3;GPCPD1;MASTL;OSMR;MFSD12;PDIA4;TBC1D2;GPRC5A;NPC1;TXNIP;TBC1D23;ALDOA;SQSTM1;BLZF1;RHOQ;CHMP5;TMEM45A;AVPI1;PPP1R15A;KDM3A;PFKFB4;TMF1;SLC43A3;INSIG2;CREBL2;UAP1;GLRX;TOB1;NDRG1;PHF21A;HSP90B1;HELZ2;LDHA;MAT2A;UBC;MXI1;PGK1;STOM;FNIP1;CD55;ANKZF1;EGLN1;UBE2H;HSPA5;BNIP3;STAT2;STAT3;FOSL2;VEGFA;PDP1;KRT18;P4HA1;P4HA2;PMP22;CALR;SEC24D;MXD1
