Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Z-score	Combined Score	Genes
Gene Expression_Homo sapiens_R-HSA-74160	207/1631	0.000000000000000000000000000000009093142680030516142032502310435683352133949638343689812818105972429985728234539670987619797148937550446134991943836212158203125	0.000000000000000000000000000009966084377313445505557670239097741721880973522932697849188854990308513421659424025289553128459374420344829559326171875	0.000000000000000000000011167758386695670709619650727363333415512425167578019933480970408978816266198919038288295269012451171875	0.000000000000000000012239863191818454815624492999841211510904849050326547170615409942939777465653605759143829345703125	-2.158176768736823	159.2255070118535	LTV1;EIF4A1;RPL3;VARS;POP1;SERPINE1;EIF4A3;HNRNPU;THUMPD1;PWP2;NOC2L;ACTB;RRP8;RRP9;TRIM28;PPP2R1B;PPP2R1A;PSMD3;AKT1;CSNK2A2;WDR75;CD3EAP;PRKCA;WDR77;NUP93;KARS;DDX39B;CLNS1A;PSME3;DNA2;POM121;SET;NUAK1;PDCD11;PCBP4;PCBP1;CSTF1;DHX37;BANP;PNO1;PLK2;NR1D2;NR1D1;NR2F6;HNRNPL;TPX2;MOV10;AIMP2;HNRNPM;TBL3;HNRNPK;LAS1L;INTS5;NOL11;FARSA;FARSB;NAT10;PRPF19;WDR46;WDR43;XPO1;RARS;XPO5;TNKS1BP1;UTP14A;UPF1;PRMT5;WDR36;PRMT1;TEX10;NSUN2;DIEXF;CTU2;CTU1;KAT2A;PPARG;PABPC1;SF3B4;SF3B3;CTDP1;SRRT;HEATR1;NOC4L;NOL9;NOL6;EXOSC5;EXOSC10;PES1;TBL1X;EXOSC3;BID;EXOSC2;EXOSC1;MBD3;TRMT10A;SF3A1;NPM1;TRMT10C;WDR18;NR1H4;MRE11A;TRMT1;WDR12;LRPPRC;GATAD2A;BYSL;SKI;BOP1;MYBBP1A;NFIC;TSR1;PDCD7;YARS2;CTGF;THG1L;EFTUD2;FBL;KHSRP;NBN;USP7;PUS1;THOC3;PUS7;CCNE1;DKC1;PRPF3;MAPKAPK2;NHP2;SRSF2;GEMIN5;SNRPA;DDX1;NOP2;ISG20L2;SMYD2;UTP20;SUDS3;EIF2B3;RPP40;EEF2;EIF2S1;CDK9;RCL1;CDK8;EIF4G1;WDR3;WDR4;CHD4;ELAVL1;PTBP1;NOB1;PPP1R13L;SNRNP70;UBTF;PELP1;UTP15;NUP133;DIS3;NCBP2;MARS2;ELAC2;RABGGTB;SENP3;UTP18;CCNA2;QTRT1;EEF1G;POLR1A;EEF1D;POLR1B;POLR1D;POLR1E;SKIV2L2;RRN3;DDX23;SRSF1;DDX21;AURKA;TAF1D;U2AF2;BMS1;EIF4H;IGF2BP1;POLR2F;E2F4;IGF2BP2;POLR2H;HNRNPA1;MTA2;EIF4E;EIF4B;HNRNPA0;NOP56;NOP58;EIF3M;MYO1C;POLR3A;EIF3L;CARM1;ERCC2;EIF3G;SNRNP48;EIF3E;TRMT61A;EIF3D;RAN;EIF3B
rRNA processing_Homo sapiens_R-HSA-72312	54/180	0.00000000000000000000000004780450973970785767023413594710501536285540491228332678487362009505106004436658651002289843745529651641845703125	0.00000000000000000000002619687133735990469463248624763878368802478881247806706904947943691241984964790390222333371639251708984375	0.0000000000000000010559945497070152184351605351660772558699137662499112182146188132492170552723109722137451171875	0.00000000000000057868501323944434355432786204548204232866862907480598465781440609134733676910400390625	-2.0197376751903455	117.75611437135639	LTV1;RPL3;WDR3;NAT10;THUMPD1;PWP2;WDR46;WDR43;RRP9;FBL;NOB1;UTP14A;PELP1;UTP15;WDR36;TEX10;ELAC2;WDR75;SENP3;UTP18;DIEXF;DKC1;NHP2;SKIV2L2;NOP2;HEATR1;ISG20L2;NOC4L;NOL9;NOL6;EXOSC5;EXOSC10;PDCD11;BMS1;PES1;DHX37;UTP20;EXOSC3;EXOSC2;EXOSC1;NOP56;NOP58;TRMT10C;PNO1;WDR18;RPP40;WDR12;BYSL;RCL1;BOP1;TBL3;LAS1L;TSR1;NOL11
Major pathway of rRNA processing in the nucleolus_Homo sapiens_R-HSA-6791226	47/166	0.00000000000000000000118762475491498486594373505474137483583007095988933690355296608764934518376321648247539997100830078125	0.0000000000000000003254091828467058303229336769480845494677022364314426805531610398247721605002880096435546875	0.00000000000000134887745835417307023515223919426264765166791070871710189749137498438358306884765625	0.000000000000492789898118724519586660672931674331983219194963652398655540309846401214599609375	-2.021462904104699	97.39879605302265	LTV1;RPL3;WDR3;HEATR1;ISG20L2;NOC4L;NOL9;PWP2;WDR46;WDR43;NOL6;RRP9;FBL;EXOSC5;EXOSC10;NOB1;PDCD11;BMS1;PES1;DHX37;UTP20;EXOSC3;EXOSC2;UTP14A;EXOSC1;PELP1;NOP56;UTP15;NOP58;WDR36;PNO1;TEX10;WDR18;RPP40;WDR75;WDR12;SENP3;UTP18;DIEXF;BYSL;RCL1;BOP1;TBL3;LAS1L;TSR1;NOL11;SKIV2L2
rRNA modification in the nucleus_Homo sapiens_R-HSA-6790901	29/58	0.000000000000000000000761705593744819762083082035508983661254818461029049359568257777930444518688091193325817584991455078125	0.000000000000000000278276443581440797428966562693449879612015957702908096511873470291220655781216919422149658203125	0.00000000000000479300982263692711289037731867279111788358002266274837666060193441808223724365234375	0.00000000000131328469140251808572994856122919475594455762657020159167586825788021087646484375	-1.955876438686008	95.10739065658616	WDR3;NOP2;HEATR1;NAT10;NOC4L;THUMPD1;PWP2;WDR46;WDR43;NOL6;RRP9;FBL;PDCD11;BMS1;DHX37;UTP20;UTP14A;NOP56;UTP15;NOP58;WDR36;WDR75;UTP18;DIEXF;RCL1;TBL3;DKC1;NHP2;NOL11
Processing of Capped Intron-Containing Pre-mRNA_Homo sapiens_R-HSA-72203	35/193	0.000000000225472970278553478275198062813033765550141396261096815578639507293701171875	0.00000004118639590421576352839068435075786656085483627975918352603912353515625	0.000000161132990267544072672271297623491914663418356212787330150604248046875	0.000035320351466645657383981726784583088374347425997257232666015625	-2.116858611064525	47.02140104980159	SF3B4;POM121;SF3B3;PDCD7;SRRT;EIF4A3;DDX23;SRSF1;HNRNPU;PRPF19;ELAVL1;EFTUD2;PTBP1;U2AF2;SNRNP70;PCBP1;CSTF1;POLR2F;POLR2H;HNRNPA1;EIF4E;HNRNPA0;SF3A1;NUP133;NCBP2;THOC3;HNRNPL;NUP93;HNRNPM;HNRNPK;DDX39B;PRPF3;SRSF2;SNRNP48;SNRPA
mRNA Splicing_Homo sapiens_R-HSA-72172	29/144	0.00000000061942809239472186157487564395012456797129374308497062884271144866943359375	0.0000000969847413235164435521375235309260443017365105333738029003143310546875	0.000000286703968957404662870158511267515422105134348385035991668701171875	0.0000523712583295525842372493408038991447028820402920246124267578125	-1.9641594874356991	41.64455039701357	SF3B4;SF3B3;PDCD7;SRRT;EIF4A3;DDX23;SRSF1;HNRNPU;PRPF19;ELAVL1;EFTUD2;PTBP1;U2AF2;SNRNP70;PCBP1;CSTF1;POLR2F;POLR2H;HNRNPA1;HNRNPA0;SF3A1;NCBP2;HNRNPL;HNRNPM;HNRNPK;PRPF3;SRSF2;SNRNP48;SNRPA
RNA Polymerase I Transcription Initiation_Homo sapiens_R-HSA-73762	16/47	0.0000000014035347365760093450256911436799071857262077855921234004199504852294921875	0.00000019228425891091327303068932684515512931966441101394593715667724609375	0.0000004925448856751794126515521694831267751624181983061134815216064453125	0.000067478649337499575192218792540899130472098477184772491455078125	-1.9984295302567265	40.73653105856731	MBD3;RRN3;CD3EAP;CHD4;GATAD2A;TAF1D;KAT2A;POLR1A;POLR1B;ERCC2;POLR1D;UBTF;POLR1E;POLR2F;POLR2H;MTA2
Extracellular matrix organization_Homo sapiens_R-HSA-1474244	42/283	0.000000002375436382996808174176026911433336208379074605545611120760440826416015625	0.00000026041879780910538169638930063032322692606612690724432468414306640625	0.000001207469961938119339488998012221987465864003752358257770538330078125	0.0001323387078284178597874232163889018920599482953548431396484375	-2.0489085698301257	40.68739987333257	COL18A1;COL16A1;SDC4;SERPINE1;ITGB2;LTBP4;PDGFB;PDGFA;LAMC2;FURIN;LTBP3;THBS1;FBLN2;LOXL1;ADAMTS14;ADAMTS1;TIMP2;CAPN2;SPP1;NCAM1;ADAMTS9;CRTAP;VCAM1;COL27A1;ITGA3;MMP2;ACTN1;BGN;PCOLCE;PRKCA;LAMB1;BMP4;BMP2;COL3A1;COL4A2;COL4A1;COL6A2;COL5A2;COL6A1;COL8A2;COL8A1;FMOD
Prefoldin mediated transfer of substrate  to CCT/TriC_Homo sapiens_R-HSA-389957	12/27	0.00000000463164391664293135754500290997108524759795500358450226485729217529296875	0.0000004614801575127866134560898625505132031321409158408641815185546875	0.000001459083097272870311735351069037935900496449903585016727447509765625	0.0001453777340555514516716451023370382245047949254512786865234375	-2.0167497202030114	38.702141008217936	CCT3;CCT6A;CCT2;TUBA1C;TUBB6;TCP1;PFDN2;CCT8;CCT7;ACTB;CCT5;CCT4
mRNA Splicing - Major Pathway_Homo sapiens_R-HSA-72163	27/134	0.000000002376083921615925054723800053887473870961599686779663898050785064697265625	0.00000026041879780910538169638930063032322692606612690724432468414306640625	0.0000007323153465994600805981352108220416852191192447207868099212646484375	0.000089179735541445359137992243692139027189114131033420562744140625	-1.9168184162633053	38.06381996973366	SF3B4;SF3B3;SRRT;EIF4A3;DDX23;SRSF1;HNRNPU;PRPF19;ELAVL1;EFTUD2;PTBP1;U2AF2;SNRNP70;PCBP1;CSTF1;POLR2F;POLR2H;HNRNPA1;HNRNPA0;SF3A1;NCBP2;HNRNPL;HNRNPM;HNRNPK;PRPF3;SRSF2;SNRPA
