Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Z-score	Combined Score	Genes
Unfolded Protein Response (UPR)_Homo sapiens_R-HSA-381119	26/86	0.0000000000001280338115629696004684901105273278060074117201683208122631185688078403472900390625	0.000000000127009541070465832355632252394683941176811714512950857169926166534423828125	0.0000000000150915639171831725047359601771677288344075673620636734995059669017791748046875	0.000000014970831405845706607710189650108090209101874279440380632877349853515625	-2.0790094044961402	61.71847529151065	FKBP14;HERPUD1;HSP90B1;SERP1;DNAJB9;SEC62;TSPYL2;XBP1;HSPA5;WFS1;EDEM1;GFPT1;EIF2AK3;SYVN1;WIPI1;PDIA6;DNAJC3;DDIT3;DNAJB11;SRPRB;HYOU1;CALR;KDELR3;ATP6V0D1;ATF3;ATF4
IRE1alpha activates chaperones_Homo sapiens_R-HSA-381070	19/55	0.0000000000180968603736958159826863957680520393622725094928682665340602397918701171875	0.000000008976042745353124313822146024439974087982818673481233417987823486328125	0.000000001404071946346271158916407532555280235353478701654239557683467864990234375	0.000000696419685387750461735313634026312001878977753221988677978515625	-2.2033052074140054	54.49937707559419	TSPYL2;XBP1;HSPA5;WFS1;FKBP14;EDEM1;GFPT1;SYVN1;WIPI1;PDIA6;DNAJC3;SERP1;DNAJB11;SRPRB;DNAJB9;HYOU1;KDELR3;SEC62;ATP6V0D1
XBP1(S) activates chaperone genes_Homo sapiens_R-HSA-381038	18/53	0.00000000008539986405480823398724482864010428169454502977941956487484276294708251953125	0.000000028238888380789921188617833656443745216080287718796171247959136962890625	0.000000004772929352409470188673077111103648650924924368155188858509063720703125	0.000001578248639196731369842112424617397437032195739448070526123046875	-2.173348460543842	50.386207863568345	TSPYL2;XBP1;WFS1;FKBP14;EDEM1;GFPT1;SYVN1;WIPI1;PDIA6;DNAJC3;SERP1;DNAJB11;SRPRB;DNAJB9;HYOU1;KDELR3;SEC62;ATP6V0D1
Asparagine N-linked glycosylation_Homo sapiens_R-HSA-446203	33/259	0.00000215721744479369362384730927917342313548942911438643932342529296875	0.000534989926308835988220946600080196731141768395900726318359375	0.0000049964727688359044581282997210536223064991645514965057373046875	0.0012391252466713042514057097065460766316391527652740478515625	-2.0981515172929206	27.373935328740593	SEC23A;STX17;USO1;SEL1L;DERL2;UAP1;MIA3;MAGT1;AREG;GOLGA2;GMPPB;SLC17A5;ST3GAL1;CD55;PDIA3;TRAPPC2;ALG9;COG6;EDEM1;ALG5;GFPT1;ALG2;SYVN1;ALG12;ARFGAP3;BET1L;GOLGB1;CALR;KDELR3;SEC22B;SEC24D;SEC22A;BET1
ATF6-alpha activates chaperone genes_Homo sapiens_R-HSA-381183	6/10	0.00000355317618787849581700314695320574998049778514541685581207275390625	0.000704950155675093561961908061874737541074864566326141357421875	0.00006779869749359477247574456981737966998480260372161865234375	0.0096080439876637148410853939139997237361967563629150390625	-1.9404862808554146	24.348578879170635	XBP1;HSPA5;DDIT3;CALR;HSP90B1;ATF4
Membrane Trafficking_Homo sapiens_R-HSA-199991	43/420	0.00002155144022151986237206648666653308055174420587718486785888671875	0.0030541469571068145805181615060064359568059444427490234375	0.0000299522437905541848092612344789387179844197817146778106689453125	0.005285311233014572916688589288014554767869412899017333984375	-2.09853041647593	22.548851840478935	SEC23A;TMF1;STX17;TFRC;USO1;MIA3;SLC2A4;AREG;GOLGA2;KLC4;BLOC1S6;GOLGA5;KIF3B;KIF5C;FTH1;MYO6;UBC;SNAP29;CD55;TPD52;TRAPPC2;COG6;SURF4;VPS37C;ARFGAP3;AP4B1;KIF6;BET1L;RAB33B;RINT1;KIFC2;GOLGB1;RAB13;RAB18;PLIN3;KDELR3;SEC22B;SEC24D;CHMP7;SEC22A;RHOQ;CHMP5;BET1
Transmembrane transport of small molecules_Homo sapiens_R-HSA-382551	55/594	0.0000300298264971170158154321894183880203854641877114772796630859375	0.00372369848564250982558831992719206027686595916748046875	0.0000319676082642010456484789326925266550460946746170520782470703125	0.005285311233014572916688589288014554767869412899017333984375	-2.074931922348849	21.60692895196874	SLC27A1;ABCD3;ATP8A1;TFRC;SLC2A1;SLC7A11;MAGT1;SLC2A4;ABCC10;SLC2A8;HK1;FTH1;NIPAL3;SLC12A6;ABCD1;SLC16A3;ABCC3;SLC36A1;SLC30A6;TRPC1;TSC22D3;ANO8;ARHGEF9;SCNN1A;SLCO2A1;ATP6V0D1;SGK1;SLC26A2;SLC41A2;SLC41A1;NEDD4L;SLC1A4;SLC3A2;CLCN3;ADD3;CLCN2;UBC;ATP6V0A2;SLC17A5;HMOX1;ATP6V0A4;TRPM4;FGF21;ATP6V0A1;SLC35A2;PEX19;ATP8B2;SLC33A1;CTNS;SLC8B1;TPCN2;SLC4A8;SLC6A9;TRPV6;GNB4
Calnexin/calreticulin cycle_Homo sapiens_R-HSA-901042	6/15	0.0000674908128466658097967256768612287487485446035861968994140625	0.0074389873715436094503417052692384459078311920166015625	0.0003730883495271070625365350537094855098985135555267333984375	0.03364578570280819802551519615008146502077579498291015625	-2.1116560401806246	20.279329062398553	PDIA3;EDEM1;SEL1L;SYVN1;DERL2;CALR
ATF6-alpha activates chaperones_Homo sapiens_R-HSA-381033	6/12	0.00001427536661234329838101285437002019307328737340867519378662109375	0.0023601939465740921254843787124855225556530058383941650390625	0.00014459724367550682677489859440100872234324924647808074951171875	0.01593782952512252937271597375001874752342700958251953125	-1.7608657958800304	19.645935875395427	XBP1;HSPA5;DDIT3;CALR;HSP90B1;ATF4
Vesicle-mediated transport_Homo sapiens_R-HSA-5653656	46/492	0.000105037688626427342330170444650860872570774517953395843505859375	0.01041973871174159231578482120994522119872272014617919921875	0.00011983491635477174440914394093482542302808724343776702880859375	0.014859529627991696631994500421569682657718658447265625	-2.092788043877554	19.172431689190276	SEC23A;TMF1;STX17;TFRC;USO1;MIA3;SLC2A4;AREG;HSP90B1;GOLGA2;KLC4;BLOC1S6;GOLGA5;KIF3B;KIF5C;FTH1;MYO6;UBC;SNAP29;CD55;TPD52;TRAPPC2;COG6;SURF4;VPS37C;ARFGAP3;AP4B1;KIF6;BET1L;RAB33B;RINT1;KIFC2;GOLGB1;RAB13;RAB18;PLIN3;HYOU1;CALR;KDELR3;SEC22B;SEC24D;CHMP7;SEC22A;RHOQ;CHMP5;BET1
Glycolysis_Homo sapiens_R-HSA-70171	8/32	0.0001873823205908818471422672136128539932542480528354644775390625	0.01549027183551290008656220464899888611398637294769287109375	0.00057408655944581076825683485509443926275707781314849853515625	0.043807220536172634950400350817290018312633037567138671875	-2.2050881190923652	18.92485904023377	PFKFB4;PFKL;TPI1;PGAM1;PGK1;ALDOA;PFKP;HK1
N-glycan trimming in the ER and Calnexin/Calreticulin cycle_Homo sapiens_R-HSA-532668	6/17	0.00015245400825411286184311865365970106722670607268810272216796875	0.013748579653461816263426698014882276766002178192138671875	0.000638781724824577143949377866505301426514051854610443115234375	0.045262247930427178255197162570766522549092769622802734375	-2.130463861829425	18.72389609043472	PDIA3;EDEM1;SEL1L;SYVN1;DERL2;CALR
Glucose metabolism_Homo sapiens_R-HSA-70326	13/79	0.000217392773763966915857859252270145589136518537998199462890625	0.0165887408902965528822992524737856001593172550201416015625	0.0004784985213115532771098459274838887722580693662166595458984375	0.039555877761755071919669290991805610246956348419189453125	-1.9270165823045748	16.252081746199305	PFKFB4;TPI1;AGL;PGAM1;BPGM;HK1;GYS1;PFKL;GNPDA1;UBC;PGK1;ALDOA;PFKP
Metabolism_Homo sapiens_R-HSA-1430728	130/1908	0.0009869557688876929614496535947409938671626150608062744140625	0.0652706748491060917416461961693130433559417724609375	0.00030456824383467604420994145897338967188261449337005615234375	0.030213169788399864279515583120883093215525150299072265625	-2.1297420624445875	14.739700603525613	PI4K2B;SLC27A1;CERK;CPOX;MSMO1;LCLAT1;LIPE;OSBP;NUDT18;CYP1B1;CHP1;CHAC1;ACAD11;SLC16A3;PDK2;PDK1;CPT1A;GPT2;ALDH3A2;CYP39A1;ALDH3A1;POR;MTHFD2;ACOT2;TRIB3;FAR1;PFKFB4;SLC26A2;FECH;ABHD4;INSIG2;STXBP1;AK1;MGST1;PIK3R4;PIK3R3;AK4;MTMR4;MTM1;INPP5B;HELZ2;LDHA;UBC;ESD;PGK1;HMOX1;INPP5K;KDSR;NDUFV3;IP6K1;ST3GAL1;FGF21;CDK19;IDH1;MTHFR;ALDH6A1;GCLC;SLC6A8;AMACR;CYP2S1;ACER3;GNB4;HPSE;ALDH18A1;GCLM;LRP12;ALAS1;SLC2A1;CROT;SLC2A4;CSAD;HK1;GYS1;CPT2;AOX1;ABCD1;HIBCH;ACAD8;ABCC3;PCYT1B;TPI1;PCYT1A;CHPF2;PGAM1;AMT;CTPS2;BPGM;GPCPD1;SLC25A16;UGDH;LMBRD1;VCAN;RRM2B;PLIN3;ACOX3;ALDOA;MOCS1;SLC25A14;BCAT2;SEC23A;GDPD1;GLRX;SGMS2;PTGS2;HSD17B11;PTGS1;ARNTL;MAT2A;HAS1;CARNS1;NQO1;PNPLA8;AGL;TXNRD1;MOCOS;MBOAT2;SUOX;ASS1;GSTZ1;PDP1;PFKL;GNPDA1;GSTA4;CTH;GPD1L;LPIN1;SEC24D;GLA;PLCD1;PFKP
