Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Z-score	Combined Score	Genes
Asparagine N-linked glycosylation_Homo sapiens_R-HSA-446203	120/259	0.00000001426546814821082010927582217792164431813262126524932682514190673828125	0.00002097023817786990398568357230058012419249280355870723724365234375	0.000000268881875679096259468595607466934183094053878448903560638427734375	0.000395256357248271517935978014435249860980547964572906494140625	-2.1214686609837545	38.325230937335306	CMAS;MANEA;GOLGA2;TFG;NUDT14;PDIA3;NSF;ALG8;ST6GAL1;ALG6;SLC35C1;ALG2;ALG3;ANK2;CSNK1D;ALG12;ALG11;ALG1;ANK1;DHDDS;DPM1;DPM2;KDELR2;PREB;KDELR3;GNE;COPB2;TSTA3;COPA;LMAN2L;SAR1B;COPB1;RPN1;SEL1L;TGFA;NEU1;ST8SIA4;ST3GAL6;SPTBN1;SEC31A;MPDU1;EDEM3;TRAPPC2;SEC16B;TRAPPC3;TRAPPC1;PMM1;ST8SIA1;SEC16A;EDEM1;TRAPPC4;GFPT2;GFPT1;PMM2;GOLGB1;STT3A;CALR;CNIH2;COPE;B4GALT3;ARF1;B4GALT1;ST6GALNAC2;PRKCSH;MIA3;MAGT1;GMPPB;NANP;GMPPA;PPP6R3;PGM3;TMED3;TMED2;NANS;SPTAN1;SEC13;COPZ2;ARFGAP3;DYNLL2;SPTB;ARFGAP1;DDOST;BET1L;COPZ1;TRAPPC6A;F8;GORASP1;CANX;B4GALT6;SEC22A;B4GALT4;DCTN6;NAPB;RAB1A;SEC23A;GOSR2;RAB1B;DCTN3;USO1;GOSR1;DERL2;NPL;NAPG;GANAB;MGAT3;MAN1C1;MGAT1;YKT6;UGGT1;CD55;DYNC1I1;SEC24A;GBF1;SYVN1;ARCN1;DOLPP1;MGAT4A;COPG1;FOLR1;BET1
IRE1alpha activates chaperones_Homo sapiens_R-HSA-381070	32/55	0.000011702358988829469571102230573966807014585356228053569793701171875	0.0043006169283948299242315016499560442753136157989501953125	0.0004045683085548155478484988467613447937765158712863922119140625	0.06607949039728654161418575085917836986482143402099609375	-2.1794001864907084	24.74865853311315	ACADVL;FKBP14;GOSR2;SEC61A2;SEC61A1;SERP1;SEC61G;DNAJB9;SSR1;SEC61B;SEC31A;ZBTB17;KLHDC3;XBP1;HSPA5;WFS1;PLA2G4B;EDEM1;GFPT1;SYVN1;PPP2R5B;PDIA6;ARFGAP1;PDIA5;YIF1A;ERN1;DNAJB11;SRPRB;PREB;HYOU1;KDELR3;ATP6V0D1
Unfolded Protein Response (UPR)_Homo sapiens_R-HSA-381119	45/86	0.00001069332127046827458373944030878277544616139493882656097412109375	0.0043006169283948299242315016499560442753136157989501953125	0.0001953774191395376354403456975461494948831386864185333251953125	0.04102925801930290550245672420714981853961944580078125	-2.060375769593979	23.582836872804567	ACADVL;FKBP14;GOSR2;PARN;HERPUD1;HSP90B1;SEC61A2;SEC61A1;EXOSC4;SERP1;SEC61G;DNAJB9;SSR1;SEC61B;EXOSC1;SEC31A;ZBTB17;KLHDC3;XBP1;HSPA5;WFS1;PLA2G4B;NFYC;EDEM1;GFPT1;EIF2AK3;SYVN1;PPP2R5B;ASNS;PDIA6;ARFGAP1;PDIA5;YIF1A;ERN1;DDIT3;DNAJB11;SRPRB;PREB;HYOU1;CALR;KDELR3;ATP6V0D1;ATF3;DCP2;ATF4
ER to Golgi Anterograde Transport_Homo sapiens_R-HSA-199977	63/131	0.000008296236725180827556165412406397052791362511925399303436279296875	0.0043006169283948299242315016499560442753136157989501953125	0.00007977906992383967748304340883436225340119563043117523193359375	0.02807859021768406571073484201406245119869709014892578125	-1.9366622646800749	22.658384061548617	ARF1;MIA3;GOLGA2;TFG;PPP6R3;TMED3;TMED2;SPTAN1;NSF;SEC13;COPZ2;ANK2;CSNK1D;ARFGAP3;ANK1;DYNLL2;SPTB;ARFGAP1;BET1L;COPZ1;TRAPPC6A;F8;GORASP1;KDELR2;PREB;KDELR3;SEC22A;DCTN6;NAPB;COPB2;RAB1A;COPA;SEC23A;LMAN2L;SAR1B;COPB1;GOSR2;RAB1B;DCTN3;USO1;GOSR1;TGFA;NAPG;YKT6;CD55;DYNC1I1;SPTBN1;SEC31A;TRAPPC2;SEC16B;TRAPPC3;SEC24A;TRAPPC1;SEC16A;TRAPPC4;GBF1;ARCN1;GOLGB1;COPG1;CNIH2;FOLR1;COPE;BET1
XBP1(S) activates chaperone genes_Homo sapiens_R-HSA-381038	30/53	0.000045161429212948640279055856350254316566861234605312347412109375	0.0094839001347192149193876531398927909322082996368408203125	0.000845986212724884000489777857723083798191510140895843505859375	0.11305452115505267018935597889139899052679538726806640625	-2.1247923156391577	21.259114801752546	ACADVL;FKBP14;GOSR2;SEC61A2;SEC61A1;SERP1;SEC61G;DNAJB9;SSR1;SEC61B;SEC31A;ZBTB17;KLHDC3;XBP1;WFS1;PLA2G4B;EDEM1;GFPT1;SYVN1;PPP2R5B;PDIA6;ARFGAP1;PDIA5;YIF1A;DNAJB11;SRPRB;PREB;HYOU1;KDELR3;ATP6V0D1
Transport to the Golgi and subsequent modification_Homo sapiens_R-HSA-948021	73/162	0.00002925751563290587779612474117474363310975604690611362457275390625	0.007168091330061940151530119891276626731269061565399169921875	0.000113480058415870520391495468448539440942113287746906280517578125	0.02807859021768406571073484201406245119869709014892578125	-1.9803274926202885	20.67337948167031	B4GALT3;ARF1;B4GALT1;MIA3;MANEA;GOLGA2;TFG;PPP6R3;TMED3;TMED2;SPTAN1;NSF;SEC13;ST6GAL1;COPZ2;ANK2;CSNK1D;ARFGAP3;ANK1;DYNLL2;SPTB;ARFGAP1;BET1L;COPZ1;TRAPPC6A;F8;GORASP1;KDELR2;PREB;KDELR3;B4GALT6;SEC22A;B4GALT4;DCTN6;NAPB;COPB2;RAB1A;COPA;SEC23A;LMAN2L;SAR1B;COPB1;GOSR2;RAB1B;DCTN3;USO1;GOSR1;TGFA;NAPG;MGAT3;MAN1C1;MGAT1;YKT6;CD55;DYNC1I1;SPTBN1;SEC31A;TRAPPC2;SEC16B;TRAPPC3;SEC24A;TRAPPC1;SEC16A;TRAPPC4;GBF1;ARCN1;MGAT4A;GOLGB1;COPG1;CNIH2;FOLR1;COPE;BET1
COPI-mediated anterograde transport_Homo sapiens_R-HSA-6807878	41/78	0.0000225528356372211932095485364957454521572799421846866607666015625	0.00663053367734303157610131762567107216455042362213134765625	0.0003430178237700909175955654717427023570053279399871826171875	0.06302952511775421207129710410299594514071941375732421875	-1.8148321372473037	19.418068225481726	DCTN6;NAPB;COPB2;RAB1A;ARF1;COPA;COPB1;GOSR2;RAB1B;DCTN3;USO1;GOSR1;NAPG;GOLGA2;TMED3;TMED2;YKT6;SPTAN1;CD55;DYNC1I1;SPTBN1;NSF;GBF1;COPZ2;ANK2;ARFGAP3;ANK1;DYNLL2;SPTB;ARFGAP1;BET1L;COPZ1;ARCN1;GORASP1;GOLGB1;KDELR2;KDELR3;COPG1;FOLR1;COPE;BET1
Post-translational protein modification_Homo sapiens_R-HSA-597592	193/521	0.000218759858407445613448505383757947129197418689727783203125	0.0388564902549382862328997134682140313088893890380859375	0.0000201583619977354906553645985667344575631432235240936279296875	0.00987759737889039139691060853465387481264770030975341796875	-2.1365393111580984	18.005761889131456	MDC1;SPON1;PGAP1;CMAS;NUP107;SMC5;SMC3;GOLGA2;TFG;THSD7A;ARSA;ALG8;ST6GAL1;ALG6;SLC35C1;ALG2;ALG3;ANK2;CSNK1D;ALG1;ANK1;KDELR2;PREB;KDELR3;GNE;TSTA3;POM121;L3MBTL2;LMAN2L;SAR1B;EIF5A2;RPN1;TGFA;XPC;AAAS;ADAMTS10;DPH1;NUP85;DPH2;ARSK;NEU1;ST8SIA4;ARSI;NUP88;ST3GAL6;DPH7;SPTBN1;SEC31A;EDEM3;PMM1;ST8SIA1;EDEM1;PMM2;GOLGB1;CALR;PIGS;ARF1;PIGO;GPAA1;MIA3;MAGT1;BRCA1;PIGW;B3GNTL1;PIGX;ADAMTSL1;NANP;ADAMTSL4;TMED3;TMED2;NANS;SPTAN1;NDC1;SEC13;COPZ2;DYNLL2;COPZ1;PIGC;B3GNT9;F8;B3GNT8;B3GNT7;CANX;PIGL;GAS6;PIGF;PIGH;NAPB;SP100;USO1;GCNT1;DERL2;NPL;NAPG;MGAT3;MGAT1;YKT6;CD55;DYNC1I1;CDKN2A;GBF1;SYVN1;ARCN1;COPG1;NUPL2;GALNT12;PROS1;GALNT18;MANEA;GALNT10;NUDT14;PDIA3;NSF;ALG12;ALG11;DHDDS;DPM1;DPM2;COPB2;COPA;COPB1;SEL1L;MPDU1;TRAPPC2;CBX8;SEC16B;TRAPPC3;TRAPPC1;UBE2I;CBX4;NUP155;MUC16;SEC16A;TRAPPC4;GFPT2;GFPT1;GGCX;STT3A;MDM2;CNIH2;COPE;POMT2;B4GALT3;B4GALT1;ST6GALNAC2;PRKCSH;GMPPB;ADAMTS5;ADAMTS3;SENP5;ADAMTS1;SUMO3;GMPPA;PPP6R3;PGM3;ADAMTS9;EIF5A;ARFGAP3;SENP2;SPTB;ARFGAP1;DDOST;BET1L;ADAMTS20;TRAPPC6A;GORASP1;NUP50;B4GALT6;SEC22A;B4GALT4;DCTN6;RAB1A;SEC23A;GOSR2;RAB1B;DCTN3;GOSR1;THBS2;THSD1;THSD4;HDAC7;GANAB;MAN1C1;UGGT1;NOP58;SEC24A;GALNT3;RAD52;DOLPP1;MGAT4A;NUP35;FOLR1;BET1
EPH-Ephrin signaling_Homo sapiens_R-HSA-2682334	45/95	0.00023789687911186707040649135347365472625824622809886932373046875	0.0388564902549382862328997134682140313088893890380859375	0.001003549093477113483829921136702978401444852352142333984375	0.12293476395094639352922882835628115572035312652587890625	-1.9161846690911828	15.98801878324015	EPHB6;ARHGEF28;ARPC1A;CLTC;CLTA;WASL;SHB;EFNA5;KALRN;AP2A2;ACTB;MYL12A;CDC42;EFNB2;EFNB1;NCSTN;APH1B;EFNB3;CFL1;KDR;NCK2;FYN;MYH11;EPHB2;PAK3;MYH10;GIT1;EPHB3;VAV3;LYN;EPHA4;EPHA7;LIMK2;LIMK1;ADAM10;VAV2;VEGFA;TIAM1;ARPC2;ARPC3;MYH9;EPHA1;ARHGEF7;EPHA3;EPHA2
Diseases of signal transduction_Homo sapiens_R-HSA-5663202	110/288	0.00140919792285394630988737407761846043285913765430450439453125	0.135941184861121000526651414475054480135440826416015625	0.0005151793544491069416768613820067912456579506397247314453125	0.07573136510401871912545601617239299230277538299560546875	-2.3033156777867148	15.12065609126275	KLB;HDAC10;IRS1;MAML1;HDAC11;IRS2;FGF2;FGF5;PSMD9;MYC;PSMD2;PSMD3;TRIM24;PDGFRA;ADAM10;TSC2;GTF2F1;RBX1;BTC;RBP4;PSME3;RBP1;PSME4;PSMD10;VCP;PSMD12;PSMD11;PSMD14;DHH;MAPKAP1;SEL1L;PDGFB;FOXO1;NCSTN;APH1B;UBB;UBC;PLCG1;PSMF1;STAT5A;JAG2;CREBBP;JAG1;SMAD3;FZD5;FZD4;FZD6;ERLIN2;CDK8;FGF16;FGF18;NAPEPLD;MDM2;FGFR1OP;FGFR3;PRR5;GSK3B;HEY1;HEY2;NCBP1;CHUK;NCBP2;GAB1;PPP2R5B;PPP2R5A;NRG1;TGFBR1;NCOR1;KIT;AKT1S1;AMER1;HDAC1;DERL2;CBL;HDAC8;DLL1;PSMA7;PSMB10;EGFR;HDAC7;PPP2CA;PSMB6;PSMB2;CUX1;POLR2A;TNKS2;POLR2B;PSMB3;PSMB1;POLR2E;POLR2F;FYN;RICTOR;HES1;POLR2G;POLR2H;RPS27A;POLR2K;STAT1;EGF;BAD;STAT3;MIB2;SYVN1;MTOR;PSMB8;PSMC5;PSMC2;RPS6KB2;MAMLD1
