Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Z-score	Combined Score	Genes
VEGFR2 mediated vascular permeability_Homo sapiens_R-HSA-5218920	4/27	0.005930463689424194349830710137894129729829728603363037109375	0.98920475604779622980089470729581080377101898193359375	0.0024529934358602234478752279756008647382259368896484375	0.55735017918648199763964612429845146834850311279296875	-2.161423766432145	11.083030790465799	MAPKAP1;TRIB3;RICTOR;PAK3
Synthesis, secretion, and inactivation of Glucose-dependent Insulinotropic Polypeptide (GIP)_Homo sapiens_R-HSA-400511	3/13	0.004766152581772186043462813387350252014584839344024658203125	0.98920475604779622980089470729581080377101898193359375	0.0029594239324344739049121866258929003379307687282562255859375	0.55735017918648199763964612429845146834850311279296875	-1.9169454890165571	10.248404426318483	SPCS2;SEC11A;SEC11C
CD28 co-stimulation_Homo sapiens_R-HSA-389356	4/33	0.012156318925243221606979915350166265852749347686767578125	0.98920475604779622980089470729581080377101898193359375	0.0047227600461331731285241630757809616625308990478515625	0.55735017918648199763964612429845146834850311279296875	-2.199493419403708	9.699559597224233	MAPKAP1;TRIB3;RICTOR;PAK3
Synthesis of glycosylphosphatidylinositol (GPI)_Homo sapiens_R-HSA-162710	3/16	0.0087800383520022229344448305710102431476116180419921875	0.98920475604779622980089470729581080377101898193359375	0.0049156777242484427092872323328265338204801082611083984375	0.55735017918648199763964612429845146834850311279296875	-1.9449764224722677	9.20999726272627	PIGC;PIGF;PIGH
Synthesis, secretion, and inactivation of Glucagon-like Peptide-1 (GLP-1)_Homo sapiens_R-HSA-381771	3/20	0.0164842940865965494057210349865272291935980319976806640625	0.98920475604779622980089470729581080377101898193359375	0.00850890922732754247104214329056048882193863391876220703125	0.55735017918648199763964612429845146834850311279296875	-2.114088030199519	8.679065428046869	SPCS2;SEC11A;SEC11C
Synthesis, secretion, and deacylation of Ghrelin_Homo sapiens_R-HSA-422085	3/17	0.01044749033282381389664550397355924360454082489013671875	0.98920475604779622980089470729581080377101898193359375	0.00570499567692731891777047081859564059413969516754150390625	0.55735017918648199763964612429845146834850311279296875	-1.8775876413084949	8.564416042002492	SPCS2;SEC11A;SEC11C
Incretin synthesis, secretion, and inactivation_Homo sapiens_R-HSA-400508	3/23	0.024108231711337572977793541895152884535491466522216796875	0.98920475604779622980089470729581080377101898193359375	0.011994508287352857733853994659511954523622989654541015625	0.55735017918648199763964612429845146834850311279296875	-1.9786254914327286	7.370779503428645	SPCS2;SEC11A;SEC11C
Opioid Signalling_Homo sapiens_R-HSA-111885	6/81	0.0237183847853671379846129951829425408504903316497802734375	0.98920475604779622980089470729581080377101898193359375	0.005517264362414405799717176392960027442313730716705322265625	0.55735017918648199763964612429845146834850311279296875	-1.9544110649866782	7.312438385165739	GNAZ;GNAL;CDK5;PDE4D;PDE4B;ADCY5
DARPP-32 events_Homo sapiens_R-HSA-180024	3/24	0.0270050152081010748361666884420628775842487812042236328125	0.98920475604779622980089470729581080377101898193359375	0.0133126298109759455545741957394056953489780426025390625	0.55735017918648199763964612429845146834850311279296875	-2.0198610300319126	7.295198094817502	CDK5;PDE4D;PDE4B
CD28 dependent PI3K/Akt signaling_Homo sapiens_R-HSA-389357	3/22	0.0213891624859602787200874018935792264528572559356689453125	0.98920475604779622980089470729581080377101898193359375	0.01075507754215136897724125475406253826804459095001220703125	0.55735017918648199763964612429845146834850311279296875	-1.838091201420605	7.0672233923294225	MAPKAP1;TRIB3;RICTOR
