Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
Asparagine N-linked glycosylation_Homo sapiens_R-HSA-446203	114/259	6.383823726292963E-7	9.767250301228232E-4	0	0	1.4822510192101033	21.143315313676943	CMAS;MANEA;GOLGA2;TFG;NUDT14;PDIA3;ALG8;ST6GAL1;ALG6;SLC35C1;ALG2;ALG3;CSNK1D;ANK2;ALG12;ALG1;ALG11;ANK1;DHDDS;DPM1;DPM2;PREB;KDELR2;KDELR3;GNE;TSTA3;COPB2;COPA;LMAN2L;SAR1B;COPB1;RPN1;SEL1L;TGFA;NEU1;ST8SIA4;ST3GAL6;SPTBN1;SEC31A;MPDU1;EDEM3;CTSA;TRAPPC2;SEC16B;TRAPPC3;TRAPPC1;PMM1;ST8SIA1;EDEM1;SEC16A;TRAPPC4;GFPT2;PMM2;GFPT1;GOLGB1;STT3A;CALR;CNIH2;COPE;B4GALT3;ARF1;B4GALT1;ST6GALNAC2;PRKCSH;MAGT1;GMPPB;NANP;GMPPA;PPP6R3;PGM3;TMED2;NANS;SPTAN1;SEC13;COPZ2;DYNLL2;SPTB;COPZ1;ARFGAP1;BET1L;DDOST;F8;CANX;B4GALT6;SEC22A;B4GALT4;DCTN6;RAB1A;SEC23A;RAB1B;GOSR2;USO1;DCTN3;GOSR1;DERL2;NPL;NAPG;GANAB;MGAT3;MAN1C1;MGAT1;YKT6;UGGT1;DYNC1I1;CD55;SEC24A;GBF1;SYVN1;ARCN1;DOLPP1;MGAT4A;COPG1;FOLR1;BET1
rRNA processing_Homo sapiens_R-HSA-72312	84/180	1.064973813371458E-6	8.147049672291653E-4	0	0	1.5715328057473201	21.6125997490984	LTV1;RPL5;RPL30;DDX49;RPP30;RPLP1;RPLP0;NAT10;PWP2;RPL9;WDR46;RPL6;WDR43;RRP9;TRMT112;RPL35;RPL38;RPL37;RIOK1;UTP14A;RPP38;PELP1;RPL21;RPS8;RPL23;TEX10;ELAC2;RPL22;RPS6;WDR75;IMP4;CSNK1D;CSNK1E;DDX52;UTP18;SENP3;DIEXF;C1D;RPP21;NHP2;RPL24;RPL27;RPL26;RPP25;NOP2;RPL11;NOL9;NOC4L;NOL6;EXOSC10;EXOSC4;RPS15A;PDCD11;EXOSC9;PES1;BMS1;DHX37;WBSCR22;RRP36;RPS27A;EXOSC1;DCAF13;RPL19;NOP56;NOP14;NOP58;UTP6;TRMT10C;PNO1;KRR1;WDR18;RPP40;RPL35A;RPL23A;WDR12;BYSL;RCL1;BOP1;LAS1L;TSR1;NOL11;FAU;NOP10;MPHOSPH6
Mitochondrial translation initiation_Homo sapiens_R-HSA-5368286	46/84	1.3922285986619202E-6	7.100365853175793E-4	0	0	1.8441456393973654	24.867575115759923	MRPS17;MRPS15;MTFMT;MRPS33;MRPL19;MRPL38;MRPL16;MTIF2;MRPL37;MTIF3;MRPL15;MRPS30;MRPL12;MRPL35;MRPL13;MRPL32;MRPL10;MRPL33;MRPL55;MRPL11;MRPL20;MRPL2;MRPL40;MRPL1;MRPL9;PTCD3;MRPS26;MRPS24;MRPS22;MRPS23;MRPS18B;MRPL49;MRPL27;MRPS18A;MRPL48;MRPS7;MRPL45;MRPS5;MRPL43;MRPL21;MRPL44;MRPL22;MRPL30;MRPS9;MRPL50;AURKAIP1
Mitochondrial translation_Homo sapiens_R-HSA-5368287	48/90	2.2843717949171737E-6	8.73772211555819E-4	0	0	1.7960374922826514	23.329484419698193	MRPS17;MRPS15;MTFMT;MRPS33;MRPL19;MRPL38;MRPL16;MTIF2;MRPL37;MTIF3;MRPL15;MRPS30;MRPL12;MRPL35;MRPL13;MRPL32;MRPL10;MRPL33;MRPL55;MRPL11;MRPL20;MRPL2;MRPL40;MRPL1;MRPL9;PTCD3;TSFM;MRPS26;MRPS24;MRPS22;MRPS23;MRPS18B;MRPL49;MRPL27;MRPS18A;MRPL48;MRPS7;MRPL45;MRPS5;MRPL43;MRPL21;MRPL44;MRPL22;MRPL30;MRPS9;MRPL50;AURKAIP1;MRRF
Major pathway of rRNA processing in the nucleolus_Homo sapiens_R-HSA-6791226	76/166	8.106381264467476E-6	0.002480552666927048	0	0	1.5417791725920351	18.07405984329303	LTV1;RPL5;RPL30;DDX49;RPP30;RPLP1;RPLP0;PWP2;RPL9;WDR46;RPL6;WDR43;RRP9;RPL35;RPL38;RPL37;RIOK1;UTP14A;RPP38;PELP1;RPL21;RPS8;RPL23;TEX10;RPL22;RPS6;WDR75;IMP4;CSNK1D;CSNK1E;DDX52;UTP18;SENP3;DIEXF;C1D;RPP21;RPL24;RPL27;RPL26;RPP25;RPL11;NOL9;NOC4L;NOL6;EXOSC10;EXOSC4;RPS15A;PDCD11;EXOSC9;PES1;BMS1;DHX37;RRP36;RPS27A;EXOSC1;DCAF13;RPL19;NOP56;NOP14;NOP58;UTP6;PNO1;KRR1;WDR18;RPP40;RPL35A;RPL23A;WDR12;BYSL;RCL1;BOP1;LAS1L;TSR1;NOL11;FAU;MPHOSPH6
Unfolded Protein Response (UPR)_Homo sapiens_R-HSA-381119	45/86	9.084209325911607E-6	0.0023164733781074597	0	0	1.7621007373412643	20.45617969034193	ACADVL;FKBP14;GOSR2;PARN;HERPUD1;HSP90B1;SEC61A2;SEC61A1;TATDN2;EXOSC4;SEC61G;EXOSC9;SSR1;DNAJB9;CCL2;SEC61B;EXOSC1;SEC31A;KLHDC3;ZBTB17;XBP1;HSPA5;WFS1;PLA2G4B;NFYC;EDEM1;GFPT1;PPP2R5B;EIF2AK3;SYVN1;ASNS;PDIA5;ARFGAP1;YIF1A;ERN1;DDIT3;DNAJB11;PREB;HYOU1;KDELR3;CALR;ATP6V0D1;ATF3;DCP2;ATF4
Mitochondrial translation termination_Homo sapiens_R-HSA-5419276	44/84	1.0983096410212888E-5	0.00240059107251796	0	0	1.7639653942061757	20.142991000203885	MRPS17;MRPS15;MRPS33;MRPL19;MRPL38;MRPL16;MRPL37;MRPL15;MRPS30;MRPL12;MRPL35;MRPL13;MRPL32;MRPL10;MRPL33;MRPL55;MRPL11;MRPL20;MRPL2;MRPL40;MRPL1;MRPL9;PTCD3;MRPS26;MRPS24;MRPS22;MRPS23;MRPS18B;MRPL49;MRPL27;MRPS18A;MRPL48;MRPS7;MRPL45;MRPS5;MRPL43;MRPL21;MRPL44;MRPL22;MRPL30;MRPS9;MRPL50;AURKAIP1;MRRF
Mitochondrial translation elongation_Homo sapiens_R-HSA-5389840	44/84	1.0983096410212888E-5	0.002100517188453215	0	0	1.7639653942061757	20.142991000203885	MRPS17;MRPS15;MRPS33;MRPL19;MRPL38;MRPL16;MRPL37;MRPL15;MRPS30;MRPL12;MRPL35;MRPL13;MRPL32;MRPL10;MRPL33;MRPL55;MRPL11;MRPL20;MRPL2;MRPL40;MRPL1;MRPL9;PTCD3;TSFM;MRPS26;MRPS24;MRPS22;MRPS23;MRPS18B;MRPL49;MRPL27;MRPS18A;MRPL48;MRPS7;MRPL45;MRPS5;MRPL43;MRPL21;MRPL44;MRPL22;MRPL30;MRPS9;MRPL50;AURKAIP1
EPH-Ephrin signaling_Homo sapiens_R-HSA-2682334	47/95	3.8950735904647676E-5	0.006621625103790105	0	0	1.666061094814828	16.915872987155943	EPHB6;ARHGEF28;ARPC1A;CLTC;CLTA;WASL;SHB;EFNA5;AP2A2;KALRN;ACTB;MYL12A;EFNB2;CDC42;EFNB1;NCSTN;APH1B;EFNB3;CFL1;KDR;NCK2;MYH11;FYN;EPHB2;PAK2;MYH10;GIT1;EPHB3;VAV3;LYN;ACTR2;EPHA4;EPHA7;MMP2;LIMK2;ADAM10;AP2B1;VAV2;VEGFA;TIAM1;ARPC2;ARPC3;MYH9;EPHA1;ARHGEF7;EPHA3;EPHA2
rRNA modification in the nucleus_Homo sapiens_R-HSA-6790901	32/58	4.4770319001073786E-5	0.00684985880716429	0	0	1.8579698196027428	18.605645042587085	DDX49;NOP2;NAT10;NOC4L;PWP2;WDR46;WDR43;RRP9;NOL6;TRMT112;PDCD11;BMS1;DHX37;WBSCR22;RRP36;UTP14A;DCAF13;NOP56;NOP58;NOP14;UTP6;KRR1;RPS6;WDR75;IMP4;DDX52;UTP18;DIEXF;RCL1;NHP2;NOL11;NOP10
IRE1alpha activates chaperones_Homo sapiens_R-HSA-381070	30/55	1.0201542489902969E-4	0.014189418190501402	0	0	1.8368565261981662	16.88142147887704	ACADVL;FKBP14;GOSR2;SEC61A2;SEC61A1;TATDN2;SEC61G;SSR1;DNAJB9;SEC61B;SEC31A;KLHDC3;ZBTB17;XBP1;HSPA5;WFS1;PLA2G4B;EDEM1;GFPT1;PPP2R5B;SYVN1;PDIA5;ARFGAP1;YIF1A;ERN1;DNAJB11;PREB;HYOU1;KDELR3;ATP6V0D1
Metabolism of proteins_Homo sapiens_R-HSA-392499	373/1074	1.4109775149411736E-4	0.017989963315499964	0	0	1.1695565373977461	10.369355667703202	EIF4A2;MDC1;EIF4A1;RPL5;APP;SPON1;RPL30;PGAP1;NUP107;CMAS;SMC5;SMC3;ZDHHC2;RPL9;ACTB;DCAF7;RPL6;GOLGA2;TFG;GNAT2;ANPEP;RPL35;LONP2;FBXO6;RPL38;THSD7A;RPL37;ARSA;ALG8;ST6GAL1;ALG6;RPL21;RPL23;RPL22;SLC35C1;ALG2;ALG3;CSNK1D;ANK2;ALG1;BCS1L;HSPG2;ANK1;DDIT3;PAPPA;RPL24;PREB;KDELR2;RPL27;VDAC1;KDELR3;RPL26;ATP6V0D1;ATF3;ATF4;GNE;TSTA3;POM121;L3MBTL2;LMAN2L;SAR1B;RPN1;EIF5A2;GATA6;CDCA8;TGFA;GATA4;AAAS;ADAMTS10;NUP85;DPH1;DPH2;ARSK;NEU1;ST8SIA4;ARSI;SSR1;ST3GAL6;NUP88;SPTBN1;SEC31A;EDEM3;CTSA;XBP1;PHC2;PMM1;ST8SIA1;EDEM1;PMM2;EIF2AK3;IGF2;RAB27A;IGF1;GNG11;CS;CCT6A;GOLGB1;HYOU1;CALR;PIGS;ARF1;TRAM1;PIGT;PIGO;GPAA1;FKBP14;RPLP1;RPLP0;HSCB;MAGT1;PIGW;PIGX;HERPUD1;ADAMTSL1;TRMT112;NANP;TUBA1A;SEC61G;FFAR4;CTSH;TMED2;SEC61B;NANS;SPTAN1;NDC1;CCT2;SEC13;MME;PARP1;EXOC7;COPZ2;DYNLL2;SRP9;COPZ1;F8;TUBB2B;B3GNT9;TUBB2A;B3GNT8;B3GNT7;INCENP;CANX;EXOC6;PIGL;PABPC1;KIFC3;GAS6;EXOC2;DCP2;EXOC1;SP100;TIMM9;RPL11;USO1;GCNT1;DERL2;TIMM10;NPL;GNAI1;NAPG;GGA2;CST3;GGA1;GGA3;EXOSC4;SAMM50;RPS15A;SRP72;EXOSC9;MGAT3;MGAT1;CCT8;RPS27A;CCT7;YKT6;EXOSC1;DYNC1I1;CD55;CCT5;CCT4;RPL19;CDKN2A;MTX2;NFYC;STAT3;GBF1;SYVN1;DOHH;SNCAIP;TUBB4A;YIF1A;ARCN1;SPCS3;MSRB2;TOMM7;COPG1;FAU;NUPL2;TOMM5;TOMM6;N6AMT1;GALNT12;PROS1;GALNT18;APEH;TOMM20;MANEA;GALNT10;TOMM22;EEF1B2;CHCHD2;TATDN2;KIF5C;TUBB3;PMPCB;NUDT14;PDIA3;SLC30A6;RPS8;IGFBP4;IGFBP3;RPS6;IGFBP2;PAM16;ALG12;ALG11;PDIA5;PIAS1;DHDDS;ERN1;DPM1;DPM2;DNAJB11;FKBP9;COX19;COPB2;CALCA;COPA;COPB1;SEL1L;ARL2;CSF2RA;HSP90B1;UBB;UBC;MPDU1;TRAPPC2;CBX8;ZBTB17;SEC16B;TRAPPC3;EIF2B4;KLHDC3;EIF2B3;UBE2I;TRAPPC1;NUP155;MUC16;CBX4;HSPA5;WFS1;GFPT2;SEC16A;TRAPPC4;GFPT1;ASNS;INHBB;INHBA;EEF2;GNAO1;GGCX;MDM2;STT3A;PDCL;ACO2;GNB5;CNIH2;COPE;EIF4G1;WRAP53;B4GALT3;ACADVL;ST6GALNAC2;B4GALT1;PRKCSH;ATP5G1;SEC61A2;GMPPB;SEC61A1;ADAMTS5;ADAMTS3;SENP5;ADAMTS1;SUMO3;PPP6R3;GMPPA;PGM3;TIMM17A;EIF2B1;ADAMTS9;TSHB;ADAMTS7;EIF5A;PLA2G4B;MMP2;PPP2R5B;RANGAP1;SENP2;SPTB;DDOST;ARFGAP1;BET1L;ADAMTS20;EEF1G;ADORA2A;EEF1D;NUP50;PFDN2;B4GALT6;SEC22A;FXN;B4GALT4;PFDN6;PAPPA2;DCTN6;RAB1A;SEC23A;HIST1H2BJ;GOSR2;RAB1B;DCTN3;GOSR1;PARN;THBS2;THSD1;THSD4;AURKA;HDAC7;HSPD1;GANAB;GNG3;P2RY2;MAN1C1;CCL2;DNAJB9;NUP43;UGGT1;SNCA;NOP56;NOP58;SEC24A;GALNT3;IDH3G;CCDC59;RPL35A;RPL23A;KLF4;RAD52;EIF3L;EIF3I;DOLPP1;MGAT4A;TOMM70A;EIF3G;EIF3H;NUP35;EIF3E;RGS11;EIF3D;FOLR1;EIF3A;EIF3B;BET1
XBP1(S) activates chaperone genes_Homo sapiens_R-HSA-381038	28/53	3.515400267061161E-4	0.04137355698925828	0	0	1.7790937423554567	14.149465186496474	ACADVL;FKBP14;GOSR2;SEC61A2;SEC61A1;TATDN2;SEC61G;SSR1;DNAJB9;SEC61B;SEC31A;KLHDC3;ZBTB17;XBP1;WFS1;PLA2G4B;EDEM1;GFPT1;PPP2R5B;SYVN1;PDIA5;ARFGAP1;YIF1A;DNAJB11;PREB;HYOU1;KDELR3;ATP6V0D1
Post-translational protein modification_Homo sapiens_R-HSA-597592	190/521	4.448582158097806E-4	0.04861664787064031	0	0	1.22809665379212	9.478149019947852	GALNT12;MDC1;SPON1;PGAP1;NUP107;CMAS;PROS1;GALNT18;SMC5;SMC3;MANEA;GALNT10;GOLGA2;TFG;THSD7A;NUDT14;PDIA3;ARSA;ALG8;ST6GAL1;ALG6;SLC35C1;ALG2;ALG3;CSNK1D;ANK2;ALG12;ALG1;ALG11;ANK1;PIAS1;DHDDS;DPM1;DPM2;PREB;KDELR2;KDELR3;GNE;TSTA3;COPB2;POM121;COPA;L3MBTL2;LMAN2L;SAR1B;COPB1;RPN1;EIF5A2;SEL1L;CDCA8;TGFA;AAAS;ADAMTS10;NUP85;DPH1;DPH2;ARSK;NEU1;ST8SIA4;ARSI;ST3GAL6;NUP88;SPTBN1;MPDU1;SEC31A;EDEM3;TRAPPC2;CTSA;CBX8;SEC16B;TRAPPC3;PHC2;TRAPPC1;UBE2I;PMM1;NUP155;MUC16;CBX4;ST8SIA1;EDEM1;SEC16A;TRAPPC4;GFPT2;PMM2;GFPT1;EEF2;GGCX;GOLGB1;MDM2;STT3A;CALR;CNIH2;COPE;PIGS;B4GALT3;ARF1;PIGT;ST6GALNAC2;B4GALT1;PIGO;GPAA1;PRKCSH;MAGT1;PIGW;PIGX;ADAMTSL1;GMPPB;ADAMTS5;NANP;ADAMTS3;SENP5;ADAMTS1;SUMO3;PPP6R3;GMPPA;PGM3;TMED2;NANS;ADAMTS9;SPTAN1;ADAMTS7;NDC1;EIF5A;SEC13;PARP1;COPZ2;RANGAP1;SENP2;DYNLL2;SPTB;COPZ1;BET1L;DDOST;ARFGAP1;ADAMTS20;F8;B3GNT9;B3GNT8;B3GNT7;INCENP;NUP50;CANX;PIGL;GAS6;B4GALT6;SEC22A;B4GALT4;DCTN6;RAB1A;SEC23A;SP100;RAB1B;GOSR2;USO1;GCNT1;DCTN3;GOSR1;DERL2;NPL;THBS2;THSD1;THSD4;NAPG;HDAC7;AURKA;GANAB;MGAT3;MAN1C1;MGAT1;NUP43;YKT6;UGGT1;DYNC1I1;CD55;NOP58;SEC24A;GALNT3;CDKN2A;GBF1;SYVN1;DOHH;ARCN1;RAD52;DOLPP1;MGAT4A;NUP35;COPG1;NUPL2;FOLR1;BET1
Calnexin/calreticulin cycle_Homo sapiens_R-HSA-901042	11/15	6.071066411178562E-4	0.06192487739402133	0	0	2.4695515518886455	18.291489490900062	PDIA3;EDEM3;GANAB;PRKCSH;EDEM1;SEL1L;CANX;SYVN1;DERL2;CALR;UGGT1
PCP/CE pathway_Homo sapiens_R-HSA-4086400	42/91	6.517024814228604E-4	0.06231904978606103	0	0	1.5542632144753716	11.401954357016233	PSMD12;PSMD11;PSMD14;CLTC;CLTA;ARRB2;PRICKLE1;AP2A2;PSMB10;PSMA7;PSMB6;PSMD9;WNT11;UBB;PSMB2;PSMB3;PSMD2;PSMD3;UBC;PSMB1;DVL2;DVL3;PSMF1;RPS27A;WNT4;FZD2;WNT5B;FZD5;FZD4;FZD7;WNT5A;FZD6;AP2B1;PSMB8;PSMC5;VANGL2;DAAM1;PSMA2;PSME3;PSME4;PSMC2;ROR1
Diseases of signal transduction_Homo sapiens_R-HSA-5663202	111/288	7.455862296610591E-4	0.06710276066949532	0	0	1.297917719032385	9.34674647990437	KLB;HDAC10;MAML1;IRS1;IRS2;FGF2;FGF5;PSMD9;PPP2R1A;MYC;PSMD2;PSMD3;TRIM24;PDGFRA;ADAM10;TSC2;GTF2F1;RBX1;BTC;RBP4;PSME3;RBP1;PSME4;MAML3;VCP;PSMD12;PSMD11;PSMD14;DHH;SEL1L;PDGFB;FOXO1;NCSTN;APH1B;UBB;UBC;PLCG1;PSMF1;JAG2;STAT5A;CREBBP;JAG1;SMAD3;FZD5;FZD4;FZD6;ERLIN2;FGF16;CDK8;FGF18;NAPEPLD;MDM2;FGFR1OP;FGFR3;PRR5;GSK3B;HEY1;HEY2;NCBP1;CHUK;NCBP2;GAB1;PPP2R5B;PPP2R5A;NRG1;NCOR2;KAT2A;PSMA2;NRG4;KIT;AKT1S1;AMER1;HDAC1;DERL2;CBL;HDAC8;DLL1;PSMA7;EGFR;PSMB10;HDAC7;PPP2CA;PSMB6;CUX1;PSMB2;TNKS2;POLR2A;PSMB3;POLR2B;PSMB1;POLR2E;POLR2F;HES1;POLR2G;FYN;TBL1X;POLR2H;RPS27A;POLR2K;STAT1;EGF;BAD;STAT3;SYVN1;MIB2;PSMB8;MTOR;PSMC5;PSMC2;RPS6KB2;MAMLD1
tRNA processing_Homo sapiens_R-HSA-72306	46/103	8.976460233345101E-4	0.07629991198343336	0	0	1.503963434071638	10.55140852826152	POP5;TRMU;POM121;NUP107;POP1;TSEN15;RPP30;RTCB;WDR4;ZBTB8OS;EPRS;AAAS;THG1L;TRMT112;NUP85;TYW1;NUP88;NUP43;TRMT44;RPP38;TRDMT1;NDC1;TRMT10C;TYW5;CPSF1;NUP155;METTL1;PUS1;NSUN2;ELAC2;RPP40;ADAT1;TRMT1;TRNT1;PUS7;TRIT1;ADAT3;CTU1;XPOT;NUP50;TRMT6;RPP21;NUP35;RPP25;NUPL2;RAN
Formation of TC-NER Pre-Incision Complex_Homo sapiens_R-HSA-6781823	27/53	9.357942869075702E-4	0.07535606626150433	0	0	1.715554680128476	11.964475430006067	COPS7B;PRPF19;POLR2A;UBB;POLR2B;UBC;POLR2E;POLR2F;POLR2G;POLR2H;RPS27A;POLR2K;HMGN1;USP7;AQR;RBX1;DDB1;COPS4;COPS3;XAB2;COPS5;UVSSA;ERCC2;PPIE;ERCC6;COPS8;MNAT1
EPH-ephrin mediated repulsion of cells_Homo sapiens_R-HSA-3928665	25/48	9.450691591607209E-4	0.07229779067579514	0	0	1.753942863557277	12.214900882674048	EPHB6;CLTC;CLTA;EFNA5;AP2A2;EFNB2;EFNB1;NCSTN;APH1B;EFNB3;FYN;EPHB2;EPHB3;LYN;VAV3;EPHA4;EPHA7;MMP2;ADAM10;AP2B1;VAV2;TIAM1;EPHA1;EPHA3;EPHA2
