Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
Extracellular matrix organization_Homo sapiens_R-HSA-1474244	39/283	3.196327885709369E-8	4.890381665135334E-5	0	0	2.632458209725921	45.43274892913926	DDR1;FBN2;SPARC;SDC4;COL11A1;SERPINE1;PDGFB;LTBP4;FBLN1;F11R;FBLN5;LOXL2;ADAMTS5;EFEMP1;ADAMTS3;CDH1;ADAMTS1;KDR;ADAMTS9;TGFB2;COL27A1;TGFB3;DCN;BMP2;MMP13;COL4A2;COL4A1;P4HA2;COL6A2;MMP17;COL5A2;COL6A1;COL8A2;COL4A6;COL4A5;ITGA7;P4HB;FMOD;MATN3
Glycosaminoglycan metabolism_Homo sapiens_R-HSA-1630316	19/121	1.675406160345251E-5	0.012816857126641169	0	0	2.999518498346318	32.985314524882455	CEMIP;B4GALT1;SDC4;ABCC5;GXYLT2;HS6ST1;HS6ST2;DCN;PAPSS2;HS3ST1;B3GNT7;CHST12;CHST15;GPC3;CHP1;GPC2;FMOD;CHST2;B4GALT4
Assembly of collagen fibrils and other multimeric structures_Homo sapiens_R-HSA-2022090	12/54	1.770548911907605E-5	0.009029799450728786	0	0	4.244932611694789	46.44650683111477	COL27A1;MMP13;COL4A2;COL4A1;COL6A2;COL11A1;COL6A1;COL5A2;COL8A2;COL4A6;COL4A5;LOXL2
Collagen biosynthesis and modifying enzymes_Homo sapiens_R-HSA-1650814	13/63	1.8723528256536547E-5	0.007161749558125229	0	0	3.9417231394308754	42.90853236991929	COL27A1;COL11A1;ADAMTS3;COL4A2;COL4A1;P4HA2;COL6A2;COL6A1;COL5A2;COL8A2;COL4A6;COL4A5;P4HB
Collagen formation_Homo sapiens_R-HSA-1474290	15/85	3.149473827111871E-5	0.009637389910962326	0	0	3.370975897522333	34.94249137062991	COL27A1;COL11A1;LOXL2;ADAMTS3;MMP13;COL4A2;COL4A1;P4HA2;COL6A2;COL6A1;COL5A2;COL8A2;COL4A6;COL4A5;P4HB
Developmental Biology_Homo sapiens_R-HSA-1266738	68/786	3.2433236460678375E-5	0.008270475297472985	0	0	1.6526073526445362	17.08188974217568	EPHB6;IRS2;FGF5;HHEX;CDH2;BOC;NCK2;KDR;JAK2;EPHB2;SPTAN1;VAV3;EPHA4;MEF2C;EPHA7;KSR1;UNC5B;PPP2R5B;NRG1;ANK2;GFRA1;SPTB;DUSP6;RHOB;ENAH;COL4A2;COL4A1;COL6A2;KIT;COL6A1;HOXB4;COL4A5;HOXB2;EZR;EPHA2;CEBPD;SEMA3A;PDGFB;GATA6;ADAM22;LPL;SEMA3E;KALRN;CSF2RA;EGFR;CACNA1G;RASGRP3;EFNB1;PSMB3;ADAM23;UBC;ST8SIA4;HOXC4;SLIT3;POLR2G;SRGAP1;LYN;SEMA4A;LIMK2;STAT3;LGI2;KLF4;PBX1;PSMB8;MAFB;PLXNB3;FGFR3;FOXA2
Axon guidance_Homo sapiens_R-HSA-422475	49/515	4.073283876253944E-5	0.008903034758097906	0	0	1.8174905648130115	18.37205964857205	EPHB6;IRS2;FGF5;NCK2;KDR;JAK2;EPHB2;SPTAN1;VAV3;EPHA4;EPHA7;KSR1;UNC5B;PPP2R5B;NRG1;ANK2;GFRA1;SPTB;DUSP6;RHOB;ENAH;COL4A2;COL4A1;COL6A2;KIT;COL6A1;COL4A5;EZR;EPHA2;SEMA3A;PDGFB;SEMA3E;KALRN;CSF2RA;EGFR;CACNA1G;RASGRP3;EFNB1;PSMB3;UBC;ST8SIA4;SLIT3;SRGAP1;LYN;SEMA4A;LIMK2;PSMB8;PLXNB3;FGFR3
Diseases of glycosylation_Homo sapiens_R-HSA-3781865	14/88	1.8240854425185756E-4	0.034885634088167757	0	0	3.0389858470087696	26.16342427088032	SDC4;MUC16;DCN;ADAMTS10;THSD4;ADAMTS20;ADAMTS5;ADAMTS3;ADAMTS1;GPC3;GPC2;THSD7A;FMOD;ADAMTS9
Elastic fibre formation_Homo sapiens_R-HSA-1566948	9/41	2.190765893614902E-4	0.03724302019145334	0	0	4.193165140820462	35.331983365049204	FBN2;TGFB2;BMP2;EFEMP1;TGFB3;LTBP4;FBLN1;FBLN5;LOXL2
Transport to the Golgi and subsequent modification_Homo sapiens_R-HSA-948021	20/162	3.185709722606544E-4	0.04874135875588013	0	0	2.358295895385994	18.98820916889433	RAB1A;ST6GAL1;COPA;SEC23A;B4GALT1;SAR1B;TGFA;ANK2;SPTB;ARFGAP1;TFG;MAN1C1;MGAT3;TMED2;COPG1;SPTAN1;FOLR1;B4GALT4;DYNC1I1;SEC31A
