Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
Developmental Biology_Homo sapiens_R-HSA-1266738	73/786	1.3681043115431444E-6	0.002093199596661011	0	0	1.774122599162517	23.9543532304738	EPHB6;ROBO2;IRS1;ITGB3;PCSK6;ROBO1;FGF5;HHEX;CDH2;DPYSL5;ZIC3;BOC;NCK2;KDR;JAK2;EPHB2;CDON;EOMES;VAV3;EPHA4;MEF2C;EPHA7;UNC5B;PPP2R5B;UNC5C;ANK2;GFRA1;SPTB;DUSP6;RHOB;ENAH;COL4A2;COL4A1;COL6A2;KIT;HOXB4;HOXB3;HOXB2;EPHA1;EZR;EPHA3;EPHA2;CEBPD;EPAS1;PDGFB;GATA6;ADAM22;LPL;SEMA3E;CSF2RA;EGFR;CACNA1G;RASGRP3;EFNB1;ADAM23;ST8SIA4;HOXC4;SLIT3;SRGAP1;PLXNA4;LYN;SEMA4A;LGI2;KLF4;PSMB8;FGF16;MAFB;FGF18;PLXNB3;HOXD4;TEK;FGFR3;FOXA2
Extracellular matrix organization_Homo sapiens_R-HSA-1474244	35/283	2.140689414483312E-6	0.0016376274020797337	0	0	2.3624624959078777	30.840489357638923	DDR1;FBN2;COL15A1;SPARC;COL11A1;ITGB3;COL12A1;PDGFB;FBLN1;F11R;FBLN5;LOXL2;ADAMTS5;EFEMP1;ADAMTS3;CDH1;ADAMTS1;KDR;ITGB8;ADAMTS9;TGFB2;COL27A1;TGFB3;DCN;BMP2;MMP13;COL4A2;COL4A1;COL6A2;MMP17;COL5A2;COL8A2;COL4A6;FMOD;MATN3
Defective B3GALTL causes Peters-plus syndrome (PpS)_Homo sapiens_R-HSA-5083635	10/37	1.4121614602466707E-5	0.007202023447258021	0	0	5.162755879088258	57.656645673971255	ADAMTS5;ADAMTS3;ADAMTS1;THSD7A;THBS2;THSD1;ADAMTS9;THSD4;ADAMTS10;ADAMTS20
O-glycosylation of TSR domain-containing proteins_Homo sapiens_R-HSA-5173214	10/38	1.827121771408421E-5	0.00698874077563721	0	0	5.026893882270145	54.84433488552879	ADAMTS5;ADAMTS3;ADAMTS1;THSD7A;THBS2;THSD1;ADAMTS9;THSD4;ADAMTS10;ADAMTS20
Axon guidance_Homo sapiens_R-HSA-422475	50/515	2.0070578919659267E-5	0.006141597149415735	0	0	1.8545822089928692	20.059635111964212	EPHB6;ROBO2;IRS1;ITGB3;ROBO1;FGF5;DPYSL5;NCK2;KDR;JAK2;EPHB2;VAV3;EPHA4;EPHA7;UNC5B;PPP2R5B;UNC5C;ANK2;GFRA1;SPTB;DUSP6;RHOB;ENAH;COL4A2;COL4A1;COL6A2;KIT;EPHA1;EZR;EPHA3;EPHA2;PDGFB;SEMA3E;CSF2RA;EGFR;CACNA1G;RASGRP3;EFNB1;ST8SIA4;SLIT3;SRGAP1;PLXNA4;LYN;SEMA4A;PSMB8;FGF16;FGF18;PLXNB3;TEK;FGFR3
Elastic fibre formation_Homo sapiens_R-HSA-1566948	10/41	3.755140957284751E-5	0.009575609441076114	0	0	4.659072378689403	47.47501405595931	FBN2;TGFB2;BMP2;EFEMP1;TGFB3;ITGB3;ITGB8;FBLN1;FBLN5;LOXL2
Diseases of glycosylation_Homo sapiens_R-HSA-3781865	15/88	4.798511401226327E-5	0.010488174919823259	0	0	3.256056264652253	32.38024133856317	MUC16;THBS2;THSD1;DCN;ADAMTS10;THSD4;ADAMTS20;ADAMTS5;ADAMTS3;ADAMTS1;GPC3;GPC2;THSD7A;FMOD;ADAMTS9
O-linked glycosylation_Homo sapiens_R-HSA-5173105	17/110	5.6497893034020544E-5	0.010805222042756428	0	0	2.9521576799513762	28.87596120569389	GALNT12;ST6GAL1;MUC16;GALNT18;GCNT1;THBS2;THSD1;ADAMTS10;THSD4;ADAMTS20;ADAMTS5;B3GNT9;ADAMTS3;B3GNT7;ADAMTS1;THSD7A;ADAMTS9
Assembly of collagen fibrils and other multimeric structures_Homo sapiens_R-HSA-2022090	11/54	9.225535945397345E-5	0.015683411107175485	0	0	3.89118822738689	36.15283596036676	COL15A1;COL27A1;MMP13;COL4A2;COL4A1;COL6A2;COL11A1;COL5A2;COL8A2;COL4A6;LOXL2
Molecules associated with elastic fibres_Homo sapiens_R-HSA-2129379	8/30	1.1445557302375761E-4	0.017511702672634914	0	0	5.093919134033747	46.228965648091176	TGFB2;BMP2;EFEMP1;TGFB3;ITGB3;ITGB8;FBLN1;FBLN5
