Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Z-score	Combined Score	Genes
IRF9 OE human GSE50002 sample 1657	104/349	0.0000000000000000000000000000000000000000000000000274060190420646580620649665619253460020241599330295960185240275441274838250004967180611868239864081515516420596188140967503789856285489889842210686765611171722412109375	0.0000000000000000000000000000000000000000000000672817767482687358984532833755191774652158977441610515087627063815809090258679690989280223020670504758012411977921986110107166467741990345530211925506591796875	0.00000000000000000000000000000000000000000000000000000000001660233872669679914183862544413326464561883629262274468171576612378941533391571440197200916712047355860753638905000802573358699124974285616658154396581281719846856503863818943500518798828125	0.00000000000000000000000000000000000000000000000000000004075874157404064388519791970921138421810861836447780166894438589331793378879042647204799345551353806985753655602188288872555269596121551851745923311653996279346756637096405029296875	-1.7006736037535382	194.08270342248917	RB1;NARF;DGKA;PLOD2;ZFYVE1;ERO1L;SESN3;CAPN5;NEK1;CHAC1;MAF1;PDK2;PDK1;PIAS3;BNIP3L;GPT2;GOLPH3L;DYRK1B;ATG13;CYP39A1;DOPEY2;DDIT4;ACOT2;ELMO1;TXNIP;ULK2;TRIB3;NUPR1;ZFP9;ATF3;PRR13;ABHD4;DAPP1;SLC1A4;HOXB13;PHF21A;APH1B;MYO6;CCDC18;CDK19;XBP1;IDH1;RAB39B;KLHL24;SMARCA2;WDR54;SLC6A9;CYP2S1;CREBRF;PXMP4;SFXN4;TTC26;CDKN1A;CALCOCO1;ERO1LB;CROT;MAGT1;HERPUD1;PCMTD2;TCP11L2;ABCD1;BBS4;TRP53INP1;2700097O09RIK;SMIM14;VWA5A;ARFGAP3;RBL2;PLIN3;STX5A;BCAT2;GDPD1;TOB1;FAM117B;PTGS1;CIART;FBXL20;IL1RL1;ERBB3;SLC17A5;STOM;ZFP260;DRAM2;AAED1;PEX19;SGTB;BNIP3;NICN1;MOK;PNRC1;VEGFA;DHRS7;GSTA4;CTH;CCNG2;NBR1;PDCD4;ASB7;LPIN1;YPEL5;NUCB2;YPEL3;PLCD1;PFKP
BST2 OE human GSE50002 sample 1646	99/319	0.00000000000000000000000000000000000000000000000011294611098708478187036866261579439162547394894826823870925525222899308577264098983781865438674937726953799356616467417023345898297037592783453874289989471435546875	0.0000000000000000000000000000000000000000000001386413512366465772663671880026482237190771498270693291586157623380854260795025677624969169304252985525880810654267088176394562282212064019404351711273193359375	0.00000000000000000000000000000000000000000000000000000000053174785805075079209221919397811349954310855670161331929396872214953121936818222609139593018170151326351109333597370148479391068663575336769068491182821389884338714182376861572265625	0.000000000000000000000000000000000000000000000000000000435146997171531018451777428085188663641874136434220690290925347162616492905394477432014745077027858647207886746694886013550098848731381186161204510653988108970224857330322265625	-1.6913521208658502	190.62372058058736	RB1;NARF;DGKA;PLOD2;ZFYVE1;ERO1L;SESN3;DHX57;CAPN5;NEK1;CHAC1;MAF1;PDK2;PDK1;PIAS3;GPT2;GOLPH3L;DYRK1B;TICAM1;ATG13;CYP39A1;DDIT4;ACOT2;ELMO1;TXNIP;TRIB3;NUPR1;ZFP9;PRR13;ZC4H2;DAPP1;HOXB13;PHF21A;CCDC18;CDK19;IDH1;RAB39B;KLHL24;FBXO32;SMARCA2;WDR54;SLC6A9;CYP2S1;CREBRF;PXMP4;SFXN4;ALDH18A1;TTC26;CDKN1A;CALCOCO1;ERO1LB;SLC7A11;CROT;HERPUD1;PCMTD2;MAP1LC3B;TCP11L2;ABCD1;BBS4;PCMTD1;TRP53INP1;2700097O09RIK;NSUN3;ARFGAP3;RBL2;STX5A;BCAT2;RBM47;TOB1;FAM117B;ARNTL;CIART;FBXL20;IL1RL1;RMND5A;SLC17A5;DNAJB9;ZFP260;DRAM2;AAED1;PEX19;SGTB;BNIP3;NICN1;PNRC1;VEGFA;DHRS7;GSTA4;CCNG2;NBR1;PDCD4;ASB7;LPIN1;YPEL5;NUCB2;YPEL3;PLCD1;PFKP;BET1
IRF9 OE human GSE50002 sample 1654	103/350	0.0000000000000000000000000000000000000000000000003105193476289012318035030644118597116022064125773360409806333962951461589477160908881832467179113977343305010686475986983056014889559293123966199345886707305908203125	0.000000000000000000000000000000000000000000000254108332809650843245652799867985215159156378512095481507716874914023673373130625888192925385593310740506754486430786819928240305443978286348283290863037109375	0.0000000000000000000000000000000000000000000000000000000001699241002975416159787404587029199651456906955576672989862876448036868867409463579020363504945521040655430474059179143180560934688077175760379205864125662372998704086057841777801513671875	0.000000000000000000000000000000000000000000000000000000208581833115232326450720266720298107135879639715873189239212741718496421480451048028112835017019208776566907010709493187033507242267096350694932649361135190702043473720550537109375	-1.6950015695994687	189.32081635104655	RB1;NARF;DGKA;PLOD2;ZFYVE1;ERO1L;SESN3;CAPN5;NEK1;CHAC1;MAF1;PDK2;PDK1;PIAS3;BNIP3L;GPT2;GOLPH3L;DYRK1B;ATG13;CYP39A1;DOPEY2;DDIT4;ACOT2;ELMO1;TXNIP;ULK2;NUPR1;ZFP9;ATF3;ABHD4;DAPP1;SLC1A4;HOXB13;PHF21A;MYO6;CCDC18;CDK19;XBP1;IDH1;RAB39B;KLHL24;SMARCA2;WDR54;SLC6A9;P4HA2;CYP2S1;JMY;CREBRF;PXMP4;SFXN4;TTC26;CDKN1A;CALCOCO1;ERO1LB;CROT;MAGT1;HERPUD1;PCMTD2;TCP11L2;ABCD1;TRP53INP2;BBS4;TRP53INP1;2700097O09RIK;SMIM14;DUSP1;VWA5A;ARFGAP3;RBL2;PLIN3;STX5A;BCAT2;GDPD1;SPTY2D1;TOB1;FAM117B;PTGS1;CIART;FBXL20;IL1RL1;ERBB3;SLC17A5;ZFP260;DRAM2;AAED1;SGTB;BNIP3;NICN1;MOK;PNRC1;VEGFA;DHRS7;GSTA4;CTH;CCNG2;NBR1;PDCD4;ASB7;LPIN1;NUCB2;YPEL3;PLCD1;PFKP
BST2 OE human GSE50002 sample 1647	104/408	0.000000000000000000000000000000000000000000270811244473756406487741458510280266546529899235437642009579193672637223484668872321501274924391935228215676050023130727595344069413840770721435546875	0.00000000000000000000000000000000000000013296832103661439924959245173318784804077109539033703508624386103628808470090987909803179946791021036616060879698153485151124186813831329345703125	0.00000000000000000000000000000000000000000000000000000521275444779577546948915389586951643050751784712754730745698262900264348593211692418608159338455290967427122225371333945932674061707183012226440865788390510715544223785400390625	0.0000000000000000000000000000000000000000000000000025594624338677256888693765427073295425120732820054782221379488525362408762646238198500763575084754341671156836939216376934394764179614423227349107037298381328582763671875	-1.7618086269508169	172.68350893624532	RB1;SLC27A1;DGKA;PLOD2;ZFYVE1;LIPA;ERO1L;SESN3;CAPN5;NEK1;GATSL2;MAF1;PDK2;PDK1;TSPYL2;PIAS3;BNIP3L;GPT2;GOLPH3L;DYRK1B;CYP39A1;EID1;DOPEY2;1110012L19RIK;DDIT4;ACOT2;ELMO1;ULK2;STAMBP;ZFP9;ATF3;KMT2E;ABHD4;DAPP1;SLC1A4;HOXB13;PHF21A;MYO6;CCDC18;XBP1;GADD45A;RAB39B;KLHL24;PARP14;SMARCA2;SCCPDH;SLC6A9;KITL;MAFF;CREBRF;SFXN4;DNAL1;TTC26;CDKN1A;CALCOCO1;ERO1LB;TNFAIP6;CROT;PCMTD2;GYS1;MFSD6;TCP11L2;ABCD1;HIBCH;BBS4;TRP53INP1;2700097O09RIK;DUSP1;VWA5A;ARFGAP3;RBL2;PLIN3;GDPD1;SPTY2D1;FAM117B;PTGS1;CIART;FBXL20;IL1RL1;ERBB3;TMEM67;SLC17A5;STOM;ZFP260;AAED1;SGTB;BNIP3;MOK;CTNS;PTPN13;VEGFA;DHRS7;CTH;CCNG2;NBR1;PDCD4;ASB7;LPIN1;YPEL5;NUCB2;YPEL3;PLCD1;PFKP;BET1
IRF9 OE human GSE50002 sample 1663	108/443	0.0000000000000000000000000000000000000000005802726130784531952056746818091894424958578489942354543265286367361643244717225905705726679980647846868497424267785422813403783948160707950592041015625	0.000000000000000000000000000000000000000237428210851267098998494592861948706628833159935948544922160353318065099777832680307138577451381720377458772741618986401590518653392791748046875	0.000000000000000000000000000000000000000000000000000001820941638462404234176054403393613433939918905744109640059030095323038546661231203357224731321670371705292662135133804720870869454888850598461846885811610263772308826446533203125	0.000000000000000000000000000000000000000000000000001117602930606300539682525796132665608921167451812044881536126309137333911934681568681028081623325042532378304599991564207664591912294582698450540192425251007080078125	-1.7692095740523184	172.06064000800976	RB1;SLC27A1;DGKA;CARF;ZFYVE1;LIPA;CCDC28A;SESN3;DHX57;NEK1;CHAC1;MAF1;PDK1;PIAS3;KHNYN;GPT2;GOLPH3L;ALG2;DYRK1B;TICAM1;CYP39A1;1110012L19RIK;DDIT4;ACOT2;ULK2;ZFP9;PRR13;TBCEL;FAM114A1;DAPP1;HOXB13;PHF21A;APH1B;MYO6;INPP5K;CCDC18;UBE2H;RAB39B;KLHL24;SMARCA2;SCCPDH;SLC6A9;CREBRF;PXMP4;SFXN4;DNAL1;MXD4;TTC26;CALCOCO1;ERO1LB;SLC7A11;CROT;HERPUD1;PCMTD2;UFL1;MFSD6;DBP;TCP11L2;ABCD1;HIBCH;BBS4;PCMTD1;TRP53INP1;ABCC3;DUSP1;VWA5A;WIPI1;ARFGAP3;RBL2;PLIN3;STX5A;LCORL;MOCS1;KIZ;KDM3A;TOB1;CIART;FBXL20;IL1RL1;POLD4;RMND5A;ERBB3;SLC17A5;STOM;ZFP260;DRAM2;AAED1;SGTB;PNPLA8;AGL;ZFP954;CFLAR;PTPN13;PNRC1;SNRK;DHRS7;TMEM159;CTH;CCNG2;NBR1;PDCD4;ASB7;LPIN1;YPEL5;YPEL3;PLCD1;PFKP;BET1
IRF9 OE human GSE50002 sample 1653	92/312	0.000000000000000000000000000000000000000000043992786457805946445956530877139387362742970658466818886147349605502018013575538339957953385135777758920827009390952522238649180508218705654144287109375	0.000000000000000000000000000000000000000027000572688478400442687013058937177605469450854562211064341818621617057712217593224725921848341084329924062512606752761712414212524890899658203125	0.0000000000000000000000000000000000000000000000000002556753580585288743353524694575719336071788177187322044465678793383762648145046985687257078953684823655984875138750363645668778138884957851217905044904910027980804443359375	0.00000000000000000000000000000000000000000000000010461383400561474298876679579301249769980752248450409822927029710846140622752355162313970385415851308262916668259295353748321126541309666890811058692634105682373046875	-1.6732276444396537	167.04217003833614	RB1;TTC26;CDKN1A;CALCOCO1;NARF;ERO1LB;DGKA;PLOD2;CROT;MAGT1;ZFYVE1;HERPUD1;ERO1L;PCMTD2;MAP1LC3B;SESN3;CAPN5;NEK1;TCP11L2;CHAC1;MAF1;ABCD1;BBS4;PDK2;PDK1;TRP53INP1;2700097O09RIK;SMIM14;PIAS3;BNIP3L;GPT2;GOLPH3L;DYRK1B;ARFGAP3;ATG13;RBL2;CYP39A1;DDIT4;ACOT2;ELMO1;PLIN3;TXNIP;STX5A;NUPR1;ZFP9;ATF3;BCAT2;RBM47;DAPP1;HOXB13;TOB1;FAM117B;PHF21A;PTGS1;CIART;FBXL20;IL1RL1;ERBB3;SLC17A5;DNAJB9;ZFP260;DRAM2;AAED1;CDK19;XBP1;PEX19;SGTB;IDH1;BNIP3;NICN1;RAB39B;KLHL24;SMARCA2;PNRC1;WDR54;VEGFA;DHRS7;SLC6A9;GSTA4;CCNG2;CYP2S1;NBR1;PDCD4;CREBRF;PXMP4;ASB7;SFXN4;LPIN1;NUCB2;YPEL3;PLCD1;PFKP
SCARNA13 OE human GSE50002 sample 1643	83/296	0.00000000000000000000000000000000000005324488670958052500017180779868866341842530652471571875694062495128377811761278263788541624277413262522617998229179647751152515411376953125	0.000000000000000000000000000000000018673742410288598764259606058688738460111093392608560381452960130736255741259189327161107318196753279693211879930458962917327880859375	0.000000000000000000000000000000000000000000000787829630202898654500726461661019408756564987685190952510854360168454770174239582400161030817087060923205511057411908060199579040272510610520839691162109375	0.00000000000000000000000000000000000000000027630310602115944579533518708268810514036891228008883445479405533989415432701137765979780196035736858044934947942206093784989207051694393157958984375	-1.707142054183934	146.51703199527338	CDKN1A;CALCOCO1;NARF;DGKA;PLOD2;MAGT1;ZFYVE1;HERPUD1;ERO1L;PCMTD2;RGS2;SESN3;CAPN5;TCP11L2;CHAC1;MAF1;ABCD1;BBS4;PDK2;PDK1;TRP53INP1;SMIM14;BNIP3L;GPT2;GOLPH3L;DYRK1B;ARFGAP3;ATG13;RBL2;CYP39A1;DOPEY2;DDIT4;ACOT2;ELMO1;PLIN3;TXNIP;STX5A;NUPR1;ZFP9;SQSTM1;ATF3;BCAT2;RBM47;DAPP1;FAM117B;PHF21A;PTGS1;CIART;FBXL20;IL1RL1;ERBB3;SLC17A5;DNAJB9;ZFP260;DRAM2;AAED1;XBP1;SDF2L1;SGTB;IDH1;BNIP3;NICN1;RAB39B;KLHL24;PNRC1;WDR54;VEGFA;NR4A2;DHRS7;SLC6A9;GSTA4;CCNG2;CYP2S1;NBR1;JMY;PDCD4;CREBRF;PXMP4;LPIN1;NUCB2;YPEL3;PLCD1;PFKP
IRF9 OE human GSE50002 sample 1656	65/269	0.0000000000000000000000000667586159417098810387669548223580823812704876814495593563771957964863255907683736722901812754571437835693359375	0.0000000000000000000000204865502671122190191321473894617328146733387963634037198391965768629052746518937055952847003936767578125	0.000000000000000000000000000000008300139561524028315264792252335624240553826000040132101200160052700415848628527564043340369881462947887484915554523468017578125	0.000000000000000000000000000002547105327942686086783775196341082398376349349043106232296411520465293228479043696754757775124744512140750885009765625	-1.6544532420747682	95.90652705462871	TTC26;CDKN1A;DGKA;SLC2A1;PLOD2;MSMO1;SLC7A11;HERPUD1;ERO1L;SESN3;FAM162A;SCRN3;CAPN5;NEK1;TCP11L2;CHAC1;BBS4;PDK2;PDK1;2700097O09RIK;GPT2;CYP39A1;DDIT4;ACOT2;ELMO1;TXNIP;ZFP9;BCAT2;RBM47;DAPP1;HOXB13;FAM117B;PTGS1;CIART;FBXL20;IL1RL1;ERBB3;ZFP260;EGLN1;AAED1;CCDC18;CDK19;PEX19;SGTB;IDH1;BNIP3;NICN1;RAB39B;WDR54;VEGFA;PFKL;DHRS7;TBL2;SLC6A9;GSTA4;CCNG2;CYP2S1;PDCD4;ASB7;SFXN4;ALDH18A1;LPIN1;NUCB2;PLCD1;PFKP
FOXO3 KO mouse GSE18326 sample 2698	70/372	0.00000000000000000000460135227342280250708113010658798618263908958676251540679917606535553886715206317603588104248046875	0.00000000000000000112963198312529795756005583264502221513855993923793052946535908631631173193454742431640625	0.0000000000000000000000000000202244562005262120306220829266156155780475609529639138522258689750748149600964760630450456346807186491787433624267578125	0.000000000000000000000000005516782219143538581212826078546964778439156082433796772039649932109386769318870591405357117764651775360107421875	-1.8400068093434772	86.16372243248603	SLC2A1;PLOD2;VLDLR;PVR;GYS1;DBP;FAM162A;TCP11L2;NUDT18;HOXA1;PXDC1;CHAC1;PIM2;GATSL2;SLC16A3;HIBCH;APPL2;PDK2;PDK1;IER3;ARRDC4;BNIP3L;GABARAPL1;TPI1;ARRDC3;EMP2;FOS;DDIT4;PLIN3;TXNIP;TRIB3;HECA;NUPR1;KDM3A;NDRG4;NRN1;INSIG2;SLC41A2;HSPA4L;HIGD1A;FOXO3;NDRG1;APH1B;MXI1;EGLN1;PRELID2;GADD45A;PLEKHA2;AGL;BNIP3;PRSS35;SORBS1;TVP23B;FOSL2;VEGFA;PINK1;PFKL;P4HA1;PIK3IP1;P4HA2;CCNG2;KLF9;TMCC3;ALDH18A1;LPIN1;MXD1;FGFR3;YPEL3;CRLF1;PFKP
Myc Activation - 4 hours mouse GSE4356 sample 751	56/240	0.0000000000000000000010981203725704948677449245218805162134183797871964864516225457435893986257724463939666748046875	0.000000000000000000299542834962285002298267913935434235548971532125036849707189201552637314307503402233123779296875	0.0000000000000000000000000009281067090309003001583753126775997311741145738241915937740540275581932190378242619743787145125679671764373779296875	0.00000000000000000000000020713654278826000032121642959457910484051011205774880480689472553117690123425376214072457514703273773193359375	-1.6017710849086328	77.30257295338117	BTG1;PTPRN;DGKA;SLC35B1;OTUD7B;MSMO1;GMPPB;AOX1;TRP53INP2;COG6;ENTPD7;VPS37C;TRAFD1;BPGM;ARFGAP3;GTPBP2;BET1L;ALDH3A2;FRMD5;PREPL;DDIT3;DNAJB11;STX5A;KDELR3;TBC1D23;CRELD2;TSPYL4;RNF34;HSPA4L;DERL2;HSD17B11;ARNTL;DNAJB2;KLC4;IP6K1;SLC35A2;XBP1;HSPA5;GADD45A;AGL;EDEM1;NICN1;YIPF5;MTHFR;KAZALD1;MANF;TMUB2;PER2;AHI1;SPCS2;GNPDA1;RCAN3;TMEM119;CDK2AP2;RNF181;MXD4
