Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Z-score	Combined Score	Genes
Igf1r druginhibition mouse GSE14024 sample 2041	231/428	0.000000000000000000000000000332941470439704655783752542339537712055097004118577466091462847631307492833087346983944598832749761641025543212890625	0.0000000000000000000000008187030758112337904094144524946617034423539718313180046224076789906400064555924700471223331987857818603515625	0.000000000000000000000000000000000000000000517251288583144793754983361930968704067675818523025175872454421330185795508170448744547793834198422111402145516512174339140983647666871547698974609375	0.00000000000000000000000000000000000000127192091862595312861326398140358248866665100457110745093936637031669932510060390014130213175034267978659452413836561390780843794345855712890625	-1.860528226104141	117.71485075527193	CCNF;RBPJ;MKI67;SMC4;AQP1;TPGS2;CDC20;UBASH3B;SNRPD1;STMN1;CHEK1;LIPG;FBXO5;SKP2;USP17LA;WDHD1;TIPIN;STARD4;KNSTRN;EREG;DEPDC1B;DEPDC1A;FEZ1;KIF20A;PRR11;NGEF;ASF1B;CDCA2;SHMT2;CDCA4;CRABP1;CDCA7;NCAPG;SKA3;IQGAP3;NCAPH;CYB5R1;RACGAP1;ERI1;RDH11;LYAR;PLK4;HOMER1;SIAH2;PLK1;VMN1R43;DHFR;FOSL1;TPX2;ANLN;POLA1;ANP32E;SASS6;ID4;FXYD5;RAD18;CD200;TOP2A;SUV39H2;ZFP367;NCAPG2;BRCA2;AREG;MIS18BP1;NUF2;PBK;TK1;HAVCR2;TCF19;DUSP5;HELLS;TNFRSF12A;ELOVL6;KIF23;KIF22;KIF4;HMGA1-RS1;G2E3;CKS2;KIF2C;CD44;HBEGF;AHCY;PCNA;RAMP3;PRIM1;ODC1;PTGS2;HSD17B7;CENPA;SC5D;GINS1;GINS2;GCH1;IFI202B;MPP6;CENPE;NUDT21;CENPF;FABP5;CENPI;RPA3;CENPK;CENPL;TACC3;CENPM;NCAPD2;CENPN;NCAPD3;CENPP;SPC24;SPC25;CDKN3;ERCC6L;ZFAND4;BUB1B;MSMO1;TTF2;TM7SF2;CCND1;PTTG1;NUSAP1;NEK2;PHLDA1;MB21D1;GAS2L3;BORA;LIG1;ZGRF1;CDC25C;CDC25B;DCTD;CCNE2;CCNE1;DKC1;HAT1;ADAM8;SNRPF;IDI1;BLM;DNMT1;INSIG1;CCDC25;TROAP;ARHGAP18;ACAT2;RAD51AP1;CCNB2;CCNB1;ORC2;CD300LB;FAM83D;ECT2;PHF10;UBE2C;DHCR24;DNAJC15;CYP51;KIF18A;UBE2T;GNB4;CDK1;DHCR7;TRIM30A;MCM7;AMD1;HMGB2;HMGB3;CKS1B;LMNB1;4930579G24RIK;SPRED3;CASP8;PRKG2;TOPBP1;UPP1;LBR;RFC5;HMGCS1;DIS3;PLAUR;CKAP2;PLA2G4A;4930503L19RIK;MASTL;LSS;ETV5;CKAP4;ARL4C;CCNA2;ASPM;RBL1;NAV3;ESPL1;RASA1;MCM3;MCM4;ITGA6;TRIM59;SNRPA1;MCM5;MVD;DNAJC9;MCM6;JUNOS;MCM2;PRPS1;UHRF1;ATP10A;TTK;HMGCR;LRP8;AURKB;IL1RL1;HIRIP3;PDSS1;BUB1;E2F7;E2F8;D1ERTD622E;HN1L;IFI204;KLF5;PRC1;PSAT1;CTH;POLE2;KCNK2;SLC25A33;MBTPS2;NUP37
Cstb KO mouse GSE47516 sample 2228	218/458	0.000000000000000007283041425779092121731920314369461497611638807242635806904473838585545308887958526611328125	0.0000000000000019898887628878650620297796568360632953550190364644389973136640037409961223602294921875	0.000000000000000000000000000000000192236486060540445379839958031866430502239997818914367140953487540207126483013125260780628623946686417411910952068865299224853515625	0.00000000000000000000000000000015756983974095630534612299445662590931280999460060128930486690869420533209175629661691342420226646936498582363128662109375	-2.746183295508946	108.36709267032496	ERRFI1;MKI67;SMC4;FAM110A;CDC20;FAM122B;LGALS1;CDK5RAP1;FBXO5;TIPIN;SERPINF1;DNTTIP2;IFT80;ESCO2;KNSTRN;CYP39A1;MTAP;DEPDC1B;DEPDC1A;KIF20A;MYL9;ASF1B;CDCA2;TSHZ1;HSPA4L;NCAPG;PLA2G7;NCAPH;DSN1;HSPH1;RACGAP1;MICAL1;SNX7;S100A11;S100A10;PLK4;EGR1;JUN;PLK1;NR2F1;LARP7;PARVA;PAICS;GPR137B;VASN;COL1A1;TPX2;H19;ANLN;COL1A2;TRIP6;ID4;EZH2;TOP2A;COL18A1;TINAGL1;ADM;AKR1B3;PTH1R;AKR1B8;EDA2R;CSRP2;TCTN2;NUF2;PBK;PHGDH;TIMP1;TK1;TEAD2;DLGAP5;ZCCHC24;ANXA5;BGN;EMP1;EMP2;AMPD3;EMP3;KIF22;WDR35;SUMF1;OAF;PXDN;RHOJ;CKS2;KIF2C;MFGE8;FOXC1;AHCY;PRIM1;RPS27L;PTGS2;GNAI2;PSMC3IP;GINS2;NDE1;DHRS4;CENPE;2610005L07RIK;CENPF;GSTA4;CENPI;CENPJ;MORN2;CENPL;TACC3;RPL22L1;CENPP;CRLF1;SPC24;HSPA1B;CDKN3;ACAA2;ZFAND4;BUB1B;ZFAND1;LOXL1;FGF7;CCND1;PTTG1;RUVBL1;LAMP2;NUSAP1;ENPP1;PDGFRB;GAS2L3;BORA;TPM4;PCOLCE;CDC25C;PDGFRL;CDC25B;HAT1;S100A6;MYADM;S100A4;AJUBA;PPID;VCL;HIST1H2BC;PPIC;TMED10;NDRG2;FBLN2;ZFP36L1;RAD51AP1;CNN2;TMEM123;CCNB2;CCNB1;IGFBP6;FAM83D;ECT2;CRTAP;UBE2C;LRRC75A;CAV1;ARHGEF39;MSN;HMGA2;DNAJC15;NR4A1;RGCC;CDK4;UBE2T;CDK1;TGFBI;FGFR1;GPSM2;MCM7;LRRK2;HMGB2;CHTF18;CYR61;CKS1B;THBD;RFC5;KLF10;PLEKHG2;LIX1L;H2AFX;CKAP2;GPX8;4930503L19RIK;CCNA2;ESPL1;MCM3;2810025M15RIK;FAM96A;MCM4;PFDN1;COL6A3;TRIM59;MCM5;DNAJC9;MCM6;PPM1M;UHRF1;TTK;TFPI;THBS1;UACA;AURKB;IFT74;PDLIM2;BUB1;E2F7;PRPS1L3;HN1L;RRM1;IRX5;IRX3;PRC1;PSAT1;RAB13;ACKR3;CD248;VIM;NUP37
Cstb KO mouse GSE47516 sample 3045	212/451	0.000000000000000117544732138461392583215487044197975364088172502315121636939920790609903633594512939453125	0.00000000000002408687469403971646812870153041347860903959553213748989719533710740506649017333984375	0.0000000000000000000000000000000061784273930051495014131217774080388520628515973828859953112071286865269513510168729840399404196205068728886544704437255859375	0.0000000000000000000000000000025321254932332771906646614076973254083875545211594718341258272204464074081411181608991523006579882348887622356414794921875	-2.813437134371823	103.19606582682896	ERRFI1;TESK2;MKI67;SMC4;FAM110A;CDC20;FAM122B;LGALS1;CDK5RAP1;FBXO5;SERPINF1;DNTTIP2;IFT80;ESCO2;KNSTRN;CYP39A1;MTAP;DEPDC1B;DEPDC1A;KIF20A;MYL9;ASF1B;CDCA2;TSHZ1;NCAPG;PLA2G7;NCAPH;DSN1;HSPH1;RACGAP1;MICAL1;SNX7;S100A11;S100A10;PLK4;EGR1;JUN;PLK1;NR2F1;LARP7;PARVA;PAICS;GPR137B;VASN;COL1A1;TPX2;H19;ANLN;COL1A2;TRIP6;ID4;EZH2;TOP2A;COL18A1;TINAGL1;ADM;AKR1B3;AKR1B8;CSRP2;NUF2;PBK;PHGDH;TIMP1;TK1;TEAD2;DLGAP5;ZCCHC24;GSTO1;ANXA5;BGN;EMP1;AMPD3;EMP3;KIF22;TMC4;WDR35;SUMF1;KIF4;OAF;PXDN;RHOJ;CKS2;KIF2C;MFGE8;FOXC1;AHCY;PRIM1;RPS27L;PTGS2;CENPA;GNAI2;PSMC3IP;SH3BGRL;METTL9;GINS2;NDE1;DHRS4;CENPE;2610005L07RIK;CENPF;TTC8;GSTA4;CENPI;MORN2;CENPL;TACC3;RPL22L1;CENPP;CRLF1;SPC24;HSPA1B;CDKN3;ZFAND4;BUB1B;FGF7;CCND1;PTTG1;LAMP2;NUSAP1;ENPP1;PDGFRB;GAS2L3;BORA;TPM4;PCOLCE;CDC25C;PDGFRL;CDC25B;HAT1;S100A6;MYADM;S100A4;PPID;VCL;HIST1H2BC;PPIC;TMED10;NDRG2;FBLN2;ZFP36L1;RAD51AP1;CNN2;TMEM123;CCNB2;CCNB1;IGFBP6;FAM83D;ECT2;CRTAP;UBE2C;LRRC75A;CAV1;ARHGEF39;MSN;HMGA2;DNAJC15;NR4A1;RGCC;SERPINB6A;CDK4;UBE2T;CDK1;TGFBI;MCM7;LRRK2;HMGB2;CHTF18;CYR61;CKS1B;THBD;RFC5;KLF10;PLEKHG2;LIX1L;H2AFX;SORD;CKAP2;GPX8;4930503L19RIK;CCNA2;ASPM;ESPL1;MCM3;MCM4;COL6A3;TRIM59;MCM5;DNAJC9;MCM6;MCM2;PPM1M;UHRF1;TTK;TFPI;THBS1;UACA;AURKB;IFT74;PDLIM2;CHSY1;BUB1;E2F7;PRPS1L3;HN1L;IRX5;CMTM3;PRC1;PSAT1;ACKR3;CD248;VIM;NUP37
Nod2 KO mouse GSE37179 sample 1122	189/362	0.0000000000000000000040904368074570888214831477115359682778499118379349314372599166755861688216100446879863739013671875	0.000000000000000003352794703178993538190564208275700196414022119303509524013140463694071513600647449493408203125	0.0000000000000000000000000000000006134486584010382287152792621347703514682358411956190253169090093578832712257693935691969973345027966615816694684326648712158203125	0.000000000000000000000000000000377117562752038246248977212869922780173883759027915703885172279231990305487163248933379922078756862902082502841949462890625	-1.8116875410847897	85.05082238137084	ERCC6L;CD81;CCNF;JADE1;BUB1B;MKI67;SMC4;CDC20;RPS6KA5;STMN1;CHEK1;NUSAP1;NEK2;FBXO5;TMPO;MB21D1;WDHD1;TIPIN;BORA;LIG1;PAQR4;CMC2;ESCO2;PASK;CDC25C;KNSTRN;WDR76;CDC25B;NEIL3;DEPDC1B;DEPDC1A;CCNE2;CCNE1;HIST1H2BE;HIST1H2BH;SH2D1B1;DNA2;HIST1H2BG;PRR11;ASF1B;SLBP;CDCA2;CDCA3;TROAP;CDCA7;ENDOD1;NCAPG;SKA3;PMF1;IQGAP3;NCAPH;SKA1;RAD51AP1;CCNB2;DSN1;CCNB1;RACGAP1;HIST1H3G;SRGAP3;FAM83D;ECT2;CEP76;BARD1;PLK4;UBE2C;ARHGEF39;PLK1;FANCA;PPBP;DHFR;BST2;TPX2;ANLN;POLA1;KIF18A;GCLC;CDK1;HIST1H4H;TRMT13;HIST1H4J;TGFBI;NES;MXD3;PHF19;EZH2;TOP2A;SUV39H2;GPSM2;COL18A1;ZFP367;MCM7;NCAPG2;KIF14;HMGB2;HMGB3;BRCA2;CHTF18;DNPH1;CKS1B;KIF15;LMNB1;4930579G24RIK;ZCWPW1;CHAF1A;MIS18BP1;NUF2;PBK;HIST2H3C2;PHGDH;TK1;LBR;MYBL1;DLGAP5;RFC5;TCF19;DENND2C;HELLS;H2AFX;CKAP2;HAUS4;PLA2G4A;KIF24;KIF23;EMP2;KIF22;MASTL;CCNA2;ASPM;RAD51C;ESPL1;MCM3;B3GNT3;G2E3;CKS2;MCM4;TRIM59;KIF2C;MCM5;DNAJC9;MCM2;SLFN8;SLC43A3;UHRF1;PRIM1;TTK;TYMS;CENPA;NSL1;AURKB;PTGS1;ZFP709;PRRG4;NEURL1B;ERBB3;E2F2;BUB1;E2F7;E2F8;GINS1;CDKN2D;HN1L;DUT;RRM1;GINS3;MBOAT1;TUBB4B;TICRR;CENPE;CENPF;WEE1;PRC1;CENPI;PSAT1;RFWD3;MARS;LPCAT2;CENPK;CENPL;TACC3;HYLS1;CENPM;TRIM37;NCAPD2;CENPN;NCAPD3;CENPP;SPC24;SPC25;CDKN3
Ksr1 knockout mouse GSE28228 sample 1912	139/234	0.00000000000000000000012887159387448707334177239011722149839117551122495337970682584803616688162719583488069474697113037109375	0.000000000000000000158447624668681854216925960430542940617290928256586713708531366506804261007346212863922119140625	0.0000000000000000000000000000195778336956467727487082186681974601412020444549375685459677723435348804047304201170209836391222779639065265655517578125	0.0000000000000000000000000034387066469711013948586184844750424790446814035194243737380536244483829506901617634184731286950409412384033203125	-1.686492744788151	85.00467448994591	OTUD4;ERRFI1;H2-K1;SAT1;AQP1;EPS8;LGALS3;PRL2C3;TUBB6;LGALS1;TUBB5;SNRPD2;BASP1;AP1S1;PHLDA1;PRL2C2;HIST1H2AC;MBNL1;TPM4;ATP1B3;EREG;EEF1A1;PROCR;SLPI;ETHE1;S100A6;SRSF2;COL8A1;SNRPE;S100A4;ERH;PPIA;NGEF;LLGL1;H2-D1;ASF1B;LY6E;FKBP5;HSPA4L;TWIST2;HTRA1;RTN4;LDHA;TSPAN9;PGK1;CD14;ECT2;KCNN4;S100A11;VASP;RPL41;NEK7;HMGA2;MT1;PRDX6;NFKB1;FOSL1;ANLN;EIF6;SERPINB6A;UBE2S;ANP32E;CDK1;FXYD5;CALM1;NES;RPS24;NFE2L2;BTG1;MCM7;HMGB3;FOXM1;MSLN;AREG;PPP1R18;YBX3;CXCL5;CKS1B;TUBA1C;TUBA1B;YWHAQ;CTSL;TIMP1;UPP1;LBR;CLIC1;YWHAH;TGIF1;HSP90AA1;H2AFZ;ITGA3;GSTO1;ANXA5;H2AFX;PLAUR;EMP1;NUTF2;KIF23;AMPD3;UGDH;PKM;RASA1;MCM3;PLIN2;MFGE8;SGK1;PTMA;HBEGF;AVPI1;MTPN;AHCY;PCNA;RAMP3;ODC1;GLRX;PTGS2;PTGS1;IL1RL1;GPC1;HAS1;LMNA;SPP1;IGF2BP2;RPS2;MAPK6;PRRX1;SEMA4B;TMEM176B;GSR;DHRS1;FKBP1A;KLF5;PRC1;APEX1;CD9;HDGF;KCNK2;TPT1;PNPLA2
Ebf1 OE mouse GSE2192 sample 857	182/346	0.00000000000000000000765208853335383765319008330964651907802437171360114578325291312399514254138921387493610382080078125	0.00000000000000000470412142587927161491995960897928904476642598240132726872264612438812036998569965362548828125	0.00000000000000000000000000000000492010568441636762337481112461304001747708700845119693786889952752295508241855810584348962510858882524189539253711700439453125	0.000000000000000000000000000002419707975595969816675999374464242080757560648278317655366205526886892619917971032628134508968287263996899127960205078125	-1.8260892970788412	84.58319319206667	NCKAP1;SCARB1;MTCH1;MIDN;RNH1;RPL3;CD81;MSMO1;GHITM;TM7SF3;RPL10A;LCLAT1;EPS8;NARS;LGALS3;NSDHL;PNP;LGALS1;TRIM28;RPS19;HCFC1R1;CPNE1;CPNE3;HADH;PRKACB;EIF2A;MBNL1;TPM1;SARS;CYBA;EEF1A1;COX7A2L;FRMD6;CDC37;FDX1;S100A6;UQCRC1;SUCLG2;COL8A1;UQCRC2;ATF5;RPL28;IDI1;FOXG1;CRABP1;TWIST2;LPAR1;PTTG1IP;IQGAP1;ADH5;GLG1;ACAT2;ZFP36L2;CNN2;INPP5A;HSPH1;CYB5R3;LARS;RAD21;ESD;LTA4H;IGFBP6;STX4A;ZC3H14;ZBED3;PCK2;FDFT1;BTF3;HSPA9;FDPS;CBX6;CDSN;UQCC2;NEK7;RDX;NR2F1;MSN;HMGA2;HPRT;CYP51;NFKB2;HNRNPL;COL1A1;SQLE;COPS6;H1F0;COL1A2;EIF6;QARS;UBE2S;GNB2;OGN;CALU;UBA2;CPE;SERINC3;NFE2L2;UBE2M;RARG;TINAGL1;ARPC1B;HMGB1;BMI1;YBX3;RBM3;MAP1LC3A;UBL3;CSRP2;SCD2;TSPO;ACADM;AP3S1;SCD1;CLIC1;ANXA2;TSC22D1;H2AFZ;PRMT1;VBP1;GSTO1;PLA2G4A;DYNLL1;DNM1;TBC1D1;PSMA6;NSA2;CSDE1;CTDSP2;GAS2;NDUFS2;MVD;TOP1;MFGE8;RBMS2;ST6GALNAC6;PLEC;AVPI1;HDAC5;AHCY;NFIX;RAMP3;RPL10;LRP1;SYPL;ATP5A1;PDHB;THBS1;HSD17B10;CENPB;PAPSS1;CYTH3;IL1RL1;PSMB7;PGRMC1;GPC1;LMNA;FAM120A;RPS3;NCAM1;S1PR3;GPC4;RPS2;STX2;RABAC1;XDH;EIF4B;SLC12A2;CNBP;TAF10;MTSS1L;NAP1L1;SGPP1;PSAT1;KLHL7;IMPDH2;RAB18;CTNNB1;ACKR3;RPSA-PS10;PLP2;EIF3C;TPT1
Dusp5 KO mouse GSE62433 sample 2901	162/303	0.00000000000000000012965212977765859451503007796229074298696548655230307602048700488239774131216108798980712890625	0.00000000000000005313576452054374373972334696526552923846567860169561037242402790070627816021442413330078125	0.00000000000000000000000000000383212177709368596830918819600000315759530339268627395923627175975077625339989574604349087394439266063272953033447265625	0.0000000000000000000000000008566534045339431387407994261085183377990876306056229147980421795356250811402654132820089216693304479122161865234375	-1.7428267406417206	75.79454504913328	MCPT8;CHPF;WIPF1;CSE1L;MRGPRF;MUM1;NRM;MSMO1;PHB2;AQP1;EPS8;LGALS3;FGF7;CCND1;RPL18A;CAPN6;HOXA7;TMPO;SCARA3;MBNL2;SWAP70;DDX11;MOGS;ESCO2;WBP11;HCFC1;MSH6;TWSG1;ZFYVE16;CCNE2;CD109;B230219D22RIK;SRSF2;S100A4;LY6A;ARL8A;PPID;FKBP5;BLM;DNMT1;TSG101;NRN1;TSHZ1;CSTF2;CDCA7;LPAR1;RHOBTB3;SKA3;NCAPH;SAV1;ZFP36L1;ARHGAP22;DSN1;EMG1;CCNB1;PRKAR2B;ARSJ;ZC3H18;IDH2;PLK1;MEMO1;PPBP;PA2G4;ACADSB;SNHG5;PUM2;TPX2;H19;ANLN;COQ2;MFSD7B;CAPRIN1;TMEM238;CDC16;TGFBI;EIF4G2;YWHAE;SLC25A3;BTG1;MCM7;CETN3;HMGB2;NENF;PKD2;WISP2;MEDAG;SEPT8;ESM1;YWHAQ;MIS18BP1;DHX15;PBK;WDR6;POLK;LBR;BCAS2;PHACTR4;NELFE;DUSP5;PBRM1;H2AFZ;METRN;H2AFX;CKAP2;AGTRAP;RGMA;ARL4C;PAPD7;ADORA2B;TCP1;2810025M15RIK;CHST1;TRIM59;KIF2C;MCM5;EVL;MCM6;ANK;ARF6;PRPS1;FOXC1;SLC24A3;NDUFB5;UHRF1;RPL36A;GLRX;PTN;CENPA;AURKB;CYTH3;IL1RL1;LMAN1;PAK1;HIRIP3;TRA2A;FAM120A;TRIM47;SPTSSA;NPM3-PS1;GINS2;MBOAT1;VEGFB;ATP2B1;DEK;TUBB4B;SGPP1;DES;PRC1;CENPI;PSAT1;MGP;PPP2R2D;CENPL;SLC25A30;CD9;CENPN;ATXN10;SLIRP;CRLF3;METAP1;SPC25;CDKN3
Vhl Deficiency mouse GSE20335 sample 540	180/351	0.0000000000000000004247286141374319708689955304350827990783522267385203217970879308040821342729032039642333984375	0.00000000000000014920109459484931098361373562879051646944575750843020589542220477596856653690338134765625	0.00000000000000000000000000000012058667990791541461816175870681881441947786409486303646655573567826990873068298084670735281775932890013791620731353759765625	0.00000000000000000000000000004236037798479485829588588771102648695714332868185192491759564308085367055644633593747272470864118076860904693603515625	-1.7755215192887936	75.10959660884753	IFITM3;MTCH1;AHCYL1;RNH1;KDELR1;NAB2;MSMO1;FNBP1L;LOXL1;ERO1L;KRTCAP2;LAPTM4A;IPO9;PNP;TRIM28;SNRPD2;CAPNS1;LAMP1;BASP1;HCFC1R1;STMN1;CAPN2;CPNE1;AKT1;AP1S1;VPS35;PRKACA;B2M;TRAPPC2L;TPM3;HPCAL1;CXX1A;ACTN4;NUP93;PYGO2;1810037I17RIK;CFDP1;HNRNPUL1;MXRA8;MYADM;UQCRC1;SUCLG2;S100A4;LY6A;VCL;ANAPC2;PPIC;CUTA;IDI1;SET;CRABP2;CBFB;OAZ1;ACAT2;CNN2;CCNB2;ATP5B;CCNB1;HSPH1;PPP4C;CHTF8;PCBP4;PCBP1;PSAP;TXNDC5;AP1M1;FDFT1;VAT1;FDPS;EGR1;CBX6;SIVA1;UBE2C;LHFP;IDH1;RCC2;GLMP;TBCA;MEX3D;MRPL24;COL1A1;SQLE;H1F0;COL1A2;REEP5;CDK4;GNB2;DNAJC10;OGN;TPP1;SFXN1;RAB7;COX4I1;TECR;ILK;HMGB3;DBI;USP39;YBX3;PTMS;BABAM1;SCPEP1;MAP1LC3A;YWHAQ;SCD2;MFSD1;WDR6;FLOT2;UQCRFS1;SH3BGRL3;PHGDH;ACADM;SCD1;LBR;CTSD;CAP1;PRMT2;H2AFY;HMGCS1;ANXA5;H2AFX;ATP6AP2;EDF1;EMP3;RHOC;RABGGTB;FH1;SREBF2;APRT;ARL4C;CCNA2;MMP14;TFDP1;CTDSP1;NPC2;2310022B05RIK;PXDN;FAM96B;CKS2;NDUFS2;RHOU;MPND;MCM2;TSEN34;CDC123;ASAH1;AHCY;NFIX;UHRF1;SSNA1;GSTP1;ODC1;SRSF1;GNAI2;FAM129B;PABPN1;OXCT1;PERP;NT5DC2;FAM120A;FLNA;ROMO1;SPTSSA;HNRNPA0;CYB5B;HN1L;AMFR;NUTF2-PS1;FABP5;CARM1;NEDD4;APEX1;MGP;MGAT4B;CD9;RPL22L1;HDGF;VIM;GRINA;LAMTOR5
HMGB1 KO mouse GSE18463 sample 2391	148/268	0.00000000000000000009206030683445630852910257254732431835028948126970992885294287066955121190403588116168975830078125	0.0000000000000000452752589011856079533067899676368143077648359645474840373680081029306165874004364013671875	0.0000000000000000000000000000946002547649563712855861108639936819030297725283888291811896356930489281251463185018479862264939583837985992431640625	0.000000000000000000000000014538876654189233501655911625179722201718304378595553641726470788737347362984397847185391583479940891265869140625	-1.6533047564164394	72.46739464915612	IFITM3;NCKAP1;ERRFI1;AHCYL1;RPL3;CD81;MRGPRF;MSMO1;ENO1;BZW1;LOXL1;AQP1;PSMD8;NARS;LGALS3;FGF7;EFEMP2;RPS16;TUBB5;TRIM28;CCND1;PLAU;GM6548;CAPN2;RPS7;TPM1;CYBA;PCOLCE;WBP11;TUFM;ACLY;B230219D22RIK;MYADM;VDAC3;SRSF2;UQCRC2;LY6A;PPID;VCL;CBFB;CRABP1;TWIST2;FBLN2;SAV1;ATP5B;LDHA;PRDX4;ZMAT3;BAG3;PCBP1;EIF2S3Y;BTF3;HSPA9;FDPS;EGR1;SIVA1;IDH1;HMGA1;ARPC5;PA2G4;TBCA;VASN;CYP51;HNRNPL;COL1A1;H19;SQLE;COL1A2;FUBP3;SERPINB6A;CAPRIN1;REEP3;CDC16;CALU;HNRNPC;RNF10;NRP1;CDKN1A;BTG1;HSPB6;YWHAB;TECR;ADK;ILK;ATP5G3;WISP2;MEDAG;RBM3;RPS4X;THBD;TUBA1B;NPTN;TIMP1;SCD1;YWHAH;ACTR3;CCT3;CAP1;CDV3;SMIM15;HMGCS1;PRMT1;GSTO1;GLRX5;ANXA5;SSR3;EMP1;TGFBR2;PKM;DDAH1;RASA1;RPL37A;TCP1;STRAP;SLC25A5;SGK1;PTMA;SYPL;SRSF1;RPS27L;GLRX;PTN;THBS1;CYTH3;IL1RL1;PGRMC1;GPC1;TRA2A;SPP1;RPS3;IGF2BP2;RPS2;CYB5B;RYK;TMEM176B;AMFR;TPBG;IMMT;NAP1L1;TUBB4B;PRC1;PSAT1;IMPDH2;MGP;CD9;CTNNB1;VIM;EIF3C
Sox10 KO mouse GSE12007 sample 284	152/283	0.0000000000000000009868876379513355676799833985185071240445375798555800728184550507648964412510395050048828125	0.0000000000000003033445877152917541304163587055685468885728151532121810163289410411380231380462646484375	0.0000000000000000000000000001602134829816869969128767904889141809632079816734694681847174308626159558270607430330301212961785495281219482421875	0.0000000000000000000000000218869419251093527568445272969488309194764236769340094882859176731869539633823507074339431710541248321533203125	-1.7174066752487818	71.20321836453276	RPL3;PLEKHB1;ENO1;MKI67;RPL10A;NARS;FBL;LGALS3;LAPTM4B;RPS14;TUBB5;CCND1;PTTG1;RASSF4;STMN1;RPS7;SERPINF1;RPSA;NUP93;DYNC1LI2;MSH2;HAT1;S100A6;SRSF2;PKP1;S100A4;NOTCH1;SET;CDCA3;CBFB;PXN;HTRA1;NCAPH;CCNB2;CCNB1;RACGAP1;PCBP4;RAD21;PGK1;ECT2;S100A10;NGFR;PRNP;JUN;GSTM1;UBE2C;RCC2;NONO;IDH2;DNAJC15;PAICS;H1F0;HNRNPK;UBE2S;NACA;REEP3;ANP32E;CDK1;FXYD5;SERINC3;NES;TOP2A;COL18A1;BTG1;MCM7;ACY1;ARPC1B;HMGB2;DBI;AKR1B8;RPS4X;CSRP2;YWHAQ;CTSL;NUF2;TSPO;PHGDH;PGPEP1;CLIC1;RFC5;RHBDF1;HSP90AA1;H2AFZ;METRN;SPHK1;ANXA5;EMP1;RPL13A;CACYBP;KIF22;RHOC;CCNA2;PSMA5;UGDH;TFDP1;PKM;OAF;PXDN;MCM3;CKS2;MCM4;PFDN1;ITGA6;TRIM59;MCM5;DNAJC9;MCM6;PTMA;MCM2;MATN2;PLEC;PCNA;PRIM1;GSTP1;SRSF1;CAPG;PTN;GDPD5;NKD2;PAPSS1;OLFML3;GPC1;LMNA;CTNNA1;LRRC8B;SPTSSA;RPL17;ZFP266;HNRNPA0;NPDC1;NQO1;HNRNPA3;DUT;RRM1;TAF13;NAP1L1;SSRP1;DEK;TUBB4B;DPY19L1;TSPAN14;FABP5;PRC1;PSAT1;RPA3;IMPDH2;CENPK;CDK2AP1;RPL22L1;PLP2;VIM;CDKN3
