Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Z-score	Combined Score	Genes
Twist1 OE mouse GSE50002 sample 1075	103/407	0.00000000000000000000000000000000000000000143535697666901571540079485824719284201331641596372744840688010371539529892286482117506388972271571950303282495797763118616785504855215549468994140625	0.000000000000000000000000000000000000003522366020745764459175010918490799128771467913891838544904699487650645153821135264967924964307259224662038921138673686073161661624908447265625	0.00000000000000000000000000000000000000000000000000006018991430538963846489610976068330331911450952528765734194416365711074533435983957508228717900300633745422770724951797735344607466478894508554731146432459354400634765625	0.00000000000000000000000000000000000000000000000014770604970542616863854416458280487432556351344169965614545842540582384630311530032956083183016849547512314214359686707572576723490609396094441763125360012054443359375	-1.6070029696638661	154.83017275813654	RB1;SLC27A1;DGKA;PLOD2;ZFYVE1;LIPA;ERO1L;SESN3;CAPN5;NEK1;GATSL2;MAF1;PDK2;PDK1;TSPYL2;PIAS3;BNIP3L;GPT2;GOLPH3L;DYRK1B;CYP39A1;EID1;DOPEY2;1110012L19RIK;DDIT4;ACOT2;ELMO1;ULK2;STAMBP;ZFP9;ATF3;KMT2E;ABHD4;DAPP1;SLC1A4;HOXB13;PHF21A;MYO6;CCDC18;XBP1;GADD45A;RAB39B;KLHL24;PARP14;SMARCA2;SCCPDH;SLC6A9;KITL;MAFF;CREBRF;SFXN4;DNAL1;TTC26;CDKN1A;CALCOCO1;ERO1LB;TNFAIP6;CROT;PCMTD2;MFSD6;TCP11L2;ABCD1;HIBCH;BBS4;TRP53INP1;2700097O09RIK;DUSP1;VWA5A;ARFGAP3;RBL2;PLIN3;GDPD1;SPTY2D1;FAM117B;PTGS1;CIART;FBXL20;IL1RL1;ERBB3;TMEM67;SLC17A5;STOM;ZFP260;AAED1;SGTB;BNIP3;MOK;CTNS;PTPN13;VEGFA;DHRS7;CTH;CCNG2;NBR1;PDCD4;ASB7;LPIN1;YPEL5;NUCB2;YPEL3;PLCD1;PFKP;BET1
BST2 OE human GSE50002 sample 1651	99/386	0.0000000000000000000000000000000000000000177441307811812519485843080133384687187758257746253357002333112956049503639777530608333393561277552087705570993403370039231958799064159393310546875	0.0000000000000000000000000000000000000217720484685093972981349101789796351517166591639311424855646218516255603006713869053512390490542037502219585576312965713441371917724609375	0.00000000000000000000000000000000000000000000000000244693638335577802371503619729776690186740406562107264273170119669095478459074837407790132394040194217619682356452021639956159759256293373397284085513092577457427978515625	0.000000000000000000000000000000000000000000000003002390942377539637768977842579303386318154176831356582256444009045411042459036377414243489343726321528258202074376380548426102023995554191060364246368408203125	-1.6182904659235808	151.84827106076673	NARF;DGKA;ZFYVE1;LIPA;LIPE;SESN3;ANPEP;NIPAL3;CHAC1;GATSL2;MAF1;PDK2;IER3;GABARAPL1;ALG2;DYRK1B;ALG12;TICAM1;ATG13;POR;KAT6B;SCNN1A;DDIT4;ACOT2;TXNIP;ULK2;ULK1;NUPR1;ZFP9;SQSTM1;ATF3;PRR13;FAM114A1;ABHD4;DAPP1;PHF21A;INPP5K;TRPM4;XBP1;KLHL24;SMARCA2;NR4A2;NR4A1;ALDH6A1;SLC6A9;P4HA3;CREBRF;PXMP4;FGFR3;MXD4;CDKN1A;CALCOCO1;BTG1;ERO1LB;WDR45;HERPUD1;PCMTD2;MAP1LC3B;DBP;TCP11L2;ABCD1;TRP53INP2;PCMTD1;TRP53INP1;SLC36A1;SMIM14;DUSP1;NSUN3;VWA5A;WIPI1;FOS;ARFGAP3;TTC38;RBL2;MMP11;PLIN3;STX5A;MOCS1;CCDC186;TOB1;FAM214A;FBXL20;IL1RL1;POLD4;SLC17A5;DNAJB9;SLC31A2;SYVN1;SLC8B1;PNRC1;PINK1;TMEM159;NBR1;KLF9;PDCD4;LPIN1;YPEL5;YPEL3;GPR146
IRF9 OE human GSE50002 sample 1662	70/296	0.00000000000000000000000000332426648451633805688774555611280402760026437570011386650860258179949395344887630443508896860294044017791748046875	0.0000000000000000000000020394374882507732511790774900095586769345799057046412475344813216952821743888080163742415606975555419921875	0.0000000000000000000000000000000001483541268655816849369833043667055053865878599152617583403886481625203077353675341543593098336817348581462283618748188018798828125	0.000000000000000000000000000000072812205465627485116924008333381231771331102345246934642759817344234376937429602922279003873740066410391591489315032958984375	-1.637453091624448	99.83313817951918	CDKN1A;CALCOCO1;NARF;DGKA;MSMO1;SLC7A11;ZFYVE1;HERPUD1;PCMTD2;MAP1LC3B;DBP;SESN3;ANPEP;NIPAL3;CAPN5;TCP11L2;CHAC1;MAF1;ABCD1;PDK2;PCMTD1;TRP53INP1;IER3;GPT2;NSUN3;DYRK1B;FOS;ARFGAP3;ATG13;RBL2;CYP39A1;SCNN1A;DDIT4;ACOT2;PLIN3;TXNIP;STX5A;NUPR1;ZFP9;ATF3;BCAT2;RBM47;DAPP1;FAM117B;PHF21A;PTGS1;FBXL20;IL1RL1;DNAJB9;PTK2B;IDH1;NICN1;KLHL24;SMARCA2;PNRC1;WDR54;NR4A2;SLC6A9;GSTA4;CCNG2;CYP2S1;NBR1;PDCD4;CREBRF;PXMP4;LPIN1;NUCB2;YPEL3;PLCD1;GPR146
Hdac1 Drug inhibition (0.5mM VPA for 4 hs) mouse GSE23957 sample 1803	79/372	0.0000000000000000000000000031287266338013062681048205782143959317821763764842306304709454788540797139095861467694703605957329273223876953125	0.0000000000000000000000020394374882507732511790774900095586769345799057046412475344813216952821743888080163742415606975555419921875	0.00000000000000000000000000000000000475382354087131688576261733418323559122999461896909127835347409282169939484759374693780711418171491811079931721906177699565887451171875	0.00000000000000000000000000000000291647074232455294917274079714282527156008164761583044664590994750871196092281895963227444923404618748463690280914306640625	-1.591538885601419	97.13029946352431	PI4K2B;TTC26;SLC35F6;NARF;ERO1LB;PLEKHB2;TNFAIP6;ATP8A1;FKBP14;RTKN2;FBXO25;ARHGAP39;CROT;SLC2A4;LIPA;LRRC1;ERO1L;PANX1;HELB;CNST;CHMP1B;NIPAL3;CLCC1;LGALS8;RSPRY1;IER3;SEMA6C;GABARAPL1;TSPYL1;TRPC1;ANO8;VWA5A;BPGM;MTURN;RAB33B;SLC25A16;ALDH3A2;DNAJC3;ZC2HC1A;PIGA;ACOT2;HECA;TBC1D23;PCYOX1;TMEM45A;ZFP941;STX17;INSIG2;PIK3R3;CREBL2;MTM1;DSN1;APH1B;TMEM67;SLC17A5;ZKSCAN5;FYN;DRAM2;GPR155;ACBD5;SLC31A2;SGTB;WFS1;NICN1;STAT2;TMEM50B;SLC33A1;ZFP954;DNAJC12;MBOAT2;TMCO3;TSPAN15;GGCX;TMEM159;CCNG2;PQLC2;PXMP4;YPEL3;LRP12
Twist1 OE mouse GSE50002 sample 1078	84/419	0.00000000000000000000000000466806838098988439421097740322464692334162774005838865779880291937307067694218343234524581930600106716156005859375	0.0000000000000000000000022910879613898350617975013423529391752264565649827043387126840052851750595408475419390015304088592529296875	0.00000000000000000000000000000000000112093145956995631463633160030828364358529878686514429459368941178248431341837987887393810067758470605525644714361988008022308349609375	0.000000000000000000000000000000000916921933928224266708901604098273843523042641231428972385236378890596517357203486999080686847829468888448900543153285980224609375	-1.578334126061769	95.6929020353962	SLC27A1;CALCOCO1;ERO1LB;FKBP14;DGKA;WDR45;ZFYVE1;LIPA;PCMTD2;LIPE;SESN3;KIF5C;NIPAL3;TCP11L2;GATSL2;ABCD1;TRP53INP2;BBS4;PDK2;PCMTD1;TRP53INP1;SLC36A1;SMIM14;TOR3A;GABARAPL1;DUSP1;GPT2;ALG2;VWA5A;DYRK1B;TRAFD1;WIPI1;FOS;ARFGAP3;MFSD11;TTC38;RBL2;CREB3;POR;SCNN1A;DDIT4;PLIN3;ULK2;ULK1;MOCS1;ATF3;CCDC186;ABHD4;SPTY2D1;FBXL20;HELZ2;MYO6;SLC17A5;INPP5K;AAED1;XBP1;SLC31A2;SGTB;STAT2;CACFD1;ZFP954;CTNS;KLHL24;PTPN13;PARP14;SMARCA2;SLC8B1;PNRC1;NR4A1;ALDH6A1;PINK1;SLC6A9;CTH;NBR1;MAFF;PDCD4;CREBRF;PXMP4;LPIN1;YPEL5;YPEL3;DNAL1;MXD4;GPR146
BST2 OE human GSE50002 sample 1650	68/329	0.000000000000000000000071783319189767712861954033316492203046516122132115960952669403601078546017788539757020771503448486328125	0.000000000000000000029359377548614996288515895335207947760067803668736574423080154527809781939140520989894866943359375	0.000000000000000000000000000001549536018040752758847985665689791623472349927473956459713736881295222752870474787478816125485536758787930011749267578125	0.00000000000000000000000000054322305546742964386177104207097623287306375685955933407168264054709172321266930083538682083599269390106201171875	-1.712107506762863	87.29760545833251	CDKN1A;CALCOCO1;NARF;DGKA;WDR45;ZFYVE1;HERPUD1;PCMTD2;MAP1LC3B;SESN3;KIF5C;NIPAL3;TCP11L2;GATSL2;ABCD1;TRP53INP2;PDK2;TRP53INP1;SMIM14;SEMA6C;GABARAPL1;DUSP1;VWA5A;KRT8;DYRK1B;FOS;ARFGAP3;ATG13;TTC38;POR;SCNN1A;DDIT4;PLIN3;TXNIP;ULK2;MOCS1;ATF3;TNXB;CCDC186;ABHD4;FAM214A;PTGS1;FBXL20;IL1RL1;SLC17A5;INPP5K;DNAJB9;XBP1;SLC31A2;KLHL24;SMARCA2;SLC8B1;PNRC1;NR4A2;NR4A1;ALDH6A1;PINK1;SLC6A9;GSTA4;PDCD4;CREBRF;PXMP4;LPIN1;YPEL5;FGFR3;YPEL3;MXD4;GPR146
Aldh1a2 KO mouse GSE43578 sample 3125	70/351	0.0000000000000000000001442597111498188280318222507058879634008310568259307217153460979608414760377854690887033939361572265625	0.000000000000000000050573333023093631250614407080025737467567188708891386355985531064760607478092424571514129638671875	0.0000000000000000000000000000014145972488743380601937548952369344036984186169836675351218335836372711548824718762185081999405156238935887813568115234375	0.00000000000000000000000000054322305546742964386177104207097623287306375685955933407168264054709172321266930083538682083599269390106201171875	-1.6692364511334992	83.94661390327376	CALCOCO1;DGKA;PLOD2;VLDLR;SLC7A11;HK1;ERO1L;PCMTD2;EEF2K;FAM162A;ZMYM6;SESN2;PDE4B;CHAC1;SLC16A3;PDK2;PDK1;IER3;KHNYN;GPT2;TRPC1;ARRDC3;VWA5A;WIPI1;DDIT3;DDIT4;TRIB3;TMEM45A;KDM3A;NRN1;FAM114A1;CLCN3;FOXO3;NDRG1;CIART;FBXL20;HMOX1;HIVEP2;FNIP1;TRPM4;EGLN1;MPP2;PRELID2;CDK19;PLEKHA2;BNIP3;NAGA;MT2;PRSS35;MT1;KLHL24;SMARCA2;VEGFA;GSTZ1;PDP1;ALDH6A1;PFKL;TBL2;SLC6A9;P4HA1;PIK3IP1;P4HA2;CCNG2;MAFF;PDCD4;CREBRF;PXMP4;SNAI2;YPEL3;PFKP
Xbp1 OE mouse GSE46178 sample 300	62/294	0.000000000000000000001992821841189326970939328924955608289515828801599845427976707978867665360667160712182521820068359375	0.000000000000000000611298099784826071469367971912750999633715537424547524503193329792338772676885128021240234375	0.000000000000000000000000000239507779495978286349532233730514445167395872013485533241079056256048806301979514632449763666954822838306427001953125	0.0000000000000000000000000734690113603913369274856540581499440662838004814809415196504604789358439109747678230633027851581573486328125	-1.7030683717939104	81.1763031528442	SLC35B1;MIA3;MAGT1;PVR;HERPUD1;ERO1L;SERP1;FAM162A;OSBP;HOXA1;IER3;PDIA3;SMIM14;ARFGAP3;OSMR;PDIA6;EREG;PDIA4;DNAJC3;SLPI;DNAJB11;NUPR1;KDELR3;SGK1;CRELD2;SQSTM1;CHMP5;PRR13;TMEM45A;USO1;DERL1;GLRX;SLC3A2;HSP90B1;POLD4;PGK1;HMOX1;DNAJB9;SARAF;CD14;SEC23B;SEC11A;SEC11C;SDF2L1;HSPA5;WFS1;SURF4;YIPF5;SYVN1;NFXL1;MT2;MT1;MANF;SPCS2;OSTC;CDK2AP2;RNF181;SRPRB;PTX3;CALR;SEC24D;NUCB2
Xbp1 OE mouse GSE46178 sample 1437	61/298	0.0000000000000000000207966339871504225131181085982880940330255677109849810437793016237861820627585984766483306884765625	0.00000000000000000567054886716301493039728513087143710980811923947123541489556686201467528007924556732177734375	0.000000000000000000000000002643902150243722646345113192610886132998546372244184167955948896463637246868894070672695306711830198764801025390625	0.0000000000000000000000007209039862997883698811805010450905700736234843208548019541965994169858966689190538090770132839679718017578125	-1.7045431647765918	77.2490368086092	SLC35B1;MIA3;MAGT1;PVR;HERPUD1;ERO1L;SERP1;FAM162A;OSBP;HOXA1;IER3;PDIA3;SMIM14;ARFGAP3;OSMR;PDIA6;EREG;PDIA4;DNAJC3;SLPI;DNAJB11;NUPR1;KDELR3;SGK1;CRELD2;SQSTM1;CHMP5;PRR13;USO1;DERL1;GLRX;SLC3A2;HSP90B1;POLD4;PGK1;HMOX1;DNAJB9;SARAF;CD14;SEC23B;SEC11A;SEC11C;SDF2L1;HSPA5;WFS1;SURF4;YIPF5;SYVN1;NFXL1;MT2;MT1;MANF;SPCS2;OSTC;CDK2AP2;RNF181;SRPRB;PTX3;CALR;SEC24D;NUCB2
Rfwd2 KO mouse GSE18636 sample 2994	61/369	0.000000000000001032095914626656088923529711689834373442194170866770264183287508785724639892578125	0.000000000000168850891632920931099179667417981348860080148543971745311864651739597320556640625	0.000000000000000000000049943952430599384010618786426899546697991002039916850074134364693978493932036144542507827281951904296875	0.000000000000000000009427881481899299131900523626022903075960836936356127186732722922357652350910939276218414306640625	-2.1349865476384338	73.67237532702562	SLC2A1;PLOD2;VLDLR;CHD2;HERPUD1;NPPB;GYS1;LGALS3;CSRP1;FAM162A;SESN2;PDE4B;PXDC1;CHAC1;SLC16A3;APPL2;PDK1;NDEL1;IER3;BNIP3L;KHNYN;GPT2;ARRDC3;GPCPD1;MTHFD2;DDIT3;DDIT4;TRIB3;ATF3;TMEM45A;KDM3A;NRN1;DERL3;SLC1A4;SLC3A2;CLCN3;HIGD1A;NDRG1;CIART;POLD4;HMOX1;ST3GAL1;EGLN1;PRELID2;PLEKHA2;BNIP3;STAT3;MT2;MT1;KLHL24;VEGFA;PFKL;TBL2;P4HA1;PIK3IP1;P4HA2;CYP2S1;MAFF;CREBRF;FBXL4;PFKP
