Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Z-score	Combined Score	Genes
Cdkn1b KO mouse GSE9161 sample 2179	205/406	0.000000000000000001280515905441645824133475090325401364002502342982086659672891215677736909128725528717041015625	0.00000000000000314878861148100695866988479520451452911076052447458817340475434320978820323944091796875	0.000000000000000000000000000000016787885424498862687599042364016851026988390613141290288053923918549406763911927887612807186457075658836401998996734619140625	0.00000000000000000000000000004128141025884270445451811467941840670111982683241388015665628742765121738452112343242816905330982990562915802001953125	-1.5859609821036837	65.34043253210518	TES;SERPINE1;STMN2;ARXES2;ARXES1;SCAMP5;ALCAM;RUSC2;LURAP1L;FAM110C;HMCN1;LGALS9;TNS1;PAQR8;GABARAPL1;ACTN3;KRT7;RNF128;RBP1;NBL1;CTXN1;GPM6A;EPAS1;SDSL;PLAC8;C3;NKAIN4;FLRT2;PDGFD;TSPAN2;MCAM;PRG4;EHD3;TCN2;MRVI1;TMEM151A;MYOM1;GABRB1;ACY3;ARF2;PTPRN;PCSK9;TDRP;PCSK6;KRT20;SIGLECG;ARHGAP6;MMP23;SMPD3;JPH2;UCHL1;CSRP1;SEC61G;ANKRD1;OLR1;TIMP3;DUSP4;GPR39;MANBA;MAMDC2;IL18;PRSS12;SLC22A23;FAM210B;TMEM37;GPRC5A;MMP13;BDH1;PLSCR2;CRYAB;IVL;ATP6V0E;TAGLN;MYRF;AKAP5;CRIP1;PAPSS2;FAM117A;NTF5;SCEL;PSMB2;FLNC;CKB;ATP6V0E2;CD55;DYNC1I1;GCA;FAM46B;AI464131;PRSS35;DHRS3;MSRB2;CYB561;LIMS2;YPEL2;MSRB1;RASL11B;GALNT18;TNC;ARHGDIG;TMEM141;ACTG2;LOXL2;NPPB;ARHGAP44;CCND2;FAM198B;ARHGDIB;SLC39A8;ENPP5;IGFBP2;APLP1;COL4A2;COL4A1;COL4A4;FSCN1;NUPR1;SQSTM1;ABCG2;RTN2;RASL12;NDRG4;CEMIP;PARM1;NNMT;DDX4;CHRD;ECSCR;GMPR;SLCO1A5;KLHL13;SLC1A6;PLCXD2;PLD3;CACNA1G;RASGRP3;CNN1;IGFBP7;STAP2;ATP6V1F;MFAP3L;SEC16B;CTLA2B;COA3;TGFB2;CTLA2A;TGFB3;NEB;HSPA2;SELP;IL6;PTPRB;SERPINB6B;RCAN2;MAFF;BMPR1B;LRP11;PRR5;BNC1;HSPB1;TSPAN12;ADAMTS5;PSTPIP1;UPK1B;LBH;SCRN1;GM2A;CPXM1;SMIM11;DSP;GPX3;PPP2R5B;COBL;KCNAB1;UPK3B;YDJC;RCN3;GAP43;ALDH1A1;2200002D01RIK;ALDH1A7;B4GALT4;TNFRSF21;TMEM45A;SEMA3C;CCDC68;RGS16;CRMP1;BC022687;NOD1;PTPRZ1;VAT1L;SNCA;CTHRC1;PLCL1;MACC1;PDE4DIP;SEMA4F;SOD3;KLF2;TLL1;TEK;OCIAD2;ASB5;CDO1
Cd47 KO mouse GSE43133 sample 1832	91/145	0.00000000000000021736994120923805890553914114706755069016393491256045056303491946891881525516510009765625	0.0000000000002672563427167581894061001380707906697575641785658007165693561546504497528076171875	0.00000000000000000011636238330429540369072770565972812467473891331841266173763305147303981357254087924957275390625	0.000000000000000010046651785867389065737594714786481550707709364269291929527838647118187509477138519287109375	-1.793218807200696	64.67231250238372	BCAR3;GABRB1;OLFML2B;ERO1LB;RASL11B;AHR;HOXC13;TFCP2L1;PCSK6;CDH3;BMPER;KDR;TMEM108;PMEPA1;ANXA8;RSPO1;CAR12;CAR6;DACT1;EMX2;KCND2;ACTN3;IGFBP3;APLP1;MTUS1;IL18;WT1OS;PAX3;KCNAB1;ATP1B1;SEPT4;PRSS12;ENAH;RNF128;DAAM2;DDIT3;KIFC3;PKHD1L1;CRELD2;B4GALT4;BEX4;LAMA5;PARM1;SEMA3C;ARHGEF26;TUFT1;DERL3;ADAM22;PRR5L;TMTC1;SNX32;LRP2;RASGRP3;9330182L06RIK;SCEL;NT5E;TSPAN8;SH3TC2;SV2A;PODXL;FAM184A;FAM180A;STX3;RAB11FIP2;S1PR5;PLXNA4;VAT1L;HOXC6;ATP8B5;TMEM86A;SDF2L1;VDR;CHCHD10;MBOAT2;GDF6;AIF1L;SUGCT;E330013P04RIK;FABP3;CSDC2;PPP2R2B;TMEM56;MYO5B;KRT14;PCDHB16;CREBRF;HOXD4;GALM;ITM2A;HOXD8;YPEL2
Rap1a KO mouse GSE46209 sample 1444	197/407	0.000000000000001719246459153165832605724927419285256561216966401939298947354473057202994823455810546875	0.00000000000140920901435254473911861807732477227324448254552891057755914516746997833251953125	0.000000000000000000000000000018408331256542153620557386282543440991211889497038793072565097056953107887791211416672609857414499856531620025634765625	0.00000000000000000000000002263304327991857877610892053091972023172941060873535236464695351624697161607713269404484890401363372802734375	-1.6084196531874653	54.681266514182184	SPARC;IFI35;LIPA;LURAP1L;CREB3L1;RASSF6;PIEZO2;CYP1B1;HMCN1;CHAC1;LGALS9;TRIM21;WLS;CDON;DAXX;GBP7;MTUS1;MYO7A;CH25H;SFRP1;SFRP2;CCDC80;PAPPA;RBP1;TRIB3;KDELR3;EPHA3;CFH;IGSF3;LPAR4;ACTR3B;PLAC8;PDGFD;SERPINH1;ARSI;HOXC8;JAG1;FZD2;IGF2;IRGM1;PYCR1;IFI47;NMI;IGF1;SMARCA1;PARP14;PARP10;GJB2;FAT4;ALDH18A1;ITM2A;CDKN1C;SRPX;FKBP10;TENM3;MEI4;PRSS23;IFIH1;ADAMTSL1;MMP23;AKAP12;CASP12;KCNT2;GLIPR2;STBD1;ANXA6;RSPO3;AASS;MANBA;MME;SLC2A10;COPZ2;SERPINB9;PARP9;TMEFF1;TUBB2B;ANGPTL7;NOV;PLSCR2;TLCD2;PDZRN3;TLR3;SP100;TAGLN;COL11A1;FAM129A;NEXN;SERTAD4;ABI3BP;GPC3;AOC3;IL33;STAT1;STAT2;VEGFC;PRSS35;PLXDC2;PODN;DHRS3;PSMB8;COL3A1;KIF26B;FMOD;SCARB2;SAMD9L;OLFML2B;TNC;DNM3OS;CLU;ACTG2;LOXL2;EFEMP1;SVEP1;PITX2;POSTN;TGTP1;IGFBP5;GPT2;IGFBP2;PDIA5;TANC1;COL4A2;COL4A1;COL4A6;COL4A5;RAB38;XIST;PHLDB2;CHODL;FBN2;TRIM12C;NNMT;FAM114A1;GPR88;NPR3;ECSCR;AK3;SLC1A4;KLHL13;NREP;SLC1A6;NID2;SEC16B;TGFB2;CTLA2A;TGFB3;ASNS;TVP23B;GULP1;BMP4;CXCL12;COL5A1;P4HA2;SERPINB6B;COL5A2;FBN1;LGALS3BP;MOXD1;ZFP521;B230209E15RIK;WISP1;ADAMTS5;ADAMTS1;ZIC1;ITGB8;CPXM1;DACT1;PEG3;ITGA1;ADAMTS20;TAPBP;RCN3;RCN1;DDAH2;COL6A2;IRF1;CDH11;COL6A1;ALDH1A1;PDE5A;HLF;SEMA3D;LAMA4;SEMA3E;THBS2;PSMB10;GBP2;MEST;CTHRC1;BICC1;P2RX3;ST5;PMP22;SPRY1;TLL1;CDO1;RECK
Bmpr2 R899X mutation mouse GSE28043 sample 1736	115/215	0.0000000000003377154857061191631362175011848357104328986755259478513835347257554531097412109375	0.000000000207610594837836755171958248830828275277582406488363631069660186767578125	0.000000000000000000027239259111525006029702504076878695854995813559882957065154396314454743333044461905956268310546875	0.000000000000000002790889089801666614688335147693369567238853467115613886384561936893078382126986980438232421875	-1.813828502960383	52.08693791128728	OLFML2B;1810011O10RIK;AHR;SOGA3;COX6A2;ZDHHC2;NPPB;CYSLTR1;DPYSL5;CAR6;SLC16A3;MAP3K5;EPHA4;9330159F19RIK;PAQR3;APLP1;LMO7;ATP1B1;PDIA6;BTC;SFRP4;AKR1C14;SLCO2A1;GUF1;NUPR1;BEX4;GPM6A;ARHGEF26;LTBP4;AK4;SLAIN1;OLFR1033;NDRG1;CSF2RA;TSPAN8;CHST12;PODXL;TSPAN7;RHPN2;VILL;RCE1;PLXNA4;SDF2L1;LRRN4;CHCHD10;BMP4;PPFIBP2;VNN1;GJB3;FXYD3;HYOU1;FLT4;PDE3B;SLC40A1;ICA1;TRF;TFCP2L1;SIGLECG;ZFP809;HERPUD1;LFNG;MMP23;SMPD3;TRMT112;UCHL1;C1QTNF7;STBD1;TAGAP;LBP;IL18;PPP2R5B;SHROOM3;PAWR;KCNAB1;ELOVL7;FAM210B;TMEFF2;AIM2;MMP13;ANGPTL7;CLDN15;BDH1;KIFC3;G530011O06RIK;PKHD1L1;CRELD2;FAM84B;CRB2;ITIH2;SATB1;DERL3;PRUNE2;FAM129A;SNX32;NDNF;CRIP1;NT5E;NXF3;ERMP1;SV2A;SPOCK2;MAL2;S1PR5;MBNL3;VAT1L;CD74;KRR1;MID1IP1;SYVN1;TPCN1;SH3RF2;FRAS1;CSDC2;KRT14;OLFR1372-PS1
Xbp1 OE mouse GSE46178 sample 300	144/294	0.000000000003463586579470627098614874890658674351506807198575188522227108478546142578125	0.000000001703391879783654578997266517401999730285666601048433221876621246337890625	0.0000000000000000000002937353656146074749169659645870766819229192669404076449442861189431663859750187839381396770477294921875	0.00000000000000000006019127200385998129229873676690683540248077743015932793146927082261754549108445644378662109375	-1.7081585103781574	45.07611063340284	SRP19;CMAS;RWDD4A;SLC35B1;SERPINE1;HDLBP;EEF1B2;TFG;FAM162A;MAGOH;ARHGDIB;OSBP;ARL6IP5;HOXA1;RPL38;SLC39A7;GOLGA7;IER3;PDIA3;IFRD1;MRPS18B;PDIA6;TM4SF1;PDIA5;PDIA4;ARMCX3;LOX;DNAJB11;ADAM9;PREB;NUPR1;KDELR3;SQSTM1;MMADHC;PRR13;COPB2;LRRC59;FKBP2;COPA;VCP;PSMD14;SAR1A;COPB1;UBA5;RPN1;SLC38A10;GABARAP;ZMPSTE24;HSP90B1;C3;PRDX5;SERPINH1;HMOX1;SSR1;SARAF;EDEM3;SDF2L1;HSPA5;WFS1;GPR108;SURF4;NFXL1;PRG4;MT2;MANF;CXCL12;ARPC3;STT3A;RNF181;SRPRB;CALR;NOP10;COPE;ITM2C;FKBP10;PRKCSH;RPLP0;MIA3;MAGT1;DMKN;CLINT1;HERPUD1;SEC61A1;FTL1;SERP1;SEC61G;RARS;TMED3;TMED2;ANXA8;SEC61B;SDF2;EMB;VKORC1;EIF5A;BUD31;NME2;ARFGAP3;OSMR;SRP9;DDOST;NME1;EEF1G;TMBIM4;GORASP2;BCAT1;CRELD2;ALDH9A1;CHMP5;TMEM45A;SNAP47;OAT;USO1;DERL1;SLC3A2;SRM;TM9SF3;TBRG1;MIEN1;PDPN;EMC3;DNAJB9;POLR2G;EMC7;SEC23B;SEC11A;SEC11C;YIPF5;SYVN1;ATOX1;YIF1A;ERP44;SPCS3;SPCS2;PHF5A;RPS3A1;CDK2AP2;PTX3;2610524H06RIK;P4HB;FAM98A;FAU;CD68;EIF3B
Xbp1 OE mouse GSE46178 sample 1437	145/298	0.00000000000548438137176064287268384549728017442367378198042615622398443520069122314453125	0.000000002247682298859903316904887104186495927482525303275906480848789215087890625	0.0000000000000000000003390213797309368287081846159362572163470986447445879941728547925239301008559777983464300632476806640625	0.00000000000000000006412719790449028007412815953971706567626954829605757436340740529345794129767455160617828369140625	-1.7095921544066783	44.32821467594376	SRP19;CMAS;RWDD4A;SLC35B1;SERPINE1;HDLBP;EEF1B2;TFG;FAM162A;MAGOH;ARHGDIB;OSBP;ARL6IP5;HOXA1;RPL38;SLC39A7;GOLGA7;IER3;PDIA3;IFRD1;MRPS18B;PDIA6;PDIA5;PDIA4;ARMCX3;LOX;DNAJB11;ADAM9;PREB;NUPR1;KDELR3;SNRPC;SQSTM1;MMADHC;PRR13;COPB2;LRRC59;FKBP2;COPA;VCP;PSMD14;SAR1A;COPB1;RPN1;SLC38A10;GABARAP;ZMPSTE24;HSP90B1;C3;PRDX5;SERPINH1;HMOX1;SSR1;SARAF;EDEM3;EIF2B4;SDF2L1;HSPA5;WFS1;GPR108;SURF4;NFXL1;PRG4;MT2;MANF;CXCL12;ARPC3;STT3A;RNF181;SRPRB;CALR;NOP10;COPE;ITM2C;FKBP10;RPLP0;MIA3;MAGT1;DMKN;CLINT1;ATP5G1;HERPUD1;SEC61A1;FTL1;SERP1;SEC61G;RARS;TMED3;TMED2;ANXA8;SEC61B;SDF2;EMB;VKORC1;EIF5A;BUD31;NME2;ARFGAP3;OSMR;SRP9;DDOST;NME1;EEF1G;TMBIM4;GORASP2;BCAT1;CRELD2;ALDH9A1;CHMP5;SNAP47;OAT;USO1;DERL1;SLC3A2;SRM;TM9SF3;TBRG1;RPS15A;MIEN1;PDPN;EMC3;DNAJB9;POLR2G;EMC7;SEC23B;SEC11A;SEC11C;YIPF5;SYVN1;ATOX1;YIF1A;ERP44;SPCS3;SPCS2;PHF5A;RPS3A1;CDK2AP2;PTX3;2610524H06RIK;P4HB;FAM98A;FAU;CD68;EIF3D;EIF3B
Ksr1 knockout mouse GSE28228 sample 1912	168/366	0.0000000000499843329894689877712372598557075652203618432167786522768437862396240234375	0.00000001755878211730060522298925884850107070889180249650962650775909423828125	0.00000000000000000000002114536589647214402503625750030666079430137767897965941037621688015912813085606103413738310337066650390625	0.000000000000000000006499556842428125106963020457196332977226421592371736788242876647903045750354067422449588775634765625	-1.6787745507878848	39.819376508095345	APP;SPARC;HDLBP;PLAT;CALML4;EPRS;COX6A1;RPL6;ACTG2;LY6C1;FAM162A;CREB3L1;CYP1B1;SLC39A7;PSPH;FADS1;PHLDA3;WLS;HMGN1;PDIA3;RARS2;1810058I24RIK;CPT1A;POSTN;TMOD3;GLCE;CNPY2;LMO7;MORF4L1;SFRP2;COL4A2;LOX;COL4A1;MORF4L2;DDIT3;RBP1;DDIT4;FSCN1;TRIB3;FKBP9;KDELR3;ATP6V0D1;SQSTM1;PHLDB2;ATF4;COPA;LXN;SAR1A;MAGED1;AK1;NPR3;MGST1;ARL1;TARS;SLC1A4;NID2;GABARAP;RNASET2A;PLAC8;SNX4;UBC;SERPINH1;TSPAN4;SARAF;SPTBN1;SEC31A;AKIRIN2;H3F3B;GADD45A;EPHX1;SURF4;DSTN;ASNS;SMAD6;SERPINA3G;SMARCA2;MARCH5;DLG1;CXCL12;COL5A1;COL5A2;RSRP1;ID3;RNF181;SNAI2;ACO2;ITM2C;FBN1;MXD4;LGALS3BP;CLIC4;WDR1;FHL1;CLTC;PRSS23;ATRAID;WISP1;SERP1;TUBA1A;CSRP1;STBD1;TMSB4X;SEC61G;TMED3;TIMP3;ANXA8;SEC61B;EMB;SPTAN1;VKORC1;SEC13;AKR1A1;GPX7;COPZ2;OSMR;1190002N15RIK;RHOB;PTP4A1;DDB1;ACTA2;RCN1;VCAN;SMDT1;MDFIC;NOV;GORASP2;COL6A2;COL6A1;GAS1;GARS;CD47;PABPC1;GAS6;TMEM45A;TMEM55A;CSTB;TAGLN;COL11A1;SLC3A2;HSD17B12;UQCR10;THBS2;FSTL1;CDC42;TBRG1;LIMA1;RPS15A;RPS27A;MEST;RPL19;CCT4;SVIL;NDUFA7;YIPF5;PNRC2;SOD1;SKI;COL3A1;MARCKS;BC004004;RPS3A1;CCNG1;9530068E07RIK;PMP22;PTX3;CDO1;RECK;LIMS1
Hey2 KO mouse GSE6526 sample 1508	156/340	0.0000000002522020461318958847769830823311136558384504269270109944045543670654296875	0.00000005168040261986099313283997435698735589681973578990437090396881103515625	0.000000000000000000000819678667685705944714807582316279497820988027265691426418749154780840626699500717222690582275390625	0.000000000000000000134372656255943415651927315364858495482545476547214043268330119218489926424808800220489501953125	-1.7154244730761774	37.912237034060276	SPARC;GTF2B;SERPINE1;PLOD2;AHR;F11R;COX6A1;CHCHD2;GJA1;SLC39A8;CAR9;FADS1;CDON;CPT1A;GABARAPL1;APLP1;STX7;IFRD1;ATP1B1;PGD;TM4SF1;BSCL2;CCDC80;COL4A2;RNF128;LOX;ILVBL;MORF4L2;RBP1;ADAM9;COL4A5;MALAT1;NUPR1;EZR;MMADHC;ATP6V1A;COX19;GPM6A;ANAPC13;VCP;CFH;PSMD14;SDC4;MGST1;LPL;PPL;C3;SLC9A3R1;PRDX5;TSPAN8;S100A16;PRDX1;PACSIN2;PMAIP1;SARAF;IGFBP7;RHPN2;MCTS1;FIS1;AKIRIN1;AFAP1L2;MUC16;GADD45A;LRRN4;TMA7;DSTN;PRG4;MT2;IGF1;TMEM98;FXYD3;SERPINB6B;PQLC3;COL5A2;FGF18;PIR;CYSTM1;NOP10;MOXD1;CLIC4;B4GALT1;BNC1;SLC44A2;RPLP0;ENO1B;TRF;TDRP;TFCP2L1;SMPD3;UPK1B;GM2A;RARS;PMEPA1;OLR1;CTSH;TIMP3;ANXA8;RSPO1;BRD2;SERPINB2;PTGIS;ANXA3;PGAM1;MMP3;AKR1A1;USMG5;FOS;UPK3B;PRSS12;DCN;MAN1A;SMDT1;NDUFS8;NDUFS5;COL6A2;COL6A1;ALDH1A1;RBMS1;RBM20;GAS6;GAS5;ARHGEF5;FAM84B;TMEM45A;VGLL3;CSTB;KANK1;CEBPB;MYRF;TUFT1;RPL11;TMEM160;CRIP2;MAT2B;CRIP1;PSMA7;MINOS1;PDPN;DNAJB9;POLR2G;BCAP31;CYB5A;MDH2;MID1IP1;KLF4;BICC1;COL3A1;KRT19;TEC;OSTM1;XPNPEP1;RPS3A1;CCNG1;KLF9;YPEL2;HSPA1A
Htt Gain of function by knock in of htt cag repeat length-7/85 mouse GSE26001 sample 1627	177/394	0.000000000133630503793493288968985696366846387117544026068571838550269603729248046875	0.00000003909552999712033006317105066594608242525055175065062940120697021484375	0.000000000000000000000008846053553943596161302288493076242640100261594104880488631496176545054854756244822056032717227935791015625	0.000000000000000000003625407614857883742774854081569785268401792154311011126131998605348627506828051991760730743408203125	-1.5934539489529642	36.22867745393359	PGAP1;TES;IRS1;GT(ROSA)26SOR;NRK;SERPINE1;IRS2;CALML4;IFI35;CLU;HS6ST2;CTGF;FAM107B;FGF5;CYSLTR1;GJA1;EFEMP1;CDH2;PEG10;ENPP2;BBX;MIR22HG;PXDC1;PIM2;PITX2;MB21D2;HMGN3;SLC16A3;WLS;KCMF1;EOMES;TGTP1;LMO4;UNC5B;SFMBT2;TPM2;IGFBP3;KRT8;SOX11;FRMD4B;POU3F1;SFRP2;RNF128;SPIN2C;MALAT1;EPHA1;PHLDB2;SMIM3;TRIM12C;L3MBTL3;TMEM63A;PFKFB3;PKDCC;UGT8A;ARHGEF26;TACSTD2;KLHL13;LPAR4;NREP;PLCXD1;SLC5A5;EFNB2;CNN1;PODXL;CALD1;TSPAN7;CHST15;SERPINH1;PMAIP1;TSPAN2;SFN;RHPN2;WNT4;MFAP3L;TGFB2;FZD2;ZFP758;LRRN4;TMEM132A;CRIM1;IRGM1;NMI;TDRD5;SMARCA1;GULP1;PARP10;MEX3B;COL5A1;TMEM98;ID2;AMOTL2;MKX;FGF13;ITM2A;SERINC5;LAD1;MOXD1;FKBP10;TTC23;CITED1;CHD7;SLC40A1;NXT2;SHB;RND3;PRSS23;WISP1;CSRP1;EMB;YAF2;AASS;TRP53INP1;DUSP4;DSP;ELOVL1;LEFTY1;DUSP3;ANXA1;ANXA3;GPX3;ZFP658;MUM1L1;ARAP2;VWA5A;SHROOM2;IRAK3;F3;RHOB;TAPBP;ACTA2;IRF1;GM2897;RBMS1;TAX1BP3;VWA2;ARHGEF5;DBN1;CCDC40;FAM84B;VGLL3;TAGLN;SEMA3C;CEBPD;SEMA3E;LRP2;PRICKLE1;SERTAD4;NXF3;PDPN;FLNC;STX3;GBP2;PDLIM7;AI661453;CAR2;IL33;TCF7L1;GCA;GALNT3;FAM46B;ERAP1;NAP1L2;PTPN14;PSMB8;FNDC3C1;CD24A;GATM;MARCKS;KRT19;KLF6;GOLPH3;KRT18;WT1;CCNG1;ZYX;PMP22;TEK
Htt Knock-in mouse GSE26001 sample 2938	180/403	0.0000000001657768785811628448497003567607709952069772185723195434547960758209228515625	0.0000000407645344431079470873233758058951092806410088087432086467742919921875	0.0000000000000000000000060831053696038837282305596696314194971979936653762661877099530613986766436340758446021936833858489990234375	0.000000000000000000003625407614857883742774854081569785268401792154311011126131998605348627506828051991760730743408203125	-1.5807640626280048	35.59940475132152	APP;PGAP1;TES;IRS1;NRK;SERPINE1;IRS2;CALML4;IFI35;CLU;HS6ST2;CTGF;FAM107B;FGF5;CYSLTR1;GJA1;EFEMP1;CDH2;PEG10;ENPP2;BBX;MIR22HG;PXDC1;PIM2;PITX2;HMGN3;SLC16A3;WLS;IER3;KCMF1;EOMES;LMO4;UNC5B;SFMBT2;TPM2;IGFBP3;KRT8;SOX11;FRMD4B;POU3F1;SFRP2;COL4A2;RNF128;SUB1;RBP1;DDIT4;SPIN2C;MALAT1;EPHA1;PHLDB2;SMIM3;TRIM12C;L3MBTL3;TMEM63A;PFKFB3;PKDCC;UGT8A;ARHGEF26;TACSTD2;KLHL13;LPAR4;NREP;PLCXD1;SLC5A5;EFNB2;CNN1;PODXL;CALD1;TSPAN7;CHST15;SERPINH1;PMAIP1;TSPAN2;SFN;RHPN2;WNT4;MFAP3L;TGFB2;FZD2;ZFP758;LRRN4;TMEM132A;CRIM1;IRGM1;TDRD5;GULP1;PARP10;MEX3B;COL5A1;TMEM98;P4HA2;ID2;RADIL;AMOTL2;MKX;FGF13;ITM2A;SERINC5;LAD1;MOXD1;FKBP10;TTC23;CITED1;CHD7;PDE3B;SLC40A1;NXT2;SHB;RND3;PRSS23;WISP1;CSRP1;EMB;YAF2;AASS;TRP53INP1;DUSP4;DSP;ELOVL1;LEFTY1;DUSP3;ANXA1;ANXA3;GPX3;MUM1L1;ARAP2;VWA5A;SHROOM2;IRAK3;F3;RHOB;TAPBP;ACTA2;IRF1;GM2897;RBMS1;TAX1BP3;VWA2;ARHGEF5;DBN1;FAM84B;VGLL3;TAGLN;SEMA3C;CEBPD;SEMA3E;LRP2;PRICKLE1;SERTAD4;NXF3;9230114K14RIK;PDPN;GPC3;FLNC;STX3;GBP2;PDLIM7;AI661453;CAR2;IL33;TCF7L1;GCA;FAM46B;ERAP1;NAP1L2;PTPN14;PSMB8;FNDC3C1;CD24A;GATM;MARCKS;KRT19;KLF6;GOLPH3;KRT18;WT1;CCNG1;ZYX;PMP22;TEK
