Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Z-score	Combined Score	Genes
Ribosome biogenesis in eukaryotes_Homo sapiens_hsa03008	34/89	0.00000000000000000001138634283336773446135939753889051722776426996257487242263616022963645946219912730157375335693359375	0.0000000000000000027554949656749916824729289804154407815196081604530893571780580941776861436665058135986328125	0.0000000000000039458891856914634622326717761264869209652020841383457394613287760876119136810302734375	0.00000000000095490518293733420992512631440938899204766421302537082738126628100872039794921875	-1.9940045862206843	91.56842399940363	RBM28;NVL;POP1;WDR3;HEATR1;NAT10;NMD3;SPATA5;PWP2;WDR43;NOL6;FBL;XPO1;NOB1;TCOF1;BMS1;UTP14A;NOP56;UTP15;NOP58;WDR36;CSNK2A2;RPP40;WDR75;GNL2;UTP18;GTPBP4;GNL3;RCL1;TBL3;EIF6;DKC1;NHP2;RAN
RNA transport_Homo sapiens_hsa03013	36/172	0.00000000000162372843656733578063944381796974305675988758945749168560723774135112762451171875	0.00000000019647114082464763692946319622776273072783936868290766142308712005615234375	0.0000000016366190970127414452174023182132005238553773551757331006228923797607421875	0.000000198030910738541710942197770876915807747309372643940150737762451171875	-1.8429009241065277	50.02793418172271	EIF4A1;POM121;POP1;EIF4A3;NMD3;FXR1;PNN;XPO1;XPO5;EIF4E;EIF4B;UPF1;PRMT5;EIF2B3;UBE2I;NUP133;NCBP2;PABPC4;ELAC2;RPP40;THOC3;RANGAP1;EIF2S1;NUP93;DDX39B;CLNS1A;EIF3G;GEMIN5;ACIN1;EIF3E;PABPC1;EIF3D;RAN;KPNB1;EIF3B;EIF4G1
Spliceosome_Homo sapiens_hsa03040	26/134	0.0000000107585627646771165923141795627872296936544671552837826311588287353515625	0.0000008678573963506207329321397343779853628120690700598061084747314453125	0.00000115504767510337252934865710785050652020800043828785419464111328125	0.000093173845791672048159692831603706508758477866649627685546875	-1.7473197975422559	32.05906157482336	SF3B4;RBM25;SF3B3;EIF4A3;DDX23;SRSF1;HNRNPU;PRPF19;EFTUD2;U2AF2;SNRNP70;PCBP1;HNRNPA1;PRPF38B;SF3A1;NCBP2;THOC3;CHERP;XAB2;HNRNPM;HNRNPK;DDX39B;PRPF3;SRSF2;ACIN1;SNRPA
Focal adhesion_Homo sapiens_hsa04510	24/202	0.00023709631802674099062926138525853048122371546924114227294921875	0.011475461792494263957298272771367919631302356719970703125	0.0025020551076188981588777071607410107390023767948150634765625	0.1210994672087546686345405078100156970322132110595703125	-1.8214255743214258	15.20351958318861	VASP;SRC;ITGA3;ACTN1;PDGFB;PDGFA;LAMC2;PRKCA;LAMB1;ACTN4;THBS1;ACTB;VAV2;MYLK;COL4A2;COL4A1;COL6A2;COL6A1;CAPN2;RAPGEF1;SPP1;AKT1;BCAR1;VCL
Purine metabolism_Homo sapiens_hsa00230	22/176	0.00020610248638299315270851208570235257866443134844303131103515625	0.011475461792494263957298272771367919631302356719970703125	0.00212230179509728493492115575236311997286975383758544921875	0.1210994672087546686345405078100156970322132110595703125	-1.7042752713178846	14.464417723913629	ADSL;GMPS;AK2;AMPD2;AK5;ADCY1;ADCY7;PFAS;APRT;ATIC;POLR3A;POLR1A;POLR1B;PPAT;IMPDH2;POLR1D;POLR1E;ENPP1;POLR2F;POLR2H;ADSS;GART
RNA polymerase_Homo sapiens_hsa03020	7/32	0.00133055228396377202108868953445153238135389983654022216796875	0.052607792652650468834263364215075853280723094940185546875	0.0060791673235263410379758397539262659847736358642578125	0.2451930820488957551983588700750260613858699798583984375	-1.6010183471997212	10.602201534230682	POLR3A;POLR1A;POLR1B;POLR1D;POLR1E;POLR2F;POLR2H
Hippo signaling pathway_Homo sapiens_hsa04390	18/153	0.00152171301061385642362788761516867452883161604404449462890625	0.052607792652650468834263364215075853280723094940185546875	0.009067904033308295252968633803902775980532169342041015625	0.274304097007575908850895984869566746056079864501953125	-1.5921470349265505	10.32972035868704	CRB2;WNT10A;SERPINE1;LEF1;ITGB2;WNT5A;FZD8;SCRIB;GDF6;ACTB;CTGF;TGFBR2;BMP4;BMP2;PARD6B;PPP2R1B;PPP2R1A;DVL1
Adherens junction_Homo sapiens_hsa04520	11/74	0.0019549951038198049198257866265748816658742725849151611328125	0.059138601890549098716309828205339726991951465606689453125	0.0089623011060031114449753175676960381679236888885498046875	0.274304097007575908850895984869566746056079864501953125	-1.6354629970181531	10.200983892225574	PTPRB;SRC;ACTN1;LEF1;CSNK2A2;LMO7;ACTN4;PTPRF;ACTB;VCL;TGFBR2
mRNA surveillance pathway_Homo sapiens_hsa03015	12/91	0.0034925708904905866138135284160171067924238741397857666015625	0.09063390045123316529629420301716891117393970489501953125	0.0145541279933016458325578668109301361255347728729248046875	0.380358787365127348767401826989953406155109405517578125	-1.5037400840626407	8.506833847441301	UPF1;PNN;PPP2R1B;DDX39B;NCBP2;PPP2R1A;PABPC4;EIF4A3;CSTF1;ACIN1;PABPC1;GSPT1
Pyrimidine metabolism_Homo sapiens_hsa00240	13/105	0.00421457704185241970040731729341132449917495250701904296875	0.09063390045123316529629420301716891117393970489501953125	0.0173966410409163163564016940654255449771881103515625	0.380358787365127348767401826989953406155109405517578125	-1.543729336703854	8.442973810119264	TXNRD3;CAD;DCTD;UCK2;POLR3A;POLR1A;POLR1B;POLR1D;POLR1E;POLR2F;TK1;POLR2H;UMPS
