Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Z-score	Combined Score	Genes
Cell cycle_Homo sapiens_hsa04110	60/124	0.00000312067344185077147889731570551408168512352858670055866241455078125	0.000901874624694872970530334921335224862559698522090911865234375	0.000078351220951395942021337759353372121040592901408672332763671875	0.0226435028549534268782483792392667965032160282135009765625	-1.7331983346405637	21.972555562563272	YWHAE;RB1;CDKN1A;MCM7;YWHAB;BUB1B;CDC14A;CDC20;CCND1;PTTG1;YWHAQ;CHEK1;SKP2;YWHAH;SMC1A;CDC25C;CDC25B;CCNA2;RBL1;TFDP1;CCNE2;ESPL1;CCNE1;MCM3;MCM4;ANAPC5;MCM5;MCM6;ANAPC2;MCM2;HDAC2;PCNA;CUL1;TTK;ANAPC11;CCNB2;FZR1;CCNB1;RAD21;ORC2;ABL1;E2F1;E2F2;BUB3;E2F4;E2F5;BUB1;CDKN2D;SMAD2;SMAD4;TGFB1;PLK1;GADD45G;WEE1;STAG1;CDK7;STAG2;CDK4;CDC16;CDK1
Pathways in cancer_Homo sapiens_hsa05200	146/397	0.0003337927549474586246848473169990256792516447603702545166015625	0.0169582102382770383286469950689934194087982177734375	0.0001679457571319857068538328181972474340000189840793609619140625	0.0242681619055719333122311809347593225538730621337890625	-2.0296989389536892	16.247720220297467	RB1;ETS1;FGF7;CCND1;RASSF5;AKT2;AKT3;AKT1;PRKACA;SKP2;PRKACB;PDGFRB;PRKCG;MAP2K1;TPM3;HGF;MITF;PRKCA;PGF;PIAS2;RUNX1;BCR;MSH6;SMO;CCNE2;MSH2;CCNE1;CSF1R;CTBP2;CTBP1;TCF7;CUL2;LPAR1;PDGFA;LPAR2;PIK3R2;PIK3R1;HIF1A;PIK3R5;WNT6;GNG10;STK36;DVL1;ABL1;FADD;RALGDS;FGF22;SMAD2;STAT5B;WNT10B;JUN;FZD3;SMAD4;TGFB1;PTCH1;PTCH2;FZD8;NFKB1;NFKB2;NFKBIA;CDK4;LPAR6;GNB2;GNAQ;GNB1;BCL2;GNB4;CYCS;GRB2;FGFR2;BCL2L1;FGFR1;FGF10;ITGB1;CDKN1A;PIK3CD;PIK3CB;BRCA2;GLI1;CKS1B;CASP8;MECOM;CASP3;BDKRB2;RAC3;BDKRB1;HRAS;JAK1;APPL1;ARHGEF11;HSP90AA1;ITGA3;AXIN1;ARNT;WNT9A;TRAF1;AXIN2;RHOA;TGFBR2;PLCB3;PIK3CA;TRAF3;TRAF5;RARA;CKS2;ITGA6;PPARG;ARHGEF1;SOS2;BIRC3;PPARD;PTGER4;HDAC2;RALA;RALB;ROCK1;ROCK2;GSTP1;LEF1;GNAI3;XIAP;ADCY3;PTGS2;ADCY7;GNAI2;GNA13;NRAS;RXRA;GNG2;GNG5;GNA11;GNG7;ERBB2;E2F1;CTNNA1;E2F2;GNG8;BID;EGLN1;LAMB2;VEGFB;WNT7A;PML;CCDC6;BAX;CTNNB1
Chronic myeloid leukemia_Homo sapiens_hsa05220	36/73	0.00017178545475463082568313988307551198886358179152011871337890625	0.0165486654746961024675666607208768255077302455902099609375	0.0015488259053111873286834310192716657184064388275146484375	0.065163648540231655648113928691600449383258819580078125	-1.872174720532134	16.230377310480776	RB1;CDKN1A;HDAC2;SHC2;CTBP2;SHC1;CTBP1;PIK3CD;PIK3R2;PIK3CB;PIK3R1;PIK3R5;NRAS;MECOM;CCND1;AKT2;AKT3;ABL1;E2F1;E2F2;AKT1;HRAS;STAT5B;MAP2K1;SMAD4;TGFB1;NFKB1;TGFBR2;RUNX1;BCR;NFKBIA;PIK3CA;CDK4;GRB2;SOS2;BCL2L1
Sphingolipid signaling pathway_Homo sapiens_hsa04071	54/120	0.000116763935410324441320668864552345667107147164642810821533203125	0.0165486654746961024675666607208768255077302455902099609375	0.000688754222757283402801820049177194960066117346286773681640625	0.0497624925942137252832253579981625080108642578125	-1.7492365875715734	15.839960566439528	PIK3CD;PPP2R2A;PIK3CB;PPP2R1B;PPP2R5E;AKT2;SMPD1;AKT3;ADORA1;BDKRB2;AKT1;RAC3;CTSD;HRAS;PRKCG;CERS4;MAP2K1;CERS6;SPHK2;SPHK1;PRKCE;PRKCA;PPP2R5D;PPP2R5C;RHOA;PLCB3;PIK3CA;CERS2;ASAH1;ROCK1;ROCK2;GNAI3;PIK3R2;SGMS2;PIK3R1;PIK3R5;GNAI2;PLD2;GNA13;PPP2CB;NRAS;SGPL1;S1PR1;S1PR3;S1PR2;BID;PPP2R3A;NFKB1;SGPP1;MAPK13;GNAQ;PPP2R2D;BCL2;BAX
Colorectal cancer_Homo sapiens_hsa05210	31/62	0.00034833664264713221254965436202155615319497883319854736328125	0.0169582102382770383286469950689934194087982177734375	0.002705757032812386962683515179151072516106069087982177734375	0.065163648540231655648113928691600449383258819580078125	-1.8475011636470107	14.710434598833865	LEF1;TCF7;PIK3CD;PIK3R2;PIK3CB;PIK3R1;PIK3R5;CCND1;AKT2;CASP3;AKT3;AKT1;RAC3;RALGDS;APPL1;SMAD2;JUN;MAP2K1;SMAD4;TGFB1;AXIN1;AXIN2;RHOA;TGFBR2;MSH6;PIK3CA;MSH2;BCL2;CYCS;BAX;CTNNB1
HTLV-I infection_Homo sapiens_hsa05166	100/258	0.00035207356896076896259073496509017786593176424503326416015625	0.0169582102382770383286469950689934194087982177734375	0.000436779899741976331169202030224596455809660255908966064453125	0.042076463675143720155613635824920493178069591522216796875	-1.8180992957158113	14.456926356685502	RB1;CRTC2;CRTC3;CRTC1;BUB1B;ETS1;ELK1;ELK4;CDC20;CCND1;PTTG1;AKT2;AKT3;CHEK1;AKT1;PRKACA;PRKACB;PDGFRB;IL1R1;VDAC3;VDAC2;ANAPC5;ANAPC2;CREM;PDGFA;PIK3R2;PIK3R1;PIK3R5;ANAPC11;WNT6;CCNB2;RRAS;TERT;DVL1;SMAD2;FDPS;STAT5B;WNT10B;EGR1;JUN;EGR2;FZD3;SMAD4;TGFB1;VCAM1;NFATC3;FZD8;NFATC2;NFATC1;NFKB1;NFATC4;NFKB2;NFKBIA;FOSL1;CDK4;CDC16;TCF3;BCL2L1;NRP1;CDKN1A;PIK3CD;PIK3CB;PPP3CA;PPP3CB;XPO1;PPP3CC;TSPO;MYBL1;JAK3;HRAS;JAK1;IL15;WNT9A;TGFBR2;CREB1;PIK3CA;LCK;SLC25A5;SLC25A4;VAC14;PCNA;SRF;XIAP;ADCY3;ADCY7;RELB;POLD3;POLD4;NRAS;E2F1;E2F2;BUB3;MAP3K1;RANBP3;NFYB;WNT7A;POLE4;POLE2;BAX;CTNNB1
Phosphatidylinositol signaling system_Homo sapiens_hsa04070	44/98	0.000508605604852693945171215883505055899149738252162933349609375	0.0209981456860612210324479320888713118620216846466064453125	0.0021389871932528683150243065114182172692380845546722412109375	0.065163648540231655648113928691600449383258819580078125	-1.696677268867437	12.86732501071329	TMEM55B;MTMR2;DGKD;MTMR14;PIK3CD;ITPR2;PIK3R2;ITPR3;PIK3CB;PIK3R1;PIK3C2A;MTMR6;PIK3R5;PIK3C2B;INPP5A;PPIP5K1;IMPA1;IMPA2;INPP5D;PIP5K1A;PIP4K2B;PIP5K1C;CDIPT;IP6K1;IP6K3;PRKCG;IPMK;ITPK1;OCRL;PRKCA;SYNJ2;DGKZ;ITPKC;INPP4B;PLCB3;PIK3CA;ITPKA;CALM3;PI4KB;PLCD3;CALM1;PLCD1;CDS2;DGKH
Glioma_Homo sapiens_hsa05214	31/65	0.00097423426452751733274626477765423260279931128025054931640625	0.0281553702448452507212106610268165240995585918426513671875	0.004651050579376474203296965015397290699183940887451171875	0.0896102411626533978949993297646869905292987823486328125	-1.7882986978211637	12.399810600765564	CAMK2B;RB1;CDKN1A;CAMK2D;SHC2;SHC1;CAMK2A;PIK3CD;PDGFA;PIK3R2;PIK3CB;PIK3R1;PIK3R5;NRAS;CCND1;AKT2;AKT3;E2F1;E2F2;AKT1;HRAS;PDGFRB;PRKCG;MAP2K1;PRKCA;PIK3CA;CDK4;CALM3;GRB2;CALM1;SOS2
Hepatitis B_Homo sapiens_hsa05161	60/146	0.000969014432930469173273213545627413623151369392871856689453125	0.0281553702448452507212106610268165240995585918426513671875	0.0020473924442948620606996801285504261613823473453521728515625	0.065163648540231655648113928691600449383258819580078125	-1.7324535059064803	12.021895163499803	RB1;CDKN1A;YWHAB;PIK3CD;PIK3CB;ELK1;CASP8;CCND1;YWHAQ;AKT2;CASP3;AKT3;AKT1;HRAS;JAK1;PRKCG;MAP2K1;ATP6AP1;PRKCA;TICAM1;TIRAP;CCNA2;CREB1;PIK3CA;CCNE2;CCNE1;IRF7;VDAC3;TLR2;PCNA;ATF6B;SRC;PIK3R2;PIK3R1;PIK3R5;NRAS;E2F1;E2F2;STAT6;FADD;STAT5B;JUN;EGR2;SMAD4;TGFB1;MAP3K1;EGR3;NFATC3;NFATC2;NFATC1;NFKB1;NFATC4;NFKBIA;MAVS;CDK4;BCL2;CYCS;BAX;GRB2;LAMTOR5
Proteoglycans in cancer_Homo sapiens_hsa05205	79/203	0.00120642015854483864757684674628990251221694052219390869140625	0.031695947801768938056898861077570472843945026397705078125	0.00153927100239085643505754230631055179401300847530364990234375	0.065163648540231655648113928691600449383258819580078125	-1.7545053754452953	11.790447803415542	ITGB1;CDKN1A;ITGB5;HSPB2;PIK3CD;PIK3CB;ELK1;CCND1;CTSL;PLAU;AKT2;CASP3;AKT3;AKT1;PRKACA;PRKACB;HRAS;PRKCG;MAP2K1;HGF;PLAUR;PRKCA;WNT9A;ANK3;RHOA;SMO;PIK3CA;CTTN;ARHGEF1;PPP1R12C;SOS2;CD44;TLR2;HBEGF;CAMK2B;CD63;CAMK2D;ROCK1;SRC;ROCK2;SDC2;PXN;CAMK2A;TWIST2;ITPR2;TWIST1;PIK3R2;ITPR3;IQGAP1;PIK3R1;THBS1;HIF1A;PIK3R5;WNT6;NRAS;PAK1;RRAS;ERBB3;GPC1;ERBB2;FLNA;EIF4B;SMAD2;WNT10B;FZD3;TGFB1;CAV2;CAV1;PTCH1;RDX;FZD8;WNT7A;MSN;MAPK13;CTNNB1;SDC1;PTPN6;GRB2;FGFR1
