Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Z-score	Combined Score	Genes
Protein processing in endoplasmic reticulum_Homo sapiens_hsa04141	35/169	0.0000000000019974810892797924905275082729889384752265668598880665740580298006534576416015625	0.00000000052334004539130561393895512775783183945232934775049216113984584808349609375	0.00000000013418833397463058900388666708799849380806534782095695845782756805419921875	0.00000003515734350135321163068131597971566204563487190171144902706146240234375	-1.814298057299226	48.87561881627815	PPP1R15A;TRAM1;SEC23A;ERO1LB;DERL3;HSPA4L;SEL1L;NGLY1;DERL1;DERL2;HERPUD1;HSP90B1;ERO1L;DNAJB2;MAPK9;SEC62;SEC23B;PDIA3;XBP1;HSPA5;WFS1;EDEM1;EIF2AK3;SYVN1;HSPA2;PDIA6;PDIA4;DNAJC3;DDIT3;DNAJB11;HYOU1;CALR;SEC24D;NFE2L2;ATF4
HIF-1 signaling pathway_Homo sapiens_hsa04066	17/103	0.00002373699610663444712894791510660041922164964489638805389404296875	0.003109546489969112516293936465672231861390173435211181640625	0.000109900787561299082190947873360897801831015385687351226806640625	0.01439700317053018048529811068192429956980049610137939453125	-1.8164825720197595	19.342770545402797	EGLN1;CDKN1A;MAP2K1;CDKN1B;TFRC;STAT3;SLC2A1;PIK3R3;HK1;VEGFA;LDHA;PFKL;MKNK1;PGK1;HMOX1;ALDOA;PDK1
Central carbon metabolism in cancer_Homo sapiens_hsa05230	13/67	0.0000373699784317825151633112035209904888688470236957073211669921875	0.0032636447830423393097476481017338301171548664569854736328125	0.00017606256391450349489853632878322287069750018417835235595703125	0.01537613058186663821114148475999172660522162914276123046875	-1.8212639014650545	18.567135086835393	MAP2K1;IDH1;PGAM1;SLC2A1;PIK3R3;HK1;LDHA;PFKL;FGFR3;SLC16A3;PFKP;PDK1;FGFR1
Biosynthesis of amino acids_Homo sapiens_hsa01230	13/74	0.000109792380607009242639467150315368826341000385582447052001953125	0.00719140092975910534545125329941583913750946521759033203125	0.0004137612706051069645478424074980239311116747558116912841796875	0.0271013632246345052834168853905794094316661357879638671875	-1.6749358786037698	15.270255446728571	TPI1;IDH1;GPT2;PGAM1;ASS1;PFKL;MAT2A;CTH;PGK1;ALDH18A1;ALDOA;PFKP;BCAT2
FoxO signaling pathway_Homo sapiens_hsa04068	18/133	0.00019970095948746376698750004674565161622012965381145477294921875	0.010464330277143100988990198629835504107177257537841796875	0.000622641374390845640622582646273031059536151587963104248046875	0.032626408018080310657893505776883102953433990478515625	-1.7245991988563683	14.69132510927032	CDKN2D;PLK3;CDKN1A;GABARAPL1;MAP2K1;CDKN1B;GADD45A;BNIP3;STAT3;FBXO25;PIK3R3;SLC2A4;FOXO3;FBXO32;RBL2;MAPK9;CCNG2;SGK1
Hepatitis B_Homo sapiens_hsa05161	18/146	0.000632216122933619236769209326354257427738048136234283447265625	0.0249101675084004436921958358652773313224315643310546875	0.0016370404028311805015583058064976285095326602458953857421875	0.06899729708451020349091464822777197696268558502197265625	-1.8089203644232394	13.325012555496999	RB1;CDKN1A;MAP2K1;CDKN1B;APAF1;STAT2;STAT3;NFATC2;PIK3R3;FOS;TICAM1;CREB3;MAPK9;CREB3L2;PTK2B;IKBKG;IFNAR1;ATF4
Glycolysis / Gluconeogenesis_Homo sapiens_hsa00010	11/67	0.00066553882656031717636457845088671092526055872440338134765625	0.0249101675084004436921958358652773313224315643310546875	0.00184343923508233369264186496394586356473155319690704345703125	0.06899729708451020349091464822777197696268558502197265625	-1.8055787791738416	13.207652731343668	ALDH3A2;ALDH3A1;LDHA;PFKL;TPI1;PGAM1;PGK1;BPGM;ALDOA;PFKP;HK1
Metabolic pathways_Homo sapiens_hsa01100	87/1239	0.0030437141512744555170433269353225114173255860805511474609375	0.0724957370576279347407222530819126404821872711181640625	0.00535323132684320350527240606197665329091250896453857421875	0.1275042370575381334152353929312084801495075225830078125	-1.7632590838869284	10.217516415894552	PI4K2B;PIGU;ALAS1;DGKA;CPOX;MSMO1;CSAD;LCLAT1;HK1;GMPPB;ANPEP;AOX1;HIBCH;ACAD8;PCYT1B;TPI1;ALG9;PCYT1A;CHPF2;GPT2;PGAM1;ALG5;ALG2;AMT;CTPS2;ALG12;BPGM;ALDH3A2;UGDH;ALDH3A1;RRM2B;NME7;MTHFD2;PIGA;ACOT2;ACOX3;ALDOA;ATP6V0D1;MOCS1;BCAT2;FECH;AK1;UAP1;AK4;SGMS2;PTGS2;MTMR4;PTGS1;MTM1;INPP5B;POLD4;LDHA;MAT2A;RDH12;ATP6V0A2;PGK1;INPP5K;ATP6V0A4;KDSR;NDUFV3;ST3GAL1;ATP6V0A1;IDH1;AGL;SLC33A1;GFPT1;MTHFR;MBOAT2;ASS1;GSTZ1;ALDH6A1;GCLC;PFKL;AMACR;GNPDA1;P4HA1;P4HA2;CTH;CYP2S1;P4HA3;HPSE;ALDH18A1;LPIN1;GCLM;POLR3K;PLCD1;PFKP
Carbon metabolism_Homo sapiens_hsa01200	14/113	0.002321713142546221776696402372408556402660906314849853515625	0.06082888433471100864124991858261637389659881591796875	0.005019516114641154984343796030543671804480254650115966796875	0.1275042370575381334152353929312084801495075225830078125	-1.479384111756044	8.973130275280052	TPI1;IDH1;GPT2;PGAM1;AMT;MTHFR;HK1;ALDH6A1;PFKL;ESD;PGK1;ALDOA;HIBCH;PFKP
Prostate cancer_Homo sapiens_hsa05215	11/89	0.00667171476772184489367756299316170043312013149261474609375	0.12485637636736594824338197895485791377723217010498046875	0.0123981840784301543256784583491025841794908046722412109375	0.2320231591820500482992173374441335909068584442138671875	-1.590800866637973	7.969718845557588	RB1;CREB3;CDKN1A;MAP2K1;CDKN1B;CREB3L2;PIK3R3;IKBKG;FGFR1;HSP90B1;ATF4
