Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Z-score	Combined Score	Genes
Protein processing in endoplasmic reticulum_Homo sapiens_hsa04141	80/169	0.00000120285321048205391330858902987355207869768491946160793304443359375	0.0003464217246188315405854007966723884237580932676792144775390625	0.0000078674486755006336493288576772187070673680864274501800537109375	0.002265825218544182707847145508139874436892569065093994140625	-1.814298057299226	24.73035962806177	TRAM1;ERO1LB;PRKCSH;UBE2D1;HERPUD1;SEC61A2;SEC61A1;CASP12;SEC61G;FBXO6;SEC61B;MAP3K5;PDIA3;SEC13;FBXO2;DNAJB12;YOD1;TRAF2;UBE4B;RAD23B;PDIA6;DDOST;PDIA4;RBX1;ERN1;DNAJC1;DNAJC5;DDIT3;CANX;DNAJB11;PLAA;PREB;CRYAB;ATF4;PPP1R15A;VCP;SEC23A;SAR1A;SAR1B;DERL3;RPN1;SEL1L;DERL1;DERL2;UBE2J1;HSP90B1;MAPK9;GANAB;BAG2;MAN1C1;SSR1;UGGT1;SEC23B;SEC31A;EDEM3;BCAP31;HSPA8;XBP1;SEC24A;HSPA5;WFS1;EIF2AK1;EDEM1;EIF2AK3;SYVN1;EIF2AK2;UBE2G1;HSPA2;MARCH6;DNAJA1;NSFL1C;NPLOC4;STT3A;HYOU1;STUB1;CALR;STT3B;P4HB;RNF185;HSPA1A
Axon guidance_Homo sapiens_hsa04360	59/127	0.0000566574043040998865717640387007492108750739134848117828369140625	0.00815866621979038399159467331855921656824648380279541015625	0.0001761163842869700626829476686197040180559270083904266357421875	0.0253607593373236898937062022696409258060157299041748046875	-1.7509304293668342	17.121451975981955	EPHB6;ROBO2;GSK3B;LRRC4;RND1;ROBO1;DPYSL5;CFL1;NCK2;EPHB2;EPHB3;EPHA4;SEMA6C;EPHA7;UNC5B;SEMA6D;UNC5C;EPHA1;MET;EPHA3;EPHA2;SEMA3C;SEMA3D;SEMA3A;SEMA3G;CXCR4;SEMA3E;EFNA5;GNAI1;CDC42;EFNB2;EFNB1;PPP3R1;ABLIM1;EFNB3;ABLIM3;SLIT1;PLXNA1;MAPK1;FYN;SLIT3;SRGAP2;LRRC4C;PAK3;SRGAP1;PAK4;MAPK3;NTNG2;SEMA4A;LIMK2;SEMA4C;LIMK1;SEMA4F;SEMA4G;CXCL12;CDK5;PLXNB3;PLXNB2;PLXNB1
Epithelial cell signaling in Helicobacter pylori infection_Homo sapiens_hsa05120	34/68	0.0003829590378602825534969100740312342168181203305721282958984375	0.0339668694198964893349312887949054129421710968017578125	0.00155228948053437345970528848937419752473942935466766357421875	0.14901979013129984519281379107269458472728729248046875	-1.8860547647231753	14.83869150861887	ATP6V1A;CXCL1;NOD1;TCIRG1;F11R;EGFR;RELA;CDC42;IKBKB;MAPK9;PTPRZ1;ATP6V0A2;ATP6V1H;ATP6V0A4;PLCG1;IKBKG;ATP6V0E2;ATP6V1E1;GIT1;ATP6V1C1;ATP6V1F;ATP6V0A1;LYN;MAP2K4;ATP6V1G2;CHUK;ADAM10;MAPK14;TJP1;MAPK11;ATP6V0D1;MET;MAP3K14;ATP6V0C
Vibrio cholerae infection_Homo sapiens_hsa05110	27/51	0.000471762075276340093511751039301316268392838537693023681640625	0.0339668694198964893349312887949054129421710968017578125	0.0024791279013204373625478549314493648125790059566497802734375	0.17849720889507147969510469920351170003414154052734375	-1.8383699281325265	14.080141051429832	ATP6V1A;ARF1;TCIRG1;ACTB;SEC61A2;SEC61A1;SEC61G;ATP6V0A2;ATP6V1H;ATP6V0A4;SEC61B;PLCG1;ATP6V0E2;ATP6V1E1;ATP6V1C1;ATP6V1F;ATP6V0A1;ATP6V1G2;PDIA4;TJP1;ADCY9;KDELR2;KDELR3;ATP6V0D1;ATP6V0C;CFTR;TJP2
Hippo signaling pathway_Homo sapiens_hsa04390	60/153	0.00820632350343138659842789905951576656661927700042724609375	0.337631595569748477192462132734362967312335968017578125	0.004069425360734649395333395460738756810314953327178955078125	0.2343989007783158218245489479159004986286163330078125	-1.5921470349265505	7.646843805347543	GSK3B;WNT2B;WWC1;SERPINE1;ITGB2;ACTB;CTGF;GLI2;PPP1CB;CCND2;CDH1;MYC;RASSF6;BTRC;YWHAG;TEAD3;APC2;WNT5B;WNT5A;CSNK1D;CSNK1E;TGFBR1;LATS2;BIRC2;CRB2;YAP1;PARD6G;AFP;PPP2CA;PARD6B;WNT11;DVL2;DVL3;CTNNA2;WNT2;WNT4;WNT10A;TGFB2;TCF7L1;SMAD3;FZD2;FZD5;FZD4;TGFB3;WNT7B;FZD7;FZD6;BMP8A;GDF6;MPP5;BMP6;BMP4;BMP2;DLG1;PPP2R2B;ID2;ID1;SNAI2;NF2;BMPR1B
Protein export_Homo sapiens_hsa03060	13/23	0.006914453455439340846810925000909264781512320041656494140625	0.331893765861088374524712207858101464807987213134765625	0.021638201111451517422157309056274243630468845367431640625	0.53888860567462038009267644156352616846561431884765625	-1.2427195429166416	6.181462670497989	SRP19;HSPA5;SRP9;SEC61A2;SEC61A1;SPCS3;SPCS2;SRP72;SEC61G;SRPRB;SEC61B;SEC11A;SEC11C
Circadian rhythm_Homo sapiens_hsa04710	15/30	0.016167981235676413820367969265134888701140880584716796875	0.5820473244843509252888225091737695038318634033203125	0.029938255870812245651446659167049801908433437347412109375	0.53888860567462038009267644156352616846561431884765625	-1.421977979897071	5.865264510546948	PRKAB2;RORC;PRKAG1;PRKAG2;RORA;CSNK1D;CSNK1E;RORB;PRKAB1;RBX1;PER2;PER1;CRY2;CRY1;BTRC
N-Glycan biosynthesis_Homo sapiens_hsa00510	22/49	0.0183370194735050819068167271552738384343683719635009765625	0.58678462315216262101813526896876282989978790283203125	0.023597978384981989352642273161109187640249729156494140625	0.53888860567462038009267644156352616846561431884765625	-1.4160642294643453	5.6626048529820885	B4GALT3;ALG8;ST6GAL1;B4GALT1;ALG6;RPN1;ALG2;ALG3;ALG12;ALG11;ALG1;DDOST;DPM1;DPM2;GANAB;DOLPP1;MGAT4A;MGAT3;MAN1C1;STT3A;MGAT1;STT3B
Arginine and proline metabolism_Homo sapiens_hsa00330	22/50	0.0237007303127020167721195065269057522527873516082763671875	0.68258103300581807193481154172332026064395904541015625	0.027609127219822400534088302492818911559879779815673828125	0.53888860567462038009267644156352616846561431884765625	-1.4869328942745097	5.564473755875122	OAT;GOT1;MAOA;ARG1;GOT2;PYCR1;AZIN2;PYCR2;CNDP2;AGMAT;SRM;ALDH4A1;ALDH3A2;GATM;ALDH1B1;P4HA2;P4HA3;LAP3;CKB;ALDH18A1;ALDH7A1;ALDH9A1
Insulin resistance_Homo sapiens_hsa04931	42/109	0.032291777366926732728558135931962169706821441650390625	0.8044649265468690746416768888593651354312896728515625	0.0180504175593104478070305418668795027770102024078369140625	0.53888860567462038009267644156352616846561431884765625	-1.5964249819484986	5.480435411002724	GSK3B;IRS1;PRKAG1;PTEN;PRKAG2;PYGM;IRS2;SLC2A4;FOXO1;RELA;PPP1CB;IKBKB;MAPK9;CREB3L1;CREB3L2;RPS6KA1;MLX;SREBF1;MGEA5;CPT1A;PRKAB2;NR1H2;GFPT2;PRKCD;STAT3;GFPT1;PRKAB1;CPT1B;MTOR;TNFRSF1A;CREB3;IL6;RPS6KB1;PPP1R3C;PPP1R3B;PPP1R3D;RPS6KB2;SLC27A6;TRIB3;PPARA;SLC27A4;CREB5
