genes	logFC	AveExpr	t	P.Value	adj.P.Val	B
Col1a2	-5.72896747155574	9.16241548258956	-143.258113282198	6.26813547949594e-26	9.42258121914222e-22	49.4738442142953
Spp1	-4.59532677944571	8.09444686066638	-137.432183224132	1.20354850161479e-25	9.42258121914222e-22	48.8082411327134
Epb41l1	-3.48005638133354	8.35168565501508	-97.4828100999971	2.65096769940693e-23	8.30177044746275e-20	43.8296293693293
Ank	-6.47416333417786	5.2889592195048	-90.8676193044995	7.98948700277744e-23	2.08498979149149e-19	41.7587025231555
Angptl2	-3.54605652553533	5.78656948485335	-88.4308989606517	1.22409520576449e-22	2.73812610455149e-19	42.1851081861411
Aqp5	-5.19837512840902	4.61034252105893	-75.0504423558448	1.60598812481649e-21	1.79618300416976e-18	39.2365995048848
Il1rl1	-8.84714386005114	4.76560589769127	-73.31712079461	2.31681249530774e-21	2.26729062822054e-18	37.0220546778348
Tnfaip2	-4.33802029302217	5.03811057375808	-72.0833432283184	3.02321598620379e-21	2.78455975952818e-18	38.9434471879009
Cavin2	-2.402911323722	7.35372460662958	-70.1452322413625	4.6351180173332e-21	3.81982515344228e-18	38.7114991013246
Gm8730	-6.68461055355995	4.30036866280409	-69.2625283636776	5.65305963747057e-21	4.42578039017571e-18	37.4122066752737
Src	-2.32292854564624	7.76971213034416	-68.4330205464463	6.82828008772228e-21	4.64857433102415e-18	38.3160512304551
Rbl1	-2.79421896135796	7.1057751068852	-67.9560781591555	7.61944595022807e-21	4.80238033641916e-18	38.2140494925292
2900097C17Rik	-2.41812940869599	7.38054450145524	-67.6336805985286	8.20910953275407e-21	4.80238033641916e-18	38.1345829088
Gpc1	-3.25345021553894	7.16255603895496	-67.2943626178169	8.8824699013595e-21	4.80238033641916e-18	38.06012949618
Fgfr1	-3.04301053449661	6.01035223977405	-67.1432001972817	9.20113744364382e-21	4.80238033641916e-18	38.0287199713906
Loxl4	-4.03167784105766	5.15412144130029	-67.2674311354271	8.93837382528029e-21	4.80238033641916e-18	37.9773079337344
Rprd1b	-2.44159569248372	7.00689016346351	-66.8412769380255	9.8745917499153e-21	4.98762443936044e-18	37.952267456895
Adcy7	-3.05595170978177	5.66877980048382	-65.1417651221797	1.47846927150061e-20	6.80878583916369e-18	37.5536146969278
Adgra2	-2.96483621166482	7.39505779275916	-64.5421315748842	1.70901676693274e-20	7.43327348239803e-18	37.3928668581017
Gm9625	-5.76366050010722	4.55321295382234	-64.5973119979431	1.68628394979367e-20	7.43327348239803e-18	37.0052382927559
Prrx1	-3.00667488481513	6.67378711036353	-64.3442310830279	1.7932642138726e-20	7.58890028670736e-18	37.358260188178
