genes	logFC	AveExpr	t	P.Value	adj.P.Val	B
Igfbp4	5.71489070431515	6.62044417582525	112.06025829183	2.9713256285717e-24	1.55083388973919e-20	45.5039383099196
Ezr	2.9892028670044	9.086371110738	98.4227946641038	2.28017505787288e-23	8.30177044746275e-20	43.9935755782412
Tmem151a	4.20906576652354	5.90448176346132	81.9456133729096	4.04498431909218e-22	7.91704555854317e-19	41.0135935787302
Akap12	3.37926129084057	6.35076401506533	79.8451084016201	6.07932846140262e-22	9.88928948287591e-19	40.7064632785543
Myrf	8.99413042910547	5.20754208421887	79.6511287819497	6.3158062861642e-22	9.88928948287591e-19	38.7141996314316
Lbh	2.71933774048377	6.74921541481146	77.8656990465287	9.0133508276861e-22	1.21337603603811e-18	40.3446723770041
Ptx3	3.94881759403305	5.38614390137814	77.4172506850702	9.86814120620667e-22	1.21337603603811e-18	40.0777010154323
Cxcl12	6.14791717849945	4.92508403140167	77.3154154924982	1.00740123058471e-21	1.21337603603811e-18	39.5067088412299
Krt19	5.44667665098186	5.80432813422772	74.6690480538671	2.27251828632616e-21	2.26729062822054e-18	39.2786229801855
Gata6	3.89912581833818	4.90323588616759	71.5181815858489	3.42035406219262e-21	2.97532799476734e-18	38.8471881779003
Jag1	3.6207013794974	4.71360562494634	68.8807393911117	6.16475299969544e-21	4.59655726043958e-18	38.2896789065101
Cyp1b1	7.73549341708449	4.90881200591584	68.5367829975486	6.66801606022424e-21	4.64857433102415e-18	37.1241700165524
Tmem98	3.73081441192603	5.65410296511187	67.6487384918295	8.18051497071152e-21	4.80238033641916e-18	38.123338170671
Ppl	6.35110749461493	4.61461603714768	67.4418590429624	8.58282205457979e-21	4.80238033641916e-18	37.4314114657848
Epb41l4a	5.05394806149933	4.23072605675323	66.0343124972248	1.19451951893272e-20	5.84493332107769e-18	37.2511863757019
Acta2	3.11400663856525	7.87567166116261	65.3994207634068	1.38978232780729e-20	6.59430657236564e-18	37.5960900199702
Ppp2r5b	2.3205278607051	6.5370694484929	62.9853025484464	2.50548598639697e-20	9.93912435666557e-18	37.0187780821259
Ccnd2	4.40553636346408	6.52866336518534	70.4377569715245	2.85479623226309e-20	1.09025364401892e-17	36.9377051120014
Smpd3	10.1347530560274	4.64172146659423	61.3993699751716	3.73584165669037e-20	1.39275734905852e-17	34.1057625329082
Myo1d	2.76390476518696	6.00698380229677	60.7683347741829	4.39199355537537e-20	1.56295079750153e-17	36.4644481071009
Tns1	2.31901278256361	6.49977281967242	59.9623043166346	5.4135614497123e-20	1.76594885790823e-17	36.2377651899615
Slc9a3r1	2.51680615298268	7.77178600419201	59.3341834789571	6.38412651215894e-20	1.95180049763232e-17	36.0386007418505
Shroom3	4.53752045606677	3.8975227778902	59.1629815843257	6.67962916056225e-20	1.95180049763232e-17	35.7167885493307
Afap1l2	5.05620172969304	3.69654650921194	58.1691753842907	8.70860959158243e-20	2.32988912337993e-17	35.19871013394
Adamts1	3.22591068784985	6.47809668370099	58.201844009512	9.62416896075154e-20	2.42742075528121e-17	35.6664604008938
Pawr	3.90823017953713	4.05867656977129	57.4646511294232	1.05390461135936e-19	2.5387751391792e-17	35.4331207913433
Dcn	5.71067182169573	3.66694570041813	57.4867710165451	1.0475740197223e-19	2.5387751391792e-17	34.78813211182
Uchl1	3.77783489324937	4.76101996027314	54.8889273588079	2.160327530927e-19	4.33671903580193e-17	34.8555960145374
Gjb3	3.92139910876694	4.58752118031617	54.5423544900905	2.38541720138285e-19	4.6112175974386e-17	34.7423439371561
Maf	3.47918066503393	4.51393320969241	54.451370591207	2.44855312861076e-19	4.67554205948626e-17	34.725332109404
Irgm1	2.60898128056358	4.70865901065414	53.5978257197252	3.13519819749279e-19	5.61742389510769e-17	34.5033998001595
Mtss1	2.24679316548565	5.63701874366101	53.5740184867735	3.15706541556697e-19	5.61742389510769e-17	34.4728302764593
Foxo6	3.80972873508516	4.36497412353848	52.9630415195834	3.77753533286744e-19	6.57207202689316e-17	34.2812419629074
Unc5b	2.13212385632553	7.88017703046034	52.4629761718426	4.38179922696493e-19	7.45763177128444e-17	34.0539992377261
Optn	3.2808112944244	4.37188238940449	52.3762662427464	4.49664565592105e-19	7.57080405165718e-17	34.1228368113738
Zcchc3	3.21200707501296	4.25697477878248	52.1340752699796	4.83470981241362e-19	8.03018316208321e-17	34.0482060447264
Rnf128	7.61996949720207	3.83840349528211	52.1046884747589	4.87753236025293e-19	8.03018316208321e-17	32.7845853763972
Marcks	1.75739658533002	7.51926436932275	52.0330121706715	4.98367978528982e-19	8.04478949258432e-17	33.927540412009
Efnb1	2.58887463174281	5.47819436435399	51.8555473153422	5.25720419757522e-19	8.31487912380129e-17	33.9671193934351
Fam84b	3.55151640822696	4.38493803198344	51.7853642781186	5.36974209487047e-19	8.35250135849731e-17	33.9413436586006
Inhbb	2.21786783179544	6.04410237693086	51.7743233149108	5.38767810198128e-19	8.35250135849731e-17	33.9062371218022
Dusp6	2.36151797017458	6.0367337388591	51.6911980506192	5.52477718790505e-19	8.48107462825659e-17	33.8879555259033
B4galt4	6.07287813755607	3.04284496259012	51.4554452625695	5.93417462075208e-19	9.02109769045981e-17	32.6205503453568
Cdh3	8.6507279697033	3.95307939598073	51.3204867417849	6.18295321977353e-19	9.30891168415518e-17	32.2444905445268
Fhdc1	1.94619033496868	5.89052445924794	51.1311866814101	6.55075698867052e-19	9.76873837415267e-17	33.7127232688612
Upk3b	11.8026571811842	3.96547135522387	50.8895778362959	7.05432359281062e-19	1.03230466183391e-16	29.6953334579058
Ccdc80	2.23071075341508	6.38587397985791	50.6154913434476	7.6758431459644e-19	1.11285511092139e-16	33.5264387022295
Mpp2	3.31792194250788	5.12991743443726	50.4591324214296	8.05626551877456e-19	1.15729362837589e-16	33.5585511946712
Grb10	2.42435900472909	7.3087807547762	50.2526048431508	8.58975395266966e-19	1.19025103885754e-16	33.3783990257419
Shroom2	3.89816574367199	4.49738712865743	50.0535067890962	9.13972671430717e-19	1.25534948151423e-16	33.4184502820224
