genes	logFC	AveExpr	t	P.Value	adj.P.Val	B
Fmnl1	-0.707736342466518	6.01329187159847	-16.8879378968813	1.69132514758283e-11	5.29655383217038e-08	16.3576367748887
Pdgfb	-0.767298093559845	4.81535135746245	-14.8187384390175	1.17745708556608e-10	3.07277050763228e-07	14.4529924568367
Itga3	-0.473275417919856	8.56967202263155	-13.587304063392	4.1964497425345e-10	5.31650711249117e-07	13.5297459377452
Klhl30	-0.861872782986966	3.78898357548158	-12.9408108646785	8.51146318041447e-10	8.88483269859531e-07	11.906022191914
Fbln2	-0.381024991338061	9.67679245214282	-10.5185462649751	1.60792260326211e-08	9.32476004514007e-06	9.9513634333925
Pprc1	-0.353921720550826	8.13688378328002	-9.93340056952189	3.5387754533354e-08	1.7021317383335e-05	9.1736581936032
Mex3a	-0.37579307262307	6.06822359933412	-9.91264903694404	3.64147676825995e-08	1.7021317383335e-05	9.16011259199763
Lrrn4	-0.771141510646732	0.40416605755404	-10.0819288732588	4.57164624665686e-08	1.98950204275225e-05	8.86576498765624
Hs6st1	-0.394396621067724	5.62738550234805	-9.69879483238721	4.9028759298617e-08	2.03218556540462e-05	8.868550480369
Wdr12	-0.3481575695829	6.30624557808701	-9.54609428639697	6.08090871219809e-08	2.32231386867311e-05	8.65460364528998
Glis2	-0.339679971214239	7.35067917924608	-9.52138608533729	6.29799543701465e-08	2.34795267982798e-05	8.6082751965993
Csf1	-0.295381457751869	9.19439559591619	-9.47798105578223	6.69935629203533e-08	2.43950048420208e-05	8.526100637662
Jade2	-0.508774548643062	5.35378496805709	-9.40390932070268	7.44775765817839e-08	2.65038612299448e-05	8.45892194963846
Polr1b	-0.32243144420167	6.58619085281396	-9.37634264793001	7.74833867707661e-08	2.69607748901479e-05	8.41039238592421
Stim2	-0.371850450308908	5.87193338652861	-9.12858546025423	1.10989179572635e-07	3.54667055867004e-05	8.0666713736088
Rrp1b	-0.295106460574782	6.69081313980815	-9.00507456243884	1.33107527890911e-07	4.0866621014037e-05	7.87274765061183
Thbs1	-0.404429572475284	9.06131768920784	-8.98183626311353	1.37764057012769e-07	4.14828770135758e-05	7.80566723603239
1700017B05Rik	-0.362554552269263	5.68906314441573	-8.84652838906124	1.68508856438254e-07	4.54915805881065e-05	7.65628846872516
P3h4	-0.386762187376353	6.65420830449209	-8.85939431398221	1.6529677701634e-07	4.54915805881065e-05	7.65218150496698
Dusp9	-0.424150961286893	4.93535477628137	-8.76561591491936	1.90274004783661e-07	4.90814586393934e-05	7.53440415324381
Gemin5	-0.289573542940459	7.23688675276832	-8.7803965501615	1.86087568267064e-07	4.90814586393934e-05	7.52640207425441
Tns1	-0.317279309515123	6.49977281967242	-8.76235745801978	1.91210178630923e-07	4.90814586393934e-05	7.50540469095674
Cluh	-0.313589630698559	7.64120747488305	-8.74587030901543	1.96021863288531e-07	4.95050054092229e-05	7.46898682644725
Snhg4	-0.386148336647286	5.02405947791763	-8.58576949935292	2.49943051786793e-07	5.67189609402551e-05	7.27599339620624
Rcl1	-0.302161192271142	6.64757542784677	-8.48028164179652	2.93834313001585e-07	6.39008010135947e-05	7.07882644918584
Fubp1	-0.3012821320147	8.1653951204759	-8.46548702614186	3.0060979927902e-07	6.44787429741219e-05	7.0322403405983
Fscn1	-0.316048820277848	9.77700405899601	-8.34545298952233	3.62040102088995e-07	7.36210898507725e-05	6.8107558335108
Jag1	-0.321261400164253	4.71360562494634	-8.29419633040219	3.92168320582024e-07	7.77287539705486e-05	6.82427534484911
Ccdc86	-0.34620369197284	6.20710267457358	-8.27353039150538	4.05050389190555e-07	7.87579346022718e-05	6.76880280107367
Erfe	-0.412340128270833	5.23369764247805	-8.21390346640497	4.44771072827527e-07	8.19068779426592e-05	6.7088806205291
Ptprf	-0.346225110114465	7.48370137204442	-8.19931834688909	4.55096332929579e-07	8.19068779426592e-05	6.63090215580793
Atic	-0.269552804946734	8.30678240766775	-8.19957824103459	4.54910159582092e-07	8.19068779426592e-05	6.6084973429913
Mybbp1a	-0.289679128950738	9.91255670270889	-8.17908263989842	4.69840520356483e-07	8.35995780425206e-05	6.54591315219186
Bmp2	-0.460617956284403	-0.533304447840664	-8.11111184923609	5.23147713561471e-07	8.80800741822098e-05	6.54661101866804
Pop1	-0.28330494056629	7.04890571344275	-8.09348729351475	5.37981785854148e-07	8.89386475998718e-05	6.46755154414806
Ccdc80	-0.332399359273339	6.38587397985791	-8.01972933211322	6.05020480436483e-07	9.86813612778588e-05	6.35429359635271
Nat10	-0.299634276971791	6.49643424257851	-8.00163081458958	6.22773834094241e-07	0.000100478785700124	6.33528566835407
Pmepa1	-0.366125587849936	5.74994809974879	-7.98280408576016	6.41822701858145e-07	0.000100496598656948	6.32419413750592
