genes	logFC	AveExpr	t	P.Value	adj.P.Val	B
Col1a2	-5.86212754198128	9.16241548258956	-145.442099898267	4.94177110967244e-26	6.79335546831548e-22	49.6736017630199
Spp1	-4.74716708219374	8.09444686066638	-140.323656591301	8.6771688188983e-26	6.79335546831548e-22	49.0778244540477
Epb41l1	-3.49797070176792	8.35168565501508	-97.7036407826202	2.558439416812e-23	1.00150110971106e-19	43.8639624682299
Angptl2	-3.70618709158179	5.78656948485335	-89.4086845883182	1.03004751186972e-22	2.34187147872416e-19	42.3140666424984
Ank	-6.40785704782128	5.2889592195048	-89.3160341603203	1.04694726983453e-22	2.34187147872416e-19	41.5281204075448
Il1rl1	-8.26042954813315	4.76560589769127	-79.6901919911068	6.26740988579028e-22	9.81351039917042e-19	38.6939629920954
Cavin2	-2.56517244015212	7.35372460662958	-74.2159313770378	1.9138290661185e-21	2.3051335013295e-18	39.6001729209822
Aqp5	-5.28730078068205	4.61034252105893	-72.7923223185465	2.59307441997366e-21	2.70682395119651e-18	38.7280551880351
Src	-2.45733058036478	7.76971213034416	-71.9558962544198	3.10827981106465e-21	2.89534699253157e-18	39.111410401433
Tnfaip2	-4.24459549916638	5.03811057375808	-70.6581420579758	4.13479200370128e-21	3.08297967590261e-18	38.6563284316183
Adcy7	-3.29984212064696	5.66877980048382	-67.502111388635	8.46352500026143e-21	5.76182062843884e-18	38.0972427645882
Nes	-2.12258203165071	8.55538878149018	-66.9549815409842	9.61501118715874e-21	6.02207380674126e-18	37.9583740036272
Gm8730	-6.75009774680696	4.30036866280409	-66.6156846853524	1.04119236100367e-20	6.03814444022054e-18	36.778727812432
2900097C17Rik	-2.37312820344959	7.38054450145524	-66.2930933742805	1.12349762144612e-20	6.28275919878691e-18	37.8166446500192
Rprd1b	-2.41575847287083	7.00689016346351	-65.9737405839338	1.21182335815753e-20	6.31838836729184e-18	37.7453125190974
Rbl1	-2.70620111887943	7.1057751068852	-65.8401826936809	1.25092629573411e-20	6.31838836729184e-18	37.7129198395929
Loxl4	-3.94992536727373	5.15412144130029	-65.8775286464803	1.23985883896359e-20	6.31838836729184e-18	37.6645812825771
Gpc1	-3.15423288006242	7.16255603895496	-65.3052855543368	1.42151017102663e-20	6.86606740045986e-18	37.5844883816829
Adgra2	-3.00943580607083	7.39505779275916	-65.1681063966213	1.4691322215387e-20	6.86606740045986e-18	37.5469215832071
Col18a1	-3.69745059645651	5.51628547643986	-65.1069484971162	1.49090746976392e-20	6.86606740045986e-18	37.5272020558073
Fam83d	-2.28536693744249	6.4055660482911	-63.7014440676544	2.09876814830143e-20	9.38928904745821e-18	37.1994132859781
Fgfr1	-2.80964794631973	6.01035223977405	-62.9024897244449	2.55766481637814e-20	1.11244210263469e-17	37.0073641562216
Rasa3	-2.28657231172577	6.6636870794721	-62.6518255714453	2.72276793560055e-20	1.11602448924243e-17	36.93121618749
Gm9625	-5.89139542287271	4.55321295382234	-62.1011575114348	3.12660362353554e-20	1.22390898843299e-17	36.3538200128091
Ahcy	-2.2786759850069	7.09877378287034	-61.1094816185436	4.02329195525866e-20	1.44632318745138e-17	36.525216979776
Prrx1	-2.75331795554641	6.67378711036353	-59.6219710176999	5.9182737948333e-20	2.01452893651087e-17	36.146149710691
S100a4	-2.77807974452005	7.28959914283721	-59.477809029736	6.14694321860097e-20	2.04784759397562e-17	36.0908542300252
Man2a2	-2.39680556658412	6.49891345513585	-58.9712307475494	7.02795413156536e-20	2.26497946187244e-17	35.974221864824
Ndrg3	-2.04091349084991	6.75004893494589	-58.9391960481904	7.08800572434217e-20	2.26497946187244e-17	35.9544799405132
Rpn2	-1.97027640885862	9.36359541717121	-58.74775341685	7.45844333704814e-20	2.33568611543e-17	35.8459221946221
Oaf	-4.46672881059397	4.98187163281176	-58.5497507280298	7.86331670614165e-20	2.39248308901054e-17	35.8269223490972
Tspan9	-1.91297034077103	8.38375680457891	-58.1056623771607	8.85884462813065e-20	2.61720356957113e-17	35.6873564921162
Sox9	-4.61063927988084	4.03196779816125	-57.8939769953268	9.37979455422863e-20	2.719793020928e-17	35.4207255510456
Loxl1	-2.55939702960069	6.75703860735367	-57.7854351890663	9.65945831092368e-20	2.7499599678626e-17	35.6437166988747
Pear1	-3.73799077198998	5.92487883832415	-58.805925766633	1.00316458166574e-19	2.75571070521442e-17	35.6508958725149
Hspb8	-5.89778575501931	3.53611439455853	-57.706719282727	9.86781401276831e-20	2.75571070521442e-17	34.650717897219
Nr2f2	-1.99506169336912	6.59207125220698	-57.5045404754685	1.04251778631192e-19	2.81443853415036e-17	35.5652392894177
Pkp1	-2.40908260204628	5.9550140953716	-57.3300198341996	1.0933231553485e-19	2.83018818563371e-17	35.5410351259191
Tti1	-2.08725094456272	5.94397173847085	-57.2991625239162	1.10257682541612e-19	2.83018818563371e-17	35.5292009049292
Aqp1	-8.17818188674363	4.00010919096234	-56.9520383709943	1.21260698780943e-19	3.06241938953549e-17	33.7544386365263
H19	-3.64746648634852	5.02630847379173	-56.8846057299029	1.2353048698902e-19	3.07022280202234e-17	35.4287470358652
E2f1	-2.3849990582445	6.43126801046563	-56.4213634972589	1.40397830195587e-19	3.4349206643789e-17	35.2698488562019
Cx3cl1	-2.8140498972907	4.83229224397768	-56.2016486998583	1.49239268786371e-19	3.59505918562615e-17	35.2378827503294
Bcl2l1	-2.46333793012075	6.70611955528241	-56.1316174665929	1.52180313801772e-19	3.61036265683053e-17	35.1799448918903
Mecom	-3.02764998802046	4.47448559036215	-55.975271775812	1.58970923813465e-19	3.68537997454453e-17	35.1546502085571
Arhgef40	-2.31482372228783	6.10127248637102	-55.9510890366227	1.60049711501487e-19	3.68537997454453e-17	35.1492044435282
Samhd1	-1.66918491236246	8.54111683790348	-55.2346737737355	1.95814492919385e-19	4.27209185544368e-17	34.8662462594751
Slco3a1	-3.90658339712995	3.6959345370359	-55.0855596914093	2.04275904687324e-19	4.38157824053989e-17	34.6813546013174
Gm2115	-3.36628121808945	4.34986545255986	-54.6409087932005	2.31897622421422e-19	4.7777012787824e-17	34.7585858060536
Aar2	-2.33454421166197	5.97788154306637	-54.4655844374266	2.43857382511004e-19	4.95885570825624e-17	34.7253465232606
Nptxr	-2.72501656751426	5.08991048641037	-54.1092199715437	2.70235534510409e-19	5.35613670805568e-17	34.6512691398845
Cbx6	-1.84798009380473	7.20191647659211	-53.5437127822374	3.18513643275389e-19	6.15714398321733e-17	34.4001387053217
Phf20	-1.96289857873926	7.31095376951133	-53.3938268755269	3.32792614112762e-19	6.35471555094832e-17	34.3518327860593
Rps3a3	-8.77410102714107	3.63563117332998	-53.2347178158562	3.48697845948189e-19	6.57820586970693e-17	31.9857218154604
Eml1	-1.99411751658007	5.96459242720195	-52.6843513453838	4.10250373661093e-19	7.46941901254115e-17	34.1884459387842
Prkar2b	-2.52036336724594	6.19618295964481	-52.561274611777	4.25536482126566e-19	7.65867843349169e-17	34.1501541464188
Lrrk2	-4.18007265202068	4.33942646365715	-52.1792504430729	4.76965814879534e-19	8.39138284200421e-17	34.0245203313118
Dhx35	-2.18831957557234	5.62320628113772	-51.3286623993445	6.16757125705196e-19	1.01654558676757e-16	33.792979276184
Bgn	-1.55631358236338	9.74531990590529	-50.9243320176667	6.97942241596454e-19	1.12663707411518e-16	33.5235079227058
Htra1	-1.84267371341903	7.97719442287265	-50.8878998827332	7.05796142786045e-19	1.12768938813713e-16	33.5546596157194
Dsn1	-1.78735577654886	6.37210307647677	-50.5942728747838	7.72632806042121e-19	1.22200853303106e-16	33.5172245644572
Cd9	-1.69051577725474	7.42982332585081	-50.1341607156017	8.91255262878656e-19	1.32245667685909e-16	33.3294899607069
Emp2	-1.64717869826759	7.11223453606542	-50.0297283460567	9.20787145024796e-19	1.34744720717741e-16	33.3063455054391
Cep250	-2.13359096244557	6.97097459278754	-49.8331090393801	9.7924853819291e-19	1.40670400101143e-16	33.2535782715256
Apbb1ip	-6.03580566786107	2.89304262436948	-49.8534616591069	9.73017880468928e-19	1.40670400101143e-16	32.1754159851566
Uqcc1	-1.87052212464471	5.94520863242419	-49.6820970996667	1.02682490595051e-18	1.46163857976118e-16	33.2478231936573
Hmga1-rs1	-5.05539670685698	4.02683258632171	-49.4590480842506	1.10164527917226e-18	1.54013944475708e-16	33.0400224150806
Sema7a	-6.43893887001767	3.4321066201016	-49.3325291123888	1.14664354601224e-18	1.56122996899649e-16	32.2527984954688
Rasa4	-2.73058901024827	4.57422806180054	-49.1689306790623	1.20774733397574e-18	1.61631690217026e-16	33.1562250359112
Pxdn	-2.13489167318908	6.76126701148616	-48.80543488547	1.35625276250575e-18	1.72652079311505e-16	32.9268391645958
