genes	logFC	AveExpr	t	P.Value	adj.P.Val	B
Igfbp4	5.73104387018123	6.62044417582525	112.348972843934	2.85363323770744e-24	1.48940630786743e-20	45.5441075774845
Ezr	2.80409013158994	9.086371110738	92.0902420271337	6.47744465120443e-23	2.02847656697118e-19	42.9713536457708
Ptx3	4.31029617285663	5.38614390137814	84.6498386540036	2.43028532206522e-22	4.75667594661216e-19	41.3758665390144
Tmem151a	4.25474486318214	5.90448176346132	82.8221029486178	3.42307229161787e-22	5.95538510468363e-19	41.1731626449465
Myrf	8.90632109943076	5.20754208421887	78.875697953411	7.36348880888618e-22	1.04815916154127e-18	38.6204461399429
Akap12	3.23139257695205	6.35076401506533	76.198334348049	1.26574480253508e-21	1.65158600984119e-18	39.9911633448908
Cxcl12	5.87292024864162	4.92508403140167	73.8242535701095	2.07942581257565e-21	2.32568924095068e-18	38.8970330882269
Gata6	3.92135257665073	4.90323588616759	71.9042118350441	3.14349845912867e-21	2.89534699253157e-18	38.9285462011441
Lbh	2.49117274393222	6.74921541481146	71.0991687814651	3.75045754982664e-21	3.0008650041215e-18	38.9277000510853
Krt19	5.28369237839269	5.80432813422772	72.3761271311079	3.69377361619351e-21	3.0008650041215e-18	38.8226509064018
Cyp1b1	8.0136550424797	4.90881200591584	71.0005048018311	3.83301188417614e-21	3.0008650041215e-18	37.5598640187612
Tmem98	3.73524993415831	5.65410296511187	67.6952707127169	8.09281884719461e-21	5.75987988678969e-18	38.134617620249
Epb41l4a	5.12871681184616	4.23072605675323	67.0123399730637	9.48682789303906e-21	6.02207380674126e-18	37.4572516263196
Ppl	6.27400702698774	4.61461603714768	66.6162414740153	1.04105597710459e-20	6.03814444022054e-18	37.2729245341214
Ppp2r5b	2.31096830404908	6.5370694484929	62.6609203100793	2.71658347513186e-20	1.11602448924243e-17	36.9366115482649
Jag1	3.29943997933314	4.71360562494634	62.5690822357031	2.77972634311244e-20	1.11602448924243e-17	36.8552453431025
Ccnd2	4.36050858233685	6.52866336518534	69.664919983976	3.36506913465196e-20	1.28512811000928e-17	36.7756906750697
Myo1d	2.77944673267101	6.00698380229677	61.069964976034	4.06426237372976e-20	1.44632318745138e-17	36.5422879936956
Acta2	2.92155167088652	7.87567166116261	61.1943091630445	3.9368195358032e-20	1.44632318745138e-17	36.5348316579772
Smpd3	9.94026202896004	4.64172146659423	60.2292444619131	5.04976940255619e-20	1.75709531789389e-17	33.9264449193517
Afap1l2	5.08613101873068	3.69654650921194	58.5109296460846	7.94540302902977e-20	2.39248308901054e-17	35.2834572741272
Dcn	5.7030795371064	3.66694570041813	57.4092046499931	1.06995255167175e-19	2.83018818563371e-17	34.777722436886
Shroom3	4.2902245723002	3.8975227778902	55.8820277918866	1.63173599899506e-19	3.70285830032822e-17	34.9054935570263
Mpp2	3.62931326415919	5.12991743443726	55.3074510061236	1.91820843402323e-19	4.27209185544368e-17	34.9936117136753
Irgm1	2.68781734563267	4.70865901065414	55.2233623315455	1.96443104861378e-19	4.27209185544368e-17	34.9686296008932
Uchl1	3.77620711661833	4.76101996027314	54.8384875488122	2.19163143617776e-19	4.59766383205217e-17	34.8421552793831
Adamts1	3.06592382217728	6.47809668370099	55.1948482932115	2.20222753483148e-19	4.59766383205217e-17	34.8235331562198
Pawr	3.70272510593815	4.05867656977129	54.3506576251214	2.52051788776067e-19	5.05977808802008e-17	34.6110314939703
Maf	3.4285646343388	4.51393320969241	53.6073283678941	3.12651492536717e-19	6.1193713376749e-17	34.4866175481977
Optn	3.3107471022752	4.37188238940449	52.835408000909	3.92282918140048e-19	7.31234039552008e-17	34.257278713027
Slc9a3r1	2.24369240322735	7.77178600419201	52.7018766351376	4.08121670731071e-19	7.46941901254115e-17	34.1307197299822
Hmox1	2.00184562427746	6.55184670150259	52.4879995821291	4.34923891022275e-19	7.73867987003044e-17	34.1005835379355
Rnf128	7.60159632782686	3.83840349528211	51.98137484462	5.06167167081402e-19	8.80618389128955e-17	32.7658567892873
Dusp6	2.36917193976535	6.0367337388591	51.8126152002107	5.3257442318234e-19	9.16379155844954e-17	33.924817836636
Efnb1	2.57957288797595	5.47819436435399	51.613568386855	5.65616523095737e-19	9.62654730286201e-17	33.8924031294025
Tns1	2.00173347304849	6.49977281967242	51.4941895537717	5.86473724756011e-19	9.87419955078454e-17	33.8031906511852
B4galt4	6.07269579392633	3.04284496259012	51.4563999132157	5.93245323556926e-19	9.88195242154718e-17	32.6304753173685
Gjb3	3.69275010298783	4.58752118031617	51.2637483802442	6.29083294613249e-19	1.02606106531815e-16	33.7936551319791
Zcchc3	3.11327729523328	4.25697477878248	50.4429279127252	8.09682242445606e-19	1.25524797546666e-16	33.5424241904428
Mtss1	2.12197226091704	5.63701874366101	50.4439518053052	8.09425339560585e-19	1.25524797546666e-16	33.5132073496051
Grb10	2.43070738312364	7.3087807547762	50.3478003886403	8.33932877466862e-19	1.2677399024637e-16	33.4079144461193
Upk3b	11.6811402934533	3.96547135522387	50.3706359668805	8.28041853457791e-19	1.2677399024637e-16	29.6318975574556
Fam84b	3.44946879927237	4.38493803198344	50.2299709676237	8.65046425811348e-19	1.30239393609174e-16	33.4743113377537
