genes	logFC	AveExpr	t	P.Value	adj.P.Val
Igfbp4	5.71565797915362	6.62048066112186	105.074473247213	5.33518851492697e-21	2.75775894336575e-17
Ezr	2.98997858923239	9.08640759603461	90.502135475192	3.40201360358558e-20	1.31887562377004e-16
Tmem151a	4.20984517615812	5.90451824875793	75.2836137552516	4.11195178951082e-19	7.61326837373553e-16
Myrf	8.9949204330918	5.20757856951548	75.991129834665	4.41861194064743e-19	7.61326837373553e-16
Akap12	3.38004177820791	6.35080050036194	72.2656836973375	6.80179170702494e-19	9.22651221120977e-16
Ptx3	3.94960649042867	5.38618038667475	72.2376760893456	7.01592937661564e-19	9.22651221120977e-16
Cxcl12	6.14868260065392	4.92512051669828	72.7062850422564	7.13988176530066e-19	9.22651221120977e-16
Lbh	2.720108722647	6.74925190010807	70.7242858841883	8.82048087298829e-19	1.02268489331413e-15
Krt19	5.44746637004538	5.80436461952433	67.4584067308199	1.86442923042398e-18	1.7601747917686e-15
Gata6	3.89990516598327	4.9032723714642	66.7456901692857	1.99291304276194e-18	1.7601747917686e-15
Jag1	3.6214858382626	4.71364211024295	64.3127282502724	3.21536708505292e-18	2.49303486939578e-15
Cyp1b1	7.73619690577321	4.90884849121245	64.5638935942478	3.6616907406461e-18	2.70389706262853e-15
Ccnd2	4.40630549628689	6.52869985048195	62.7650586469398	4.60528436870388e-18	3.24609748661323e-15
Epb41l4a	5.05471664020248	4.23076254204984	62.6139492219298	4.90519149528454e-18	3.25074066838522e-15
Ppl	6.35186536554714	4.61465252244429	62.7726444126326	5.03113278140486e-18	3.25074066838522e-15
Tmem98	3.73160454015881	5.65413945040848	60.4919386563545	7.26417039296402e-18	4.17205519569234e-15
Smpd3	10.1355141401541	4.64175795189084	58.7140909543116	1.38505808740577e-17	5.94851964296873e-15
Acta2	3.11478384492498	7.87570814645922	56.0859897570931	1.92177688644836e-17	7.64128055850121e-15
Afap1l2	5.05696597150307	3.69658299450855	55.5893153281008	2.36550975014803e-17	8.53506184109962e-15
Shroom3	4.53830909520144	3.89755926318681	55.4822781190496	2.36672250704381e-17	8.53506184109962e-15
Ppp2r5b	2.32130404496011	6.53710593378951	54.9099738350304	2.4775018960789e-17	8.72862230804475e-15
Dcn	5.7114506467587	3.66698218571474	54.9926109106343	2.81265657461768e-17	9.08663864637424e-15
Pawr	3.90900078237223	4.0587130550679	53.4073379944088	3.79957464180399e-17	1.17840007940909e-14
Myo1d	2.7646797651111	6.00702028759338	52.965122391272	4.0416353864801e-17	1.18252150826692e-14
Tns1	2.31978743208259	6.49980930496903	51.478924495422	5.80926446783887e-17	1.58042568601364e-14
Timp3	3.59857687758691	7.63131207165184	51.4490622956733	6.13442569869509e-17	1.6021090758983e-14
Slc9a3r1	2.51758620145986	7.77182248948862	50.0551547253921	8.45729015341899e-17	1.98707876377376e-14
B4galt4	6.0736695775331	3.04288144788672	50.5835778602414	8.62129046702954e-17	1.99537837719742e-14
Adamts1	3.22667488677568	6.4781331689976	49.7832163460918	9.32147365675109e-17	2.12570723522411e-14
Uchl1	3.77860695287669	4.76105644556975	48.9687472385962	1.18758482409794e-16	2.42918619326273e-14
