genes	logFC	AveExpr	t	P.Value	adj.P.Val
Igfbp4	5.73183023735211	6.62048066112186	105.366736263097	5.14615167308079e-21	2.66004579981546e-17
Ezr	2.8048867866884	9.08640759603461	83.8729254719834	9.25516608707309e-20	2.05028372160346e-16
Ptx3	4.31110521298361	5.38618038667475	79.6869532926856	1.94681783514327e-19	3.77366302119584e-16
Tmem151a	4.25554459056529	5.90451824875793	76.1695764276741	3.52969513583039e-19	5.47349824713219e-16
Myrf	8.90713283414185	5.20757856951548	75.2189970531996	5.0446114323693e-19	7.1115263165228e-16
Cxcl12	5.87370592139157	4.92512051669828	69.2109784557266	1.35393640308931e-18	1.5156215714758e-15
Akap12	3.23219387387814	6.35080050036194	68.5690876970199	1.35420449424704e-18	1.5156215714758e-15
Gata6	3.92215105019925	4.9032723714642	67.146999302401	1.84288964891204e-18	1.90517931904527e-15
Cyp1b1	8.01438194013523	4.90884849121245	67.0041981066834	2.26361650296523e-18	2.10206801259458e-15
Krt19	5.28450537832533	5.80436461952433	65.2373570708936	2.88137959267884e-18	2.35166070229846e-15
Lbh	2.49196377907606	6.74925190010807	63.6266778578616	3.5488491589243e-18	2.75160019537196e-15
Epb41l4a	5.12950501104835	4.23076254204984	63.6162764460726	3.99003848486806e-18	2.80233575842451e-15
Ccnd2	4.36129996099857	6.52869985048195	62.0171903103083	5.38468398273187e-18	3.47917893834263e-15
Ppl	6.27478912531745	4.61465252244429	61.9563342164622	5.96232824167896e-18	3.69831296174862e-15
Tmem98	3.73606079613528	5.65413945040848	60.5424074937124	7.18598602925401e-18	4.20729104263005e-15
Jag1	3.30024780984285	4.71364211024295	57.757596209608	1.3135436541113e-17	6.57068433687226e-15
Smpd3	9.94104065803997	4.64175795189084	57.5515489329678	1.79480917453149e-17	7.66575724189681e-15
Afap1l2	5.08691641336	3.69658299450855	55.9426481606198	2.17861471005652e-17	8.44594457721161e-15
Ppp2r5b	2.31176363528383	6.53710593378951	54.5846472369116	2.67922790487019e-17	9.66204351647026e-15
Dcn	5.7038789406126	3.66698218571474	54.9134711876009	2.8657054472383e-17	9.87522097118319e-15
Myo1d	2.78024134758261	6.00702028759338	53.2760679088366	3.74291165703125e-17	1.20919439719966e-14
Acta2	2.92234925139584	7.87570814645922	52.0042296233715	5.17612640217126e-17	1.54358061766288e-14
Shroom3	4.29103555424641	3.89755926318681	52.1310390911948	5.32616470799237e-17	1.55835539861958e-14
Timp3	3.59431943542762	7.63131207165184	51.3441558669563	6.30080587505083e-17	1.77648357644388e-14
Pawr	3.70351637633203	4.0587130550679	50.2134493196579	8.49674630933169e-17	2.05615679644393e-14
B4galt4	6.07350684507017	3.04288144788672	50.5847014173935	8.61870070089996e-17	2.05615679644393e-14
Irgm1	2.68860862390635	4.70869549595075	49.48799616745	9.88207891773709e-17	2.2461439293779e-14
Uchl1	3.77699200800184	4.76105644556975	48.9216404905366	1.20267717527426e-16	2.59026596624693e-14
Mpp2	3.63010740502622	5.12995391973387	48.5311401177286	1.32785867872162e-16	2.72724352077945e-14
Rnf128	7.60235647475153	3.83843998057872	49.1482372575688	1.34089012076836e-16	2.72724352077945e-14
Upk3b	11.6820854517488	3.96550784052048	49.2847752555704	1.45240193922889e-16	2.86615693114864e-14
Maf	3.42936186818699	4.51396969498902	47.9695346575366	1.53450489977356e-16	2.93772438034427e-14
Optn	3.31154975372877	4.3719188747011	47.460676419802	1.75742198009307e-16	3.24432650539324e-14
Adamts1	3.06671270245824	6.4781331689976	46.8854935121031	2.04354882905848e-16	3.72815431673058e-14
Cdh3	8.44802897654354	3.95311588127734	47.3542583077326	2.25580429441151e-16	3.96691061766988e-14
Tspan7	5.00572519587158	3.03259564614723	46.4538725116104	2.52576619480074e-16	4.30407212997529e-14
Sv2a	4.74732619650146	3.25206884473622	45.7969979642956	3.01011829918622e-16	4.9936093741415e-14
Scrn1	3.41533144714435	3.35394376633779	45.578853428143	3.01026382250796e-16	4.9936093741415e-14
Gjb3	3.69353406488379	4.58755766561278	45.6028594453263	3.02701541993487e-16	4.9936093741415e-14
Zcchc3	3.11409599322855	4.25701126407909	45.2119767080005	3.30678096046376e-16	5.34148462019912e-14
Stbd1	3.98268715531804	3.7756421770715	44.8557553196053	3.81509549453496e-16	5.91606858337536e-14
Daam2	8.04319129105393	2.92933775750896	45.3727006253677	3.91092491326914e-16	5.94482251569273e-14
Fam84b	3.45025312941983	4.38497451728005	44.6613343873415	3.94216595087602e-16	5.94482251569273e-14
Vldlr	5.63777127483229	3.59345733373605	45.0076365216521	3.94864718589251e-16	5.94482251569273e-14
Efnb1	2.58037393696607	5.4782308496506	44.2295956532716	4.33467576336097e-16	6.32480151560928e-14
Hmox1	2.00264193868365	6.5518831867992	43.8806407361047	4.74655953529242e-16	6.76604111475787e-14
Foxo6	3.56053511732826	4.36501060883509	43.9525994031991	4.89172080265184e-16	6.84778556563877e-14
Pfkfb3	3.83346287437742	3.98584196685423	43.9675576673576	4.93137728788035e-16	6.84778556563877e-14
Dusp6	2.36995853940778	6.03677022415571	43.7608224880205	4.95898476870517e-16	6.84778556563877e-14
Slc9a3r1	2.24449074307242	7.77182248948862	43.5066726983381	5.33853127391663e-16	7.13660383315734e-14
Cdc42bpg	3.05473982745232	4.19462699029752	43.5605587718387	5.38818223780335e-16	7.14141384287321e-14
Shroom2	3.84195213211062	4.49742361395404	43.5433413470166	5.60592943617521e-16	7.2550792084685e-14
Tns1	2.00252611178095	6.49980930496903	42.8473198782208	6.49794453312381e-16	8.25931359632384e-14
Cobl	4.71454668104152	2.77351273435501	43.1461777337939	6.59682668093349e-16	8.3168285643281e-14
Smad6	3.52761551946161	3.81137941897159	42.9336146625073	6.65422275877789e-16	8.32153486454586e-14
Mtss1	2.12276965790507	5.63705522895762	42.6933824926514	6.82828846176596e-16	8.47090153412838e-14
Fbln5	3.68881425983576	4.43073186353279	42.4671336978303	7.74108238222994e-16	9.37820035165935e-14
Gata4	4.00847797289028	3.64626287431089	42.1003557789955	8.80963125787932e-16	1.04693065374003e-13
Krt18	3.29081404032251	4.46703765643821	41.5558845443607	1.01215736525144e-15	1.16263142688549e-13
Grb10	2.43150143774359	7.30881724007281	41.3527143242537	1.04710940525488e-15	1.19393570200643e-13
Smarca2	6.26460157356469	3.26636118511694	41.8015345925236	1.07553795010725e-15	1.2173990505338e-13
Adamts5	3.24800569184039	6.42615460949348	41.0857422606927	1.17368765161409e-15	1.30002674382712e-13
Fhdc1	1.86478176594106	5.89056094454455	40.8712720402296	1.20785238458784e-15	1.31078611335383e-13
Sulf1	6.54928164997157	3.30882317819225	41.1402857578039	1.34308143866459e-15	1.42612830746809e-13
Unc5b	2.01990912608631	7.88021351575695	40.1801694152619	1.51545428893326e-15	1.52904816562819e-13
Cxadr	3.36056218484338	6.90302307822162	40.2017030143153	1.57049151969056e-15	1.5611289740924e-13
Eya4	3.62365741390274	4.66735533829248	39.8533482163411	1.78189494402878e-15	1.72121881323834e-13
Cacna2d1	3.97971606623231	3.46155747963879	39.8950114141267	1.78703958813034e-15	1.72121881323834e-13
Epha4	4.29412849703948	2.86909753559735	39.6147355894115	1.99072656005913e-15	1.89387710225994e-13
Pmp22	2.14997558109176	4.46242743738919	39.0149828766127	2.23775982892034e-15	2.09041817271492e-13
Fam129a	6.5211445002684	2.94046211964076	39.1758199851198	2.55511811202371e-15	2.34450985580779e-13
Pdzrn3	3.20019754216181	3.72002983032513	38.4368510359724	2.81648332592427e-15	2.55410566871974e-13
Antxr1	4.60033382829486	4.10081320181267	38.47292596782	2.96923322956462e-15	2.65890625011562e-13
Ildr2	3.63353197392564	5.03469766248951	38.3241203225998	2.98348931140851e-15	2.65890625011562e-13
Arhgdib	1.76462108115245	6.1299154048857	38.1272699012324	3.01122851854984e-15	2.66829260783728e-13
Zfp518b	2.55181921472719	5.78889362208166	38.1106646034388	3.07765132905685e-15	2.71165563407298e-13
Marcks	1.61375984478515	7.51930085461936	37.9660565100234	3.17949472950124e-15	2.76991150395369e-13
Nod1	2.13506499803538	5.65459883726002	37.7127324904541	3.49658018855134e-15	2.99566126982683e-13
Adgrg2	7.35737379442569	2.76064678579805	38.3054098976639	3.55074080632654e-15	3.02534822437943e-13
Arnt2	4.68010316572839	2.91641053618333	37.7923077574275	3.76979201089237e-15	3.14291208133914e-13
Boc	3.19714457452067	3.69061446385573	37.5679386025058	3.8044015053621e-15	3.15480503441979e-13
Kdm5b	2.06703567078394	4.78919873954828	37.3901480551325	3.90970557231306e-15	3.2248832079712e-13
Rab3b	5.59475833382806	3.00725990738876	37.7474370773613	3.99918661207426e-15	3.27952103773707e-13
Ror1	5.47167255078621	2.19424287372598	37.7174646684456	4.0182433557106e-15	3.27952103773707e-13
Edn2	6.52107457486259	2.30506350911491	37.8102615258645	4.0755291554003e-15	3.30886024150745e-13
Cpne8	5.2110644081399	3.09330259648	37.5976857342697	4.13897310828968e-15	3.3255469424999e-13
Krt14	10.6730451174009	3.49164369505965	37.9852731899192	4.39175188025466e-15	3.48222103312326e-13
Inhbb	1.95388007471126	6.04413886222747	37.0494996728454	4.40133696067685e-15	3.48222103312326e-13
Rnd3	1.67822610156814	6.511809282038	36.9680753517317	4.51557330183723e-15	3.53651490866615e-13
Gpr39	2.36551914282782	4.51815721213376	36.5884641468297	5.23301045169639e-15	3.99745286081063e-13
Zbtb7c	2.58834404253693	3.80354587762077	36.3884607423145	5.65954060612522e-15	4.28109737459433e-13
Baiap2l1	7.898034620261	2.12082816761768	36.9025916423833	5.91650595185528e-15	4.41092585554903e-13
Flrt3	4.32527415003198	4.25531791536574	36.3031926125175	6.28665873109348e-15	4.65199922181642e-13
Creb3l2	2.30452639383709	6.46481139102026	35.9506204272621	6.58375629389142e-15	4.83859283646323e-13
Sema3c	2.54337671087737	7.41152839219629	35.8464377317799	6.88407999099108e-15	5.01180415118773e-13
Tgfb2	3.12515090191207	4.4183558511439	35.8380511971451	7.04957149084147e-15	5.10830397703171e-13
Enah	2.25102147584036	5.83595791485527	35.5922687698144	7.50053617997536e-15	5.29408066107234e-13
Tcaf2	3.46299685703906	2.84204159001951	35.5367906541778	7.99062203583254e-15	5.5815574734079e-13
Cyp2s1	7.79970055854676	2.77993440234399	35.9412477287817	8.3420071869495e-15	5.78101635745843e-13
Fam43a	5.38752374963771	2.14579525396013	35.640498278259	8.42897136684304e-15	5.80924706602822e-13
Mgat3	2.61150705967247	4.67234651455447	34.9639611764498	9.57123216079061e-15	6.42842030223528e-13
Celsr1	5.96135447007009	2.76728952395668	35.3666698844401	9.57609524612336e-15	6.42842030223528e-13
Slc4a8	2.64184196549891	3.21018329268613	34.8983138391456	9.81985523496179e-15	6.56364203140313e-13
Ccdc80	1.89910698063879	6.38591046515452	34.3966764234941	1.16724350817111e-14	7.57340798376963e-13
St6gal1	3.9273559480854	3.12092562362043	34.4697260020851	1.21848161649348e-14	7.80784893676214e-13
