genes	logFC	AveExpr	t	P.Value	adj.P.Val
Col1a2	-5.72896747155574	9.16241548258956	-127.631711577341	2.94014315402239e-22	2.96676199007256e-18
Spp1	-4.59532677944571	8.09444686066638	-124.937119480638	3.78945202461689e-22	2.96676199007256e-18
Ank	-6.47416333417786	5.2889592195048	-83.700743199626	8.30464986820143e-20	2.4452388130711e-16
Epb41l1	-3.48005638133354	8.35168565501508	-82.4801127483937	9.36992775477494e-20	2.4452388130711e-16
Angptl2	-3.54605652553533	5.78656948485335	-77.9309248761095	1.99609074173107e-19	4.46496983343216e-16
Il1rl1	-8.84714386005114	4.76560589769127	-69.54453722947	1.05169203122126e-18	1.49703580226022e-15
Aqp5	-5.19837512840902	4.61034252105893	-67.9175944119512	1.29064164274468e-18	1.55452821862279e-15
Gm8730	-6.68461055355995	4.30036866280409	-63.9475998617719	3.00565669032721e-18	2.76838661512609e-15
Tnfaip2	-4.33802029302217	5.03811057375808	-63.0726089139353	3.38017602683502e-18	2.94037756823237e-15
Loxl4	-4.03167784105766	5.15412144130029	-57.4771544731781	1.15473234608159e-17	7.23231962997823e-15
Gm9625	-5.76366050010722	4.55321295382234	-57.3820351108503	1.23379240124096e-17	7.43027746870421e-15
Hspb8	-5.83983397463809	3.53611439455853	-55.6538231471107	1.85652510023683e-17	1.00239551791408e-14
Cavin2	-2.402911323722	7.35372460662958	-55.1207820165209	1.97604427918715e-17	1.03136337745042e-14
Fgfr1	-3.04301053449661	6.01035223977405	-54.7525838958966	2.169305790298e-17	1.09570935691891e-14
Gpc1	-3.25345021553894	7.16255603895496	-54.0204053958128	2.60003178437523e-17	1.27049603411765e-14
Rbl1	-2.79421896135796	7.1057751068852	-53.8830077126697	2.6776324642919e-17	1.27049603411765e-14
Rps3a3	-8.51953170044517	3.63563117332998	-54.2378369050104	2.83865049319997e-17	1.30728204183897e-14
Adcy7	-3.05595170978177	5.66877980048382	-53.2441424850842	3.14430892095898e-17	1.35689126299622e-14
