GENE	EVC-A-1	EVC-B-2	RA72Q-A-3	RA72Q-C-2	WT-1-1	WT-2-2
A1BG	0.090998	0.0697364	0.0722059	0.126659	0.268891	0.0536291
A1BG-AS1	0.103328	0.0848416	0.14641	0.205458	0.101775	0.173988
A1CF	0.0313585	0.039054	0.0496517	0.059246	0.0432462	0.0554516
A2M	128.595	127.9	154.852	153.076	160.348	165.033
A2M-AS1	8.20076	8.43264	8.81658	8.69485	9.15073	8.7733
A2ML1	0.126904	0.136818	0.0550684	0.0867404	0.117184	0.0934872
A2MP1	0.0570134	0	0	0	0.0280782	0.0280004
A4GALT	0.195756	0.129823	0.209098	0.224563	0.148318	0.162698
A4GNT	0.0362831	0.0173785	0.0719756	0.0360727	0.107213	0.053458
AA06	0	0	0	0	0	0
AAAS	47.1296	45.8225	53.5444	55.98	58.8498	56.372
AACS	16.8394	17.1098	15.0737	16.8869	16.2359	15.1246
AACSP1	0.202145	0.193642	0.300749	0.244038	0.241772	0.170189
AADAC	0.14193	0.174805	0.160885	0.221739	0.21968	0.159324
AADACL2	0	0	0	0	0	0
AADACL3	0	0	0	0	0	0
AADACL4	0.0414678	0	0	0.0206137	0	0
AADAT	0.669909	0.800589	0.754936	0.812583	0.937043	0.527397
AAED1	10.6894	10.5598	11.9829	11.9282	12.5029	11.894
AAGAB	60.401	58.4567	58.0469	57.2422	58.3338	56.8403
AAK1	4.61936	4.74326	5.01167	4.90268	4.52998	4.6275
AAMDC	53.5415	61.0761	50.3848	58.2156	59.0726	56.8647
AAMP	42.9908	41.611	38.7725	40.5004	39.6662	37.9747
AANAT	0.0512057	0.264934	0.102914	0.153412	0.10198	0.24166
AAR2	27.2918	27.6359	27.338	27.8244	29.4962	27.7895
AARD	0.287514	0.13771	0.196057	0.160789	0.106197	0.211805
AARS	49.9581	48.6895	53.162	53.6836	53.1405	52.4684
AARS2	9.01263	8.71089	8.88999	8.94185	9.15248	8.66953
AARSD1	16.2828	16.7375	14.1297	16.4468	16.6802	17.7547
AASDH	3.4812	3.65932	3.94853	4.01679	3.92944	3.93518
AASDHPPT	44.8158	45.5653	40.3965	38.3215	39.2832	39.3845
AASS	10.6178	11.0556	12.771	11.3445	11.9212	12.5584
AATF	42.0359	44.2327	42.9603	41.9673	39.4091	40.4099
AATK	0.395806	0.412618	0.421465	0.491895	0.447192	0.462377
AATK-AS1	0.103535	0.178515	0.0821523	0.0617711	0.101979	0.0203418
ABAT	4.78369	5.17949	3.47147	3.65552	3.96257	4.40643
ABCA1	1.27304	1.20098	1.64614	1.43039	1.36814	1.38334
ABCA10	0.4416	0.494327	0.640637	0.651194	0.58537	0.547893
ABCA11P	0.930527	0.717035	0.926638	0.705143	0.64442	0.919903
ABCA12	0.0469078	0.0483913	0.0679996	0.0538106	0.0503781	0.0674344
ABCA13	0.690024	0.643352	0.591381	0.647725	0.529535	0.506681
ABCA17P	0.435373	0.553801	0.403513	0.468328	0.358529	0.476714
ABCA2	9.11061	9.14544	9.56864	10.5479	10.7568	10.565
ABCA3	17.1089	16.4784	19.7115	21.0265	20.3993	20.4297
ABCA4	0.0199669	0.0229525	0.00792175	0.0158809	0	0.00784491
ABCA5	10.9139	11.8393	12.2567	11.1957	10.5319	10.881
