	NGenes	Direction	PValue	FDR
NIKOLSKY_BREAST_CANCER_20Q11_AMPLICON	41	Down	1.39024709462873e-09	6.56752727502613e-06
CHIARADONNA_NEOPLASTIC_TRANSFORMATION_KRAS_CDC25_UP	71	Down	9.93536964563494e-08	0.000234673431029897
AIGNER_ZEB1_TARGETS	34	Up	4.00765070892223e-07	0.000631071398298287
NIKOLSKY_BREAST_CANCER_1Q21_AMPLICON	38	Down	8.77799413111137e-06	0.0103668110688425
CHIARADONNA_NEOPLASTIC_TRANSFORMATION_KRAS_UP	167	Down	1.16507409598415e-05	0.0110076200588583
WHITFIELD_CELL_CYCLE_LITERATURE	50	Down	1.58947804177038e-05	0.0125144904488722
ROLEF_GLIS3_TARGETS	21	Up	3.43229981996296e-05	0.022248502143353
BIOCARTA_TRKA_PATHWAY	20	Down	3.90078215863511e-05	0.022248502143353
SA_TRKA_RECEPTOR	24	Down	4.46839219542211e-05	0.022248502143353
REACTOME_CHOLESTEROL_BIOSYNTHESIS	24	Down	4.70967445879615e-05	0.022248502143353
WENG_POR_TARGETS_GLOBAL_UP	20	Down	5.20908195241966e-05	0.0223706392211186
TANG_SENESCENCE_TP53_TARGETS_DN	62	Down	6.56669886702482e-05	0.0258509045398544
CROONQUIST_NRAS_SIGNALING_DN	89	Down	7.17937486787191e-05	0.0260887437506361
PLASARI_TGFB1_SIGNALING_VIA_NFIC_10HR_UP	92	Up	9.56045455603194e-05	0.0322597052304964
ISHIDA_E2F_TARGETS	61	Down	0.000107418632381565	0.0338297079580342
BIOCARTA_NOS1_PATHWAY	22	Down	0.000120360553798701	0.0355364535090665
LY_AGING_MIDDLE_DN	24	Down	0.00012997274130417	0.0361171311718177
BIOCARTA_GPCR_PATHWAY	52	Down	0.000157813823525448	0.0412520624310442
BIOCARTA_VIP_PATHWAY	33	Down	0.000172713631283913	0.0412520624310442
SCHMIDT_POR_TARGETS_IN_LIMB_BUD_UP	30	Down	0.000174648867193244	0.0412520624310442
NIKOLSKY_BREAST_CANCER_19P13_AMPLICON	7	Down	0.000237036811162892	0.0532521467423828
KORKOLA_YOLK_SAC_TUMOR	83	Up	0.000247998989909488	0.0532521467423828
KAMMINGA_EZH2_TARGETS	52	Down	0.000322878940425897	0.0663165267205191
CROONQUIST_IL6_DEPRIVATION_DN	124	Down	0.000377599797038479	0.074324226717074
KIM_BIPOLAR_DISORDER_OLIGODENDROCYTE_DENSITY_CORR_DN	75	Up	0.000417526108583121	0.075926143987097
KEGG_APOPTOSIS	82	Down	0.00041788309561061	0.075926143987097
BIOCARTA_ACH_PATHWAY	16	Down	0.000435863223831177	0.0762599210880918
CHEMNITZ_RESPONSE_TO_PROSTAGLANDIN_E2_UP	178	Down	0.000492239595667631	0.0830478517833532
SANCHEZ_MDM2_TARGETS	22	Down	0.000608496537244376	0.0969481684189765
BIOCARTA_TCR_PATHWAY	59	Down	0.000615674227893585	0.0969481684189765
WIEMANN_TELOMERE_SHORTENING_AND_CHRONIC_LIVER_DAMAGE_DN	6	Down	0.00064307603471215	0.097996489934845
REACTOME_COPI_MEDIATED_TRANSPORT	14	Up	0.000700630656269211	0.103430600631742
KUMAMOTO_RESPONSE_TO_NUTLIN_3A_DN	15	Down	0.00082397169911525	0.112208872619643
LIU_CDX2_TARGETS_DN	7	Up	0.000837113623806818	0.112208872619643
ZHAN_MULTIPLE_MYELOMA_PR_UP	48	Down	0.000851594992520782	0.112208872619643
BIOCARTA_SRCRPTP_PATHWAY	17	Down	0.00086436184449859	0.112208872619643
BIOCARTA_BAD_PATHWAY	35	Down	0.000878858655149616	0.112208872619643
WEST_ADRENOCORTICAL_CARCINOMA_VS_ADENOMA_DN	18	Down	0.000905122000264778	0.112520956032916
XU_RESPONSE_TO_TRETINOIN_DN	21	Down	0.000958126339343172	0.116056123770696
MIKKELSEN_NPC_HCP_WITH_H3K27ME3	251	Up	0.000986789034815132	0.116539785011667
VERRECCHIA_RESPONSE_TO_TGFB1_C6	15	Up	0.00103509416514076	0.119263044783535
BIOCARTA_FMLP_PATHWAY	46	Down	0.00117694937505419	0.132378782089429
HAN_JNK_SINGALING_DN	53	Up	0.00121682884125863	0.133229397208265
MORI_LARGE_PRE_BII_LYMPHOCYTE_UP	123	Down	0.0012513785980183	0.133229397208265
BIOCARTA_CREB_PATHWAY	44	Down	0.00126911999880862	0.133229397208265
ONDER_CDH1_SIGNALING_VIA_CTNNB1	145	Up	0.00134878961564929	0.134945201721267
PID_PI3K_PLC_TRK_PATHWAY	52	Down	0.00134923694574682	0.134945201721267
TAKAYAMA_BOUND_BY_AR	17	Up	0.00137116208353531	0.134945201721267
ST_DIFFERENTIATION_PATHWAY_IN_PC12_CELLS	58	Down	0.0014365532427391	0.137342363427324
BIOCARTA_AGPCR_PATHWAY	20	Down	0.00145366599732561	0.137342363427324
BIOCARTA_RACCYCD_PATHWAY	44	Down	0.00153422648563364	0.138843762433268
VIETOR_IFRD1_TARGETS	27	Down	0.00154122452199614	0.138843762433268
BIOCARTA_STATHMIN_PATHWAY	19	Down	0.00158259714313524	0.138843762433268
MARKEY_RB1_ACUTE_LOF_DN	281	Down	0.00160641530011831	0.138843762433268
MARKEY_RB1_CHRONIC_LOF_UP	156	Down	0.00161651289877853	0.138843762433268
CHANG_CYCLING_GENES	201	Down	0.00165667738681459	0.139752570987716
BIOCARTA_CALCINEURIN_PATHWAY	20	Down	0.00169642197097038	0.140594691067791
HOFFMANN_LARGE_TO_SMALL_PRE_BII_LYMPHOCYTE_UP	225	Down	0.0017274063302807	0.140694267314586
EGUCHI_CELL_CYCLE_RB1_TARGETS	24	Down	0.00180075441151809	0.143447922291894
BIOCARTA_MEF2D_PATHWAY	21	Down	0.00187471306786587	0.143447922291894
BIOCARTA_IGF1R_PATHWAY	41	Down	0.00189146277300264	0.143447922291894
MONTERO_THYROID_CANCER_POOR_SURVIVAL_UP	14	Down	0.00197703041032447	0.143447922291894
MISHRA_CARCINOMA_ASSOCIATED_FIBROBLAST_DN	33	Up	0.00200635935494983	0.143447922291894
CUI_TCF21_TARGETS_UP	60	Up	0.00200994269294058	0.143447922291894
KEGG_VEGF_SIGNALING_PATHWAY	67	Down	0.00202427560366466	0.143447922291894
KOBAYASHI_EGFR_SIGNALING_24HR_DN	329	Down	0.0020273269921599	0.143447922291894
MAINA_HYPOXIA_VHL_TARGETS_UP	5	Up	0.00207383509333619	0.143447922291894
GAUSSMANN_MLL_AF4_FUSION_TARGETS_A_DN	150	Up	0.00209035875146093	0.143447922291894
NIELSEN_GIST_AND_SYNOVIAL_SARCOMA_UP	36	Up	0.00212058545768734	0.143447922291894
AMUNDSON_GAMMA_RADIATION_RESPONSE	52	Down	0.00212560426766143	0.143447922291894
KEGG_NATURAL_KILLER_CELL_MEDIATED_CYTOTOXICITY	96	Down	0.0021660684763746	0.144119823695685
REACTOME_G0_AND_EARLY_G1	28	Down	0.00224678058363855	0.147160077478119
BIOCARTA_CARM1_PATHWAY	17	Down	0.00227406554951369	0.147160077478119
BURTON_ADIPOGENESIS_3	135	Down	0.00247415561528282	0.157944744954001
ZHOU_CELL_CYCLE_GENES_IN_IR_RESPONSE_6HR	107	Down	0.00258951781742154	0.163105095593325
ALONSO_METASTASIS_EMT_DN	11	Up	0.00263341999497071	0.163659429432323
ASTON_MAJOR_DEPRESSIVE_DISORDER_UP	59	Down	0.00266760712664878	0.163659429432323
REACTOME_IRON_UPTAKE_AND_TRANSPORT	35	Up	0.00271061605150871	0.164166028555476
MYLLYKANGAS_AMPLIFICATION_HOT_SPOT_3	5	Down	0.00276932475037194	0.164488661814101
ZHOU_CELL_CYCLE_GENES_IN_IR_RESPONSE_24HR	158	Down	0.00282014302161733	0.164488661814101
SIG_BCR_SIGNALING_PATHWAY	51	Down	0.00282040254168971	0.164488661814101
ROSTY_CERVICAL_CANCER_PROLIFERATION_CLUSTER	169	Down	0.00299783400358844	0.171159602548666
SHEPARD_BMYB_TARGETS	85	Down	0.00303257591685623	0.171159602548666
