	NGenes	Direction	PValue	FDR
KARLSSON_TGFB1_TARGETS_UP	173	Down	1.06566105106279e-12	5.03418280522063e-09
FARDIN_HYPOXIA_11	47	Up	3.02786253465218e-12	7.15181130684846e-09
FARDIN_HYPOXIA_9	8	Up	1.60390843760582e-10	2.52562115308329e-07
MANALO_HYPOXIA_DN	336	Down	1.34670743413585e-09	1.48377929159051e-06
KEGG_SPLICEOSOME	172	Down	1.69951326488039e-09	1.48377929159051e-06
VANDESLUIS_COMMD1_TARGETS_GROUP_2_UP	21	Up	1.8845630291158e-09	1.48377929159051e-06
REACTOME_PROCESSING_OF_CAPPED_INTRON_CONTAINING_PRE_MRNA	169	Down	3.51004421277534e-09	2.36877840873581e-06
REACTOME_3_UTR_MEDIATED_TRANSLATIONAL_REGULATION	144	Down	5.39962683645559e-09	3.18847964692703e-06
REACTOME_MRNA_SPLICING	136	Down	6.90054539317161e-09	3.62201960414919e-06
CAIRO_HEPATOBLASTOMA_CLASSES_UP	775	Down	7.85972117599148e-09	3.71293228353837e-06
REACTOME_MRNA_PROCESSING	187	Down	8.94125093664917e-09	3.8398608567937e-06
PODAR_RESPONSE_TO_ADAPHOSTIN_UP	208	Up	2.03166980731183e-08	7.94990746033996e-06
LEE_METASTASIS_AND_RNA_PROCESSING_UP	30	Down	2.18773914022903e-08	7.94990746033996e-06
REACTOME_METABOLISM_OF_RNA	318	Down	2.75305231723591e-08	8.83797809476452e-06
KRIGE_AMINO_ACID_DEPRIVATION	39	Up	2.9114142473869e-08	8.83797809476452e-06
REACTOME_ACTIVATION_OF_THE_MRNA_UPON_BINDING_OF_THE_CAP_BINDING_COMPLEX_AND_EIFS_AND_SUBSEQUENT_BINDING_TO_43S	76	Down	2.99338800838764e-08	8.83797809476452e-06
DANG_MYC_TARGETS_UP	200	Down	3.38381273647353e-08	9.40301845123586e-06
MENSE_HYPOXIA_UP	122	Up	4.23455163156643e-08	1.11133455041777e-05
QI_HYPOXIA	202	Up	5.38977533475123e-08	1.34006835165078e-05
PACHER_TARGETS_OF_IGF1_AND_IGF2_UP	44	Up	8.00966994800353e-08	1.89188404171843e-05
CAIRO_PML_TARGETS_BOUND_BY_MYC_UP	31	Down	8.9692157197586e-08	2.01764643143522e-05
REACTOME_NONSENSE_MEDIATED_DECAY_ENHANCED_BY_THE_EXON_JUNCTION_COMPLEX	148	Down	1.02006766867713e-07	2.19036348492307e-05
MUELLER_PLURINET	382	Down	2.49598944662965e-07	5.0569158126424e-05
REACTOME_METABOLISM_OF_MRNA	270	Down	2.56913589126625e-07	5.0569158126424e-05
YAO_TEMPORAL_RESPONSE_TO_PROGESTERONE_CLUSTER_14	204	Down	2.89330614533893e-07	5.46719129223244e-05
CHNG_MULTIPLE_MYELOMA_HYPERPLOID_UP	72	Down	3.04693448129195e-07	5.53604557293198e-05
LEE_BMP2_TARGETS_DN	1102	Down	3.7726971588896e-07	6.60082273281276e-05
MORI_PLASMA_CELL_UP	55	Up	4.14683278861655e-07	6.99629931908021e-05
SCHLOSSER_MYC_TARGETS_AND_SERUM_RESPONSE_DN	67	Down	4.31280444563576e-07	7.02540972454597e-05
ABRAMSON_INTERACT_WITH_AIRE	68	Down	5.42035709771606e-07	8.44460611564541e-05
REACTOME_MITOCHONDRIAL_PROTEIN_IMPORT	58	Down	5.5415493138232e-07	8.44460611564541e-05
REACTOME_PEPTIDE_CHAIN_ELONGATION	117	Down	5.93580099854488e-07	8.76272622410188e-05
WONG_EMBRYONIC_STEM_CELL_CORE	440	Down	6.24445164742219e-07	8.93902714618861e-05
BILANGES_SERUM_AND_RAPAMYCIN_SENSITIVE_GENES	86	Down	7.03546645397818e-07	9.77515986135086e-05
ELVIDGE_HYPOXIA_BY_DMOG_UP	167	Up	8.46894301632287e-07	0.000114306533740312
REACTOME_METABOLISM_OF_NON_CODING_RNA	54	Down	1.42894474362974e-06	0.000187509304691858
REACTOME_PURINE_RIBONUCLEOSIDE_MONOPHOSPHATE_BIOSYNTHESIS	15	Down	1.5471521818499e-06	0.000197533700190782
KEGG_RIBOSOME	116	Down	1.62358608557821e-06	0.000201837386007144
BOYERINAS_ONCOFETAL_TARGETS_OF_LET7A1	33	Down	1.99853008923925e-06	0.000242078362604261
SEMENZA_HIF1_TARGETS	51	Up	2.13209379353613e-06	0.000251800277016617
BAKKER_FOXO3_TARGETS_UP	99	Up	3.41113881184959e-06	0.000393029749931158
REACTOME_FORMATION_OF_THE_TERNARY_COMPLEX_AND_SUBSEQUENTLY_THE_43S_COMPLEX	64	Down	3.6372878371001e-06	0.000409108279582402
DANG_REGULATED_BY_MYC_UP	103	Down	3.97248540394565e-06	0.000432008442667007
REACTOME_TRANSLATION	191	Down	4.02378735760972e-06	0.000432008442667007
LEONARD_HYPOXIA	78	Up	4.46517075897728e-06	0.000468743703675748
REACTOME_RNA_POL_I_TRANSCRIPTION_INITIATION	25	Down	4.91038857374227e-06	0.000504275557007793
WANG_ADIPOGENIC_GENES_REPRESSED_BY_SIRT1	46	Up	5.69071222830858e-06	0.000571977118436803
REACTOME_TRANSPORT_OF_MATURE_TRANSCRIPT_TO_CYTOPLASM	65	Down	7.13575000821873e-06	0.000702276729975527
REACTOME_MRNA_SPLICING_MINOR_PATHWAY	51	Down	7.66706283752376e-06	0.000739167445805352
FARMER_BREAST_CANCER_CLUSTER_4	54	Down	7.96792339331453e-06	0.000752809402200357
SANSOM_APC_TARGETS_REQUIRE_MYC	255	Down	8.44425162179042e-06	0.000782169503163489
REACTOME_INFLUENZA_VIRAL_RNA_TRANSCRIPTION_AND_REPLICATION	136	Down	8.85447058515614e-06	0.000804394597005339
SCHLOSSER_MYC_TARGETS_AND_SERUM_RESPONSE_UP	79	Down	9.77414048529549e-06	0.000871189427406337
REACTOME_INTEGRIN_CELL_SURFACE_INTERACTIONS	97	Down	1.09112166865357e-05	0.000954529400503604
WELCSH_BRCA1_TARGETS_DN	218	Down	1.14340387820388e-05	0.000971764920982638
REACTOME_RNA_POL_I_TRANSCRIPTION_TERMINATION	20	Down	1.15957128797153e-05	0.000971764920982638
REACTOME_INFLUENZA_LIFE_CYCLE	182	Down	1.17253599695196e-05	0.000971764920982638
CLASPER_LYMPHATIC_VESSELS_DURING_METASTASIS_DN	76	Down	1.2238561905977e-05	0.000996809766273026
FRIDMAN_SENESCENCE_DN	32	Down	1.39625329095526e-05	0.00111316347355197
PELLICCIOTTA_HDAC_IN_ANTIGEN_PRESENTATION_UP	81	Up	1.4138401442235e-05	0.00111316347355197
MATTIOLI_MGUS_VS_MULTIPLE_MYELOMA	25	Down	1.67337022848309e-05	0.00129590179661543
REACTOME_INTERACTIONS_OF_VPR_WITH_HOST_CELLULAR_PROTEINS	36	Down	1.88634170475042e-05	0.001437270679555
ELVIDGE_HIF1A_TARGETS_DN	119	Up	2.12772063742741e-05	0.00159545274463605
GOTZMANN_EPITHELIAL_TO_MESENCHYMAL_TRANSITION_UP	102	Down	2.20180047751041e-05	0.00161112261475593
PENG_GLUTAMINE_DEPRIVATION_DN	491	Down	2.25418062532622e-05	0.00161112261475593
SARTIPY_BLUNTED_BY_INSULIN_RESISTANCE_DN	26	Up	2.27504457959517e-05	0.00161112261475593
NAKAMURA_CANCER_MICROENVIRONMENT_UP	45	Down	2.28503842482319e-05	0.00161112261475593
OXFORD_RALB_TARGETS_UP	26	Down	2.33954327784257e-05	0.00162529447713651
THUM_MIR21_TARGETS_HEART_DISEASE_UP	41	Down	2.40183442564546e-05	0.00164438635170278
REACTOME_TRANSPORT_OF_MATURE_MRNA_DERIVED_FROM_AN_INTRONLESS_TRANSCRIPT	37	Down	2.73580980860517e-05	0.00184628079083583
REACTOME_MRNA_DECAY_BY_3_TO_5_EXORIBONUCLEASE	10	Down	2.8642232848548e-05	0.00190268706745424
KEGG_SNARE_INTERACTIONS_IN_VESICULAR_TRANSPORT	33	Up	2.89994641948996e-05	0.00190268706745424
NABA_COLLAGENS	35	Down	2.95146043409952e-05	0.00190995877954604
ELVIDGE_HIF1A_AND_HIF2A_TARGETS_DN	137	Up	3.03730287300561e-05	0.00193894848271331
BURTON_ADIPOGENESIS_4	82	Down	3.32710646645151e-05	0.00209563345966893
KRIGE_RESPONSE_TO_TOSEDOSTAT_24HR_DN	1268	Down	3.69552975706051e-05	0.00229706349636235
OUYANG_PROSTATE_CANCER_MARKERS	50	Down	3.83886816646397e-05	0.00235517054784101
