	NGenes	Direction	PValue	FDR
NIKOLSKY_BREAST_CANCER_20Q11_AMPLICON	41	Down	7.34581010579188e-10	3.47016069397608e-06
AIGNER_ZEB1_TARGETS	34	Up	3.58985624151337e-07	0.000585431358546626
CHIARADONNA_NEOPLASTIC_TRANSFORMATION_KRAS_CDC25_UP	71	Down	3.71781133708695e-07	0.000585431358546626
CHIARADONNA_NEOPLASTIC_TRANSFORMATION_KRAS_UP	167	Down	7.26257296679915e-07	0.000857709867378979
WHITFIELD_CELL_CYCLE_LITERATURE	50	Down	3.12541229262727e-06	0.00295288953407424
NIKOLSKY_BREAST_CANCER_1Q21_AMPLICON	38	Down	6.93942193489398e-06	0.00546363820340653
CROONQUIST_NRAS_SIGNALING_DN	89	Down	1.41088794840754e-05	0.00854773399458205
TANG_SENESCENCE_TP53_TARGETS_DN	62	Down	1.44754174336699e-05	0.00854773399458205
LY_AGING_MIDDLE_DN	24	Down	1.88217858871826e-05	0.00965751362624481
ISHIDA_E2F_TARGETS	61	Down	2.04764812120099e-05	0.00965751362624481
SA_TRKA_RECEPTOR	24	Down	2.24878598409596e-05	0.00965751362624481
REACTOME_CHOLESTEROL_BIOSYNTHESIS	24	Down	2.91586919008794e-05	0.0114788050449795
SCHMIDT_POR_TARGETS_IN_LIMB_BUD_UP	30	Down	3.21004155800242e-05	0.0116647971692334
BIOCARTA_TRKA_PATHWAY	20	Down	3.73439453326112e-05	0.0126009141250897
MORI_LARGE_PRE_BII_LYMPHOCYTE_UP	123	Down	4.68569988943052e-05	0.0147568308517799
CROONQUIST_IL6_DEPRIVATION_DN	124	Down	7.01812376472098e-05	0.01989835053153
KAMMINGA_EZH2_TARGETS	52	Down	7.85655664245681e-05	0.01989835053153
ROLEF_GLIS3_TARGETS	21	Up	7.87764390080607e-05	0.01989835053153
WENG_POR_TARGETS_GLOBAL_UP	20	Down	8.00314691149598e-05	0.01989835053153
NIKOLSKY_BREAST_CANCER_19P13_AMPLICON	7	Down	9.84092622758769e-05	0.0232442677495621
BIOCARTA_VIP_PATHWAY	33	Down	0.000142973158912098	0.0315909170675916
CHEMNITZ_RESPONSE_TO_PROSTAGLANDIN_E2_UP	178	Down	0.000147121120975236	0.0315909170675916
BIOCARTA_NOS1_PATHWAY	22	Down	0.000170058916911844	0.0349286227605022
AMUNDSON_GAMMA_RADIATION_RESPONSE	52	Down	0.000192038334727092	0.0372901774671768
PLASARI_TGFB1_SIGNALING_VIA_NFIC_10HR_UP	92	Up	0.000197344292269141	0.0372901774671768
BIOCARTA_GPCR_PATHWAY	52	Down	0.000221573564311624	0.0397517769009021
ZHAN_MULTIPLE_MYELOMA_PR_UP	48	Down	0.000227201095750287	0.0397517769009021
MARKEY_RB1_ACUTE_LOF_DN	281	Down	0.00025105460488758	0.0411886141355368
BURTON_ADIPOGENESIS_PEAK_AT_24HR	47	Down	0.000261181270017591	0.0411886141355368
KOBAYASHI_EGFR_SIGNALING_24HR_DN	329	Down	0.000261570369192655	0.0411886141355368
KIM_BIPOLAR_DISORDER_OLIGODENDROCYTE_DENSITY_CORR_DN	75	Up	0.000289701020331716	0.0441466974208718
KUMAMOTO_RESPONSE_TO_NUTLIN_3A_DN	15	Down	0.000309518283549342	0.0446724664343081
TAKAYAMA_BOUND_BY_AR	17	Up	0.000314029589531582	0.0446724664343081
VIETOR_IFRD1_TARGETS	27	Down	0.000324266274728244	0.0446724664343081
BIOCARTA_SRCRPTP_PATHWAY	17	Down	0.00033097720685876	0.0446724664343081
WIEMANN_TELOMERE_SHORTENING_AND_CHRONIC_LIVER_DAMAGE_DN	6	Down	0.000355486886014668	0.0466477791537025
HOFFMANN_LARGE_TO_SMALL_PRE_BII_LYMPHOCYTE_UP	225	Down	0.000391273049731851	0.0499560509981963
XU_RESPONSE_TO_TRETINOIN_DN	21	Down	0.000416826106979652	0.0518180665624178
KORKOLA_YOLK_SAC_TUMOR	83	Up	0.000432051744519912	0.0521343006390856
REACTOME_COPI_MEDIATED_TRANSPORT	14	Up	0.000441442003717914	0.0521343006390856
BIOCARTA_MEF2D_PATHWAY	21	Down	0.000473930795217123	0.0543408431485959
YU_MYC_TARGETS_UP	50	Down	0.00048313196702816	0.0543408431485959
EGUCHI_CELL_CYCLE_RB1_TARGETS	24	Down	0.00052872879906773	0.0580863917859525
BIOCARTA_ACH_PATHWAY	16	Down	0.000615406803634813	0.0660723122811558
WEST_ADRENOCORTICAL_CARCINOMA_VS_ADENOMA_DN	18	Down	0.000678528382772852	0.0704224687677241
MONTERO_THYROID_CANCER_POOR_SURVIVAL_UP	14	Down	0.000706473737650824	0.0704224687677241
REACTOME_IRON_UPTAKE_AND_TRANSPORT	35	Up	0.000706947360392059	0.0704224687677241
BIOCARTA_FMLP_PATHWAY	46	Down	0.000715554297385851	0.0704224687677241
BIOCARTA_TCR_PATHWAY	59	Down	0.000734597021842323	0.0708211496159823
ONDER_CDH1_SIGNALING_VIA_CTNNB1	145	Up	0.000768676801460818	0.0720705382986912
ROSTY_CERVICAL_CANCER_PROLIFERATION_CLUSTER	169	Down	0.000781221723960374	0.0720705382986912
SCIAN_CELL_CYCLE_TARGETS_OF_TP53_AND_TP73_DN	28	Down	0.0008072392178631	0.0720705382986912
CHANG_CYCLING_GENES	201	Down	0.000808581399202081	0.0720705382986912
LIU_CDX2_TARGETS_DN	7	Up	0.000852504109868186	0.0733548835397188
MORI_PRE_BI_LYMPHOCYTE_UP	112	Down	0.000856855692831063	0.0733548835397188
ZHOU_CELL_CYCLE_GENES_IN_IR_RESPONSE_24HR	158	Down	0.000872140577121835	0.0733548835397188
SANCHEZ_MDM2_TARGETS	22	Down	0.00088510337886621	0.0733548835397188
MORI_IMMATURE_B_LYMPHOCYTE_DN	134	Down	0.000936320123922639	0.0754809774435744
VERRECCHIA_RESPONSE_TO_TGFB1_C6	15	Up	0.000945092932017947	0.0754809774435744
MORI_PLASMA_CELL_UP	55	Up	0.000958691500130073	0.0754809774435744
FERRARI_RESPONSE_TO_FENRETINIDE_UP	33	Up	0.00102309437538023	0.0792311119556758
GAUSSMANN_MLL_AF4_FUSION_TARGETS_A_DN	150	Up	0.00106421339756985	0.0798040718867702
ODONNELL_TARGETS_OF_MYC_AND_TFRC_DN	54	Down	0.0011082496118894	0.0798040718867702
BIOCARTA_STATHMIN_PATHWAY	19	Down	0.00111029834144931	0.0798040718867702
PID_PI3K_PLC_TRK_PATHWAY	52	Down	0.00111295676235402	0.0798040718867702
BURTON_ADIPOGENESIS_3	135	Down	0.00112091600601111	0.0798040718867702
WHITEFORD_PEDIATRIC_CANCER_MARKERS	172	Down	0.00113185284005368	0.0798040718867702
KEGG_APOPTOSIS	82	Down	0.00118819497674169	0.0825446039724667
BIOCARTA_AGPCR_PATHWAY	20	Down	0.00125357801796687	0.082988699666606
REICHERT_MITOSIS_LIN9_TARGETS	34	Down	0.00125647024614968	0.082988699666606
