	NGenes	Direction	PValue	FDR
NIKOLSKY_BREAST_CANCER_20Q11_AMPLICON	30	Down	6.03174455236749e-13	2.8674913601955e-09
CHIARADONNA_NEOPLASTIC_TRANSFORMATION_KRAS_CDC25_UP	56	Down	4.16766352913146e-09	9.90653620874547e-06
AIGNER_ZEB1_TARGETS	26	Up	5.94511352212207e-08	9.42102322805611e-05
CHIARADONNA_NEOPLASTIC_TRANSFORMATION_KRAS_UP	118	Down	8.2405231233646e-07	0.000979386173211882
REACTOME_CHOLESTEROL_BIOSYNTHESIS	21	Down	1.85380109774924e-06	0.00176259408373998
NIKOLSKY_BREAST_CANCER_1Q21_AMPLICON	31	Down	7.76512261194268e-06	0.00511542038095397
BIOCARTA_NOS1_PATHWAY	16	Down	8.08719820418915e-06	0.00511542038095397
NIKOLSKY_BREAST_CANCER_17Q11_Q21_AMPLICON	88	Up	8.60819584510554e-06	0.00511542038095397
WHITFIELD_CELL_CYCLE_LITERATURE	44	Down	1.10459317348811e-05	0.00583470660751387
SCHMIDT_POR_TARGETS_IN_LIMB_BUD_UP	24	Down	1.56713806529686e-05	0.00745017436242126
HOLLERN_EMT_BREAST_TUMOR_DN	56	Up	2.57221069511548e-05	0.0111166269496173
MIKKELSEN_NPC_HCP_WITH_H3K27ME3	125	Up	4.98832153552595e-05	0.0179048331172665
SIG_BCR_SIGNALING_PATHWAY	38	Down	6.56754825428705e-05	0.0179048331172665
GAUSSMANN_MLL_AF4_FUSION_TARGETS_A_DN	69	Up	6.5726483094548e-05	0.0179048331172665
CROONQUIST_IL6_DEPRIVATION_DN	95	Down	6.72176650379718e-05	0.0179048331172665
MEISSNER_NPC_HCP_WITH_H3K27ME3	25	Up	6.75273967622338e-05	0.0179048331172665
ISHIDA_E2F_TARGETS	52	Down	7.3629097880201e-05	0.0179048331172665
NIELSEN_GIST_AND_SYNOVIAL_SARCOMA_UP	13	Up	7.55686667934951e-05	0.0179048331172665
KAMMINGA_EZH2_TARGETS	40	Down	8.49838411350252e-05	0.0179048331172665
BENPORATH_PRC2_TARGETS	289	Up	8.55814856336929e-05	0.0179048331172665
CHEMNITZ_RESPONSE_TO_PROSTAGLANDIN_E2_UP	134	Down	8.6000051304758e-05	0.0179048331172665
HOLLERN_SQUAMOUS_BREAST_TUMOR	71	Up	8.82265411113189e-05	0.0179048331172665
SA_TRKA_RECEPTOR	16	Down	9.00146362242917e-05	0.0179048331172665
CHANG_CYCLING_GENES	142	Down	9.03904069866208e-05	0.0179048331172665
DURAND_STROMA_NS_UP	153	Up	0.000123333385518755	0.0234530765902465
TANG_SENESCENCE_TP53_TARGETS_DN	52	Down	0.000128394046097251	0.0234763575056281
MORI_IMMATURE_B_LYMPHOCYTE_DN	87	Down	0.000137128956433269	0.0235091939038973
CROONQUIST_NRAS_SIGNALING_DN	71	Down	0.000138463910245924	0.0235091939038973
MARKEY_RB1_CHRONIC_LOF_UP	104	Down	0.00015469058505919	0.0247311731394345
KANG_DOXORUBICIN_RESISTANCE_UP	53	Down	0.000159325594629	0.0247311731394345
WENG_POR_TARGETS_GLOBAL_UP	15	Down	0.00016126764142248	0.0247311731394345
REACTOME_COPI_MEDIATED_TRANSPORT	10	Up	0.000171777338438945	0.0253486642320019
BURTON_ADIPOGENESIS_3	98	Down	0.00017595833396215	0.0253486642320019
BIOCARTA_GPCR_PATHWAY	32	Down	0.000207893149856512	0.027693390990795
HOFFMANN_LARGE_TO_SMALL_PRE_BII_LYMPHOCYTE_UP	158	Down	0.000211534598298997	0.027693390990795
MEISSNER_BRAIN_HCP_WITH_H3K27ME3	105	Up	0.000214061912926921	0.027693390990795
HORTON_SREBF_TARGETS	25	Down	0.000220408124640566	0.027693390990795
BIOCARTA_VIP_PATHWAY	24	Down	0.000222359919678925	0.027693390990795
FLORIO_NEOCORTEX_BASAL_RADIAL_GLIA_DN	166	Down	0.000228257782148147	0.027693390990795
RORIE_TARGETS_OF_EWSR1_FLI1_FUSION_DN	17	Up	0.000233011283052545	0.027693390990795
HORIUCHI_WTAP_TARGETS_DN	295	Down	0.000251936846155935	0.0292123845518369
