	NGenes	Direction	PValue	FDR
KARLSSON_TGFB1_TARGETS_UP	120	Down	1.19009660477598e-17	5.65771925910501e-14
PODAR_RESPONSE_TO_ADAPHOSTIN_UP	130	Up	1.41010274554968e-13	3.3518142261716e-10
QI_HYPOXIA	136	Up	4.14239623962003e-13	6.56431724105121e-10
CAIRO_HEPATOBLASTOMA_CLASSES_UP	582	Down	7.35139876331778e-13	8.73713743020318e-10
MANALO_HYPOXIA_DN	276	Down	1.03061504143638e-12	9.79908781397711e-10
REACTOME_3_UTR_MEDIATED_TRANSLATIONAL_REGULATION	101	Down	1.23860594471812e-12	9.81388776864987e-10
KRIGE_AMINO_ACID_DEPRIVATION	27	Up	2.90563901957536e-12	1.97334398558018e-09
LEE_BMP2_TARGETS_DN	837	Down	9.07712751011734e-12	5.39408302288723e-09
GROSS_HYPOXIA_VIA_HIF1A_UP	76	Down	1.23797697397195e-11	6.18332469462053e-09
DANG_MYC_TARGETS_UP	138	Down	1.30065727695005e-11	6.18332469462053e-09
PENG_GLUTAMINE_DEPRIVATION_DN	319	Down	1.61702471253285e-11	6.98848680307377e-09
FARDIN_HYPOXIA_11	32	Up	3.89381861685416e-11	1.54260114204372e-08
REACTOME_PROCESSING_OF_CAPPED_INTRON_CONTAINING_PRE_MRNA	136	Down	7.73336576262678e-11	2.82803237196367e-08
REACTOME_METABOLISM_OF_RNA	248	Down	9.88709976551434e-11	3.35737659180394e-08
WELCSH_BRCA1_TARGETS_DN	134	Down	1.55685178988101e-10	4.83998114266697e-08
REACTOME_ACTIVATION_OF_THE_MRNA_UPON_BINDING_OF_THE_CAP_BINDING_COMPLEX_AND_EIFS_AND_SUBSEQUENT_BINDING_TO_43S	55	Down	1.72019822510875e-10	4.83998114266697e-08
KEGG_SPLICEOSOME	122	Down	1.7307463068014e-10	4.83998114266697e-08
FARDIN_HYPOXIA_9	7	Up	2.20691122968872e-10	5.48891485551189e-08
REACTOME_MRNA_SPLICING	107	Down	2.2300920219578e-10	5.48891485551189e-08
WONG_EMBRYONIC_STEM_CELL_CORE	327	Down	2.3091774739217e-10	5.48891485551189e-08
MUELLER_PLURINET	283	Down	2.59172192720859e-10	5.86716478188078e-08
REACTOME_MRNA_PROCESSING	154	Down	3.64108061667657e-10	7.86804420530928e-08
SCHLOSSER_MYC_TARGETS_AND_SERUM_RESPONSE_DN	47	Down	4.74456156242464e-10	9.61955603623338e-08
ABRAMSON_INTERACT_WITH_AIRE	44	Down	4.85631772969291e-10	9.61955603623338e-08
REACTOME_NONSENSE_MEDIATED_DECAY_ENHANCED_BY_THE_EXON_JUNCTION_COMPLEX	102	Down	5.33777063571511e-10	9.78253252610451e-08
JUBAN_TARGETS_OF_SPI1_AND_FLI1_DN	84	Down	5.35014399829023e-10	9.78253252610451e-08
PACHER_TARGETS_OF_IGF1_AND_IGF2_UP	30	Up	9.65863466055795e-10	1.7006351546775e-07
YAO_TEMPORAL_RESPONSE_TO_PROGESTERONE_CLUSTER_14	139	Down	1.40821719763696e-09	2.35955177930172e-07
REACTOME_METABOLISM_OF_MRNA	204	Down	1.43935636516092e-09	2.35955177930172e-07
REACTOME_PEPTIDE_CHAIN_ELONGATION	81	Down	2.16002483694985e-09	3.42291935828653e-07
MENSE_HYPOXIA_UP	93	Up	2.81928400917737e-09	4.32350844504168e-07
LEE_METASTASIS_AND_RNA_PROCESSING_UP	17	Down	5.03937929055904e-09	7.48662785853678e-07
CAIRO_PML_TARGETS_BOUND_BY_MYC_UP	23	Down	5.66785425943736e-09	8.16514519677733e-07
REACTOME_ACTIVATION_OF_CHAPERONE_GENES_BY_ATF6_ALPHA	9	Up	6.70885402767092e-09	9.3805564845728e-07
CHNG_MULTIPLE_MYELOMA_HYPERPLOID_UP	51	Down	8.17134680253031e-09	1.10990236283512e-06
KEGG_RIBOSOME	83	Down	1.09189839055007e-08	1.44191248574306e-06
REACTOME_INFLUENZA_LIFE_CYCLE	131	Down	1.26565860548663e-08	1.62620027310363e-06
REACTOME_FORMATION_OF_THE_TERNARY_COMPLEX_AND_SUBSEQUENTLY_THE_43S_COMPLEX	47	Down	3.69314299017823e-08	4.59855974854207e-06
DANG_REGULATED_BY_MYC_UP	69	Down	3.77798535287972e-08	4.59855974854207e-06
REACTOME_INFLUENZA_VIRAL_RNA_TRANSCRIPTION_AND_REPLICATION	97	Down	3.86921308249228e-08	4.59855974854207e-06
BERENJENO_TRANSFORMED_BY_RHOA_UP	526	Down	4.10844421136689e-08	4.7637911660581e-06
BILANGES_SERUM_AND_RAPAMYCIN_SENSITIVE_GENES	66	Down	4.28330527532426e-08	4.84829363783132e-06
REACTOME_TRANSLATION	141	Down	7.26786266262555e-08	8.03521374374927e-06
SCHUHMACHER_MYC_TARGETS_UP	78	Down	7.82542263380344e-08	8.45501345479581e-06
VANDESLUIS_COMMD1_TARGETS_GROUP_2_UP	12	Up	8.97428159279321e-08	9.48082993158642e-06
LEONARD_HYPOXIA	45	Up	9.82862608351853e-08	1.0157671391532e-05
KRIGE_RESPONSE_TO_TOSEDOSTAT_24HR_DN	907	Down	1.01754370921591e-07	1.02923463693882e-05
MULLIGAN_NTF3_SIGNALING_VIA_INSR_AND_IGF1R_UP	21	Down	1.05695905330286e-07	1.04682986237538e-05
SANSOM_APC_TARGETS_REQUIRE_MYC	195	Down	1.12922625573525e-07	1.0955799224011e-05
SCHLOSSER_MYC_TARGETS_AND_SERUM_RESPONSE_UP	47	Down	1.60046840436405e-07	1.52172535886934e-05
