	NGenes	Direction	PValue	FDR
NIKOLSKY_BREAST_CANCER_20Q11_AMPLICON	30	Down	2.4955473179888e-13	1.18638319497188e-09
CHIARADONNA_NEOPLASTIC_TRANSFORMATION_KRAS_UP	118	Down	3.80304993546141e-08	6.25853149163242e-05
CHIARADONNA_NEOPLASTIC_TRANSFORMATION_KRAS_CDC25_UP	56	Down	3.94943089501415e-08	6.25853149163242e-05
AIGNER_ZEB1_TARGETS	26	Up	5.35729781339559e-08	6.36714845122066e-05
REACTOME_CHOLESTEROL_BIOSYNTHESIS	21	Down	1.02565104004111e-06	0.000975189008871084
WHITFIELD_CELL_CYCLE_LITERATURE	44	Down	1.4937941058284e-06	0.0011835828631847
SCHMIDT_POR_TARGETS_IN_LIMB_BUD_UP	24	Down	4.45833276903242e-06	0.0030278448548543
NIKOLSKY_BREAST_CANCER_1Q21_AMPLICON	31	Down	7.0673749282695e-06	0.00348099632798975
BIOCARTA_NOS1_PATHWAY	16	Down	7.65074028515574e-06	0.00348099632798975
MORI_LARGE_PRE_BII_LYMPHOCYTE_UP	83	Down	8.26794503951131e-06	0.00348099632798975
KAMMINGA_EZH2_TARGETS	40	Down	9.22691995367676e-06	0.00348099632798975
CROONQUIST_IL6_DEPRIVATION_DN	95	Down	9.36651989161251e-06	0.00348099632798975
MORI_IMMATURE_B_LYMPHOCYTE_DN	87	Down	9.51892138491098e-06	0.00348099632798975
ISHIDA_E2F_TARGETS	52	Down	1.09566368866394e-05	0.00359050462070483
GAUSSMANN_MLL_AF4_FUSION_TARGETS_A_DN	69	Up	1.13288955217864e-05	0.00359050462070483
TANG_SENESCENCE_TP53_TARGETS_DN	52	Down	1.5851942388138e-05	0.0044454861409285
CHANG_CYCLING_GENES	142	Down	1.5896774168234e-05	0.0044454861409285
CROONQUIST_NRAS_SIGNALING_DN	71	Down	2.02234644090427e-05	0.0049839382385869
CHEMNITZ_RESPONSE_TO_PROSTAGLANDIN_E2_UP	134	Down	2.113839841079e-05	0.0049839382385869
HOFFMANN_LARGE_TO_SMALL_PRE_BII_LYMPHOCYTE_UP	158	Down	2.18856405930984e-05	0.0049839382385869
KOBAYASHI_EGFR_SIGNALING_24HR_DN	246	Down	2.20157137169383e-05	0.0049839382385869
HORIUCHI_WTAP_TARGETS_DN	295	Down	2.43802547910994e-05	0.00526835142167665
WHITEFORD_PEDIATRIC_CANCER_MARKERS	112	Down	2.84632159348676e-05	0.00588322298062437
HOLLERN_EMT_BREAST_TUMOR_DN	56	Up	3.01317579670373e-05	0.00596859905730398
MORI_PRE_BI_LYMPHOCYTE_UP	72	Down	3.21809175095266e-05	0.00611952327361158
AMUNDSON_GAMMA_RADIATION_RESPONSE	39	Down	3.57094281440493e-05	0.00652933159218501
HORTON_SREBF_TARGETS	25	Down	4.26851443386321e-05	0.00745179620875756
MARKEY_RB1_ACUTE_LOF_UP	233	Down	4.50927930703857e-05	0.00745179620875756
SA_TRKA_RECEPTOR	16	Down	4.60034880000807e-05	0.00745179620875756
BURTON_ADIPOGENESIS_3	98	Down	4.70243765802959e-05	0.00745179620875756
MARKEY_RB1_CHRONIC_LOF_UP	104	Down	5.28480466605098e-05	0.00810450367174399
BURTON_ADIPOGENESIS_PEAK_AT_24HR	38	Down	6.28942378024836e-05	0.00885297760858308
BENPORATH_PRC2_TARGETS	289	Up	6.57762895277928e-05	0.00885297760858308
MEISSNER_NPC_HCP_WITH_H3K27ME3	25	Up	6.71457015623354e-05	0.00885297760858308
KANG_DOXORUBICIN_RESISTANCE_UP	53	Down	6.97685542715256e-05	0.00885297760858308
MOHANKUMAR_HOXA1_TARGETS_DN	128	Up	7.18700551564241e-05	0.00885297760858308
NIKOLSKY_BREAST_CANCER_17Q11_Q21_AMPLICON	88	Up	7.43021340387837e-05	0.00885297760858308
ZHAN_MULTIPLE_MYELOMA_PR_UP	42	Down	7.4771024991224e-05	0.00885297760858308
FISCHER_G2_M_CELL_CYCLE	221	Down	7.67792167699281e-05	0.00885297760858308
SIG_BCR_SIGNALING_PATHWAY	38	Down	7.80189155457773e-05	0.00885297760858308
HOLLERN_SQUAMOUS_BREAST_TUMOR	71	Up	7.87147768623957e-05	0.00885297760858308
MIKKELSEN_NPC_HCP_WITH_H3K27ME3	125	Up	8.07075749427612e-05	0.00885297760858308
FLORIO_NEOCORTEX_BASAL_RADIAL_GLIA_DN	166	Down	8.20098958831557e-05	0.00885297760858308
ROSTY_CERVICAL_CANCER_PROLIFERATION_CLUSTER	138	Down	8.32602297895344e-05	0.00885297760858308
NIELSEN_GIST_AND_SYNOVIAL_SARCOMA_UP	13	Up	8.50101558080928e-05	0.00885297760858308
REACTOME_COPI_MEDIATED_TRANSPORT	10	Up	8.56619625567568e-05	0.00885297760858308
YU_MYC_TARGETS_UP	41	Down	9.30031325733825e-05	0.00940716792029491
DURAND_STROMA_NS_UP	153	Up	0.000138663727627484	0.0137334866904387
REACTOME_IRON_UPTAKE_AND_TRANSPORT	28	Up	0.000171267952075806	0.0165132333931161
MONTERO_THYROID_CANCER_POOR_SURVIVAL_UP	12	Down	0.000180969180830382	0.0165132333931161
MARKEY_RB1_CHRONIC_LOF_DN	88	Up	0.000181828313335996	0.0165132333931161
BIOCARTA_VIP_PATHWAY	24	Down	0.000183138702442518	0.0165132333931161
