fsk.up	fsk.down
Nr4a1	Cox7a2l
Npas4	Ncald
Fos	Khdrbs3
Cnn1	Peli2
Nr4a2	Rap2b
Dusp1	Kcnd3
Ptgs2	Kdm6a
Slc17a6	Rora
Fosb	Zfp108
Vgf	Trp53bp2
Peg10	Ccdc88c
Rorb	Eef2k
Arc	Csgalnact1
Sik1	Smyd2
Fbln5	Fcho2
Srxn1	Npas3
Gem	Cyp4f14
Stc1	Pik3r2
Tac1	Akr1b10
Egr1	Ube2q2
Sat1	Rev1
Plat	Gpc4
Nap1l5	Cyp2d22
Scg2	Itgb5
Pcsk1	Ank
Dio2	Ankrd40
Pros1	Abhd3
Htr2c	Fkbp9
Siah3	Med24
Ptp4a1	Trnt1
Per1	Impa2
Gna14	Gdap1l1
Ppp1r3c	Uros
Ier3	Snapc5
S1pr3	Snx16
Pcdh11x	Serinc5
Ptprn	Slc25a5
Sst	Eef1a2
Nfil3	Ctsf
Gadd45g	Ypel2
Ecm1	Decr1
Zhx2	Rimbp2
Npy	Dixdc1
Mmp3	Chst1
Slc7a11	L3mbtl2
Gpr123	Bdh2
Sgk1	Sobp
S100a10	Akt2
Vim	Slc2a12
Emd	Hip1r
Pvr	Ap1g2
Stat3	Zdhhc23
Tpm4	Sesn1
Gadd45b	Gstm3
Ociad2	Rasgef1a
Gm13363	Tmem229a
Layn	Iqub
Mest	Jag1
Slco1c1	Tef
Spry4	E130304F04Rik
Akap13	Prex2
Itpkb	Eya1
Spred3	1110067D22Rik
Fgfr2	Ube2e3
Cartpt	Itpka
Cd9	2700050L05Rik
Rgs4	Rlbp1
Fam46a	Naaa
Btg1	Gfpt2
Bdnf	Fhl1
Dusp6	Thg1l
Rasgef1b	Creg2
Fn1	2810408M09Rik
Pmvk	Fut8
Dhrs3	Adam11
Crem	Cttnbp2
Ier2	Mr1
Slc1a5	Ramp3
Nnat	Arl4c
Msn	Prkab2
Sik3	Acpl2
Tnc	Exd2
Gpr3	Kcnk2
Nptx2	Kdm1b
Slc16a1	Fam189a2
1110032A04Rik	AI118078
Fosl2	Slc30a10
Ets2	Stoml1
Cbs	Zscan4c
Litaf	Tnfrsf19
Bag3	Cntn5
Tuba1c	Gas6
Impact	Ctso
Sv2c	Sirpa
Plk2	Tmeff2
Tagln2	Pdk2
Wwtr1	Sh3bp5
Spry2	Slc40a1
Cabp1	Kcnab1
Nefl	Wwc1
Zfp704	Npr3
Midn	2310022B05Rik
Slc7a5	Epn2
1300014I06Rik	Plxnb1
