	NGenes	PropDown	PropUp	Direction	PValue	FDR	PValue.Mixed	FDR.Mixed
PolyA.binding.protein.mRNAs.3.	3	0.666666666666667	0	Down	9.99990000099999e-06	0.00013749862501375	9.99990000099999e-06	7.85706428649999e-05
AP.Core.62.	54	0.111111111111111	0.537037037037037	Up	9.99990000099999e-06	0.00013749862501375	9.99990000099999e-06	7.85706428649999e-05
mTOR.regulators.25.	24	0.0416666666666667	0.458333333333333	Up	9.99990000099999e-06	0.00013749862501375	0.000309996900031	0.00119820230369125
selective.autophagy.cargo.receptors.10.	9	0	0.444444444444444	Up	9.99990000099999e-06	0.00013749862501375	8.99991000089999e-05	0.000445233642901666
Curated.Induction.23.	23	0	0.652173913043478	Up	1.9999800002e-05	0.0002749972500275	1.9999800002e-05	0.000183331500018333
All.Autophagic.genes.147.	122	0.139344262295082	0.401639344262295	Up	1.9999800002e-05	0.0002749972500275	4.99995000049999e-05	0.000329996700033
Lysoplex.All.Autophagy.23.	22	0.0909090909090909	0.636363636363636	Up	3.9999600004e-05	0.0003849961500385	9.99990000099999e-06	7.85706428649999e-05
Microtubule.associated.with.Autophagy.AP.Formation.23.	22	0.0909090909090909	0.636363636363636	Up	3.9999600004e-05	0.0003849961500385	9.99990000099999e-06	7.85706428649999e-05
Microtubule.associated.with.Autophagy.47.	46	0.0652173913043478	0.58695652173913	Up	3.9999600004e-05	0.0003849961500385	6.99993000069999e-05	0.000397218250039722
protein.transport.40.	31	0.0645161290322581	0.419354838709677	Up	3.9999600004e-05	0.0003849961500385	0.000709992900070999	0.001988441654045
New.MT.Assoc.All.84.	80	0.1125	0.4625	Up	5.99994000059999e-05	0.000549994500054999	0.00279997200028	0.00602837108883813
All.trasport.genes.232.	194	0.11340206185567	0.360824742268041	Up	0.000139998600014	0.00123748762512375	0.001639983600164	0.00390974351126054
New.MT.Assoc.All.minus.motors.53.	51	0.0980392156862745	0.490196078431373	Up	0.000179998200018	0.001480754423225	0.000239997600024	0.0010339896601034
Negative.regulator.of.Mitophagy.8.	7	0.714285714285714	0	Down	0.000229997700023	0.0017678394644625	2.9999700003e-05	0.000229164375022916
Microtubule.associated.with.Autophagy.Transport.56.	54	0.148148148148148	0.407407407407407	Up	0.000309996900031	0.00223664430022366	0.014009859901401	0.0208180350628926
atg9.and.its.cycling.system.6.	6	0	0.5	Up	0.000379996200038	0.00257809921900781	0.000379996200038	0.00141165255014117
eIF4.mRNAs.9.	9	0.777777777777778	0	Down	0.000419995800042	0.00259719625025972	5.99994000059999e-05	0.000355878794153235
Lysoplex.All.Lysosome..including.membrane..891.	729	0.145404663923182	0.318244170096022	Up	0.000429995700043	0.00259719625025972	0.000289997100029	0.00119820230369125
mTOR.regulators.3.27.	27	0.0740740740740741	0.333333333333333	Up	0.000479995200048	0.002749972500275	0.003739962600374	0.00775180927436009
MTOR.cascade.32.	29	0.310344827586207	0.275862068965517	Up	0.000599994000059999	0.00316901592888833	9.99990000099999e-06	7.85706428649999e-05
X.Golgi..recycling.comp..And.secretory..24.	18	0.0555555555555556	0.388888888888889	Up	0.000609993900060999	0.00316901592888833	0.003949960500395	0.0080360307508036
Microtubule.associated.with.Autophagy.AP.Lysosome.Fusion.16.	15	0.0666666666666667	0.333333333333333	Up	0.000679993200067999	0.00337170541338065	0.00720992790072099	0.0127829366867622
ULK1.complex.9.	8	0.125	0.75	Up	0.000709992900070999	0.00337170541338065	0.000419995800042	0.001449985500145
specialized.transport.8.	5	0	0.4	Up	0.00109998900011	0.0049939500604994	0.00622993770062299	0.0114123858761412
