	NGenes	PropDown	PropUp	Direction	PValue	FDR	PValue.Mixed	FDR.Mixed
regulation.of.exocytosis.6.	4	0	1	Up	9.99990000099999e-06	2.03701666687037e-05	9.99990000099999e-06	9.99990000099999e-06
PI3K.complex.12.	10	0.9	0.1	Down	9.99990000099999e-06	2.03701666687037e-05	9.99990000099999e-06	9.99990000099999e-06
AMPK.complex.8.	7	0.142857142857143	0.857142857142857	Up	9.99990000099999e-06	2.03701666687037e-05	9.99990000099999e-06	9.99990000099999e-06
PKs.complex.13.	9	0.777777777777778	0.222222222222222	Down	9.99990000099999e-06	2.03701666687037e-05	9.99990000099999e-06	9.99990000099999e-06
regulation.of.ARF.GTPase.activity.15.	13	0.153846153846154	0.769230769230769	Up	9.99990000099999e-06	2.03701666687037e-05	9.99990000099999e-06	9.99990000099999e-06
BCL.2.family.14.	11	0.727272727272727	0.181818181818182	Down	9.99990000099999e-06	2.03701666687037e-05	9.99990000099999e-06	9.99990000099999e-06
Lysosomal.proteolysis.23.	15	0.666666666666667	0.266666666666667	Down	9.99990000099999e-06	2.03701666687037e-05	9.99990000099999e-06	9.99990000099999e-06
Beclin1.complex.and.interacting.proteins.18.	15	0.666666666666667	0.333333333333333	Down	9.99990000099999e-06	2.03701666687037e-05	9.99990000099999e-06	9.99990000099999e-06
selective.autophagy.cargo.receptors.10.	9	0.222222222222222	0.666666666666667	Up	9.99990000099999e-06	2.03701666687037e-05	9.99990000099999e-06	9.99990000099999e-06
MTORC1.substrates.20.	20	0.35	0.65	Up	9.99990000099999e-06	2.03701666687037e-05	9.99990000099999e-06	9.99990000099999e-06
aktPathway.19.	13	0.615384615384615	0.384615384615385	Down	9.99990000099999e-06	2.03701666687037e-05	9.99990000099999e-06	9.99990000099999e-06
Negative.Regulator.of.Autophagy.23.	19	0.578947368421053	0.263157894736842	Down	9.99990000099999e-06	2.03701666687037e-05	9.99990000099999e-06	9.99990000099999e-06
All.PI3K.genes.44.	35	0.571428571428571	0.285714285714286	Down	9.99990000099999e-06	2.03701666687037e-05	9.99990000099999e-06	9.99990000099999e-06
endosome.to.lysosome.transport.10.	9	0.555555555555556	0.444444444444444	Down	9.99990000099999e-06	2.03701666687037e-05	9.99990000099999e-06	9.99990000099999e-06
Docking.and.fusion.13.	11	0.0909090909090909	0.545454545454545	Up	9.99990000099999e-06	2.03701666687037e-05	9.99990000099999e-06	9.99990000099999e-06
post.Golgi.vesicle.mediated.transport.14.	11	0.272727272727273	0.545454545454545	Up	9.99990000099999e-06	2.03701666687037e-05	9.99990000099999e-06	9.99990000099999e-06
alkPathway.37.	26	0.384615384615385	0.538461538461538	Up	9.99990000099999e-06	2.03701666687037e-05	9.99990000099999e-06	9.99990000099999e-06
regulation.of.endocytosis.13.	13	0.538461538461538	0.230769230769231	Down	9.99990000099999e-06	2.03701666687037e-05	9.99990000099999e-06	9.99990000099999e-06
other.proteins.involved.in.autophagy.65.	56	0.535714285714286	0.321428571428571	Down	9.99990000099999e-06	2.03701666687037e-05	9.99990000099999e-06	9.99990000099999e-06
deathPathway.33.	29	0.517241379310345	0.448275862068966	Down	9.99990000099999e-06	2.03701666687037e-05	9.99990000099999e-06	9.99990000099999e-06
endocytosis.60.	56	0.5	0.464285714285714	Down	9.99990000099999e-06	2.03701666687037e-05	9.99990000099999e-06	9.99990000099999e-06
Lysoplex.All.Autophagy.23.	22	0.318181818181818	0.5	Up	9.99990000099999e-06	2.03701666687037e-05	9.99990000099999e-06	9.99990000099999e-06
Early.endosomal.compartment.12.	12	0.5	0.333333333333333	Down	9.99990000099999e-06	2.03701666687037e-05	9.99990000099999e-06	9.99990000099999e-06
AP.Core.62.	54	0.351851851851852	0.481481481481481	Up	9.99990000099999e-06	2.03701666687037e-05	9.99990000099999e-06	9.99990000099999e-06
All.Endo.Exosomal.genes.137.	121	0.446280991735537	0.471074380165289	Down	9.99990000099999e-06	2.03701666687037e-05	9.99990000099999e-06	9.99990000099999e-06
Microtubule.associated.with.Autophagy.47.	46	0.304347826086957	0.456521739130435	Up	9.99990000099999e-06	2.03701666687037e-05	9.99990000099999e-06	9.99990000099999e-06
Curated.Induction.23.	23	0.347826086956522	0.434782608695652	Up	9.99990000099999e-06	2.03701666687037e-05	9.99990000099999e-06	9.99990000099999e-06
Lysosomal.hydrolases.and.accessory.proteins.23.	23	0.739130434782609	0.173913043478261	Down	1.9999800002e-05	4.85289264754411e-05	9.99990000099999e-06	9.99990000099999e-06
vacuolar.proton.transporting.V.type.ATPase.complex.26.	19	0.105263157894737	0.736842105263158	Up	1.9999800002e-05	4.85289264754411e-05	9.99990000099999e-06	9.99990000099999e-06
Lysosomal.acidification.14.	12	0.0833333333333333	0.666666666666667	Up	1.9999800002e-05	4.85289264754411e-05	9.99990000099999e-06	9.99990000099999e-06
Mitochondrial.Trascriptional.factors.21.	19	0.631578947368421	0.368421052631579	Down	1.9999800002e-05	4.85289264754411e-05	9.99990000099999e-06	9.99990000099999e-06
X.Late.endosome..Lysosomes..lyso.related.organelles..10.	7	0.285714285714286	0.571428571428571	Up	1.9999800002e-05	4.85289264754411e-05	9.99990000099999e-06	9.99990000099999e-06
Upregulated.upon.TFEB.OE.in.Hela.291.	216	0.453703703703704	0.430555555555556	Down	1.9999800002e-05	4.85289264754411e-05	9.99990000099999e-06	9.99990000099999e-06
protein.transport.40.	31	0.451612903225806	0.354838709677419	Down	1.9999800002e-05	4.85289264754411e-05	9.99990000099999e-06	9.99990000099999e-06
eIF1.mRNAs.3.	2	0	1	Up	2.9999700003e-05	7.43235810885134e-05	2.9999700003e-05	2.9999700003e-05
X.retrograde.transport..endosome.to.Golgi..8.	6	0.666666666666667	0.166666666666667	Down	2.9999700003e-05	7.43235810885134e-05	0.000169998300017	0.000169998300017
Lysoplex_Suppl_Table1.16.	16	0.25	0.4375	Up	2.9999700003e-05	7.43235810885134e-05	9.99990000099999e-06	9.99990000099999e-06
PolyA.binding.protein.mRNAs.3.	3	0.333333333333333	0.666666666666667	Up	3.9999600004e-05	9.39015000093902e-05	9.99990000099999e-06	9.99990000099999e-06
transmembrane.transport.channel.19.	17	0.235294117647059	0.647058823529412	Up	3.9999600004e-05	9.39015000093902e-05	9.99990000099999e-06	9.99990000099999e-06
Lysosomal.membrane.9.	8	0.5	0.375	Down	3.9999600004e-05	9.39015000093902e-05	9.99990000099999e-06	9.99990000099999e-06
All.MTOR.AKT.cascade.genes.150.	136	0.448529411764706	0.441176470588235	Down	3.9999600004e-05	9.39015000093902e-05	9.99990000099999e-06	9.99990000099999e-06
RAS.family.5.	5	0.6	0.2	Down	4.99995000049999e-05	0.00011249887501125	9.99990000099999e-06	9.99990000099999e-06
MTOR.cascade.32.	29	0.517241379310345	0.344827586206897	Down	4.99995000049999e-05	0.00011249887501125	9.99990000099999e-06	9.99990000099999e-06
TFEB.targets..MB..479.	411	0.462287104622871	0.425790754257908	Down	4.99995000049999e-05	0.00011249887501125	9.99990000099999e-06	9.99990000099999e-06
Autophagy.17.	16	0.3125	0.5625	Up	5.99994000059999e-05	0.000128722117034149	9.99990000099999e-06	9.99990000099999e-06
Microtubule.associated.with.Autophagy.AP.Formation.23.	22	0.318181818181818	0.5	Up	5.99994000059999e-05	0.000128722117034149	9.99990000099999e-06	9.99990000099999e-06
Old.Lysosomal.biogenesis.13.	13	0.384615384615385	0.384615384615385	Up	5.99994000059999e-05	0.000128722117034149	0.000289997100029	0.000289997100029
MTORC1.hyp.DOWNregulated.ALL.561.	302	0.413907284768212	0.490066225165563	Up	7.99992000079999e-05	0.000171873281267187	9.99990000099999e-06	9.99990000099999e-06
MTORC1.hyp.Upregulated.ALL.492.	308	0.415584415584416	0.480519480519481	Up	8.99991000089999e-05	0.000190814418386428	9.99990000099999e-06	9.99990000099999e-06
RAB.effectors.90.	74	0.405405405405405	0.486486486486487	Up	0.000119998800012	0.0002529974700253	9.99990000099999e-06	9.99990000099999e-06
Lysosomal.genes.containing.CLEAR.motif.68.	57	0.596491228070175	0.333333333333333	Down	0.000139998600014	0.00028557406733625	9.99990000099999e-06	9.99990000099999e-06
